subject,contest,round,scenario,agent,prob,strength,effort
01peesrn9r6a,1,1,"F,L;F,L",1,NA,4,NA
01peesrn9r6a,1,1,"F,L;F,L",2,NA,5,85
01peesrn9r6a,1,2,"F,L;F,L",1,25,4,NA
01peesrn9r6a,1,2,"F,L;F,L",2,85,6,90
01peesrn9r6a,1,3,"F,L;F,L",1,98,4,50
01peesrn9r6a,1,3,"F,L;F,L",2,98,6,50
01peesrn9r6a,2,1,"F,F;F,F",1,NA,4,NA
01peesrn9r6a,2,1,"F,F;F,F",2,NA,4,NA
01peesrn9r6a,2,2,"F,F;F,F",1,50,4,NA
01peesrn9r6a,2,2,"F,F;F,F",2,50,4,NA
01peesrn9r6a,2,3,"F,F;F,F",1,99,1,NA
01peesrn9r6a,2,3,"F,F;F,F",2,99,1,NA
01peesrn9r6a,3,1,"L,L;L,L",1,NA,5,80
01peesrn9r6a,3,1,"L,L;L,L",2,NA,5,80
01peesrn9r6a,3,2,"L,L;L,L",1,80,6,80
01peesrn9r6a,3,2,"L,L;L,L",2,80,6,80
01peesrn9r6a,3,3,"L,L;L,L",1,98,6,50
01peesrn9r6a,3,3,"L,L;L,L",2,98,6,50
01peesrn9r6a,4,1,"F,L;L,L",1,NA,4,NA
01peesrn9r6a,4,1,"F,L;L,L",2,NA,6,80
01peesrn9r6a,4,2,"F,L;L,L",1,45,6,80
01peesrn9r6a,4,2,"F,L;L,L",2,55,7,85
01peesrn9r6a,4,3,"F,L;L,L",1,90,6,50
01peesrn9r6a,4,3,"F,L;L,L",2,90,7,50
01peesrn9r6a,5,1,"F,F;F,L",1,NA,3,NA
01peesrn9r6a,5,1,"F,F;F,L",2,NA,4,NA
01peesrn9r6a,5,2,"F,F;F,L",1,45,4,NA
01peesrn9r6a,5,2,"F,F;F,L",2,45,6,85
01peesrn9r6a,5,3,"F,F;F,L",1,75,4,NA
01peesrn9r6a,5,3,"F,F;F,L",2,75,5,NA
01peesrn9r6a,6,1,"F,F;L,L",1,NA,3,NA
01peesrn9r6a,6,1,"F,F;L,L",2,NA,2,NA
01peesrn9r6a,6,2,"F,F;L,L",1,40,6,85
01peesrn9r6a,6,2,"F,F;L,L",2,35,6,85
01peesrn9r6a,6,3,"F,F;L,L",1,90,6,50
01peesrn9r6a,6,3,"F,F;L,L",2,90,6,50
04r76uv3op0r,1,1,"F,F;F,L",1,NA,5,NA
04r76uv3op0r,1,1,"F,F;F,L",2,NA,5,NA
04r76uv3op0r,1,2,"F,F;F,L",1,30,5,NA
04r76uv3op0r,1,2,"F,F;F,L",2,30,5,5
04r76uv3op0r,1,3,"F,F;F,L",1,50,2,NA
04r76uv3op0r,1,3,"F,F;F,L",2,50,5,NA
04r76uv3op0r,2,1,"F,F;L,L",1,NA,5,NA
04r76uv3op0r,2,1,"F,F;L,L",2,NA,5,NA
04r76uv3op0r,2,2,"F,F;L,L",1,45,5,50
04r76uv3op0r,2,2,"F,F;L,L",2,55,5,50
04r76uv3op0r,2,3,"F,F;L,L",1,90,5,50
04r76uv3op0r,2,3,"F,F;L,L",2,90,5,50
04r76uv3op0r,3,1,"F,F;F,F",1,NA,3,NA
04r76uv3op0r,3,1,"F,F;F,F",2,NA,5,NA
04r76uv3op0r,3,2,"F,F;F,F",1,30,4,NA
04r76uv3op0r,3,2,"F,F;F,F",2,50,4,NA
04r76uv3op0r,3,3,"F,F;F,F",1,20,4,NA
04r76uv3op0r,3,3,"F,F;F,F",2,20,4,NA
04r76uv3op0r,4,1,"L,L;L,L",1,NA,7,50
04r76uv3op0r,4,1,"L,L;L,L",2,NA,7,50
04r76uv3op0r,4,2,"L,L;L,L",1,85,8,50
04r76uv3op0r,4,2,"L,L;L,L",2,85,8,50
04r76uv3op0r,4,3,"L,L;L,L",1,100,8,50
04r76uv3op0r,4,3,"L,L;L,L",2,100,8,50
04r76uv3op0r,5,1,"F,L;F,L",1,NA,2,NA
04r76uv3op0r,5,1,"F,L;F,L",2,NA,5,30
04r76uv3op0r,5,2,"F,L;F,L",1,25,3,NA
04r76uv3op0r,5,2,"F,L;F,L",2,65,7,45
04r76uv3op0r,5,3,"F,L;F,L",1,10,4,70
04r76uv3op0r,5,3,"F,L;F,L",2,10,8,50
04r76uv3op0r,6,1,"F,L;L,L",1,NA,4,NA
04r76uv3op0r,6,1,"F,L;L,L",2,NA,5,35
04r76uv3op0r,6,2,"F,L;L,L",1,35,6,65
04r76uv3op0r,6,2,"F,L;L,L",2,90,7,45
04r76uv3op0r,6,3,"F,L;L,L",1,100,5,65
04r76uv3op0r,6,3,"F,L;L,L",2,100,8,40
0s4t8h8zv7dv,1,1,"F,F;F,F",1,NA,3,NA
0s4t8h8zv7dv,1,1,"F,F;F,F",2,NA,5,NA
0s4t8h8zv7dv,1,2,"F,F;F,F",1,30,2,NA
0s4t8h8zv7dv,1,2,"F,F;F,F",2,50,4,NA
0s4t8h8zv7dv,1,3,"F,F;F,F",1,75,1,NA
0s4t8h8zv7dv,1,3,"F,F;F,F",2,75,3,NA
0s4t8h8zv7dv,2,1,"F,L;F,L",1,NA,3,NA
0s4t8h8zv7dv,2,1,"F,L;F,L",2,NA,7,30
0s4t8h8zv7dv,2,2,"F,L;F,L",1,50,2,NA
0s4t8h8zv7dv,2,2,"F,L;F,L",2,80,8,90
0s4t8h8zv7dv,2,3,"F,L;F,L",1,95,2,50
0s4t8h8zv7dv,2,3,"F,L;F,L",2,95,8,90
0s4t8h8zv7dv,3,1,"F,F;L,L",1,NA,4,NA
0s4t8h8zv7dv,3,1,"F,F;L,L",2,NA,6,NA
0s4t8h8zv7dv,3,2,"F,F;L,L",1,40,6,60
0s4t8h8zv7dv,3,2,"F,F;L,L",2,60,7,70
0s4t8h8zv7dv,3,3,"F,F;L,L",1,100,6,80
0s4t8h8zv7dv,3,3,"F,F;L,L",2,100,7,70
0s4t8h8zv7dv,4,1,"F,L;L,L",1,NA,4,NA
