"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"2446.399999976158","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc954de7270f3e6b596b1","external-html",0,2510,"0.0-0.0","Oo4IY41Rt/qn3Fdbwwith7U1KM8K4TT+uh+Uc4JHxLM98ULSJMeWic5sSJBg8MwnwywM2iPBFQBHUOeMcjzSNqx/67bN2ZGbuLRRQktY13o28idpAXRD9vGuH6GAnjgTysIZ9SzQzBv/xcckRPDp0Z3uxTA7IaIqthyMvO508Vvk+8ljma6+ZRZ1Z3pGT9Tgo5HhqvoxP2IJDM3xBYUuiVGGUdRv7xFKYdI1Up1eMvm7YHSnybwFrIK3LCJhNxZugdYJY6Y9iufhkZ/h2Pc2UW+yyumCq443eCBrwLgr8yvmUEWm+57F7grF+VuvUweTj82KVhorkKvIul4Mwe62rg==","691f8ca61c6b4dcbb0aeb5f4","691fc954de7270f3e6b596b1","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:32:12
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc954de7270f3e6b596b1","fullscreen",1,10253,"0.0-1.0","Oo4IY41Rt/qn3Fdbwwith7U1KM8K4TT+uh+Uc4JHxLM98ULSJMeWic5sSJBg8MwnwywM2iPBFQBHUOeMcjzSNqx/67bN2ZGbuLRRQktY13o28idpAXRD9vGuH6GAnjgTysIZ9SzQzBv/xcckRPDp0Z3uxTA7IaIqthyMvO508Vvk+8ljma6+ZRZ1Z3pGT9Tgo5HhqvoxP2IJDM3xBYUuiVGGUdRv7xFKYdI1Up1eMvm7YHSnybwFrIK3LCJhNxZugdYJY6Y9iufhkZ/h2Pc2UW+yyumCq443eCBrwLgr8yvmUEWm+57F7grF+VuvUweTj82KVhorkKvIul4Mwe62rg==","691f8ca61c6b4dcbb0aeb5f4","691fc954de7270f3e6b596b1","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:32:12
"482876.40000009537","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc954de7270f3e6b596b1","instructions",2,493168,"0.0-2.0","Oo4IY41Rt/qn3Fdbwwith7U1KM8K4TT+uh+Uc4JHxLM98ULSJMeWic5sSJBg8MwnwywM2iPBFQBHUOeMcjzSNqx/67bN2ZGbuLRRQktY13o28idpAXRD9vGuH6GAnjgTysIZ9SzQzBv/xcckRPDp0Z3uxTA7IaIqthyMvO508Vvk+8ljma6+ZRZ1Z3pGT9Tgo5HhqvoxP2IJDM3xBYUuiVGGUdRv7xFKYdI1Up1eMvm7YHSnybwFrIK3LCJhNxZugdYJY6Y9iufhkZ/h2Pc2UW+yyumCq443eCBrwLgr8yvmUEWm+57F7grF+VuvUweTj82KVhorkKvIul4Mwe62rg==","691f8ca61c6b4dcbb0aeb5f4","691fc954de7270f3e6b596b1","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":210940.30000007153},{""page_index"":1,""viewing_time"":25576.399999976158},{""page_index"":2,""viewing_time"":90863.29999995232},{""page_index"":3,""viewing_time"":35897},{""page_index"":4,""viewing_time"":16767.300000071526},{""page_index"":5,""viewing_time"":22568.5},{""page_index"":6,""viewing_time"":80262.69999992847}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:32:12
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc954de7270f3e6b596b1","html-keyboard-response",3,494173,"0.0-3.0","Oo4IY41Rt/qn3Fdbwwith7U1KM8K4TT+uh+Uc4JHxLM98ULSJMeWic5sSJBg8MwnwywM2iPBFQBHUOeMcjzSNqx/67bN2ZGbuLRRQktY13o28idpAXRD9vGuH6GAnjgTysIZ9SzQzBv/xcckRPDp0Z3uxTA7IaIqthyMvO508Vvk+8ljma6+ZRZ1Z3pGT9Tgo5HhqvoxP2IJDM3xBYUuiVGGUdRv7xFKYdI1Up1eMvm7YHSnybwFrIK3LCJhNxZugdYJY6Y9iufhkZ/h2Pc2UW+yyumCq443eCBrwLgr8yvmUEWm+57F7grF+VuvUweTj82KVhorkKvIul4Mwe62rg==","691f8ca61c6b4dcbb0aeb5f4","691fc954de7270f3e6b596b1","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:32:12
"42178.10000002384","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc954de7270f3e6b596b1","survey-multi-choice",4,536361,"0.0-4.0","Oo4IY41Rt/qn3Fdbwwith7U1KM8K4TT+uh+Uc4JHxLM98ULSJMeWic5sSJBg8MwnwywM2iPBFQBHUOeMcjzSNqx/67bN2ZGbuLRRQktY13o28idpAXRD9vGuH6GAnjgTysIZ9SzQzBv/xcckRPDp0Z3uxTA7IaIqthyMvO508Vvk+8ljma6+ZRZ1Z3pGT9Tgo5HhqvoxP2IJDM3xBYUuiVGGUdRv7xFKYdI1Up1eMvm7YHSnybwFrIK3LCJhNxZugdYJY6Y9iufhkZ/h2Pc2UW+yyumCq443eCBrwLgr8yvmUEWm+57F7grF+VuvUweTj82KVhorkKvIul4Mwe62rg==","691f8ca61c6b4dcbb0aeb5f4","691fc954de7270f3e6b596b1","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:32:12
"10954.200000047684","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc954de7270f3e6b596b1","instructions",5,547325,"0.0-305.0","Oo4IY41Rt/qn3Fdbwwith7U1KM8K4TT+uh+Uc4JHxLM98ULSJMeWic5sSJBg8MwnwywM2iPBFQBHUOeMcjzSNqx/67bN2ZGbuLRRQktY13o28idpAXRD9vGuH6GAnjgTysIZ9SzQzBv/xcckRPDp0Z3uxTA7IaIqthyMvO508Vvk+8ljma6+ZRZ1Z3pGT9Tgo5HhqvoxP2IJDM3xBYUuiVGGUdRv7xFKYdI1Up1eMvm7YHSnybwFrIK3LCJhNxZugdYJY6Y9iufhkZ/h2Pc2UW+yyumCq443eCBrwLgr8yvmUEWm+57F7grF+VuvUweTj82KVhorkKvIul4Mwe62rg==","691f8ca61c6b4dcbb0aeb5f4","691fc954de7270f3e6b596b1","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":5818.400000095367},{""page_index"":1,""viewing_time"":5135.5}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:32:12
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc954de7270f3e6b596b1","html-keyboard-response",6,548329,"0.0-306.0","Oo4IY41Rt/qn3Fdbwwith7U1KM8K4TT+uh+Uc4JHxLM98ULSJMeWic5sSJBg8MwnwywM2iPBFQBHUOeMcjzSNqx/67bN2ZGbuLRRQktY13o28idpAXRD9vGuH6GAnjgTysIZ9SzQzBv/xcckRPDp0Z3uxTA7IaIqthyMvO508Vvk+8ljma6+ZRZ1Z3pGT9Tgo5HhqvoxP2IJDM3xBYUuiVGGUdRv7xFKYdI1Up1eMvm7YHSnybwFrIK3LCJhNxZugdYJY6Y9iufhkZ/h2Pc2UW+yyumCq443eCBrwLgr8yvmUEWm+57F7grF+VuvUweTj82KVhorkKvIul4Mwe62rg==","691f8ca61c6b4dcbb0aeb5f4","691fc954de7270f3e6b596b1","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:32:12
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc954de7270f3e6b596b1","html-keyboard-response",7,551344,"0.0-307.0","Oo4IY41Rt/qn3Fdbwwith7U1KM8K4TT+uh+Uc4JHxLM98ULSJMeWic5sSJBg8MwnwywM2iPBFQBHUOeMcjzSNqx/67bN2ZGbuLRRQktY13o28idpAXRD9vGuH6GAnjgTysIZ9SzQzBv/xcckRPDp0Z3uxTA7IaIqthyMvO508Vvk+8ljma6+ZRZ1Z3pGT9Tgo5HhqvoxP2IJDM3xBYUuiVGGUdRv7xFKYdI1Up1eMvm7YHSnybwFrIK3LCJhNxZugdYJY6Y9iufhkZ/h2Pc2UW+yyumCq443eCBrwLgr8yvmUEWm+57F7grF+VuvUweTj82KVhorkKvIul4Mwe62rg==","691f8ca61c6b4dcbb0aeb5f4","691fc954de7270f3e6b596b1","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:32:12
"157953.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc954de7270f3e6b596b1","survey-html-form",8,709313,"0.0-308.0","Oo4IY41Rt/qn3Fdbwwith7U1KM8K4TT+uh+Uc4JHxLM98ULSJMeWic5sSJBg8MwnwywM2iPBFQBHUOeMcjzSNqx/67bN2ZGbuLRRQktY13o28idpAXRD9vGuH6GAnjgTysIZ9SzQzBv/xcckRPDp0Z3uxTA7IaIqthyMvO508Vvk+8ljma6+ZRZ1Z3pGT9Tgo5HhqvoxP2IJDM3xBYUuiVGGUdRv7xFKYdI1Up1eMvm7YHSnybwFrIK3LCJhNxZugdYJY6Y9iufhkZ/h2Pc2UW+yyumCq443eCBrwLgr8yvmUEWm+57F7grF+VuvUweTj82KVhorkKvIul4Mwe62rg==","691f8ca61c6b4dcbb0aeb5f4","691fc954de7270f3e6b596b1","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""5"",""box2"":""4"",""box3"":""85""}","",1,"round1_outcome",1,1,1,5,4,85,NA,1,0,10,5,4,85,NA,1,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:32:12
"116962.89999997616","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc954de7270f3e6b596b1","survey-html-form",9,826290,"0.0-309.0","Oo4IY41Rt/qn3Fdbwwith7U1KM8K4TT+uh+Uc4JHxLM98ULSJMeWic5sSJBg8MwnwywM2iPBFQBHUOeMcjzSNqx/67bN2ZGbuLRRQktY13o28idpAXRD9vGuH6GAnjgTysIZ9SzQzBv/xcckRPDp0Z3uxTA7IaIqthyMvO508Vvk+8ljma6+ZRZ1Z3pGT9Tgo5HhqvoxP2IJDM3xBYUuiVGGUdRv7xFKYdI1Up1eMvm7YHSnybwFrIK3LCJhNxZugdYJY6Y9iufhkZ/h2Pc2UW+yyumCq443eCBrwLgr8yvmUEWm+57F7grF+VuvUweTj82KVhorkKvIul4Mwe62rg==","691f8ca61c6b4dcbb0aeb5f4","691fc954de7270f3e6b596b1","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""85"",""box2"":""25""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,25,85,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:32:12
