"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"9243.899999976158","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbc72b93567c443ca7ca3","external-html",0,9332,"0.0-0.0","MMAUNmjXOWwtcLLPHZWMslNI/0Vv8Ra/gx0lqCnwI7cb3klSTHD517uwqWWe7TXboCiXC5+unroVx3TIumrtXLo2N7oHTxkEotyUNfd5ydiQnJtJe8EeGRkqUIwbrc4qVkOErZTWz3CaxSDF07OhGNMT1x4pMC0V3XslszYcdVcisiYfQGy6FxxxAJ58AzFsx6u2hJk9/jFi5AZqnM4GqGcT9lZ8J569i2qjo7dKIZHyRC7sa9+98R9xajcetI6sv8DMM3udOMPdmUKv9dIsubf5twmFIQzTzOLmbRFliEXU22HkWhAYnjkYS4ssdfvMfvIhealaJTsYw9U7Uf+9dw==","691f8ca61c6b4dcbb0aeb5f4","691fbc72b93567c443ca7ca3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:25:00
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbc72b93567c443ca7ca3","fullscreen",1,15889,"0.0-1.0","MMAUNmjXOWwtcLLPHZWMslNI/0Vv8Ra/gx0lqCnwI7cb3klSTHD517uwqWWe7TXboCiXC5+unroVx3TIumrtXLo2N7oHTxkEotyUNfd5ydiQnJtJe8EeGRkqUIwbrc4qVkOErZTWz3CaxSDF07OhGNMT1x4pMC0V3XslszYcdVcisiYfQGy6FxxxAJ58AzFsx6u2hJk9/jFi5AZqnM4GqGcT9lZ8J569i2qjo7dKIZHyRC7sa9+98R9xajcetI6sv8DMM3udOMPdmUKv9dIsubf5twmFIQzTzOLmbRFliEXU22HkWhAYnjkYS4ssdfvMfvIhealaJTsYw9U7Uf+9dw==","691f8ca61c6b4dcbb0aeb5f4","691fbc72b93567c443ca7ca3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:25:00
"105335.80000007153","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbc72b93567c443ca7ca3","instructions",2,121226,"0.0-2.0","MMAUNmjXOWwtcLLPHZWMslNI/0Vv8Ra/gx0lqCnwI7cb3klSTHD517uwqWWe7TXboCiXC5+unroVx3TIumrtXLo2N7oHTxkEotyUNfd5ydiQnJtJe8EeGRkqUIwbrc4qVkOErZTWz3CaxSDF07OhGNMT1x4pMC0V3XslszYcdVcisiYfQGy6FxxxAJ58AzFsx6u2hJk9/jFi5AZqnM4GqGcT9lZ8J569i2qjo7dKIZHyRC7sa9+98R9xajcetI6sv8DMM3udOMPdmUKv9dIsubf5twmFIQzTzOLmbRFliEXU22HkWhAYnjkYS4ssdfvMfvIhealaJTsYw9U7Uf+9dw==","691f8ca61c6b4dcbb0aeb5f4","691fbc72b93567c443ca7ca3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":14520.300000071526},{""page_index"":1,""viewing_time"":16533.5},{""page_index"":2,""viewing_time"":8147.899999976158},{""page_index"":3,""viewing_time"":33123.5},{""page_index"":4,""viewing_time"":8195.299999952316},{""page_index"":5,""viewing_time"":13364.700000047684},{""page_index"":6,""viewing_time"":11450.100000023842}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:25:00
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbc72b93567c443ca7ca3","html-keyboard-response",3,122240,"0.0-3.0","MMAUNmjXOWwtcLLPHZWMslNI/0Vv8Ra/gx0lqCnwI7cb3klSTHD517uwqWWe7TXboCiXC5+unroVx3TIumrtXLo2N7oHTxkEotyUNfd5ydiQnJtJe8EeGRkqUIwbrc4qVkOErZTWz3CaxSDF07OhGNMT1x4pMC0V3XslszYcdVcisiYfQGy6FxxxAJ58AzFsx6u2hJk9/jFi5AZqnM4GqGcT9lZ8J569i2qjo7dKIZHyRC7sa9+98R9xajcetI6sv8DMM3udOMPdmUKv9dIsubf5twmFIQzTzOLmbRFliEXU22HkWhAYnjkYS4ssdfvMfvIhealaJTsYw9U7Uf+9dw==","691f8ca61c6b4dcbb0aeb5f4","691fbc72b93567c443ca7ca3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:25:00
"55566.39999997616","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbc72b93567c443ca7ca3","survey-multi-choice",4,177810,"0.0-4.0","MMAUNmjXOWwtcLLPHZWMslNI/0Vv8Ra/gx0lqCnwI7cb3klSTHD517uwqWWe7TXboCiXC5+unroVx3TIumrtXLo2N7oHTxkEotyUNfd5ydiQnJtJe8EeGRkqUIwbrc4qVkOErZTWz3CaxSDF07OhGNMT1x4pMC0V3XslszYcdVcisiYfQGy6FxxxAJ58AzFsx6u2hJk9/jFi5AZqnM4GqGcT9lZ8J569i2qjo7dKIZHyRC7sa9+98R9xajcetI6sv8DMM3udOMPdmUKv9dIsubf5twmFIQzTzOLmbRFliEXU22HkWhAYnjkYS4ssdfvMfvIhealaJTsYw9U7Uf+9dw==","691f8ca61c6b4dcbb0aeb5f4","691fbc72b93567c443ca7ca3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:25:00
"45036.200000047684","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbc72b93567c443ca7ca3","instructions",5,222849,"0.0-305.0","MMAUNmjXOWwtcLLPHZWMslNI/0Vv8Ra/gx0lqCnwI7cb3klSTHD517uwqWWe7TXboCiXC5+unroVx3TIumrtXLo2N7oHTxkEotyUNfd5ydiQnJtJe8EeGRkqUIwbrc4qVkOErZTWz3CaxSDF07OhGNMT1x4pMC0V3XslszYcdVcisiYfQGy6FxxxAJ58AzFsx6u2hJk9/jFi5AZqnM4GqGcT9lZ8J569i2qjo7dKIZHyRC7sa9+98R9xajcetI6sv8DMM3udOMPdmUKv9dIsubf5twmFIQzTzOLmbRFliEXU22HkWhAYnjkYS4ssdfvMfvIhealaJTsYw9U7Uf+9dw==","691f8ca61c6b4dcbb0aeb5f4","691fbc72b93567c443ca7ca3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":41090.200000047684},{""page_index"":1,""viewing_time"":3945.7999999523163}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:25:00
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbc72b93567c443ca7ca3","html-keyboard-response",6,223853,"0.0-306.0","MMAUNmjXOWwtcLLPHZWMslNI/0Vv8Ra/gx0lqCnwI7cb3klSTHD517uwqWWe7TXboCiXC5+unroVx3TIumrtXLo2N7oHTxkEotyUNfd5ydiQnJtJe8EeGRkqUIwbrc4qVkOErZTWz3CaxSDF07OhGNMT1x4pMC0V3XslszYcdVcisiYfQGy6FxxxAJ58AzFsx6u2hJk9/jFi5AZqnM4GqGcT9lZ8J569i2qjo7dKIZHyRC7sa9+98R9xajcetI6sv8DMM3udOMPdmUKv9dIsubf5twmFIQzTzOLmbRFliEXU22HkWhAYnjkYS4ssdfvMfvIhealaJTsYw9U7Uf+9dw==","691f8ca61c6b4dcbb0aeb5f4","691fbc72b93567c443ca7ca3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:25:00
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbc72b93567c443ca7ca3","html-keyboard-response",7,226862,"0.0-307.0","MMAUNmjXOWwtcLLPHZWMslNI/0Vv8Ra/gx0lqCnwI7cb3klSTHD517uwqWWe7TXboCiXC5+unroVx3TIumrtXLo2N7oHTxkEotyUNfd5ydiQnJtJe8EeGRkqUIwbrc4qVkOErZTWz3CaxSDF07OhGNMT1x4pMC0V3XslszYcdVcisiYfQGy6FxxxAJ58AzFsx6u2hJk9/jFi5AZqnM4GqGcT9lZ8J569i2qjo7dKIZHyRC7sa9+98R9xajcetI6sv8DMM3udOMPdmUKv9dIsubf5twmFIQzTzOLmbRFliEXU22HkWhAYnjkYS4ssdfvMfvIhealaJTsYw9U7Uf+9dw==","691f8ca61c6b4dcbb0aeb5f4","691fbc72b93567c443ca7ca3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:25:00
"13262.799999952316","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbc72b93567c443ca7ca3","survey-html-form",8,240132,"0.0-308.0","MMAUNmjXOWwtcLLPHZWMslNI/0Vv8Ra/gx0lqCnwI7cb3klSTHD517uwqWWe7TXboCiXC5+unroVx3TIumrtXLo2N7oHTxkEotyUNfd5ydiQnJtJe8EeGRkqUIwbrc4qVkOErZTWz3CaxSDF07OhGNMT1x4pMC0V3XslszYcdVcisiYfQGy6FxxxAJ58AzFsx6u2hJk9/jFi5AZqnM4GqGcT9lZ8J569i2qjo7dKIZHyRC7sa9+98R9xajcetI6sv8DMM3udOMPdmUKv9dIsubf5twmFIQzTzOLmbRFliEXU22HkWhAYnjkYS4ssdfvMfvIhealaJTsYw9U7Uf+9dw==","691f8ca61c6b4dcbb0aeb5f4","691fbc72b93567c443ca7ca3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""5"",""box2"":""5""}","",1,"round1_outcome",1,1,1,5,5,NA,NA,0,0,10,5,5,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:25:00
"16180.699999928474","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbc72b93567c443ca7ca3","survey-html-form",9,256315,"0.0-309.0","MMAUNmjXOWwtcLLPHZWMslNI/0Vv8Ra/gx0lqCnwI7cb3klSTHD517uwqWWe7TXboCiXC5+unroVx3TIumrtXLo2N7oHTxkEotyUNfd5ydiQnJtJe8EeGRkqUIwbrc4qVkOErZTWz3CaxSDF07OhGNMT1x4pMC0V3XslszYcdVcisiYfQGy6FxxxAJ58AzFsx6u2hJk9/jFi5AZqnM4GqGcT9lZ8J569i2qjo7dKIZHyRC7sa9+98R9xajcetI6sv8DMM3udOMPdmUKv9dIsubf5twmFIQzTzOLmbRFliEXU22HkWhAYnjkYS4ssdfvMfvIhealaJTsYw9U7Uf+9dw==","691f8ca61c6b4dcbb0aeb5f4","691fbc72b93567c443ca7ca3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""30"",""box2"":""30""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:25:00
