"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"3740.9000000953674","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc04d02c111efd2ff52e6","external-html",0,3898,"0.0-0.0","JpCRvBpZpcF4UEVwW6V9hBhXyHp3xcwoAa6EpEymPs42iaS2u/2tz3OfyAUv5XtvX73RxgaVmLs7nrcb1BBxQqatBZD46GN6fkWHsZe4iboRL9kqCcaNtIOG9UcfnZz3vcDEIakAS8npVZo27VR9Fgj/bUW5NhbJaEUzZGLRjkexDFXpcZ9efzVf115D/q2thbpuq6DMBb2WvBHaVT6qiTL/H3U7Q52LuKudrwTjOF6yuHrv5Njwzy17z9ZFfJm3KvX0zf+2pbNuGlNXGW7LdRY268Q5OWIgWMjy/EnV7tjiai+uHGwe1t8iZuDZxmk46NV0aXAEWTo1z87jnagh7g==","691f8ca61c6b4dcbb0aeb5f4","691fc04d02c111efd2ff52e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:11
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc04d02c111efd2ff52e6","fullscreen",1,10802,"0.0-1.0","JpCRvBpZpcF4UEVwW6V9hBhXyHp3xcwoAa6EpEymPs42iaS2u/2tz3OfyAUv5XtvX73RxgaVmLs7nrcb1BBxQqatBZD46GN6fkWHsZe4iboRL9kqCcaNtIOG9UcfnZz3vcDEIakAS8npVZo27VR9Fgj/bUW5NhbJaEUzZGLRjkexDFXpcZ9efzVf115D/q2thbpuq6DMBb2WvBHaVT6qiTL/H3U7Q52LuKudrwTjOF6yuHrv5Njwzy17z9ZFfJm3KvX0zf+2pbNuGlNXGW7LdRY268Q5OWIgWMjy/EnV7tjiai+uHGwe1t8iZuDZxmk46NV0aXAEWTo1z87jnagh7g==","691f8ca61c6b4dcbb0aeb5f4","691fc04d02c111efd2ff52e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:11
"148768.90000009537","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc04d02c111efd2ff52e6","instructions",2,159564,"0.0-2.0","JpCRvBpZpcF4UEVwW6V9hBhXyHp3xcwoAa6EpEymPs42iaS2u/2tz3OfyAUv5XtvX73RxgaVmLs7nrcb1BBxQqatBZD46GN6fkWHsZe4iboRL9kqCcaNtIOG9UcfnZz3vcDEIakAS8npVZo27VR9Fgj/bUW5NhbJaEUzZGLRjkexDFXpcZ9efzVf115D/q2thbpuq6DMBb2WvBHaVT6qiTL/H3U7Q52LuKudrwTjOF6yuHrv5Njwzy17z9ZFfJm3KvX0zf+2pbNuGlNXGW7LdRY268Q5OWIgWMjy/EnV7tjiai+uHGwe1t8iZuDZxmk46NV0aXAEWTo1z87jnagh7g==","691f8ca61c6b4dcbb0aeb5f4","691fc04d02c111efd2ff52e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":19277.5},{""page_index"":1,""viewing_time"":23600.60000014305},{""page_index"":2,""viewing_time"":31201.099999904633},{""page_index"":3,""viewing_time"":35384},{""page_index"":4,""viewing_time"":10286.799999952316},{""page_index"":5,""viewing_time"":15115.700000047684},{""page_index"":6,""viewing_time"":13902.799999952316}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:11
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc04d02c111efd2ff52e6","html-keyboard-response",3,160567,"0.0-3.0","JpCRvBpZpcF4UEVwW6V9hBhXyHp3xcwoAa6EpEymPs42iaS2u/2tz3OfyAUv5XtvX73RxgaVmLs7nrcb1BBxQqatBZD46GN6fkWHsZe4iboRL9kqCcaNtIOG9UcfnZz3vcDEIakAS8npVZo27VR9Fgj/bUW5NhbJaEUzZGLRjkexDFXpcZ9efzVf115D/q2thbpuq6DMBb2WvBHaVT6qiTL/H3U7Q52LuKudrwTjOF6yuHrv5Njwzy17z9ZFfJm3KvX0zf+2pbNuGlNXGW7LdRY268Q5OWIgWMjy/EnV7tjiai+uHGwe1t8iZuDZxmk46NV0aXAEWTo1z87jnagh7g==","691f8ca61c6b4dcbb0aeb5f4","691fc04d02c111efd2ff52e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:11
"39177.90000009537","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc04d02c111efd2ff52e6","survey-multi-choice",4,199746,"0.0-4.0","JpCRvBpZpcF4UEVwW6V9hBhXyHp3xcwoAa6EpEymPs42iaS2u/2tz3OfyAUv5XtvX73RxgaVmLs7nrcb1BBxQqatBZD46GN6fkWHsZe4iboRL9kqCcaNtIOG9UcfnZz3vcDEIakAS8npVZo27VR9Fgj/bUW5NhbJaEUzZGLRjkexDFXpcZ9efzVf115D/q2thbpuq6DMBb2WvBHaVT6qiTL/H3U7Q52LuKudrwTjOF6yuHrv5Njwzy17z9ZFfJm3KvX0zf+2pbNuGlNXGW7LdRY268Q5OWIgWMjy/EnV7tjiai+uHGwe1t8iZuDZxmk46NV0aXAEWTo1z87jnagh7g==","691f8ca61c6b4dcbb0aeb5f4","691fc04d02c111efd2ff52e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:11
"4179.099999904633","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc04d02c111efd2ff52e6","html-button-response",5,203926,"0.0-5.0-1.0","JpCRvBpZpcF4UEVwW6V9hBhXyHp3xcwoAa6EpEymPs42iaS2u/2tz3OfyAUv5XtvX73RxgaVmLs7nrcb1BBxQqatBZD46GN6fkWHsZe4iboRL9kqCcaNtIOG9UcfnZz3vcDEIakAS8npVZo27VR9Fgj/bUW5NhbJaEUzZGLRjkexDFXpcZ9efzVf115D/q2thbpuq6DMBb2WvBHaVT6qiTL/H3U7Q52LuKudrwTjOF6yuHrv5Njwzy17z9ZFfJm3KvX0zf+2pbNuGlNXGW7LdRY268Q5OWIgWMjy/EnV7tjiai+uHGwe1t8iZuDZxmk46NV0aXAEWTo1z87jnagh7g==","691f8ca61c6b4dcbb0aeb5f4","691fc04d02c111efd2ff52e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:11
"136479.09999990463","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc04d02c111efd2ff52e6","instructions",6,340399,"0.0-6.0-0.0","JpCRvBpZpcF4UEVwW6V9hBhXyHp3xcwoAa6EpEymPs42iaS2u/2tz3OfyAUv5XtvX73RxgaVmLs7nrcb1BBxQqatBZD46GN6fkWHsZe4iboRL9kqCcaNtIOG9UcfnZz3vcDEIakAS8npVZo27VR9Fgj/bUW5NhbJaEUzZGLRjkexDFXpcZ9efzVf115D/q2thbpuq6DMBb2WvBHaVT6qiTL/H3U7Q52LuKudrwTjOF6yuHrv5Njwzy17z9ZFfJm3KvX0zf+2pbNuGlNXGW7LdRY268Q5OWIgWMjy/EnV7tjiai+uHGwe1t8iZuDZxmk46NV0aXAEWTo1z87jnagh7g==","691f8ca61c6b4dcbb0aeb5f4","691fc04d02c111efd2ff52e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":33722.299999952316},{""page_index"":1,""viewing_time"":25879.099999904633},{""page_index"":2,""viewing_time"":23918.60000014305},{""page_index"":3,""viewing_time"":21701.39999985695},{""page_index"":4,""viewing_time"":10699.5},{""page_index"":5,""viewing_time"":17254.800000190735},{""page_index"":6,""viewing_time"":3303.0999999046326}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:11
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc04d02c111efd2ff52e6","html-keyboard-response",7,341401,"0.0-6.0-1.0","JpCRvBpZpcF4UEVwW6V9hBhXyHp3xcwoAa6EpEymPs42iaS2u/2tz3OfyAUv5XtvX73RxgaVmLs7nrcb1BBxQqatBZD46GN6fkWHsZe4iboRL9kqCcaNtIOG9UcfnZz3vcDEIakAS8npVZo27VR9Fgj/bUW5NhbJaEUzZGLRjkexDFXpcZ9efzVf115D/q2thbpuq6DMBb2WvBHaVT6qiTL/H3U7Q52LuKudrwTjOF6yuHrv5Njwzy17z9ZFfJm3KvX0zf+2pbNuGlNXGW7LdRY268Q5OWIgWMjy/EnV7tjiai+uHGwe1t8iZuDZxmk46NV0aXAEWTo1z87jnagh7g==","691f8ca61c6b4dcbb0aeb5f4","691fc04d02c111efd2ff52e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:11
"144478.89999985695","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc04d02c111efd2ff52e6","survey-multi-choice",8,485874,"0.0-7.0-0.0","JpCRvBpZpcF4UEVwW6V9hBhXyHp3xcwoAa6EpEymPs42iaS2u/2tz3OfyAUv5XtvX73RxgaVmLs7nrcb1BBxQqatBZD46GN6fkWHsZe4iboRL9kqCcaNtIOG9UcfnZz3vcDEIakAS8npVZo27VR9Fgj/bUW5NhbJaEUzZGLRjkexDFXpcZ9efzVf115D/q2thbpuq6DMBb2WvBHaVT6qiTL/H3U7Q52LuKudrwTjOF6yuHrv5Njwzy17z9ZFfJm3KvX0zf+2pbNuGlNXGW7LdRY268Q5OWIgWMjy/EnV7tjiai+uHGwe1t8iZuDZxmk46NV0aXAEWTo1z87jnagh7g==","691f8ca61c6b4dcbb0aeb5f4","691fc04d02c111efd2ff52e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:11
"14614","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc04d02c111efd2ff52e6","instructions",9,500489,"0.0-305.0","JpCRvBpZpcF4UEVwW6V9hBhXyHp3xcwoAa6EpEymPs42iaS2u/2tz3OfyAUv5XtvX73RxgaVmLs7nrcb1BBxQqatBZD46GN6fkWHsZe4iboRL9kqCcaNtIOG9UcfnZz3vcDEIakAS8npVZo27VR9Fgj/bUW5NhbJaEUzZGLRjkexDFXpcZ9efzVf115D/q2thbpuq6DMBb2WvBHaVT6qiTL/H3U7Q52LuKudrwTjOF6yuHrv5Njwzy17z9ZFfJm3KvX0zf+2pbNuGlNXGW7LdRY268Q5OWIgWMjy/EnV7tjiai+uHGwe1t8iZuDZxmk46NV0aXAEWTo1z87jnagh7g==","691f8ca61c6b4dcbb0aeb5f4","691fc04d02c111efd2ff52e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":9246.899999856949},{""page_index"":1,""viewing_time"":5366.799999952316}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:11
