"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","already","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"9619.600000023842","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f8ff0a585db83fa79a5c8","external-html",0,9665,"0.0-0.0","XW2avBpwxnbis+BVW/BHOaLnhqMcig+wLJUFdK7XYyyp6IbbcExGOQvrbX/fa3e4z/6VqSu6P4sV1KKAfE8ofjzQwzEPmDmWNaErWN1LLfC66dSldOM9manX7+vrbWrJaVhrK8WkymJud4Udcu01mDvD0f65tfl8trHHlSINWXIHjgy8lYrdxrB+HVqTT1gfk1iuCZbPvkfk05VaNzyJu0umfXh9Z7U4/lwcGJOQPhL/zBtCdbFJD0VfDkWAE4d53bWPUfEXmfJoMBKJVsrXCaBxFq6hw6eV6KN5NP8NNFSgaOYV4A6SlPYtCU9vWKHdWCE/f0cRZTOG5Sx5XrrLaA==","691f8ca61c6b4dcbb0aeb5f4","691f8ff0a585db83fa79a5c8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:13:04
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f8ff0a585db83fa79a5c8","fullscreen",1,19015,"0.0-1.0","XW2avBpwxnbis+BVW/BHOaLnhqMcig+wLJUFdK7XYyyp6IbbcExGOQvrbX/fa3e4z/6VqSu6P4sV1KKAfE8ofjzQwzEPmDmWNaErWN1LLfC66dSldOM9manX7+vrbWrJaVhrK8WkymJud4Udcu01mDvD0f65tfl8trHHlSINWXIHjgy8lYrdxrB+HVqTT1gfk1iuCZbPvkfk05VaNzyJu0umfXh9Z7U4/lwcGJOQPhL/zBtCdbFJD0VfDkWAE4d53bWPUfEXmfJoMBKJVsrXCaBxFq6hw6eV6KN5NP8NNFSgaOYV4A6SlPYtCU9vWKHdWCE/f0cRZTOG5Sx5XrrLaA==","691f8ca61c6b4dcbb0aeb5f4","691f8ff0a585db83fa79a5c8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:13:04
"150360.79999995232","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f8ff0a585db83fa79a5c8","instructions",2,169376,"0.0-2.0","XW2avBpwxnbis+BVW/BHOaLnhqMcig+wLJUFdK7XYyyp6IbbcExGOQvrbX/fa3e4z/6VqSu6P4sV1KKAfE8ofjzQwzEPmDmWNaErWN1LLfC66dSldOM9manX7+vrbWrJaVhrK8WkymJud4Udcu01mDvD0f65tfl8trHHlSINWXIHjgy8lYrdxrB+HVqTT1gfk1iuCZbPvkfk05VaNzyJu0umfXh9Z7U4/lwcGJOQPhL/zBtCdbFJD0VfDkWAE4d53bWPUfEXmfJoMBKJVsrXCaBxFq6hw6eV6KN5NP8NNFSgaOYV4A6SlPYtCU9vWKHdWCE/f0cRZTOG5Sx5XrrLaA==","691f8ca61c6b4dcbb0aeb5f4","691f8ff0a585db83fa79a5c8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":44819.5},{""page_index"":1,""viewing_time"":19965.799999952316},{""page_index"":2,""viewing_time"":17007.399999976158},{""page_index"":3,""viewing_time"":25347.899999976158},{""page_index"":4,""viewing_time"":26747.200000047684},{""page_index"":5,""viewing_time"":10882.899999976158},{""page_index"":6,""viewing_time"":5589.800000071526}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:13:04
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f8ff0a585db83fa79a5c8","html-keyboard-response",3,170386,"0.0-3.0","XW2avBpwxnbis+BVW/BHOaLnhqMcig+wLJUFdK7XYyyp6IbbcExGOQvrbX/fa3e4z/6VqSu6P4sV1KKAfE8ofjzQwzEPmDmWNaErWN1LLfC66dSldOM9manX7+vrbWrJaVhrK8WkymJud4Udcu01mDvD0f65tfl8trHHlSINWXIHjgy8lYrdxrB+HVqTT1gfk1iuCZbPvkfk05VaNzyJu0umfXh9Z7U4/lwcGJOQPhL/zBtCdbFJD0VfDkWAE4d53bWPUfEXmfJoMBKJVsrXCaBxFq6hw6eV6KN5NP8NNFSgaOYV4A6SlPYtCU9vWKHdWCE/f0cRZTOG5Sx5XrrLaA==","691f8ca61c6b4dcbb0aeb5f4","691f8ff0a585db83fa79a5c8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:13:04
"43760.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f8ff0a585db83fa79a5c8","survey-multi-choice",4,214149,"0.0-4.0","XW2avBpwxnbis+BVW/BHOaLnhqMcig+wLJUFdK7XYyyp6IbbcExGOQvrbX/fa3e4z/6VqSu6P4sV1KKAfE8ofjzQwzEPmDmWNaErWN1LLfC66dSldOM9manX7+vrbWrJaVhrK8WkymJud4Udcu01mDvD0f65tfl8trHHlSINWXIHjgy8lYrdxrB+HVqTT1gfk1iuCZbPvkfk05VaNzyJu0umfXh9Z7U4/lwcGJOQPhL/zBtCdbFJD0VfDkWAE4d53bWPUfEXmfJoMBKJVsrXCaBxFq6hw6eV6KN5NP8NNFSgaOYV4A6SlPYtCU9vWKHdWCE/f0cRZTOG5Sx5XrrLaA==","691f8ca61c6b4dcbb0aeb5f4","691f8ff0a585db83fa79a5c8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:13:04
"9235.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f8ff0a585db83fa79a5c8","instructions",5,223388,"0.0-305.0","XW2avBpwxnbis+BVW/BHOaLnhqMcig+wLJUFdK7XYyyp6IbbcExGOQvrbX/fa3e4z/6VqSu6P4sV1KKAfE8ofjzQwzEPmDmWNaErWN1LLfC66dSldOM9manX7+vrbWrJaVhrK8WkymJud4Udcu01mDvD0f65tfl8trHHlSINWXIHjgy8lYrdxrB+HVqTT1gfk1iuCZbPvkfk05VaNzyJu0umfXh9Z7U4/lwcGJOQPhL/zBtCdbFJD0VfDkWAE4d53bWPUfEXmfJoMBKJVsrXCaBxFq6hw6eV6KN5NP8NNFSgaOYV4A6SlPYtCU9vWKHdWCE/f0cRZTOG5Sx5XrrLaA==","691f8ca61c6b4dcbb0aeb5f4","691f8ff0a585db83fa79a5c8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":4105.200000047684},{""page_index"":1,""viewing_time"":5130}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:13:04
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f8ff0a585db83fa79a5c8","html-keyboard-response",6,224398,"0.0-306.0","XW2avBpwxnbis+BVW/BHOaLnhqMcig+wLJUFdK7XYyyp6IbbcExGOQvrbX/fa3e4z/6VqSu6P4sV1KKAfE8ofjzQwzEPmDmWNaErWN1LLfC66dSldOM9manX7+vrbWrJaVhrK8WkymJud4Udcu01mDvD0f65tfl8trHHlSINWXIHjgy8lYrdxrB+HVqTT1gfk1iuCZbPvkfk05VaNzyJu0umfXh9Z7U4/lwcGJOQPhL/zBtCdbFJD0VfDkWAE4d53bWPUfEXmfJoMBKJVsrXCaBxFq6hw6eV6KN5NP8NNFSgaOYV4A6SlPYtCU9vWKHdWCE/f0cRZTOG5Sx5XrrLaA==","691f8ca61c6b4dcbb0aeb5f4","691f8ff0a585db83fa79a5c8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:13:04
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f8ff0a585db83fa79a5c8","html-keyboard-response",7,227407,"0.0-307.0","XW2avBpwxnbis+BVW/BHOaLnhqMcig+wLJUFdK7XYyyp6IbbcExGOQvrbX/fa3e4z/6VqSu6P4sV1KKAfE8ofjzQwzEPmDmWNaErWN1LLfC66dSldOM9manX7+vrbWrJaVhrK8WkymJud4Udcu01mDvD0f65tfl8trHHlSINWXIHjgy8lYrdxrB+HVqTT1gfk1iuCZbPvkfk05VaNzyJu0umfXh9Z7U4/lwcGJOQPhL/zBtCdbFJD0VfDkWAE4d53bWPUfEXmfJoMBKJVsrXCaBxFq6hw6eV6KN5NP8NNFSgaOYV4A6SlPYtCU9vWKHdWCE/f0cRZTOG5Sx5XrrLaA==","691f8ca61c6b4dcbb0aeb5f4","691f8ff0a585db83fa79a5c8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:13:04
"20097.600000023842","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f8ff0a585db83fa79a5c8","survey-html-form",8,247506,"0.0-308.0","XW2avBpwxnbis+BVW/BHOaLnhqMcig+wLJUFdK7XYyyp6IbbcExGOQvrbX/fa3e4z/6VqSu6P4sV1KKAfE8ofjzQwzEPmDmWNaErWN1LLfC66dSldOM9manX7+vrbWrJaVhrK8WkymJud4Udcu01mDvD0f65tfl8trHHlSINWXIHjgy8lYrdxrB+HVqTT1gfk1iuCZbPvkfk05VaNzyJu0umfXh9Z7U4/lwcGJOQPhL/zBtCdbFJD0VfDkWAE4d53bWPUfEXmfJoMBKJVsrXCaBxFq6hw6eV6KN5NP8NNFSgaOYV4A6SlPYtCU9vWKHdWCE/f0cRZTOG5Sx5XrrLaA==","691f8ca61c6b4dcbb0aeb5f4","691f8ff0a585db83fa79a5c8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""7"",""box2"":""3"",""box3"":""60""}","",1,"round1_outcome",1,1,1,7,3,60,NA,1,0,10,7,3,60,NA,1,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:13:04
"13000.299999952316","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f8ff0a585db83fa79a5c8","survey-html-form",9,260510,"0.0-309.0","XW2avBpwxnbis+BVW/BHOaLnhqMcig+wLJUFdK7XYyyp6IbbcExGOQvrbX/fa3e4z/6VqSu6P4sV1KKAfE8ofjzQwzEPmDmWNaErWN1LLfC66dSldOM9manX7+vrbWrJaVhrK8WkymJud4Udcu01mDvD0f65tfl8trHHlSINWXIHjgy8lYrdxrB+HVqTT1gfk1iuCZbPvkfk05VaNzyJu0umfXh9Z7U4/lwcGJOQPhL/zBtCdbFJD0VfDkWAE4d53bWPUfEXmfJoMBKJVsrXCaBxFq6hw6eV6KN5NP8NNFSgaOYV4A6SlPYtCU9vWKHdWCE/f0cRZTOG5Sx5XrrLaA==","691f8ca61c6b4dcbb0aeb5f4","691f8ff0a585db83fa79a5c8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""80"",""box2"":""30""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,30,80,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:13:04
