"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","already","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"7950.29999999702","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd5d46b57be1d7b1b72d3","external-html",0,7991,"0.0-0.0","cbQ0pKUhSj0w+D3yWYQoBGoJvJqjNI+Jo7OBjKWlRugFvqpiXqx9iYzAwURuhYngteh1ishbuW1JDNhA/O6QXlDcfMpHTUSsZkXBf3PFzoKvTNpeHaIV6pGeOIOOJ0sP9I7minTzntYjILGWUG+gFpg68cx8bs0V0QmefNo8+F684XZOWn1OGpSPELIZpE5fm+pMJ2QImio74ZAy9+Mq+ixqaECsid4eVBOvvkDJn7AWE6Uk0ggkP1o9pHRj8JQlF/NeN9etmdTql9DcgfPFpR8oFzIKAYgAKhn3t723XaRkyB5ddwMinvKiIsIvnYkL0VPcdWzWSgnAH6pzLxP31Q==","69168b21477cff9ada6cb980","691bd5d46b57be1d7b1b72d3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:27:41
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd5d46b57be1d7b1b72d3","fullscreen",1,12224,"0.0-1.0","cbQ0pKUhSj0w+D3yWYQoBGoJvJqjNI+Jo7OBjKWlRugFvqpiXqx9iYzAwURuhYngteh1ishbuW1JDNhA/O6QXlDcfMpHTUSsZkXBf3PFzoKvTNpeHaIV6pGeOIOOJ0sP9I7minTzntYjILGWUG+gFpg68cx8bs0V0QmefNo8+F684XZOWn1OGpSPELIZpE5fm+pMJ2QImio74ZAy9+Mq+ixqaECsid4eVBOvvkDJn7AWE6Uk0ggkP1o9pHRj8JQlF/NeN9etmdTql9DcgfPFpR8oFzIKAYgAKhn3t723XaRkyB5ddwMinvKiIsIvnYkL0VPcdWzWSgnAH6pzLxP31Q==","69168b21477cff9ada6cb980","691bd5d46b57be1d7b1b72d3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:27:41
"224760.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd5d46b57be1d7b1b72d3","instructions",2,236985,"0.0-2.0","cbQ0pKUhSj0w+D3yWYQoBGoJvJqjNI+Jo7OBjKWlRugFvqpiXqx9iYzAwURuhYngteh1ishbuW1JDNhA/O6QXlDcfMpHTUSsZkXBf3PFzoKvTNpeHaIV6pGeOIOOJ0sP9I7minTzntYjILGWUG+gFpg68cx8bs0V0QmefNo8+F684XZOWn1OGpSPELIZpE5fm+pMJ2QImio74ZAy9+Mq+ixqaECsid4eVBOvvkDJn7AWE6Uk0ggkP1o9pHRj8JQlF/NeN9etmdTql9DcgfPFpR8oFzIKAYgAKhn3t723XaRkyB5ddwMinvKiIsIvnYkL0VPcdWzWSgnAH6pzLxP31Q==","69168b21477cff9ada6cb980","691bd5d46b57be1d7b1b72d3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":14040.79999999702},{""page_index"":1,""viewing_time"":617.2000000029802},{""page_index"":0,""viewing_time"":16079.09999999404},{""page_index"":1,""viewing_time"":17424.20000000298},{""page_index"":2,""viewing_time"":39049.10000000894},{""page_index"":3,""viewing_time"":31241.29999999702},{""page_index"":4,""viewing_time"":46666},{""page_index"":5,""viewing_time"":56469.20000000298},{""page_index"":6,""viewing_time"":3173.2999999970198}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:27:41
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd5d46b57be1d7b1b72d3","html-keyboard-response",3,237998,"0.0-3.0","cbQ0pKUhSj0w+D3yWYQoBGoJvJqjNI+Jo7OBjKWlRugFvqpiXqx9iYzAwURuhYngteh1ishbuW1JDNhA/O6QXlDcfMpHTUSsZkXBf3PFzoKvTNpeHaIV6pGeOIOOJ0sP9I7minTzntYjILGWUG+gFpg68cx8bs0V0QmefNo8+F684XZOWn1OGpSPELIZpE5fm+pMJ2QImio74ZAy9+Mq+ixqaECsid4eVBOvvkDJn7AWE6Uk0ggkP1o9pHRj8JQlF/NeN9etmdTql9DcgfPFpR8oFzIKAYgAKhn3t723XaRkyB5ddwMinvKiIsIvnYkL0VPcdWzWSgnAH6pzLxP31Q==","69168b21477cff9ada6cb980","691bd5d46b57be1d7b1b72d3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:27:41
"72130.39999999106","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd5d46b57be1d7b1b72d3","survey-multi-choice",4,310130,"0.0-4.0","cbQ0pKUhSj0w+D3yWYQoBGoJvJqjNI+Jo7OBjKWlRugFvqpiXqx9iYzAwURuhYngteh1ishbuW1JDNhA/O6QXlDcfMpHTUSsZkXBf3PFzoKvTNpeHaIV6pGeOIOOJ0sP9I7minTzntYjILGWUG+gFpg68cx8bs0V0QmefNo8+F684XZOWn1OGpSPELIZpE5fm+pMJ2QImio74ZAy9+Mq+ixqaECsid4eVBOvvkDJn7AWE6Uk0ggkP1o9pHRj8JQlF/NeN9etmdTql9DcgfPFpR8oFzIKAYgAKhn3t723XaRkyB5ddwMinvKiIsIvnYkL0VPcdWzWSgnAH6pzLxP31Q==","69168b21477cff9ada6cb980","691bd5d46b57be1d7b1b72d3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight changes according to the reward on the box; the higher the reward, the heavier the box."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:27:41
"6696.399999991059","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd5d46b57be1d7b1b72d3","html-button-response",5,316828,"0.0-5.0-0.0","cbQ0pKUhSj0w+D3yWYQoBGoJvJqjNI+Jo7OBjKWlRugFvqpiXqx9iYzAwURuhYngteh1ishbuW1JDNhA/O6QXlDcfMpHTUSsZkXBf3PFzoKvTNpeHaIV6pGeOIOOJ0sP9I7minTzntYjILGWUG+gFpg68cx8bs0V0QmefNo8+F684XZOWn1OGpSPELIZpE5fm+pMJ2QImio74ZAy9+Mq+ixqaECsid4eVBOvvkDJn7AWE6Uk0ggkP1o9pHRj8JQlF/NeN9etmdTql9DcgfPFpR8oFzIKAYgAKhn3t723XaRkyB5ddwMinvKiIsIvnYkL0VPcdWzWSgnAH6pzLxP31Q==","69168b21477cff9ada6cb980","691bd5d46b57be1d7b1b72d3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:27:41
"80894.29999999702","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd5d46b57be1d7b1b72d3","instructions",6,397722,"0.0-6.0-0.0","cbQ0pKUhSj0w+D3yWYQoBGoJvJqjNI+Jo7OBjKWlRugFvqpiXqx9iYzAwURuhYngteh1ishbuW1JDNhA/O6QXlDcfMpHTUSsZkXBf3PFzoKvTNpeHaIV6pGeOIOOJ0sP9I7minTzntYjILGWUG+gFpg68cx8bs0V0QmefNo8+F684XZOWn1OGpSPELIZpE5fm+pMJ2QImio74ZAy9+Mq+ixqaECsid4eVBOvvkDJn7AWE6Uk0ggkP1o9pHRj8JQlF/NeN9etmdTql9DcgfPFpR8oFzIKAYgAKhn3t723XaRkyB5ddwMinvKiIsIvnYkL0VPcdWzWSgnAH6pzLxP31Q==","69168b21477cff9ada6cb980","691bd5d46b57be1d7b1b72d3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":34368.09999999404},{""page_index"":1,""viewing_time"":9485.5},{""page_index"":2,""viewing_time"":4639.100000008941},{""page_index"":3,""viewing_time"":21143.19999998808},{""page_index"":4,""viewing_time"":3769.6000000089407},{""page_index"":5,""viewing_time"":5916.0999999940395},{""page_index"":6,""viewing_time"":1572.6000000089407}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:27:41
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd5d46b57be1d7b1b72d3","html-keyboard-response",7,398724,"0.0-6.0-1.0","cbQ0pKUhSj0w+D3yWYQoBGoJvJqjNI+Jo7OBjKWlRugFvqpiXqx9iYzAwURuhYngteh1ishbuW1JDNhA/O6QXlDcfMpHTUSsZkXBf3PFzoKvTNpeHaIV6pGeOIOOJ0sP9I7minTzntYjILGWUG+gFpg68cx8bs0V0QmefNo8+F684XZOWn1OGpSPELIZpE5fm+pMJ2QImio74ZAy9+Mq+ixqaECsid4eVBOvvkDJn7AWE6Uk0ggkP1o9pHRj8JQlF/NeN9etmdTql9DcgfPFpR8oFzIKAYgAKhn3t723XaRkyB5ddwMinvKiIsIvnYkL0VPcdWzWSgnAH6pzLxP31Q==","69168b21477cff9ada6cb980","691bd5d46b57be1d7b1b72d3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:27:41
"24546.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd5d46b57be1d7b1b72d3","survey-multi-choice",8,423272,"0.0-7.0-0.0","cbQ0pKUhSj0w+D3yWYQoBGoJvJqjNI+Jo7OBjKWlRugFvqpiXqx9iYzAwURuhYngteh1ishbuW1JDNhA/O6QXlDcfMpHTUSsZkXBf3PFzoKvTNpeHaIV6pGeOIOOJ0sP9I7minTzntYjILGWUG+gFpg68cx8bs0V0QmefNo8+F684XZOWn1OGpSPELIZpE5fm+pMJ2QImio74ZAy9+Mq+ixqaECsid4eVBOvvkDJn7AWE6Uk0ggkP1o9pHRj8JQlF/NeN9etmdTql9DcgfPFpR8oFzIKAYgAKhn3t723XaRkyB5ddwMinvKiIsIvnYkL0VPcdWzWSgnAH6pzLxP31Q==","69168b21477cff9ada6cb980","691bd5d46b57be1d7b1b72d3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:27:41
"1893.7999999970198","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd5d46b57be1d7b1b72d3","html-button-response",9,425167,"0.0-8.0-0.0","cbQ0pKUhSj0w+D3yWYQoBGoJvJqjNI+Jo7OBjKWlRugFvqpiXqx9iYzAwURuhYngteh1ishbuW1JDNhA/O6QXlDcfMpHTUSsZkXBf3PFzoKvTNpeHaIV6pGeOIOOJ0sP9I7minTzntYjILGWUG+gFpg68cx8bs0V0QmefNo8+F684XZOWn1OGpSPELIZpE5fm+pMJ2QImio74ZAy9+Mq+ixqaECsid4eVBOvvkDJn7AWE6Uk0ggkP1o9pHRj8JQlF/NeN9etmdTql9DcgfPFpR8oFzIKAYgAKhn3t723XaRkyB5ddwMinvKiIsIvnYkL0VPcdWzWSgnAH6pzLxP31Q==","69168b21477cff9ada6cb980","691bd5d46b57be1d7b1b72d3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:27:41
