"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"74956.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f96a48aa11cacb1ca4a55","external-html",0,74986,"0.0-0.0","Sbrev3v6Ohpdw4cxjZE5UoIv4PkQiboIAH8d42eiNQGVUHiLnRAH+kkjzfaLA8unv6ChvKE37s+QG1vHpMgUQ9vpy7g5YWggOMWrt8Lh+LJfiNIG2xyXwsGKIZpJusnJIyRbBkMG1DeVlRZh7b7sfJrPTO9dNIlz5qLlaEPElz/snLtP4M0h/n0UMVcZZJVUKrwhOCFeDUgNsI8eBeTQ3CPWOyV5jX0c63Hhw2HKsnhP4bBzf4n64ih8eRaYA0WGQGi1o08sQmnNLNvzzEMH3evhKOhio2a5FrEfP6rTuhNj03l/U2djeb2lo95vc5giP5bpPXlWfnqJqMshHrinOA==","691f8ca61c6b4dcbb0aeb5f4","691f96a48aa11cacb1ca4a55","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:55:06
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f96a48aa11cacb1ca4a55","fullscreen",1,91043,"0.0-1.0","Sbrev3v6Ohpdw4cxjZE5UoIv4PkQiboIAH8d42eiNQGVUHiLnRAH+kkjzfaLA8unv6ChvKE37s+QG1vHpMgUQ9vpy7g5YWggOMWrt8Lh+LJfiNIG2xyXwsGKIZpJusnJIyRbBkMG1DeVlRZh7b7sfJrPTO9dNIlz5qLlaEPElz/snLtP4M0h/n0UMVcZZJVUKrwhOCFeDUgNsI8eBeTQ3CPWOyV5jX0c63Hhw2HKsnhP4bBzf4n64ih8eRaYA0WGQGi1o08sQmnNLNvzzEMH3evhKOhio2a5FrEfP6rTuhNj03l/U2djeb2lo95vc5giP5bpPXlWfnqJqMshHrinOA==","691f8ca61c6b4dcbb0aeb5f4","691f96a48aa11cacb1ca4a55","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:55:06
"182382.09999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f96a48aa11cacb1ca4a55","instructions",2,273426,"0.0-2.0","Sbrev3v6Ohpdw4cxjZE5UoIv4PkQiboIAH8d42eiNQGVUHiLnRAH+kkjzfaLA8unv6ChvKE37s+QG1vHpMgUQ9vpy7g5YWggOMWrt8Lh+LJfiNIG2xyXwsGKIZpJusnJIyRbBkMG1DeVlRZh7b7sfJrPTO9dNIlz5qLlaEPElz/snLtP4M0h/n0UMVcZZJVUKrwhOCFeDUgNsI8eBeTQ3CPWOyV5jX0c63Hhw2HKsnhP4bBzf4n64ih8eRaYA0WGQGi1o08sQmnNLNvzzEMH3evhKOhio2a5FrEfP6rTuhNj03l/U2djeb2lo95vc5giP5bpPXlWfnqJqMshHrinOA==","691f8ca61c6b4dcbb0aeb5f4","691f96a48aa11cacb1ca4a55","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":24158},{""page_index"":1,""viewing_time"":22343.59999999404},{""page_index"":2,""viewing_time"":16071.59999999404},{""page_index"":3,""viewing_time"":34217},{""page_index"":4,""viewing_time"":10920},{""page_index"":5,""viewing_time"":17711.59999999404},{""page_index"":6,""viewing_time"":11431.800000011921},{""page_index"":5,""viewing_time"":3960.4000000059605},{""page_index"":4,""viewing_time"":4376.199999988079},{""page_index"":3,""viewing_time"":15071.40000000596},{""page_index"":4,""viewing_time"":5208.9000000059605},{""page_index"":5,""viewing_time"":6191.399999976158},{""page_index"":6,""viewing_time"":10719.90000000596}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:55:06
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f96a48aa11cacb1ca4a55","html-keyboard-response",3,274437,"0.0-3.0","Sbrev3v6Ohpdw4cxjZE5UoIv4PkQiboIAH8d42eiNQGVUHiLnRAH+kkjzfaLA8unv6ChvKE37s+QG1vHpMgUQ9vpy7g5YWggOMWrt8Lh+LJfiNIG2xyXwsGKIZpJusnJIyRbBkMG1DeVlRZh7b7sfJrPTO9dNIlz5qLlaEPElz/snLtP4M0h/n0UMVcZZJVUKrwhOCFeDUgNsI8eBeTQ3CPWOyV5jX0c63Hhw2HKsnhP4bBzf4n64ih8eRaYA0WGQGi1o08sQmnNLNvzzEMH3evhKOhio2a5FrEfP6rTuhNj03l/U2djeb2lo95vc5giP5bpPXlWfnqJqMshHrinOA==","691f8ca61c6b4dcbb0aeb5f4","691f96a48aa11cacb1ca4a55","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:55:06
"255687.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f96a48aa11cacb1ca4a55","survey-multi-choice",4,530127,"0.0-4.0","Sbrev3v6Ohpdw4cxjZE5UoIv4PkQiboIAH8d42eiNQGVUHiLnRAH+kkjzfaLA8unv6ChvKE37s+QG1vHpMgUQ9vpy7g5YWggOMWrt8Lh+LJfiNIG2xyXwsGKIZpJusnJIyRbBkMG1DeVlRZh7b7sfJrPTO9dNIlz5qLlaEPElz/snLtP4M0h/n0UMVcZZJVUKrwhOCFeDUgNsI8eBeTQ3CPWOyV5jX0c63Hhw2HKsnhP4bBzf4n64ih8eRaYA0WGQGi1o08sQmnNLNvzzEMH3evhKOhio2a5FrEfP6rTuhNj03l/U2djeb2lo95vc5giP5bpPXlWfnqJqMshHrinOA==","691f8ca61c6b4dcbb0aeb5f4","691f96a48aa11cacb1ca4a55","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:55:06
"36175.60000002384","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f96a48aa11cacb1ca4a55","instructions",5,566307,"0.0-305.0","Sbrev3v6Ohpdw4cxjZE5UoIv4PkQiboIAH8d42eiNQGVUHiLnRAH+kkjzfaLA8unv6ChvKE37s+QG1vHpMgUQ9vpy7g5YWggOMWrt8Lh+LJfiNIG2xyXwsGKIZpJusnJIyRbBkMG1DeVlRZh7b7sfJrPTO9dNIlz5qLlaEPElz/snLtP4M0h/n0UMVcZZJVUKrwhOCFeDUgNsI8eBeTQ3CPWOyV5jX0c63Hhw2HKsnhP4bBzf4n64ih8eRaYA0WGQGi1o08sQmnNLNvzzEMH3evhKOhio2a5FrEfP6rTuhNj03l/U2djeb2lo95vc5giP5bpPXlWfnqJqMshHrinOA==","691f8ca61c6b4dcbb0aeb5f4","691f96a48aa11cacb1ca4a55","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":25591.70000001788},{""page_index"":1,""viewing_time"":10583.699999988079}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:55:06
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f96a48aa11cacb1ca4a55","html-keyboard-response",6,567325,"0.0-306.0","Sbrev3v6Ohpdw4cxjZE5UoIv4PkQiboIAH8d42eiNQGVUHiLnRAH+kkjzfaLA8unv6ChvKE37s+QG1vHpMgUQ9vpy7g5YWggOMWrt8Lh+LJfiNIG2xyXwsGKIZpJusnJIyRbBkMG1DeVlRZh7b7sfJrPTO9dNIlz5qLlaEPElz/snLtP4M0h/n0UMVcZZJVUKrwhOCFeDUgNsI8eBeTQ3CPWOyV5jX0c63Hhw2HKsnhP4bBzf4n64ih8eRaYA0WGQGi1o08sQmnNLNvzzEMH3evhKOhio2a5FrEfP6rTuhNj03l/U2djeb2lo95vc5giP5bpPXlWfnqJqMshHrinOA==","691f8ca61c6b4dcbb0aeb5f4","691f96a48aa11cacb1ca4a55","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:55:06
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f96a48aa11cacb1ca4a55","html-keyboard-response",7,570335,"0.0-307.0","Sbrev3v6Ohpdw4cxjZE5UoIv4PkQiboIAH8d42eiNQGVUHiLnRAH+kkjzfaLA8unv6ChvKE37s+QG1vHpMgUQ9vpy7g5YWggOMWrt8Lh+LJfiNIG2xyXwsGKIZpJusnJIyRbBkMG1DeVlRZh7b7sfJrPTO9dNIlz5qLlaEPElz/snLtP4M0h/n0UMVcZZJVUKrwhOCFeDUgNsI8eBeTQ3CPWOyV5jX0c63Hhw2HKsnhP4bBzf4n64ih8eRaYA0WGQGi1o08sQmnNLNvzzEMH3evhKOhio2a5FrEfP6rTuhNj03l/U2djeb2lo95vc5giP5bpPXlWfnqJqMshHrinOA==","691f8ca61c6b4dcbb0aeb5f4","691f96a48aa11cacb1ca4a55","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:55:06
"66250.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f96a48aa11cacb1ca4a55","survey-html-form",8,636589,"0.0-308.0","Sbrev3v6Ohpdw4cxjZE5UoIv4PkQiboIAH8d42eiNQGVUHiLnRAH+kkjzfaLA8unv6ChvKE37s+QG1vHpMgUQ9vpy7g5YWggOMWrt8Lh+LJfiNIG2xyXwsGKIZpJusnJIyRbBkMG1DeVlRZh7b7sfJrPTO9dNIlz5qLlaEPElz/snLtP4M0h/n0UMVcZZJVUKrwhOCFeDUgNsI8eBeTQ3CPWOyV5jX0c63Hhw2HKsnhP4bBzf4n64ih8eRaYA0WGQGi1o08sQmnNLNvzzEMH3evhKOhio2a5FrEfP6rTuhNj03l/U2djeb2lo95vc5giP5bpPXlWfnqJqMshHrinOA==","691f8ca61c6b4dcbb0aeb5f4","691f96a48aa11cacb1ca4a55","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""5"",""box2"":""10"",""box4"":""50""}","",1,"round1_outcome",1,1,1,5,10,NA,50,0,1,10,5,10,NA,50,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:55:06
"25829.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f96a48aa11cacb1ca4a55","survey-html-form",9,662420,"0.0-309.0","Sbrev3v6Ohpdw4cxjZE5UoIv4PkQiboIAH8d42eiNQGVUHiLnRAH+kkjzfaLA8unv6ChvKE37s+QG1vHpMgUQ9vpy7g5YWggOMWrt8Lh+LJfiNIG2xyXwsGKIZpJusnJIyRbBkMG1DeVlRZh7b7sfJrPTO9dNIlz5qLlaEPElz/snLtP4M0h/n0UMVcZZJVUKrwhOCFeDUgNsI8eBeTQ3CPWOyV5jX0c63Hhw2HKsnhP4bBzf4n64ih8eRaYA0WGQGi1o08sQmnNLNvzzEMH3evhKOhio2a5FrEfP6rTuhNj03l/U2djeb2lo95vc5giP5bpPXlWfnqJqMshHrinOA==","691f8ca61c6b4dcbb0aeb5f4","691f96a48aa11cacb1ca4a55","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""75"",""box2"":""100""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,100,75,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:55:06
