"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"4734.10000000149","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd3a2cfac43e7aebac1ec","external-html",0,4787,"0.0-0.0","Z4cBGxLmWFUpYAGMyvMU6anEwIw7Gsys6d2QUGTJYrtS1mXGJqxPxFEJlRqbQX9M4qYkM5Qo4MK8sP7MCs6uVBf+9A3zJFze4Xw8XxlqXGAdSKhDw1cOb48tvBYhHRD6uhNhRguYlQ73ni2YvzYStHHRoMR4EuTzjFpA4eeTFBdPie1Ibmqef1hivNl3eqGkkbTJk9O34PY3CcmxHYZ72C/f06X6TVB8+ZUzRVrg8iQkO7XyBHXp+d4SXNb3younzY991T1TnC1NGh6UmeRhifdFSXyrBBvBtJZ3mahRa21rDmThr71V5dm6ChAHmtvya6c3zMM7kQ7CL26+a6GplQ==","69168b21477cff9ada6cb980","691bd3a2cfac43e7aebac1ec","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:20:56
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd3a2cfac43e7aebac1ec","fullscreen",1,9052,"0.0-1.0","Z4cBGxLmWFUpYAGMyvMU6anEwIw7Gsys6d2QUGTJYrtS1mXGJqxPxFEJlRqbQX9M4qYkM5Qo4MK8sP7MCs6uVBf+9A3zJFze4Xw8XxlqXGAdSKhDw1cOb48tvBYhHRD6uhNhRguYlQ73ni2YvzYStHHRoMR4EuTzjFpA4eeTFBdPie1Ibmqef1hivNl3eqGkkbTJk9O34PY3CcmxHYZ72C/f06X6TVB8+ZUzRVrg8iQkO7XyBHXp+d4SXNb3younzY991T1TnC1NGh6UmeRhifdFSXyrBBvBtJZ3mahRa21rDmThr71V5dm6ChAHmtvya6c3zMM7kQ7CL26+a6GplQ==","69168b21477cff9ada6cb980","691bd3a2cfac43e7aebac1ec","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:20:56
"224903.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd3a2cfac43e7aebac1ec","instructions",2,233957,"0.0-2.0","Z4cBGxLmWFUpYAGMyvMU6anEwIw7Gsys6d2QUGTJYrtS1mXGJqxPxFEJlRqbQX9M4qYkM5Qo4MK8sP7MCs6uVBf+9A3zJFze4Xw8XxlqXGAdSKhDw1cOb48tvBYhHRD6uhNhRguYlQ73ni2YvzYStHHRoMR4EuTzjFpA4eeTFBdPie1Ibmqef1hivNl3eqGkkbTJk9O34PY3CcmxHYZ72C/f06X6TVB8+ZUzRVrg8iQkO7XyBHXp+d4SXNb3younzY991T1TnC1NGh6UmeRhifdFSXyrBBvBtJZ3mahRa21rDmThr71V5dm6ChAHmtvya6c3zMM7kQ7CL26+a6GplQ==","69168b21477cff9ada6cb980","691bd3a2cfac43e7aebac1ec","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":41318.70000000298},{""page_index"":1,""viewing_time"":45767.10000000149},{""page_index"":2,""viewing_time"":19579.89999999851},{""page_index"":3,""viewing_time"":56160.89999999851},{""page_index"":4,""viewing_time"":18336},{""page_index"":5,""viewing_time"":35623},{""page_index"":6,""viewing_time"":8118}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:20:56
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd3a2cfac43e7aebac1ec","html-keyboard-response",3,234969,"0.0-3.0","Z4cBGxLmWFUpYAGMyvMU6anEwIw7Gsys6d2QUGTJYrtS1mXGJqxPxFEJlRqbQX9M4qYkM5Qo4MK8sP7MCs6uVBf+9A3zJFze4Xw8XxlqXGAdSKhDw1cOb48tvBYhHRD6uhNhRguYlQ73ni2YvzYStHHRoMR4EuTzjFpA4eeTFBdPie1Ibmqef1hivNl3eqGkkbTJk9O34PY3CcmxHYZ72C/f06X6TVB8+ZUzRVrg8iQkO7XyBHXp+d4SXNb3younzY991T1TnC1NGh6UmeRhifdFSXyrBBvBtJZ3mahRa21rDmThr71V5dm6ChAHmtvya6c3zMM7kQ7CL26+a6GplQ==","69168b21477cff9ada6cb980","691bd3a2cfac43e7aebac1ec","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:20:56
"107480","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd3a2cfac43e7aebac1ec","survey-multi-choice",4,342450,"0.0-4.0","Z4cBGxLmWFUpYAGMyvMU6anEwIw7Gsys6d2QUGTJYrtS1mXGJqxPxFEJlRqbQX9M4qYkM5Qo4MK8sP7MCs6uVBf+9A3zJFze4Xw8XxlqXGAdSKhDw1cOb48tvBYhHRD6uhNhRguYlQ73ni2YvzYStHHRoMR4EuTzjFpA4eeTFBdPie1Ibmqef1hivNl3eqGkkbTJk9O34PY3CcmxHYZ72C/f06X6TVB8+ZUzRVrg8iQkO7XyBHXp+d4SXNb3younzY991T1TnC1NGh6UmeRhifdFSXyrBBvBtJZ3mahRa21rDmThr71V5dm6ChAHmtvya6c3zMM7kQ7CL26+a6GplQ==","69168b21477cff9ada6cb980","691bd3a2cfac43e7aebac1ec","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:20:56
"3156.8000000044703","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd3a2cfac43e7aebac1ec","html-button-response",5,345608,"0.0-5.0-0.0","Z4cBGxLmWFUpYAGMyvMU6anEwIw7Gsys6d2QUGTJYrtS1mXGJqxPxFEJlRqbQX9M4qYkM5Qo4MK8sP7MCs6uVBf+9A3zJFze4Xw8XxlqXGAdSKhDw1cOb48tvBYhHRD6uhNhRguYlQ73ni2YvzYStHHRoMR4EuTzjFpA4eeTFBdPie1Ibmqef1hivNl3eqGkkbTJk9O34PY3CcmxHYZ72C/f06X6TVB8+ZUzRVrg8iQkO7XyBHXp+d4SXNb3younzY991T1TnC1NGh6UmeRhifdFSXyrBBvBtJZ3mahRa21rDmThr71V5dm6ChAHmtvya6c3zMM7kQ7CL26+a6GplQ==","69168b21477cff9ada6cb980","691bd3a2cfac43e7aebac1ec","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:20:56
"102989.10000000149","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd3a2cfac43e7aebac1ec","instructions",6,448598,"0.0-6.0-0.0","Z4cBGxLmWFUpYAGMyvMU6anEwIw7Gsys6d2QUGTJYrtS1mXGJqxPxFEJlRqbQX9M4qYkM5Qo4MK8sP7MCs6uVBf+9A3zJFze4Xw8XxlqXGAdSKhDw1cOb48tvBYhHRD6uhNhRguYlQ73ni2YvzYStHHRoMR4EuTzjFpA4eeTFBdPie1Ibmqef1hivNl3eqGkkbTJk9O34PY3CcmxHYZ72C/f06X6TVB8+ZUzRVrg8iQkO7XyBHXp+d4SXNb3younzY991T1TnC1NGh6UmeRhifdFSXyrBBvBtJZ3mahRa21rDmThr71V5dm6ChAHmtvya6c3zMM7kQ7CL26+a6GplQ==","69168b21477cff9ada6cb980","691bd3a2cfac43e7aebac1ec","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":58605},{""page_index"":1,""viewing_time"":3366},{""page_index"":2,""viewing_time"":14359.89999999851},{""page_index"":3,""viewing_time"":4804.89999999851},{""page_index"":4,""viewing_time"":3194},{""page_index"":5,""viewing_time"":17112},{""page_index"":6,""viewing_time"":1547.1000000014901}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:20:56
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd3a2cfac43e7aebac1ec","html-keyboard-response",7,449600,"0.0-6.0-1.0","Z4cBGxLmWFUpYAGMyvMU6anEwIw7Gsys6d2QUGTJYrtS1mXGJqxPxFEJlRqbQX9M4qYkM5Qo4MK8sP7MCs6uVBf+9A3zJFze4Xw8XxlqXGAdSKhDw1cOb48tvBYhHRD6uhNhRguYlQ73ni2YvzYStHHRoMR4EuTzjFpA4eeTFBdPie1Ibmqef1hivNl3eqGkkbTJk9O34PY3CcmxHYZ72C/f06X6TVB8+ZUzRVrg8iQkO7XyBHXp+d4SXNb3younzY991T1TnC1NGh6UmeRhifdFSXyrBBvBtJZ3mahRa21rDmThr71V5dm6ChAHmtvya6c3zMM7kQ7CL26+a6GplQ==","69168b21477cff9ada6cb980","691bd3a2cfac43e7aebac1ec","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:20:56
"41278.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd3a2cfac43e7aebac1ec","survey-multi-choice",8,490880,"0.0-7.0-0.0","Z4cBGxLmWFUpYAGMyvMU6anEwIw7Gsys6d2QUGTJYrtS1mXGJqxPxFEJlRqbQX9M4qYkM5Qo4MK8sP7MCs6uVBf+9A3zJFze4Xw8XxlqXGAdSKhDw1cOb48tvBYhHRD6uhNhRguYlQ73ni2YvzYStHHRoMR4EuTzjFpA4eeTFBdPie1Ibmqef1hivNl3eqGkkbTJk9O34PY3CcmxHYZ72C/f06X6TVB8+ZUzRVrg8iQkO7XyBHXp+d4SXNb3younzY991T1TnC1NGh6UmeRhifdFSXyrBBvBtJZ3mahRa21rDmThr71V5dm6ChAHmtvya6c3zMM7kQ7CL26+a6GplQ==","69168b21477cff9ada6cb980","691bd3a2cfac43e7aebac1ec","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:20:56
"32588.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd3a2cfac43e7aebac1ec","instructions",9,523472,"0.0-305.0","Z4cBGxLmWFUpYAGMyvMU6anEwIw7Gsys6d2QUGTJYrtS1mXGJqxPxFEJlRqbQX9M4qYkM5Qo4MK8sP7MCs6uVBf+9A3zJFze4Xw8XxlqXGAdSKhDw1cOb48tvBYhHRD6uhNhRguYlQ73ni2YvzYStHHRoMR4EuTzjFpA4eeTFBdPie1Ibmqef1hivNl3eqGkkbTJk9O34PY3CcmxHYZ72C/f06X6TVB8+ZUzRVrg8iQkO7XyBHXp+d4SXNb3younzY991T1TnC1NGh6UmeRhifdFSXyrBBvBtJZ3mahRa21rDmThr71V5dm6ChAHmtvya6c3zMM7kQ7CL26+a6GplQ==","69168b21477cff9ada6cb980","691bd3a2cfac43e7aebac1ec","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":18742.5},{""page_index"":1,""viewing_time"":13845.89999999851}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:20:56
