"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"30570.09999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9d3853960b2144461833","external-html",0,30636,"0.0-0.0","H3rJAP/djuEwslz7I3IbBhmWCcZoEXHVuzV4OmVxMQhtxXnmTcYXfhEHrtwdDjgWdhEz3d5s0Cd6mQKSbl8EPC0o676sFMbyg32qyGkLG/D7II/SctGsRQH7n2nvVtEuqmvNF00XkgmICyaeqZxE+3OWc3ZYXkFMMuarD8EfbIubMuqGUs+IKqY/rzHk/8I6cefCUr4mj5wj1jP7isWhON9uh79ws8L/Br4J0TsQgsOovvYcT47iauB+zxf13v4TTP3k/W8oyBdaF/TWfzA9SFC4OywqznAEwhknuVh6AomtiaCUHZD/CGBwjJQFQ4WpiZQHZwE7If1YcgVzsinyyw==","691f8ca61c6b4dcbb0aeb5f4","691f9d3853960b2144461833","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:18:11
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9d3853960b2144461833","fullscreen",1,46350,"0.0-1.0","H3rJAP/djuEwslz7I3IbBhmWCcZoEXHVuzV4OmVxMQhtxXnmTcYXfhEHrtwdDjgWdhEz3d5s0Cd6mQKSbl8EPC0o676sFMbyg32qyGkLG/D7II/SctGsRQH7n2nvVtEuqmvNF00XkgmICyaeqZxE+3OWc3ZYXkFMMuarD8EfbIubMuqGUs+IKqY/rzHk/8I6cefCUr4mj5wj1jP7isWhON9uh79ws8L/Br4J0TsQgsOovvYcT47iauB+zxf13v4TTP3k/W8oyBdaF/TWfzA9SFC4OywqznAEwhknuVh6AomtiaCUHZD/CGBwjJQFQ4WpiZQHZwE7If1YcgVzsinyyw==","691f8ca61c6b4dcbb0aeb5f4","691f9d3853960b2144461833","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:18:11
"160423.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9d3853960b2144461833","instructions",2,206774,"0.0-2.0","H3rJAP/djuEwslz7I3IbBhmWCcZoEXHVuzV4OmVxMQhtxXnmTcYXfhEHrtwdDjgWdhEz3d5s0Cd6mQKSbl8EPC0o676sFMbyg32qyGkLG/D7II/SctGsRQH7n2nvVtEuqmvNF00XkgmICyaeqZxE+3OWc3ZYXkFMMuarD8EfbIubMuqGUs+IKqY/rzHk/8I6cefCUr4mj5wj1jP7isWhON9uh79ws8L/Br4J0TsQgsOovvYcT47iauB+zxf13v4TTP3k/W8oyBdaF/TWfzA9SFC4OywqznAEwhknuVh6AomtiaCUHZD/CGBwjJQFQ4WpiZQHZwE7If1YcgVzsinyyw==","691f8ca61c6b4dcbb0aeb5f4","691f9d3853960b2144461833","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":26981.59999999404},{""page_index"":1,""viewing_time"":33808.80000001192},{""page_index"":2,""viewing_time"":16543.79999998212},{""page_index"":3,""viewing_time"":27352.5},{""page_index"":4,""viewing_time"":14672.300000011921},{""page_index"":5,""viewing_time"":24215.90000000596},{""page_index"":6,""viewing_time"":16848.399999976158}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:18:11
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9d3853960b2144461833","html-keyboard-response",3,207787,"0.0-3.0","H3rJAP/djuEwslz7I3IbBhmWCcZoEXHVuzV4OmVxMQhtxXnmTcYXfhEHrtwdDjgWdhEz3d5s0Cd6mQKSbl8EPC0o676sFMbyg32qyGkLG/D7II/SctGsRQH7n2nvVtEuqmvNF00XkgmICyaeqZxE+3OWc3ZYXkFMMuarD8EfbIubMuqGUs+IKqY/rzHk/8I6cefCUr4mj5wj1jP7isWhON9uh79ws8L/Br4J0TsQgsOovvYcT47iauB+zxf13v4TTP3k/W8oyBdaF/TWfzA9SFC4OywqznAEwhknuVh6AomtiaCUHZD/CGBwjJQFQ4WpiZQHZwE7If1YcgVzsinyyw==","691f8ca61c6b4dcbb0aeb5f4","691f9d3853960b2144461833","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:18:11
"102172.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9d3853960b2144461833","survey-multi-choice",4,309961,"0.0-4.0","H3rJAP/djuEwslz7I3IbBhmWCcZoEXHVuzV4OmVxMQhtxXnmTcYXfhEHrtwdDjgWdhEz3d5s0Cd6mQKSbl8EPC0o676sFMbyg32qyGkLG/D7II/SctGsRQH7n2nvVtEuqmvNF00XkgmICyaeqZxE+3OWc3ZYXkFMMuarD8EfbIubMuqGUs+IKqY/rzHk/8I6cefCUr4mj5wj1jP7isWhON9uh79ws8L/Br4J0TsQgsOovvYcT47iauB+zxf13v4TTP3k/W8oyBdaF/TWfzA9SFC4OywqznAEwhknuVh6AomtiaCUHZD/CGBwjJQFQ4WpiZQHZwE7If1YcgVzsinyyw==","691f8ca61c6b4dcbb0aeb5f4","691f9d3853960b2144461833","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:18:11
"6429.699999988079","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9d3853960b2144461833","html-button-response",5,316392,"0.0-5.0-1.0","H3rJAP/djuEwslz7I3IbBhmWCcZoEXHVuzV4OmVxMQhtxXnmTcYXfhEHrtwdDjgWdhEz3d5s0Cd6mQKSbl8EPC0o676sFMbyg32qyGkLG/D7II/SctGsRQH7n2nvVtEuqmvNF00XkgmICyaeqZxE+3OWc3ZYXkFMMuarD8EfbIubMuqGUs+IKqY/rzHk/8I6cefCUr4mj5wj1jP7isWhON9uh79ws8L/Br4J0TsQgsOovvYcT47iauB+zxf13v4TTP3k/W8oyBdaF/TWfzA9SFC4OywqznAEwhknuVh6AomtiaCUHZD/CGBwjJQFQ4WpiZQHZwE7If1YcgVzsinyyw==","691f8ca61c6b4dcbb0aeb5f4","691f9d3853960b2144461833","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:18:11
"145225.09999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9d3853960b2144461833","instructions",6,461617,"0.0-6.0-0.0","H3rJAP/djuEwslz7I3IbBhmWCcZoEXHVuzV4OmVxMQhtxXnmTcYXfhEHrtwdDjgWdhEz3d5s0Cd6mQKSbl8EPC0o676sFMbyg32qyGkLG/D7II/SctGsRQH7n2nvVtEuqmvNF00XkgmICyaeqZxE+3OWc3ZYXkFMMuarD8EfbIubMuqGUs+IKqY/rzHk/8I6cefCUr4mj5wj1jP7isWhON9uh79ws8L/Br4J0TsQgsOovvYcT47iauB+zxf13v4TTP3k/W8oyBdaF/TWfzA9SFC4OywqznAEwhknuVh6AomtiaCUHZD/CGBwjJQFQ4WpiZQHZwE7If1YcgVzsinyyw==","691f8ca61c6b4dcbb0aeb5f4","691f9d3853960b2144461833","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":60464.39999997616},{""page_index"":1,""viewing_time"":19663.90000000596},{""page_index"":2,""viewing_time"":12288.300000011921},{""page_index"":3,""viewing_time"":20239.90000000596},{""page_index"":4,""viewing_time"":8767.899999976158},{""page_index"":5,""viewing_time"":19600.90000000596},{""page_index"":6,""viewing_time"":4199.5999999940395}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:18:11
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9d3853960b2144461833","html-keyboard-response",7,462623,"0.0-6.0-1.0","H3rJAP/djuEwslz7I3IbBhmWCcZoEXHVuzV4OmVxMQhtxXnmTcYXfhEHrtwdDjgWdhEz3d5s0Cd6mQKSbl8EPC0o676sFMbyg32qyGkLG/D7II/SctGsRQH7n2nvVtEuqmvNF00XkgmICyaeqZxE+3OWc3ZYXkFMMuarD8EfbIubMuqGUs+IKqY/rzHk/8I6cefCUr4mj5wj1jP7isWhON9uh79ws8L/Br4J0TsQgsOovvYcT47iauB+zxf13v4TTP3k/W8oyBdaF/TWfzA9SFC4OywqznAEwhknuVh6AomtiaCUHZD/CGBwjJQFQ4WpiZQHZwE7If1YcgVzsinyyw==","691f8ca61c6b4dcbb0aeb5f4","691f9d3853960b2144461833","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:18:11
"32378.70000001788","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9d3853960b2144461833","survey-multi-choice",8,495003,"0.0-7.0-0.0","H3rJAP/djuEwslz7I3IbBhmWCcZoEXHVuzV4OmVxMQhtxXnmTcYXfhEHrtwdDjgWdhEz3d5s0Cd6mQKSbl8EPC0o676sFMbyg32qyGkLG/D7II/SctGsRQH7n2nvVtEuqmvNF00XkgmICyaeqZxE+3OWc3ZYXkFMMuarD8EfbIubMuqGUs+IKqY/rzHk/8I6cefCUr4mj5wj1jP7isWhON9uh79ws8L/Br4J0TsQgsOovvYcT47iauB+zxf13v4TTP3k/W8oyBdaF/TWfzA9SFC4OywqznAEwhknuVh6AomtiaCUHZD/CGBwjJQFQ4WpiZQHZwE7If1YcgVzsinyyw==","691f8ca61c6b4dcbb0aeb5f4","691f9d3853960b2144461833","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:18:11
"22284.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9d3853960b2144461833","instructions",9,517290,"0.0-305.0","H3rJAP/djuEwslz7I3IbBhmWCcZoEXHVuzV4OmVxMQhtxXnmTcYXfhEHrtwdDjgWdhEz3d5s0Cd6mQKSbl8EPC0o676sFMbyg32qyGkLG/D7II/SctGsRQH7n2nvVtEuqmvNF00XkgmICyaeqZxE+3OWc3ZYXkFMMuarD8EfbIubMuqGUs+IKqY/rzHk/8I6cefCUr4mj5wj1jP7isWhON9uh79ws8L/Br4J0TsQgsOovvYcT47iauB+zxf13v4TTP3k/W8oyBdaF/TWfzA9SFC4OywqznAEwhknuVh6AomtiaCUHZD/CGBwjJQFQ4WpiZQHZwE7If1YcgVzsinyyw==","691f8ca61c6b4dcbb0aeb5f4","691f9d3853960b2144461833","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":15868.600000023842},{""page_index"":1,""viewing_time"":6416.199999988079}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:18:11
