"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"7447","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba1f6ab8ca48620a9201","external-html",0,7513,"0.0-0.0","H6i06F4Ntuz6DsY9vC3WlXz52nH8wSb/zgQg9oiwnBnOmn4jJ4Hb+G58K9pKqv/jjdJGlBt+FZecmqi9UYJXjjDRirNJzZyMYDdqRS45yHVKIOmUj3cadK3NB52dcreMhfIdOtQAHE5DU6P7ke1DTJKt8VUuLy2Q3DrEp2oO2K1Tt8T7zia79tLq+N/Pmrc66FMlMY/RNeVrKlVgdfd1R83HSf1ogHgjSypVseKPuETHhXwIPW+O4cvcRHEQVXDbtWMVdkarPQpEUJYBxb/HK8dDvlpMrxqVgp9upcvz38EG2qkSt+JTdg+EW1mlohulyb9yhDttZKisuTDum9F3gw==","691f8ca61c6b4dcbb0aeb5f4","691fba1f6ab8ca48620a9201","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:14:39
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba1f6ab8ca48620a9201","fullscreen",1,10779,"0.0-1.0","H6i06F4Ntuz6DsY9vC3WlXz52nH8wSb/zgQg9oiwnBnOmn4jJ4Hb+G58K9pKqv/jjdJGlBt+FZecmqi9UYJXjjDRirNJzZyMYDdqRS45yHVKIOmUj3cadK3NB52dcreMhfIdOtQAHE5DU6P7ke1DTJKt8VUuLy2Q3DrEp2oO2K1Tt8T7zia79tLq+N/Pmrc66FMlMY/RNeVrKlVgdfd1R83HSf1ogHgjSypVseKPuETHhXwIPW+O4cvcRHEQVXDbtWMVdkarPQpEUJYBxb/HK8dDvlpMrxqVgp9upcvz38EG2qkSt+JTdg+EW1mlohulyb9yhDttZKisuTDum9F3gw==","691f8ca61c6b4dcbb0aeb5f4","691fba1f6ab8ca48620a9201","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:14:39
"173152","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba1f6ab8ca48620a9201","instructions",2,183935,"0.0-2.0","H6i06F4Ntuz6DsY9vC3WlXz52nH8wSb/zgQg9oiwnBnOmn4jJ4Hb+G58K9pKqv/jjdJGlBt+FZecmqi9UYJXjjDRirNJzZyMYDdqRS45yHVKIOmUj3cadK3NB52dcreMhfIdOtQAHE5DU6P7ke1DTJKt8VUuLy2Q3DrEp2oO2K1Tt8T7zia79tLq+N/Pmrc66FMlMY/RNeVrKlVgdfd1R83HSf1ogHgjSypVseKPuETHhXwIPW+O4cvcRHEQVXDbtWMVdkarPQpEUJYBxb/HK8dDvlpMrxqVgp9upcvz38EG2qkSt+JTdg+EW1mlohulyb9yhDttZKisuTDum9F3gw==","691f8ca61c6b4dcbb0aeb5f4","691fba1f6ab8ca48620a9201","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":58149},{""page_index"":1,""viewing_time"":22527},{""page_index"":2,""viewing_time"":15838},{""page_index"":3,""viewing_time"":35126},{""page_index"":4,""viewing_time"":15539},{""page_index"":5,""viewing_time"":17903},{""page_index"":6,""viewing_time"":8070}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:14:39
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba1f6ab8ca48620a9201","html-keyboard-response",3,184996,"0.0-3.0","H6i06F4Ntuz6DsY9vC3WlXz52nH8wSb/zgQg9oiwnBnOmn4jJ4Hb+G58K9pKqv/jjdJGlBt+FZecmqi9UYJXjjDRirNJzZyMYDdqRS45yHVKIOmUj3cadK3NB52dcreMhfIdOtQAHE5DU6P7ke1DTJKt8VUuLy2Q3DrEp2oO2K1Tt8T7zia79tLq+N/Pmrc66FMlMY/RNeVrKlVgdfd1R83HSf1ogHgjSypVseKPuETHhXwIPW+O4cvcRHEQVXDbtWMVdkarPQpEUJYBxb/HK8dDvlpMrxqVgp9upcvz38EG2qkSt+JTdg+EW1mlohulyb9yhDttZKisuTDum9F3gw==","691f8ca61c6b4dcbb0aeb5f4","691fba1f6ab8ca48620a9201","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:14:39
"22723","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba1f6ab8ca48620a9201","survey-multi-choice",4,207723,"0.0-4.0","H6i06F4Ntuz6DsY9vC3WlXz52nH8wSb/zgQg9oiwnBnOmn4jJ4Hb+G58K9pKqv/jjdJGlBt+FZecmqi9UYJXjjDRirNJzZyMYDdqRS45yHVKIOmUj3cadK3NB52dcreMhfIdOtQAHE5DU6P7ke1DTJKt8VUuLy2Q3DrEp2oO2K1Tt8T7zia79tLq+N/Pmrc66FMlMY/RNeVrKlVgdfd1R83HSf1ogHgjSypVseKPuETHhXwIPW+O4cvcRHEQVXDbtWMVdkarPQpEUJYBxb/HK8dDvlpMrxqVgp9upcvz38EG2qkSt+JTdg+EW1mlohulyb9yhDttZKisuTDum9F3gw==","691f8ca61c6b4dcbb0aeb5f4","691fba1f6ab8ca48620a9201","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:14:39
"13766","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba1f6ab8ca48620a9201","instructions",5,221492,"0.0-305.0","H6i06F4Ntuz6DsY9vC3WlXz52nH8wSb/zgQg9oiwnBnOmn4jJ4Hb+G58K9pKqv/jjdJGlBt+FZecmqi9UYJXjjDRirNJzZyMYDdqRS45yHVKIOmUj3cadK3NB52dcreMhfIdOtQAHE5DU6P7ke1DTJKt8VUuLy2Q3DrEp2oO2K1Tt8T7zia79tLq+N/Pmrc66FMlMY/RNeVrKlVgdfd1R83HSf1ogHgjSypVseKPuETHhXwIPW+O4cvcRHEQVXDbtWMVdkarPQpEUJYBxb/HK8dDvlpMrxqVgp9upcvz38EG2qkSt+JTdg+EW1mlohulyb9yhDttZKisuTDum9F3gw==","691f8ca61c6b4dcbb0aeb5f4","691fba1f6ab8ca48620a9201","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":9789},{""page_index"":1,""viewing_time"":3977}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:14:39
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba1f6ab8ca48620a9201","html-keyboard-response",6,222502,"0.0-306.0","H6i06F4Ntuz6DsY9vC3WlXz52nH8wSb/zgQg9oiwnBnOmn4jJ4Hb+G58K9pKqv/jjdJGlBt+FZecmqi9UYJXjjDRirNJzZyMYDdqRS45yHVKIOmUj3cadK3NB52dcreMhfIdOtQAHE5DU6P7ke1DTJKt8VUuLy2Q3DrEp2oO2K1Tt8T7zia79tLq+N/Pmrc66FMlMY/RNeVrKlVgdfd1R83HSf1ogHgjSypVseKPuETHhXwIPW+O4cvcRHEQVXDbtWMVdkarPQpEUJYBxb/HK8dDvlpMrxqVgp9upcvz38EG2qkSt+JTdg+EW1mlohulyb9yhDttZKisuTDum9F3gw==","691f8ca61c6b4dcbb0aeb5f4","691fba1f6ab8ca48620a9201","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:14:39
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba1f6ab8ca48620a9201","html-keyboard-response",7,225509,"0.0-307.0","H6i06F4Ntuz6DsY9vC3WlXz52nH8wSb/zgQg9oiwnBnOmn4jJ4Hb+G58K9pKqv/jjdJGlBt+FZecmqi9UYJXjjDRirNJzZyMYDdqRS45yHVKIOmUj3cadK3NB52dcreMhfIdOtQAHE5DU6P7ke1DTJKt8VUuLy2Q3DrEp2oO2K1Tt8T7zia79tLq+N/Pmrc66FMlMY/RNeVrKlVgdfd1R83HSf1ogHgjSypVseKPuETHhXwIPW+O4cvcRHEQVXDbtWMVdkarPQpEUJYBxb/HK8dDvlpMrxqVgp9upcvz38EG2qkSt+JTdg+EW1mlohulyb9yhDttZKisuTDum9F3gw==","691f8ca61c6b4dcbb0aeb5f4","691fba1f6ab8ca48620a9201","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:14:39
"11731","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba1f6ab8ca48620a9201","survey-html-form",8,237242,"0.0-308.0","H6i06F4Ntuz6DsY9vC3WlXz52nH8wSb/zgQg9oiwnBnOmn4jJ4Hb+G58K9pKqv/jjdJGlBt+FZecmqi9UYJXjjDRirNJzZyMYDdqRS45yHVKIOmUj3cadK3NB52dcreMhfIdOtQAHE5DU6P7ke1DTJKt8VUuLy2Q3DrEp2oO2K1Tt8T7zia79tLq+N/Pmrc66FMlMY/RNeVrKlVgdfd1R83HSf1ogHgjSypVseKPuETHhXwIPW+O4cvcRHEQVXDbtWMVdkarPQpEUJYBxb/HK8dDvlpMrxqVgp9upcvz38EG2qkSt+JTdg+EW1mlohulyb9yhDttZKisuTDum9F3gw==","691f8ca61c6b4dcbb0aeb5f4","691fba1f6ab8ca48620a9201","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""3"",""box2"":""3""}","",1,"round1_outcome",1,1,1,3,3,NA,NA,0,0,10,3,3,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:14:39
"14347","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba1f6ab8ca48620a9201","survey-html-form",9,251590,"0.0-309.0","H6i06F4Ntuz6DsY9vC3WlXz52nH8wSb/zgQg9oiwnBnOmn4jJ4Hb+G58K9pKqv/jjdJGlBt+FZecmqi9UYJXjjDRirNJzZyMYDdqRS45yHVKIOmUj3cadK3NB52dcreMhfIdOtQAHE5DU6P7ke1DTJKt8VUuLy2Q3DrEp2oO2K1Tt8T7zia79tLq+N/Pmrc66FMlMY/RNeVrKlVgdfd1R83HSf1ogHgjSypVseKPuETHhXwIPW+O4cvcRHEQVXDbtWMVdkarPQpEUJYBxb/HK8dDvlpMrxqVgp9upcvz38EG2qkSt+JTdg+EW1mlohulyb9yhDttZKisuTDum9F3gw==","691f8ca61c6b4dcbb0aeb5f4","691fba1f6ab8ca48620a9201","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""42"",""box2"":""40""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,40,42,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:14:39
