"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"28800.19999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb6537b922f3d581e7c50","external-html",0,28877,"0.0-0.0","NlAVqOuzZg/b9CmGj0UXK9w2CkCM2vEr7f6X7Ptp6+koeGRtB3YexPUq6pzx9jC2KhGkOgQMIR8wR1CczaCIdHz8Gdt+5oHx+ybWHYGwPr+JRPJar7NQl0HlDWEE/TVpdt65fLB/SFcUohnyZq4tE4QFSdHRF7fFtwyts9qI6BeIioYZE6tp+7FGzKF72Z9SPXJW2XUzqGWkUEUvnDh/ugkrJvoCAPbUtZI8agWhZg4KWzf0fVqclIREtEJT93BJToh8kbsQNPL7dWoJ9rRDWPTzm9yFK+gMRX1EIQjrtK8VgaMhuOrvShyppYuS8JLBLv8xpxPfhfgdfytUVGHHLA==","691f8ca61c6b4dcbb0aeb5f4","691fb6537b922f3d581e7c50","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:54
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb6537b922f3d581e7c50","fullscreen",1,37490,"0.0-1.0","NlAVqOuzZg/b9CmGj0UXK9w2CkCM2vEr7f6X7Ptp6+koeGRtB3YexPUq6pzx9jC2KhGkOgQMIR8wR1CczaCIdHz8Gdt+5oHx+ybWHYGwPr+JRPJar7NQl0HlDWEE/TVpdt65fLB/SFcUohnyZq4tE4QFSdHRF7fFtwyts9qI6BeIioYZE6tp+7FGzKF72Z9SPXJW2XUzqGWkUEUvnDh/ugkrJvoCAPbUtZI8agWhZg4KWzf0fVqclIREtEJT93BJToh8kbsQNPL7dWoJ9rRDWPTzm9yFK+gMRX1EIQjrtK8VgaMhuOrvShyppYuS8JLBLv8xpxPfhfgdfytUVGHHLA==","691f8ca61c6b4dcbb0aeb5f4","691fb6537b922f3d581e7c50","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:54
"136313.69999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb6537b922f3d581e7c50","instructions",2,173805,"0.0-2.0","NlAVqOuzZg/b9CmGj0UXK9w2CkCM2vEr7f6X7Ptp6+koeGRtB3YexPUq6pzx9jC2KhGkOgQMIR8wR1CczaCIdHz8Gdt+5oHx+ybWHYGwPr+JRPJar7NQl0HlDWEE/TVpdt65fLB/SFcUohnyZq4tE4QFSdHRF7fFtwyts9qI6BeIioYZE6tp+7FGzKF72Z9SPXJW2XUzqGWkUEUvnDh/ugkrJvoCAPbUtZI8agWhZg4KWzf0fVqclIREtEJT93BJToh8kbsQNPL7dWoJ9rRDWPTzm9yFK+gMRX1EIQjrtK8VgaMhuOrvShyppYuS8JLBLv8xpxPfhfgdfytUVGHHLA==","691f8ca61c6b4dcbb0aeb5f4","691fb6537b922f3d581e7c50","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":19790.69999998808},{""page_index"":1,""viewing_time"":21633.40000000596},{""page_index"":2,""viewing_time"":10587.199999988079},{""page_index"":3,""viewing_time"":33156},{""page_index"":4,""viewing_time"":8483},{""page_index"":5,""viewing_time"":28432},{""page_index"":6,""viewing_time"":14230.90000000596}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:54
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb6537b922f3d581e7c50","html-keyboard-response",3,174822,"0.0-3.0","NlAVqOuzZg/b9CmGj0UXK9w2CkCM2vEr7f6X7Ptp6+koeGRtB3YexPUq6pzx9jC2KhGkOgQMIR8wR1CczaCIdHz8Gdt+5oHx+ybWHYGwPr+JRPJar7NQl0HlDWEE/TVpdt65fLB/SFcUohnyZq4tE4QFSdHRF7fFtwyts9qI6BeIioYZE6tp+7FGzKF72Z9SPXJW2XUzqGWkUEUvnDh/ugkrJvoCAPbUtZI8agWhZg4KWzf0fVqclIREtEJT93BJToh8kbsQNPL7dWoJ9rRDWPTzm9yFK+gMRX1EIQjrtK8VgaMhuOrvShyppYuS8JLBLv8xpxPfhfgdfytUVGHHLA==","691f8ca61c6b4dcbb0aeb5f4","691fb6537b922f3d581e7c50","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:54
"32707.69999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb6537b922f3d581e7c50","survey-multi-choice",4,207534,"0.0-4.0","NlAVqOuzZg/b9CmGj0UXK9w2CkCM2vEr7f6X7Ptp6+koeGRtB3YexPUq6pzx9jC2KhGkOgQMIR8wR1CczaCIdHz8Gdt+5oHx+ybWHYGwPr+JRPJar7NQl0HlDWEE/TVpdt65fLB/SFcUohnyZq4tE4QFSdHRF7fFtwyts9qI6BeIioYZE6tp+7FGzKF72Z9SPXJW2XUzqGWkUEUvnDh/ugkrJvoCAPbUtZI8agWhZg4KWzf0fVqclIREtEJT93BJToh8kbsQNPL7dWoJ9rRDWPTzm9yFK+gMRX1EIQjrtK8VgaMhuOrvShyppYuS8JLBLv8xpxPfhfgdfytUVGHHLA==","691f8ca61c6b4dcbb0aeb5f4","691fb6537b922f3d581e7c50","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:54
"3099.899999976158","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb6537b922f3d581e7c50","html-button-response",5,210637,"0.0-5.0-1.0","NlAVqOuzZg/b9CmGj0UXK9w2CkCM2vEr7f6X7Ptp6+koeGRtB3YexPUq6pzx9jC2KhGkOgQMIR8wR1CczaCIdHz8Gdt+5oHx+ybWHYGwPr+JRPJar7NQl0HlDWEE/TVpdt65fLB/SFcUohnyZq4tE4QFSdHRF7fFtwyts9qI6BeIioYZE6tp+7FGzKF72Z9SPXJW2XUzqGWkUEUvnDh/ugkrJvoCAPbUtZI8agWhZg4KWzf0fVqclIREtEJT93BJToh8kbsQNPL7dWoJ9rRDWPTzm9yFK+gMRX1EIQjrtK8VgaMhuOrvShyppYuS8JLBLv8xpxPfhfgdfytUVGHHLA==","691f8ca61c6b4dcbb0aeb5f4","691fb6537b922f3d581e7c50","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:54
"69028.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb6537b922f3d581e7c50","instructions",6,279666,"0.0-6.0-0.0","NlAVqOuzZg/b9CmGj0UXK9w2CkCM2vEr7f6X7Ptp6+koeGRtB3YexPUq6pzx9jC2KhGkOgQMIR8wR1CczaCIdHz8Gdt+5oHx+ybWHYGwPr+JRPJar7NQl0HlDWEE/TVpdt65fLB/SFcUohnyZq4tE4QFSdHRF7fFtwyts9qI6BeIioYZE6tp+7FGzKF72Z9SPXJW2XUzqGWkUEUvnDh/ugkrJvoCAPbUtZI8agWhZg4KWzf0fVqclIREtEJT93BJToh8kbsQNPL7dWoJ9rRDWPTzm9yFK+gMRX1EIQjrtK8VgaMhuOrvShyppYuS8JLBLv8xpxPfhfgdfytUVGHHLA==","691f8ca61c6b4dcbb0aeb5f4","691fb6537b922f3d581e7c50","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":12676.90000000596},{""page_index"":1,""viewing_time"":6615.5},{""page_index"":2,""viewing_time"":14888.699999988079},{""page_index"":3,""viewing_time"":8760.40000000596},{""page_index"":4,""viewing_time"":8530},{""page_index"":5,""viewing_time"":15962.700000017881},{""page_index"":6,""viewing_time"":1593.8999999761581}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:54
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb6537b922f3d581e7c50","html-keyboard-response",7,280668,"0.0-6.0-1.0","NlAVqOuzZg/b9CmGj0UXK9w2CkCM2vEr7f6X7Ptp6+koeGRtB3YexPUq6pzx9jC2KhGkOgQMIR8wR1CczaCIdHz8Gdt+5oHx+ybWHYGwPr+JRPJar7NQl0HlDWEE/TVpdt65fLB/SFcUohnyZq4tE4QFSdHRF7fFtwyts9qI6BeIioYZE6tp+7FGzKF72Z9SPXJW2XUzqGWkUEUvnDh/ugkrJvoCAPbUtZI8agWhZg4KWzf0fVqclIREtEJT93BJToh8kbsQNPL7dWoJ9rRDWPTzm9yFK+gMRX1EIQjrtK8VgaMhuOrvShyppYuS8JLBLv8xpxPfhfgdfytUVGHHLA==","691f8ca61c6b4dcbb0aeb5f4","691fb6537b922f3d581e7c50","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:54
"33129.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb6537b922f3d581e7c50","survey-multi-choice",8,313800,"0.0-7.0-0.0","NlAVqOuzZg/b9CmGj0UXK9w2CkCM2vEr7f6X7Ptp6+koeGRtB3YexPUq6pzx9jC2KhGkOgQMIR8wR1CczaCIdHz8Gdt+5oHx+ybWHYGwPr+JRPJar7NQl0HlDWEE/TVpdt65fLB/SFcUohnyZq4tE4QFSdHRF7fFtwyts9qI6BeIioYZE6tp+7FGzKF72Z9SPXJW2XUzqGWkUEUvnDh/ugkrJvoCAPbUtZI8agWhZg4KWzf0fVqclIREtEJT93BJToh8kbsQNPL7dWoJ9rRDWPTzm9yFK+gMRX1EIQjrtK8VgaMhuOrvShyppYuS8JLBLv8xpxPfhfgdfytUVGHHLA==","691f8ca61c6b4dcbb0aeb5f4","691fb6537b922f3d581e7c50","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:54
"139359.69999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb6537b922f3d581e7c50","instructions",9,453165,"0.0-305.0","NlAVqOuzZg/b9CmGj0UXK9w2CkCM2vEr7f6X7Ptp6+koeGRtB3YexPUq6pzx9jC2KhGkOgQMIR8wR1CczaCIdHz8Gdt+5oHx+ybWHYGwPr+JRPJar7NQl0HlDWEE/TVpdt65fLB/SFcUohnyZq4tE4QFSdHRF7fFtwyts9qI6BeIioYZE6tp+7FGzKF72Z9SPXJW2XUzqGWkUEUvnDh/ugkrJvoCAPbUtZI8agWhZg4KWzf0fVqclIREtEJT93BJToh8kbsQNPL7dWoJ9rRDWPTzm9yFK+gMRX1EIQjrtK8VgaMhuOrvShyppYuS8JLBLv8xpxPfhfgdfytUVGHHLA==","691f8ca61c6b4dcbb0aeb5f4","691fb6537b922f3d581e7c50","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":11310.09999999404},{""page_index"":1,""viewing_time"":128049.40000000596}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:54
