"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"13568.800000071526","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fabdc3ebea909549f188c","external-html",0,14391,"0.0-0.0","noZMTagdDP6pVgvbTDJhVmApjn2m6QBlaqop99cEvbCIpVEEYp0mMioaWFEsZ3RobK8UsugL6gnYSxriKEc5fB4CsJiFkutwrLr62uuGwLLk3Fduy1uZPbvp2yLiTgtbGPf9cbnIgLcaPHFfYNWB0uqgBUmOOV8OjwIqKCXfU/rj0mY8GWnCzZ2Hnmr0/zgspLrPYnd55w/e+sP7L4uApWn3JQYf5x5X0nire0izpmnILrJlnIASgo0H6RBPexrGzyPhasHWRf7of/vBPLHIzE8Ji6OoCHvHXFbFX1d7n7BOjAgCPGfSmLfEFC3WJsmkHiachhZGEsN2YnAE9uyjuQ==","691f8ca61c6b4dcbb0aeb5f4","691fabdc3ebea909549f188c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:45:11
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fabdc3ebea909549f188c","fullscreen",1,256166,"0.0-1.0","noZMTagdDP6pVgvbTDJhVmApjn2m6QBlaqop99cEvbCIpVEEYp0mMioaWFEsZ3RobK8UsugL6gnYSxriKEc5fB4CsJiFkutwrLr62uuGwLLk3Fduy1uZPbvp2yLiTgtbGPf9cbnIgLcaPHFfYNWB0uqgBUmOOV8OjwIqKCXfU/rj0mY8GWnCzZ2Hnmr0/zgspLrPYnd55w/e+sP7L4uApWn3JQYf5x5X0nire0izpmnILrJlnIASgo0H6RBPexrGzyPhasHWRf7of/vBPLHIzE8Ji6OoCHvHXFbFX1d7n7BOjAgCPGfSmLfEFC3WJsmkHiachhZGEsN2YnAE9uyjuQ==","691f8ca61c6b4dcbb0aeb5f4","691fabdc3ebea909549f188c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:45:11
"731837.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fabdc3ebea909549f188c","instructions",2,988006,"0.0-2.0","noZMTagdDP6pVgvbTDJhVmApjn2m6QBlaqop99cEvbCIpVEEYp0mMioaWFEsZ3RobK8UsugL6gnYSxriKEc5fB4CsJiFkutwrLr62uuGwLLk3Fduy1uZPbvp2yLiTgtbGPf9cbnIgLcaPHFfYNWB0uqgBUmOOV8OjwIqKCXfU/rj0mY8GWnCzZ2Hnmr0/zgspLrPYnd55w/e+sP7L4uApWn3JQYf5x5X0nire0izpmnILrJlnIASgo0H6RBPexrGzyPhasHWRf7of/vBPLHIzE8Ji6OoCHvHXFbFX1d7n7BOjAgCPGfSmLfEFC3WJsmkHiachhZGEsN2YnAE9uyjuQ==","691f8ca61c6b4dcbb0aeb5f4","691fabdc3ebea909549f188c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":337260.89999997616},{""page_index"":1,""viewing_time"":243913.79999995232},{""page_index"":2,""viewing_time"":51101.700000047684},{""page_index"":3,""viewing_time"":15759.299999952316},{""page_index"":4,""viewing_time"":4504},{""page_index"":5,""viewing_time"":12699.5},{""page_index"":6,""viewing_time"":66597.80000007153}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:45:11
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fabdc3ebea909549f188c","html-keyboard-response",3,989008,"0.0-3.0","noZMTagdDP6pVgvbTDJhVmApjn2m6QBlaqop99cEvbCIpVEEYp0mMioaWFEsZ3RobK8UsugL6gnYSxriKEc5fB4CsJiFkutwrLr62uuGwLLk3Fduy1uZPbvp2yLiTgtbGPf9cbnIgLcaPHFfYNWB0uqgBUmOOV8OjwIqKCXfU/rj0mY8GWnCzZ2Hnmr0/zgspLrPYnd55w/e+sP7L4uApWn3JQYf5x5X0nire0izpmnILrJlnIASgo0H6RBPexrGzyPhasHWRf7of/vBPLHIzE8Ji6OoCHvHXFbFX1d7n7BOjAgCPGfSmLfEFC3WJsmkHiachhZGEsN2YnAE9uyjuQ==","691f8ca61c6b4dcbb0aeb5f4","691fabdc3ebea909549f188c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:45:11
"67942.60000002384","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fabdc3ebea909549f188c","survey-multi-choice",4,1056956,"0.0-4.0","noZMTagdDP6pVgvbTDJhVmApjn2m6QBlaqop99cEvbCIpVEEYp0mMioaWFEsZ3RobK8UsugL6gnYSxriKEc5fB4CsJiFkutwrLr62uuGwLLk3Fduy1uZPbvp2yLiTgtbGPf9cbnIgLcaPHFfYNWB0uqgBUmOOV8OjwIqKCXfU/rj0mY8GWnCzZ2Hnmr0/zgspLrPYnd55w/e+sP7L4uApWn3JQYf5x5X0nire0izpmnILrJlnIASgo0H6RBPexrGzyPhasHWRf7of/vBPLHIzE8Ji6OoCHvHXFbFX1d7n7BOjAgCPGfSmLfEFC3WJsmkHiachhZGEsN2YnAE9uyjuQ==","691f8ca61c6b4dcbb0aeb5f4","691fabdc3ebea909549f188c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with one round."",""Q1"":""When a new round starts."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20 unevenly proportional to strength."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:45:11
"3833.899999976158","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fabdc3ebea909549f188c","html-button-response",5,1060792,"0.0-5.0-1.0","noZMTagdDP6pVgvbTDJhVmApjn2m6QBlaqop99cEvbCIpVEEYp0mMioaWFEsZ3RobK8UsugL6gnYSxriKEc5fB4CsJiFkutwrLr62uuGwLLk3Fduy1uZPbvp2yLiTgtbGPf9cbnIgLcaPHFfYNWB0uqgBUmOOV8OjwIqKCXfU/rj0mY8GWnCzZ2Hnmr0/zgspLrPYnd55w/e+sP7L4uApWn3JQYf5x5X0nire0izpmnILrJlnIASgo0H6RBPexrGzyPhasHWRf7of/vBPLHIzE8Ji6OoCHvHXFbFX1d7n7BOjAgCPGfSmLfEFC3WJsmkHiachhZGEsN2YnAE9uyjuQ==","691f8ca61c6b4dcbb0aeb5f4","691fabdc3ebea909549f188c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:45:11
"63365.39999997616","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fabdc3ebea909549f188c","instructions",6,1124158,"0.0-6.0-0.0","noZMTagdDP6pVgvbTDJhVmApjn2m6QBlaqop99cEvbCIpVEEYp0mMioaWFEsZ3RobK8UsugL6gnYSxriKEc5fB4CsJiFkutwrLr62uuGwLLk3Fduy1uZPbvp2yLiTgtbGPf9cbnIgLcaPHFfYNWB0uqgBUmOOV8OjwIqKCXfU/rj0mY8GWnCzZ2Hnmr0/zgspLrPYnd55w/e+sP7L4uApWn3JQYf5x5X0nire0izpmnILrJlnIASgo0H6RBPexrGzyPhasHWRf7of/vBPLHIzE8Ji6OoCHvHXFbFX1d7n7BOjAgCPGfSmLfEFC3WJsmkHiachhZGEsN2YnAE9uyjuQ==","691f8ca61c6b4dcbb0aeb5f4","691fabdc3ebea909549f188c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":13904},{""page_index"":1,""viewing_time"":5677.699999928474},{""page_index"":2,""viewing_time"":6903.700000047684},{""page_index"":3,""viewing_time"":10472.399999976158},{""page_index"":4,""viewing_time"":7760.399999976158},{""page_index"":5,""viewing_time"":8619.200000047684},{""page_index"":6,""viewing_time"":10027.799999952316}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:45:11
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fabdc3ebea909549f188c","html-keyboard-response",7,1125172,"0.0-6.0-1.0","noZMTagdDP6pVgvbTDJhVmApjn2m6QBlaqop99cEvbCIpVEEYp0mMioaWFEsZ3RobK8UsugL6gnYSxriKEc5fB4CsJiFkutwrLr62uuGwLLk3Fduy1uZPbvp2yLiTgtbGPf9cbnIgLcaPHFfYNWB0uqgBUmOOV8OjwIqKCXfU/rj0mY8GWnCzZ2Hnmr0/zgspLrPYnd55w/e+sP7L4uApWn3JQYf5x5X0nire0izpmnILrJlnIASgo0H6RBPexrGzyPhasHWRf7of/vBPLHIzE8Ji6OoCHvHXFbFX1d7n7BOjAgCPGfSmLfEFC3WJsmkHiachhZGEsN2YnAE9uyjuQ==","691f8ca61c6b4dcbb0aeb5f4","691fabdc3ebea909549f188c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:45:11
"45059.39999997616","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fabdc3ebea909549f188c","survey-multi-choice",8,1170235,"0.0-7.0-0.0","noZMTagdDP6pVgvbTDJhVmApjn2m6QBlaqop99cEvbCIpVEEYp0mMioaWFEsZ3RobK8UsugL6gnYSxriKEc5fB4CsJiFkutwrLr62uuGwLLk3Fduy1uZPbvp2yLiTgtbGPf9cbnIgLcaPHFfYNWB0uqgBUmOOV8OjwIqKCXfU/rj0mY8GWnCzZ2Hnmr0/zgspLrPYnd55w/e+sP7L4uApWn3JQYf5x5X0nire0izpmnILrJlnIASgo0H6RBPexrGzyPhasHWRf7of/vBPLHIzE8Ji6OoCHvHXFbFX1d7n7BOjAgCPGfSmLfEFC3WJsmkHiachhZGEsN2YnAE9uyjuQ==","691f8ca61c6b4dcbb0aeb5f4","691fabdc3ebea909549f188c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:45:11
"45379.299999952316","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fabdc3ebea909549f188c","instructions",9,1215622,"0.0-305.0","noZMTagdDP6pVgvbTDJhVmApjn2m6QBlaqop99cEvbCIpVEEYp0mMioaWFEsZ3RobK8UsugL6gnYSxriKEc5fB4CsJiFkutwrLr62uuGwLLk3Fduy1uZPbvp2yLiTgtbGPf9cbnIgLcaPHFfYNWB0uqgBUmOOV8OjwIqKCXfU/rj0mY8GWnCzZ2Hnmr0/zgspLrPYnd55w/e+sP7L4uApWn3JQYf5x5X0nire0izpmnILrJlnIASgo0H6RBPexrGzyPhasHWRf7of/vBPLHIzE8Ji6OoCHvHXFbFX1d7n7BOjAgCPGfSmLfEFC3WJsmkHiachhZGEsN2YnAE9uyjuQ==","691f8ca61c6b4dcbb0aeb5f4","691fabdc3ebea909549f188c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":13580.299999952316},{""page_index"":1,""viewing_time"":31798.600000023842}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:45:11
