"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","already","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"11421","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbcaa18d601e147aece95","external-html",0,11527,"0.0-0.0","r8hlLmEH/DEkCS69fSy7QlWM++1z3ZEWU3uSCuDDQkiKIOJve5mBgz3Gi9KPNSpowTowGkPw/MPMuKb7plkSafwPZEDsQlh/wlYgvBYwvmrcYb+Ix4z/C75E7KhZca2z3SRbW5t/y5K/ALkxmrj+YNaf8a4IDfW9+YvmvzfwdwIFHGoPtQZf1ps1cweFbl2JQz8KaBOGZH2GZt/oYAtLwyTT4t4/dOaWnHqJB5frW2QmSI1W3QebaQ9Wi7FYMA1okk8rS8a64wGErLwza+19ObBxRARi0oiSvyoiirHW9XMa/f/gK6HVs8AslU9iknKYPO1hfh1HO6uel6/hzrZv4Q==","691f8ca61c6b4dcbb0aeb5f4","691fbcaa18d601e147aece95","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:09
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbcaa18d601e147aece95","fullscreen",1,13744,"0.0-1.0","r8hlLmEH/DEkCS69fSy7QlWM++1z3ZEWU3uSCuDDQkiKIOJve5mBgz3Gi9KPNSpowTowGkPw/MPMuKb7plkSafwPZEDsQlh/wlYgvBYwvmrcYb+Ix4z/C75E7KhZca2z3SRbW5t/y5K/ALkxmrj+YNaf8a4IDfW9+YvmvzfwdwIFHGoPtQZf1ps1cweFbl2JQz8KaBOGZH2GZt/oYAtLwyTT4t4/dOaWnHqJB5frW2QmSI1W3QebaQ9Wi7FYMA1okk8rS8a64wGErLwza+19ObBxRARi0oiSvyoiirHW9XMa/f/gK6HVs8AslU9iknKYPO1hfh1HO6uel6/hzrZv4Q==","691f8ca61c6b4dcbb0aeb5f4","691fbcaa18d601e147aece95","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:09
"106105","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbcaa18d601e147aece95","instructions",2,119849,"0.0-2.0","r8hlLmEH/DEkCS69fSy7QlWM++1z3ZEWU3uSCuDDQkiKIOJve5mBgz3Gi9KPNSpowTowGkPw/MPMuKb7plkSafwPZEDsQlh/wlYgvBYwvmrcYb+Ix4z/C75E7KhZca2z3SRbW5t/y5K/ALkxmrj+YNaf8a4IDfW9+YvmvzfwdwIFHGoPtQZf1ps1cweFbl2JQz8KaBOGZH2GZt/oYAtLwyTT4t4/dOaWnHqJB5frW2QmSI1W3QebaQ9Wi7FYMA1okk8rS8a64wGErLwza+19ObBxRARi0oiSvyoiirHW9XMa/f/gK6HVs8AslU9iknKYPO1hfh1HO6uel6/hzrZv4Q==","691f8ca61c6b4dcbb0aeb5f4","691fbcaa18d601e147aece95","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":13831},{""page_index"":1,""viewing_time"":13063},{""page_index"":2,""viewing_time"":6929},{""page_index"":3,""viewing_time"":33161},{""page_index"":4,""viewing_time"":11687},{""page_index"":5,""viewing_time"":18650},{""page_index"":6,""viewing_time"":8784}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:09
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbcaa18d601e147aece95","html-keyboard-response",3,120863,"0.0-3.0","r8hlLmEH/DEkCS69fSy7QlWM++1z3ZEWU3uSCuDDQkiKIOJve5mBgz3Gi9KPNSpowTowGkPw/MPMuKb7plkSafwPZEDsQlh/wlYgvBYwvmrcYb+Ix4z/C75E7KhZca2z3SRbW5t/y5K/ALkxmrj+YNaf8a4IDfW9+YvmvzfwdwIFHGoPtQZf1ps1cweFbl2JQz8KaBOGZH2GZt/oYAtLwyTT4t4/dOaWnHqJB5frW2QmSI1W3QebaQ9Wi7FYMA1okk8rS8a64wGErLwza+19ObBxRARi0oiSvyoiirHW9XMa/f/gK6HVs8AslU9iknKYPO1hfh1HO6uel6/hzrZv4Q==","691f8ca61c6b4dcbb0aeb5f4","691fbcaa18d601e147aece95","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:09
"42676","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbcaa18d601e147aece95","survey-multi-choice",4,163539,"0.0-4.0","r8hlLmEH/DEkCS69fSy7QlWM++1z3ZEWU3uSCuDDQkiKIOJve5mBgz3Gi9KPNSpowTowGkPw/MPMuKb7plkSafwPZEDsQlh/wlYgvBYwvmrcYb+Ix4z/C75E7KhZca2z3SRbW5t/y5K/ALkxmrj+YNaf8a4IDfW9+YvmvzfwdwIFHGoPtQZf1ps1cweFbl2JQz8KaBOGZH2GZt/oYAtLwyTT4t4/dOaWnHqJB5frW2QmSI1W3QebaQ9Wi7FYMA1okk8rS8a64wGErLwza+19ObBxRARi0oiSvyoiirHW9XMa/f/gK6HVs8AslU9iknKYPO1hfh1HO6uel6/hzrZv4Q==","691f8ca61c6b4dcbb0aeb5f4","691fbcaa18d601e147aece95","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:09
"11252","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbcaa18d601e147aece95","instructions",5,174795,"0.0-305.0","r8hlLmEH/DEkCS69fSy7QlWM++1z3ZEWU3uSCuDDQkiKIOJve5mBgz3Gi9KPNSpowTowGkPw/MPMuKb7plkSafwPZEDsQlh/wlYgvBYwvmrcYb+Ix4z/C75E7KhZca2z3SRbW5t/y5K/ALkxmrj+YNaf8a4IDfW9+YvmvzfwdwIFHGoPtQZf1ps1cweFbl2JQz8KaBOGZH2GZt/oYAtLwyTT4t4/dOaWnHqJB5frW2QmSI1W3QebaQ9Wi7FYMA1okk8rS8a64wGErLwza+19ObBxRARi0oiSvyoiirHW9XMa/f/gK6HVs8AslU9iknKYPO1hfh1HO6uel6/hzrZv4Q==","691f8ca61c6b4dcbb0aeb5f4","691fbcaa18d601e147aece95","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":7460},{""page_index"":1,""viewing_time"":3792}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:09
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbcaa18d601e147aece95","html-keyboard-response",6,175809,"0.0-306.0","r8hlLmEH/DEkCS69fSy7QlWM++1z3ZEWU3uSCuDDQkiKIOJve5mBgz3Gi9KPNSpowTowGkPw/MPMuKb7plkSafwPZEDsQlh/wlYgvBYwvmrcYb+Ix4z/C75E7KhZca2z3SRbW5t/y5K/ALkxmrj+YNaf8a4IDfW9+YvmvzfwdwIFHGoPtQZf1ps1cweFbl2JQz8KaBOGZH2GZt/oYAtLwyTT4t4/dOaWnHqJB5frW2QmSI1W3QebaQ9Wi7FYMA1okk8rS8a64wGErLwza+19ObBxRARi0oiSvyoiirHW9XMa/f/gK6HVs8AslU9iknKYPO1hfh1HO6uel6/hzrZv4Q==","691f8ca61c6b4dcbb0aeb5f4","691fbcaa18d601e147aece95","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:09
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbcaa18d601e147aece95","html-keyboard-response",7,178878,"0.0-307.0","r8hlLmEH/DEkCS69fSy7QlWM++1z3ZEWU3uSCuDDQkiKIOJve5mBgz3Gi9KPNSpowTowGkPw/MPMuKb7plkSafwPZEDsQlh/wlYgvBYwvmrcYb+Ix4z/C75E7KhZca2z3SRbW5t/y5K/ALkxmrj+YNaf8a4IDfW9+YvmvzfwdwIFHGoPtQZf1ps1cweFbl2JQz8KaBOGZH2GZt/oYAtLwyTT4t4/dOaWnHqJB5frW2QmSI1W3QebaQ9Wi7FYMA1okk8rS8a64wGErLwza+19ObBxRARi0oiSvyoiirHW9XMa/f/gK6HVs8AslU9iknKYPO1hfh1HO6uel6/hzrZv4Q==","691f8ca61c6b4dcbb0aeb5f4","691fbcaa18d601e147aece95","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:09
"36317","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbcaa18d601e147aece95","survey-html-form",8,215196,"0.0-308.0","r8hlLmEH/DEkCS69fSy7QlWM++1z3ZEWU3uSCuDDQkiKIOJve5mBgz3Gi9KPNSpowTowGkPw/MPMuKb7plkSafwPZEDsQlh/wlYgvBYwvmrcYb+Ix4z/C75E7KhZca2z3SRbW5t/y5K/ALkxmrj+YNaf8a4IDfW9+YvmvzfwdwIFHGoPtQZf1ps1cweFbl2JQz8KaBOGZH2GZt/oYAtLwyTT4t4/dOaWnHqJB5frW2QmSI1W3QebaQ9Wi7FYMA1okk8rS8a64wGErLwza+19ObBxRARi0oiSvyoiirHW9XMa/f/gK6HVs8AslU9iknKYPO1hfh1HO6uel6/hzrZv4Q==","691f8ca61c6b4dcbb0aeb5f4","691fbcaa18d601e147aece95","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""7"",""box2"":""7"",""box3"":""60"",""box4"":""60""}","",1,"round1_outcome",1,1,1,7,7,60,60,1,1,10,7,7,60,60,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:09
"12823","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbcaa18d601e147aece95","survey-html-form",9,228020,"0.0-309.0","r8hlLmEH/DEkCS69fSy7QlWM++1z3ZEWU3uSCuDDQkiKIOJve5mBgz3Gi9KPNSpowTowGkPw/MPMuKb7plkSafwPZEDsQlh/wlYgvBYwvmrcYb+Ix4z/C75E7KhZca2z3SRbW5t/y5K/ALkxmrj+YNaf8a4IDfW9+YvmvzfwdwIFHGoPtQZf1ps1cweFbl2JQz8KaBOGZH2GZt/oYAtLwyTT4t4/dOaWnHqJB5frW2QmSI1W3QebaQ9Wi7FYMA1okk8rS8a64wGErLwza+19ObBxRARi0oiSvyoiirHW9XMa/f/gK6HVs8AslU9iknKYPO1hfh1HO6uel6/hzrZv4Q==","691f8ca61c6b4dcbb0aeb5f4","691fbcaa18d601e147aece95","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""100"",""box2"":""100""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:09
