"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"7314","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7b4a78c49f4d5c350f2","external-html",0,7688,"0.0-0.0","X7fER69h008fJVTp3IUE8Ki8phoauz+QcmWdLex+mjG96M7X0y/BrVCaT6UDj30oFo9jvxrIkzwAz0A9rKlpogTwtBkVxHOnKZNLcHLAKMbOnNi3x/t4yQZ5Hzi1gt7CwKNAfdQnyjv3NDv+nU4eqKCDrMq0BYnDrgL09UYJWIxLMGsHweez+B7nSDS/sA8pKWhurEUbOH6JjvmdzU0o2W+xuwTdql3cd6eAKDcOey9jIRHJr/ZrkPX/0Bh5aRnyjhxmf94W5sgAp1OEgdRWQgPB50wZBMYK7sbgAB+VlK5/hNHaQWk4a0X6s5nqhnir2P2q1Y0kVTeS4oaW+a9/dQ==","691f8ca61c6b4dcbb0aeb5f4","691fc7b4a78c49f4d5c350f2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:31:26
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7b4a78c49f4d5c350f2","fullscreen",1,12381,"0.0-1.0","X7fER69h008fJVTp3IUE8Ki8phoauz+QcmWdLex+mjG96M7X0y/BrVCaT6UDj30oFo9jvxrIkzwAz0A9rKlpogTwtBkVxHOnKZNLcHLAKMbOnNi3x/t4yQZ5Hzi1gt7CwKNAfdQnyjv3NDv+nU4eqKCDrMq0BYnDrgL09UYJWIxLMGsHweez+B7nSDS/sA8pKWhurEUbOH6JjvmdzU0o2W+xuwTdql3cd6eAKDcOey9jIRHJr/ZrkPX/0Bh5aRnyjhxmf94W5sgAp1OEgdRWQgPB50wZBMYK7sbgAB+VlK5/hNHaQWk4a0X6s5nqhnir2P2q1Y0kVTeS4oaW+a9/dQ==","691f8ca61c6b4dcbb0aeb5f4","691fc7b4a78c49f4d5c350f2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:31:26
"413221.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7b4a78c49f4d5c350f2","instructions",2,425606,"0.0-2.0","X7fER69h008fJVTp3IUE8Ki8phoauz+QcmWdLex+mjG96M7X0y/BrVCaT6UDj30oFo9jvxrIkzwAz0A9rKlpogTwtBkVxHOnKZNLcHLAKMbOnNi3x/t4yQZ5Hzi1gt7CwKNAfdQnyjv3NDv+nU4eqKCDrMq0BYnDrgL09UYJWIxLMGsHweez+B7nSDS/sA8pKWhurEUbOH6JjvmdzU0o2W+xuwTdql3cd6eAKDcOey9jIRHJr/ZrkPX/0Bh5aRnyjhxmf94W5sgAp1OEgdRWQgPB50wZBMYK7sbgAB+VlK5/hNHaQWk4a0X6s5nqhnir2P2q1Y0kVTeS4oaW+a9/dQ==","691f8ca61c6b4dcbb0aeb5f4","691fc7b4a78c49f4d5c350f2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":33380.09999999404},{""page_index"":1,""viewing_time"":143031},{""page_index"":2,""viewing_time"":111687.90000000596},{""page_index"":3,""viewing_time"":66927.79999999702},{""page_index"":4,""viewing_time"":11200.09999999404},{""page_index"":5,""viewing_time"":41103.90000000596},{""page_index"":6,""viewing_time"":5888}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:31:26
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7b4a78c49f4d5c350f2","html-keyboard-response",3,426619,"0.0-3.0","X7fER69h008fJVTp3IUE8Ki8phoauz+QcmWdLex+mjG96M7X0y/BrVCaT6UDj30oFo9jvxrIkzwAz0A9rKlpogTwtBkVxHOnKZNLcHLAKMbOnNi3x/t4yQZ5Hzi1gt7CwKNAfdQnyjv3NDv+nU4eqKCDrMq0BYnDrgL09UYJWIxLMGsHweez+B7nSDS/sA8pKWhurEUbOH6JjvmdzU0o2W+xuwTdql3cd6eAKDcOey9jIRHJr/ZrkPX/0Bh5aRnyjhxmf94W5sgAp1OEgdRWQgPB50wZBMYK7sbgAB+VlK5/hNHaQWk4a0X6s5nqhnir2P2q1Y0kVTeS4oaW+a9/dQ==","691f8ca61c6b4dcbb0aeb5f4","691fc7b4a78c49f4d5c350f2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:31:26
"89761.20000000298","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7b4a78c49f4d5c350f2","survey-multi-choice",4,516390,"0.0-4.0","X7fER69h008fJVTp3IUE8Ki8phoauz+QcmWdLex+mjG96M7X0y/BrVCaT6UDj30oFo9jvxrIkzwAz0A9rKlpogTwtBkVxHOnKZNLcHLAKMbOnNi3x/t4yQZ5Hzi1gt7CwKNAfdQnyjv3NDv+nU4eqKCDrMq0BYnDrgL09UYJWIxLMGsHweez+B7nSDS/sA8pKWhurEUbOH6JjvmdzU0o2W+xuwTdql3cd6eAKDcOey9jIRHJr/ZrkPX/0Bh5aRnyjhxmf94W5sgAp1OEgdRWQgPB50wZBMYK7sbgAB+VlK5/hNHaQWk4a0X6s5nqhnir2P2q1Y0kVTeS4oaW+a9/dQ==","691f8ca61c6b4dcbb0aeb5f4","691fc7b4a78c49f4d5c350f2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight changes according to the reward on the box; the higher the reward, the heavier the box."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:31:26
"8163.20000000298","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7b4a78c49f4d5c350f2","html-button-response",5,524566,"0.0-5.0-1.0","X7fER69h008fJVTp3IUE8Ki8phoauz+QcmWdLex+mjG96M7X0y/BrVCaT6UDj30oFo9jvxrIkzwAz0A9rKlpogTwtBkVxHOnKZNLcHLAKMbOnNi3x/t4yQZ5Hzi1gt7CwKNAfdQnyjv3NDv+nU4eqKCDrMq0BYnDrgL09UYJWIxLMGsHweez+B7nSDS/sA8pKWhurEUbOH6JjvmdzU0o2W+xuwTdql3cd6eAKDcOey9jIRHJr/ZrkPX/0Bh5aRnyjhxmf94W5sgAp1OEgdRWQgPB50wZBMYK7sbgAB+VlK5/hNHaQWk4a0X6s5nqhnir2P2q1Y0kVTeS4oaW+a9/dQ==","691f8ca61c6b4dcbb0aeb5f4","691fc7b4a78c49f4d5c350f2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:31:26
"93249.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7b4a78c49f4d5c350f2","instructions",6,617819,"0.0-6.0-0.0","X7fER69h008fJVTp3IUE8Ki8phoauz+QcmWdLex+mjG96M7X0y/BrVCaT6UDj30oFo9jvxrIkzwAz0A9rKlpogTwtBkVxHOnKZNLcHLAKMbOnNi3x/t4yQZ5Hzi1gt7CwKNAfdQnyjv3NDv+nU4eqKCDrMq0BYnDrgL09UYJWIxLMGsHweez+B7nSDS/sA8pKWhurEUbOH6JjvmdzU0o2W+xuwTdql3cd6eAKDcOey9jIRHJr/ZrkPX/0Bh5aRnyjhxmf94W5sgAp1OEgdRWQgPB50wZBMYK7sbgAB+VlK5/hNHaQWk4a0X6s5nqhnir2P2q1Y0kVTeS4oaW+a9/dQ==","691f8ca61c6b4dcbb0aeb5f4","691fc7b4a78c49f4d5c350f2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":22679.40000000596},{""page_index"":1,""viewing_time"":7191.70000000298},{""page_index"":2,""viewing_time"":10385.5},{""page_index"":3,""viewing_time"":10999.29999999702},{""page_index"":4,""viewing_time"":13951.40000000596},{""page_index"":5,""viewing_time"":10999.5},{""page_index"":6,""viewing_time"":17040.09999999404}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:31:26
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7b4a78c49f4d5c350f2","html-keyboard-response",7,618832,"0.0-6.0-1.0","X7fER69h008fJVTp3IUE8Ki8phoauz+QcmWdLex+mjG96M7X0y/BrVCaT6UDj30oFo9jvxrIkzwAz0A9rKlpogTwtBkVxHOnKZNLcHLAKMbOnNi3x/t4yQZ5Hzi1gt7CwKNAfdQnyjv3NDv+nU4eqKCDrMq0BYnDrgL09UYJWIxLMGsHweez+B7nSDS/sA8pKWhurEUbOH6JjvmdzU0o2W+xuwTdql3cd6eAKDcOey9jIRHJr/ZrkPX/0Bh5aRnyjhxmf94W5sgAp1OEgdRWQgPB50wZBMYK7sbgAB+VlK5/hNHaQWk4a0X6s5nqhnir2P2q1Y0kVTeS4oaW+a9/dQ==","691f8ca61c6b4dcbb0aeb5f4","691fc7b4a78c49f4d5c350f2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:31:26
"80916.19999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7b4a78c49f4d5c350f2","survey-multi-choice",8,699760,"0.0-7.0-0.0","X7fER69h008fJVTp3IUE8Ki8phoauz+QcmWdLex+mjG96M7X0y/BrVCaT6UDj30oFo9jvxrIkzwAz0A9rKlpogTwtBkVxHOnKZNLcHLAKMbOnNi3x/t4yQZ5Hzi1gt7CwKNAfdQnyjv3NDv+nU4eqKCDrMq0BYnDrgL09UYJWIxLMGsHweez+B7nSDS/sA8pKWhurEUbOH6JjvmdzU0o2W+xuwTdql3cd6eAKDcOey9jIRHJr/ZrkPX/0Bh5aRnyjhxmf94W5sgAp1OEgdRWQgPB50wZBMYK7sbgAB+VlK5/hNHaQWk4a0X6s5nqhnir2P2q1Y0kVTeS4oaW+a9/dQ==","691f8ca61c6b4dcbb0aeb5f4","691fc7b4a78c49f4d5c350f2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:31:26
"9913.199999988079","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7b4a78c49f4d5c350f2","instructions",9,709699,"0.0-305.0","X7fER69h008fJVTp3IUE8Ki8phoauz+QcmWdLex+mjG96M7X0y/BrVCaT6UDj30oFo9jvxrIkzwAz0A9rKlpogTwtBkVxHOnKZNLcHLAKMbOnNi3x/t4yQZ5Hzi1gt7CwKNAfdQnyjv3NDv+nU4eqKCDrMq0BYnDrgL09UYJWIxLMGsHweez+B7nSDS/sA8pKWhurEUbOH6JjvmdzU0o2W+xuwTdql3cd6eAKDcOey9jIRHJr/ZrkPX/0Bh5aRnyjhxmf94W5sgAp1OEgdRWQgPB50wZBMYK7sbgAB+VlK5/hNHaQWk4a0X6s5nqhnir2P2q1Y0kVTeS4oaW+a9/dQ==","691f8ca61c6b4dcbb0aeb5f4","691fc7b4a78c49f4d5c350f2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":4848.0999999940395},{""page_index"":1,""viewing_time"":5064.20000000298}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:31:26
