"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","already","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"27692.70000000298","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb60ce261ea1dd0ead9cd","external-html",0,27727,"0.0-0.0","ghbrKNJ4SVLoVJn13dR1rrFouqJiG6nnU801K/W6YObuTCqREWF7+Y+AEnsnHQCb52XIbbwNPj8/ogbyVShjXP5Qhfxh6/AZLnxJWy26qZOtIzhrGp0ZSgwnfL1REgbxoKOm/e+IujWVgr216+r4ep7DYoKRvEIaDbwxnDKZVMFtSlhgGrK5f8dUu6c7YFX5rXM34/FFAxGA7p0X12qJtqP7iseycke5sDqpJeoQoEhUDB+Eux1jC4Fxwp4IJsHR8QwatuT6ZlIcUaHkGdrKru/3tYImDXqWT9g+dagtYQvxfJTcKjC5Vt5MWWDGxL12TSMEdYLPBfU66OVRRsuViw==","691f8ca61c6b4dcbb0aeb5f4","691fb60ce261ea1dd0ead9cd","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:04
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb60ce261ea1dd0ead9cd","fullscreen",1,41239,"0.0-1.0","ghbrKNJ4SVLoVJn13dR1rrFouqJiG6nnU801K/W6YObuTCqREWF7+Y+AEnsnHQCb52XIbbwNPj8/ogbyVShjXP5Qhfxh6/AZLnxJWy26qZOtIzhrGp0ZSgwnfL1REgbxoKOm/e+IujWVgr216+r4ep7DYoKRvEIaDbwxnDKZVMFtSlhgGrK5f8dUu6c7YFX5rXM34/FFAxGA7p0X12qJtqP7iseycke5sDqpJeoQoEhUDB+Eux1jC4Fxwp4IJsHR8QwatuT6ZlIcUaHkGdrKru/3tYImDXqWT9g+dagtYQvxfJTcKjC5Vt5MWWDGxL12TSMEdYLPBfU66OVRRsuViw==","691f8ca61c6b4dcbb0aeb5f4","691fb60ce261ea1dd0ead9cd","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:04
"366545","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb60ce261ea1dd0ead9cd","instructions",2,407782,"0.0-2.0","ghbrKNJ4SVLoVJn13dR1rrFouqJiG6nnU801K/W6YObuTCqREWF7+Y+AEnsnHQCb52XIbbwNPj8/ogbyVShjXP5Qhfxh6/AZLnxJWy26qZOtIzhrGp0ZSgwnfL1REgbxoKOm/e+IujWVgr216+r4ep7DYoKRvEIaDbwxnDKZVMFtSlhgGrK5f8dUu6c7YFX5rXM34/FFAxGA7p0X12qJtqP7iseycke5sDqpJeoQoEhUDB+Eux1jC4Fxwp4IJsHR8QwatuT6ZlIcUaHkGdrKru/3tYImDXqWT9g+dagtYQvxfJTcKjC5Vt5MWWDGxL12TSMEdYLPBfU66OVRRsuViw==","691f8ca61c6b4dcbb0aeb5f4","691fb60ce261ea1dd0ead9cd","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":108446.89999999106},{""page_index"":1,""viewing_time"":219595.90000000596},{""page_index"":2,""viewing_time"":9061.40000000596},{""page_index"":3,""viewing_time"":11980.89999999106},{""page_index"":4,""viewing_time"":2072.2999999970198},{""page_index"":5,""viewing_time"":7027.100000008941},{""page_index"":6,""viewing_time"":8359.79999999702}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:04
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb60ce261ea1dd0ead9cd","html-keyboard-response",3,408787,"0.0-3.0","ghbrKNJ4SVLoVJn13dR1rrFouqJiG6nnU801K/W6YObuTCqREWF7+Y+AEnsnHQCb52XIbbwNPj8/ogbyVShjXP5Qhfxh6/AZLnxJWy26qZOtIzhrGp0ZSgwnfL1REgbxoKOm/e+IujWVgr216+r4ep7DYoKRvEIaDbwxnDKZVMFtSlhgGrK5f8dUu6c7YFX5rXM34/FFAxGA7p0X12qJtqP7iseycke5sDqpJeoQoEhUDB+Eux1jC4Fxwp4IJsHR8QwatuT6ZlIcUaHkGdrKru/3tYImDXqWT9g+dagtYQvxfJTcKjC5Vt5MWWDGxL12TSMEdYLPBfU66OVRRsuViw==","691f8ca61c6b4dcbb0aeb5f4","691fb60ce261ea1dd0ead9cd","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:04
"29938.89999999106","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb60ce261ea1dd0ead9cd","survey-multi-choice",4,438728,"0.0-4.0","ghbrKNJ4SVLoVJn13dR1rrFouqJiG6nnU801K/W6YObuTCqREWF7+Y+AEnsnHQCb52XIbbwNPj8/ogbyVShjXP5Qhfxh6/AZLnxJWy26qZOtIzhrGp0ZSgwnfL1REgbxoKOm/e+IujWVgr216+r4ep7DYoKRvEIaDbwxnDKZVMFtSlhgGrK5f8dUu6c7YFX5rXM34/FFAxGA7p0X12qJtqP7iseycke5sDqpJeoQoEhUDB+Eux1jC4Fxwp4IJsHR8QwatuT6ZlIcUaHkGdrKru/3tYImDXqWT9g+dagtYQvxfJTcKjC5Vt5MWWDGxL12TSMEdYLPBfU66OVRRsuViw==","691f8ca61c6b4dcbb0aeb5f4","691fb60ce261ea1dd0ead9cd","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight changes across contests, but not across rounds within each contest."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:04
"2420.2999999970198","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb60ce261ea1dd0ead9cd","html-button-response",5,441149,"0.0-5.0-1.0","ghbrKNJ4SVLoVJn13dR1rrFouqJiG6nnU801K/W6YObuTCqREWF7+Y+AEnsnHQCb52XIbbwNPj8/ogbyVShjXP5Qhfxh6/AZLnxJWy26qZOtIzhrGp0ZSgwnfL1REgbxoKOm/e+IujWVgr216+r4ep7DYoKRvEIaDbwxnDKZVMFtSlhgGrK5f8dUu6c7YFX5rXM34/FFAxGA7p0X12qJtqP7iseycke5sDqpJeoQoEhUDB+Eux1jC4Fxwp4IJsHR8QwatuT6ZlIcUaHkGdrKru/3tYImDXqWT9g+dagtYQvxfJTcKjC5Vt5MWWDGxL12TSMEdYLPBfU66OVRRsuViw==","691f8ca61c6b4dcbb0aeb5f4","691fb60ce261ea1dd0ead9cd","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:04
"66401","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb60ce261ea1dd0ead9cd","instructions",6,507551,"0.0-6.0-0.0","ghbrKNJ4SVLoVJn13dR1rrFouqJiG6nnU801K/W6YObuTCqREWF7+Y+AEnsnHQCb52XIbbwNPj8/ogbyVShjXP5Qhfxh6/AZLnxJWy26qZOtIzhrGp0ZSgwnfL1REgbxoKOm/e+IujWVgr216+r4ep7DYoKRvEIaDbwxnDKZVMFtSlhgGrK5f8dUu6c7YFX5rXM34/FFAxGA7p0X12qJtqP7iseycke5sDqpJeoQoEhUDB+Eux1jC4Fxwp4IJsHR8QwatuT6ZlIcUaHkGdrKru/3tYImDXqWT9g+dagtYQvxfJTcKjC5Vt5MWWDGxL12TSMEdYLPBfU66OVRRsuViw==","691f8ca61c6b4dcbb0aeb5f4","691fb60ce261ea1dd0ead9cd","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":12413.5},{""page_index"":1,""viewing_time"":6426.399999991059},{""page_index"":2,""viewing_time"":5100.600000008941},{""page_index"":3,""viewing_time"":3895.8999999910593},{""page_index"":4,""viewing_time"":7371.9000000059605},{""page_index"":5,""viewing_time"":5863.9000000059605},{""page_index"":4,""viewing_time"":526.5999999940395},{""page_index"":3,""viewing_time"":1306.0999999940395},{""page_index"":2,""viewing_time"":1433.5},{""page_index"":1,""viewing_time"":2163.9000000059605},{""page_index"":0,""viewing_time"":12041.40000000596},{""page_index"":1,""viewing_time"":1863.5999999940395},{""page_index"":2,""viewing_time"":701},{""page_index"":3,""viewing_time"":1147.5999999940395},{""page_index"":4,""viewing_time"":1332.5},{""page_index"":5,""viewing_time"":657.8000000119209},{""page_index"":6,""viewing_time"":2154.5}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:04
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb60ce261ea1dd0ead9cd","html-keyboard-response",7,508558,"0.0-6.0-1.0","ghbrKNJ4SVLoVJn13dR1rrFouqJiG6nnU801K/W6YObuTCqREWF7+Y+AEnsnHQCb52XIbbwNPj8/ogbyVShjXP5Qhfxh6/AZLnxJWy26qZOtIzhrGp0ZSgwnfL1REgbxoKOm/e+IujWVgr216+r4ep7DYoKRvEIaDbwxnDKZVMFtSlhgGrK5f8dUu6c7YFX5rXM34/FFAxGA7p0X12qJtqP7iseycke5sDqpJeoQoEhUDB+Eux1jC4Fxwp4IJsHR8QwatuT6ZlIcUaHkGdrKru/3tYImDXqWT9g+dagtYQvxfJTcKjC5Vt5MWWDGxL12TSMEdYLPBfU66OVRRsuViw==","691f8ca61c6b4dcbb0aeb5f4","691fb60ce261ea1dd0ead9cd","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:04
"19291.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb60ce261ea1dd0ead9cd","survey-multi-choice",8,527851,"0.0-7.0-0.0","ghbrKNJ4SVLoVJn13dR1rrFouqJiG6nnU801K/W6YObuTCqREWF7+Y+AEnsnHQCb52XIbbwNPj8/ogbyVShjXP5Qhfxh6/AZLnxJWy26qZOtIzhrGp0ZSgwnfL1REgbxoKOm/e+IujWVgr216+r4ep7DYoKRvEIaDbwxnDKZVMFtSlhgGrK5f8dUu6c7YFX5rXM34/FFAxGA7p0X12qJtqP7iseycke5sDqpJeoQoEhUDB+Eux1jC4Fxwp4IJsHR8QwatuT6ZlIcUaHkGdrKru/3tYImDXqWT9g+dagtYQvxfJTcKjC5Vt5MWWDGxL12TSMEdYLPBfU66OVRRsuViw==","691f8ca61c6b4dcbb0aeb5f4","691fb60ce261ea1dd0ead9cd","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:04
"7348.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb60ce261ea1dd0ead9cd","instructions",9,535203,"0.0-305.0","ghbrKNJ4SVLoVJn13dR1rrFouqJiG6nnU801K/W6YObuTCqREWF7+Y+AEnsnHQCb52XIbbwNPj8/ogbyVShjXP5Qhfxh6/AZLnxJWy26qZOtIzhrGp0ZSgwnfL1REgbxoKOm/e+IujWVgr216+r4ep7DYoKRvEIaDbwxnDKZVMFtSlhgGrK5f8dUu6c7YFX5rXM34/FFAxGA7p0X12qJtqP7iseycke5sDqpJeoQoEhUDB+Eux1jC4Fxwp4IJsHR8QwatuT6ZlIcUaHkGdrKru/3tYImDXqWT9g+dagtYQvxfJTcKjC5Vt5MWWDGxL12TSMEdYLPBfU66OVRRsuViw==","691f8ca61c6b4dcbb0aeb5f4","691fb60ce261ea1dd0ead9cd","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":2507.7999999970198},{""page_index"":1,""viewing_time"":4840.4000000059605}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:03:04
