"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"27940.100000023842","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc22d9a314db2176a42dc","external-html",0,28238,"0.0-0.0","b2sRMBjYfhnM7h8uCAnGQyCGGQwEcvr7omltKmhqikjVCWLXYbroZcLJNvzCKD5jCbrhjXLXb1e3CMpmlRmYFNFWLmxwIEhmGj69g1HkttcXHeNh1Fhs/5PuFAH3I8hG4s11ZcvQqFXax4ZF1pMs+ZNkkn50NrZQi3QMVTiB7/Iur5TTENXQsBcTaw6tkDxr3LR9WG1j0bZh112vz8GMnBGEGlVhEaDCHv2mbBltfLj/yC7H1c6ppb3uPq6kVpq370sAHEq3/JyL9tLMQ5c/zbPaqxhIHumUlRMWfIxah9e+rOKyMTwS7qKgKSvtErUIrZul+fJw6iFAApH03v/noQ==","691f8ca61c6b4dcbb0aeb5f4","691fc22d9a314db2176a42dc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:38
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc22d9a314db2176a42dc","fullscreen",1,32497,"0.0-1.0","b2sRMBjYfhnM7h8uCAnGQyCGGQwEcvr7omltKmhqikjVCWLXYbroZcLJNvzCKD5jCbrhjXLXb1e3CMpmlRmYFNFWLmxwIEhmGj69g1HkttcXHeNh1Fhs/5PuFAH3I8hG4s11ZcvQqFXax4ZF1pMs+ZNkkn50NrZQi3QMVTiB7/Iur5TTENXQsBcTaw6tkDxr3LR9WG1j0bZh112vz8GMnBGEGlVhEaDCHv2mbBltfLj/yC7H1c6ppb3uPq6kVpq370sAHEq3/JyL9tLMQ5c/zbPaqxhIHumUlRMWfIxah9e+rOKyMTwS7qKgKSvtErUIrZul+fJw6iFAApH03v/noQ==","691f8ca61c6b4dcbb0aeb5f4","691fc22d9a314db2176a42dc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:38
"130206","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc22d9a314db2176a42dc","instructions",2,162705,"0.0-2.0","b2sRMBjYfhnM7h8uCAnGQyCGGQwEcvr7omltKmhqikjVCWLXYbroZcLJNvzCKD5jCbrhjXLXb1e3CMpmlRmYFNFWLmxwIEhmGj69g1HkttcXHeNh1Fhs/5PuFAH3I8hG4s11ZcvQqFXax4ZF1pMs+ZNkkn50NrZQi3QMVTiB7/Iur5TTENXQsBcTaw6tkDxr3LR9WG1j0bZh112vz8GMnBGEGlVhEaDCHv2mbBltfLj/yC7H1c6ppb3uPq6kVpq370sAHEq3/JyL9tLMQ5c/zbPaqxhIHumUlRMWfIxah9e+rOKyMTwS7qKgKSvtErUIrZul+fJw6iFAApH03v/noQ==","691f8ca61c6b4dcbb0aeb5f4","691fc22d9a314db2176a42dc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":15516.200000047684},{""page_index"":1,""viewing_time"":24143.799999952316},{""page_index"":2,""viewing_time"":16485.800000071526},{""page_index"":3,""viewing_time"":18577.799999952316},{""page_index"":4,""viewing_time"":9980.100000023842},{""page_index"":5,""viewing_time"":17331.399999976158},{""page_index"":6,""viewing_time"":28170.300000071526}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:38
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc22d9a314db2176a42dc","html-keyboard-response",3,163714,"0.0-3.0","b2sRMBjYfhnM7h8uCAnGQyCGGQwEcvr7omltKmhqikjVCWLXYbroZcLJNvzCKD5jCbrhjXLXb1e3CMpmlRmYFNFWLmxwIEhmGj69g1HkttcXHeNh1Fhs/5PuFAH3I8hG4s11ZcvQqFXax4ZF1pMs+ZNkkn50NrZQi3QMVTiB7/Iur5TTENXQsBcTaw6tkDxr3LR9WG1j0bZh112vz8GMnBGEGlVhEaDCHv2mbBltfLj/yC7H1c6ppb3uPq6kVpq370sAHEq3/JyL9tLMQ5c/zbPaqxhIHumUlRMWfIxah9e+rOKyMTwS7qKgKSvtErUIrZul+fJw6iFAApH03v/noQ==","691f8ca61c6b4dcbb0aeb5f4","691fc22d9a314db2176a42dc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:38
"37880.39999997616","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc22d9a314db2176a42dc","survey-multi-choice",4,201598,"0.0-4.0","b2sRMBjYfhnM7h8uCAnGQyCGGQwEcvr7omltKmhqikjVCWLXYbroZcLJNvzCKD5jCbrhjXLXb1e3CMpmlRmYFNFWLmxwIEhmGj69g1HkttcXHeNh1Fhs/5PuFAH3I8hG4s11ZcvQqFXax4ZF1pMs+ZNkkn50NrZQi3QMVTiB7/Iur5TTENXQsBcTaw6tkDxr3LR9WG1j0bZh112vz8GMnBGEGlVhEaDCHv2mbBltfLj/yC7H1c6ppb3uPq6kVpq370sAHEq3/JyL9tLMQ5c/zbPaqxhIHumUlRMWfIxah9e+rOKyMTwS7qKgKSvtErUIrZul+fJw6iFAApH03v/noQ==","691f8ca61c6b4dcbb0aeb5f4","691fc22d9a314db2176a42dc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:38
"4490.300000071526","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc22d9a314db2176a42dc","html-button-response",5,206091,"0.0-5.0-1.0","b2sRMBjYfhnM7h8uCAnGQyCGGQwEcvr7omltKmhqikjVCWLXYbroZcLJNvzCKD5jCbrhjXLXb1e3CMpmlRmYFNFWLmxwIEhmGj69g1HkttcXHeNh1Fhs/5PuFAH3I8hG4s11ZcvQqFXax4ZF1pMs+ZNkkn50NrZQi3QMVTiB7/Iur5TTENXQsBcTaw6tkDxr3LR9WG1j0bZh112vz8GMnBGEGlVhEaDCHv2mbBltfLj/yC7H1c6ppb3uPq6kVpq370sAHEq3/JyL9tLMQ5c/zbPaqxhIHumUlRMWfIxah9e+rOKyMTwS7qKgKSvtErUIrZul+fJw6iFAApH03v/noQ==","691f8ca61c6b4dcbb0aeb5f4","691fc22d9a314db2176a42dc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:38
"72068.70000004768","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc22d9a314db2176a42dc","instructions",6,278160,"0.0-6.0-0.0","b2sRMBjYfhnM7h8uCAnGQyCGGQwEcvr7omltKmhqikjVCWLXYbroZcLJNvzCKD5jCbrhjXLXb1e3CMpmlRmYFNFWLmxwIEhmGj69g1HkttcXHeNh1Fhs/5PuFAH3I8hG4s11ZcvQqFXax4ZF1pMs+ZNkkn50NrZQi3QMVTiB7/Iur5TTENXQsBcTaw6tkDxr3LR9WG1j0bZh112vz8GMnBGEGlVhEaDCHv2mbBltfLj/yC7H1c6ppb3uPq6kVpq370sAHEq3/JyL9tLMQ5c/zbPaqxhIHumUlRMWfIxah9e+rOKyMTwS7qKgKSvtErUIrZul+fJw6iFAApH03v/noQ==","691f8ca61c6b4dcbb0aeb5f4","691fc22d9a314db2176a42dc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":25064.399999976158},{""page_index"":1,""viewing_time"":14406.100000023842},{""page_index"":2,""viewing_time"":9148.100000023842},{""page_index"":3,""viewing_time"":6061.700000047684},{""page_index"":4,""viewing_time"":2154.1999999284744},{""page_index"":5,""viewing_time"":3304},{""page_index"":4,""viewing_time"":6641.800000071526},{""page_index"":5,""viewing_time"":3226.2999999523163},{""page_index"":6,""viewing_time"":2061.7999999523163}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:38
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc22d9a314db2176a42dc","html-keyboard-response",7,279177,"0.0-6.0-1.0","b2sRMBjYfhnM7h8uCAnGQyCGGQwEcvr7omltKmhqikjVCWLXYbroZcLJNvzCKD5jCbrhjXLXb1e3CMpmlRmYFNFWLmxwIEhmGj69g1HkttcXHeNh1Fhs/5PuFAH3I8hG4s11ZcvQqFXax4ZF1pMs+ZNkkn50NrZQi3QMVTiB7/Iur5TTENXQsBcTaw6tkDxr3LR9WG1j0bZh112vz8GMnBGEGlVhEaDCHv2mbBltfLj/yC7H1c6ppb3uPq6kVpq370sAHEq3/JyL9tLMQ5c/zbPaqxhIHumUlRMWfIxah9e+rOKyMTwS7qKgKSvtErUIrZul+fJw6iFAApH03v/noQ==","691f8ca61c6b4dcbb0aeb5f4","691fc22d9a314db2176a42dc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:38
"38176.700000047684","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc22d9a314db2176a42dc","survey-multi-choice",8,317356,"0.0-7.0-0.0","b2sRMBjYfhnM7h8uCAnGQyCGGQwEcvr7omltKmhqikjVCWLXYbroZcLJNvzCKD5jCbrhjXLXb1e3CMpmlRmYFNFWLmxwIEhmGj69g1HkttcXHeNh1Fhs/5PuFAH3I8hG4s11ZcvQqFXax4ZF1pMs+ZNkkn50NrZQi3QMVTiB7/Iur5TTENXQsBcTaw6tkDxr3LR9WG1j0bZh112vz8GMnBGEGlVhEaDCHv2mbBltfLj/yC7H1c6ppb3uPq6kVpq370sAHEq3/JyL9tLMQ5c/zbPaqxhIHumUlRMWfIxah9e+rOKyMTwS7qKgKSvtErUIrZul+fJw6iFAApH03v/noQ==","691f8ca61c6b4dcbb0aeb5f4","691fc22d9a314db2176a42dc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:38
"11357.099999904633","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc22d9a314db2176a42dc","instructions",9,328719,"0.0-305.0","b2sRMBjYfhnM7h8uCAnGQyCGGQwEcvr7omltKmhqikjVCWLXYbroZcLJNvzCKD5jCbrhjXLXb1e3CMpmlRmYFNFWLmxwIEhmGj69g1HkttcXHeNh1Fhs/5PuFAH3I8hG4s11ZcvQqFXax4ZF1pMs+ZNkkn50NrZQi3QMVTiB7/Iur5TTENXQsBcTaw6tkDxr3LR9WG1j0bZh112vz8GMnBGEGlVhEaDCHv2mbBltfLj/yC7H1c6ppb3uPq6kVpq370sAHEq3/JyL9tLMQ5c/zbPaqxhIHumUlRMWfIxah9e+rOKyMTwS7qKgKSvtErUIrZul+fJw6iFAApH03v/noQ==","691f8ca61c6b4dcbb0aeb5f4","691fc22d9a314db2176a42dc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":6687.899999976158},{""page_index"":1,""viewing_time"":4668.299999952316}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:50:38
