"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"32604.800000071526","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe67e787f1998c73188d","external-html",0,32665,"0.0-0.0","GDpVsq8RW2TFubnHHznsrUevT8iaEp0TrEFN4CIR1xTOSw30fTXZcV9P46cWrtsxjh9BYE/rgJruYMqzZar2pw//YhcOc8cSmKVIZ4opPZkTKKov8nKpaZB+k6gZ9oLKBJHsnT4Dm5pc0JHj+/HlRpDnxC2t4lzJ+YbzV9CpB3sTXhXwHNXOeDJeMww27B3l9H0PPXH5UOH9qIaLyQwED9P7I31upPesMeQhOUtZQ6hm2S62J+FLg0/eXZEdHudY89M8IEz7NL7ltAjzyUXOqQyInw++yJuEZOHjSO37PS5P0nwmxkhdDFgqwwue8SZTQUQkpBVTmyU34SVZV8LgVg==","691f8ca61c6b4dcbb0aeb5f4","691fbe67e787f1998c73188d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:40:01
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe67e787f1998c73188d","fullscreen",1,43350,"0.0-1.0","GDpVsq8RW2TFubnHHznsrUevT8iaEp0TrEFN4CIR1xTOSw30fTXZcV9P46cWrtsxjh9BYE/rgJruYMqzZar2pw//YhcOc8cSmKVIZ4opPZkTKKov8nKpaZB+k6gZ9oLKBJHsnT4Dm5pc0JHj+/HlRpDnxC2t4lzJ+YbzV9CpB3sTXhXwHNXOeDJeMww27B3l9H0PPXH5UOH9qIaLyQwED9P7I31upPesMeQhOUtZQ6hm2S62J+FLg0/eXZEdHudY89M8IEz7NL7ltAjzyUXOqQyInw++yJuEZOHjSO37PS5P0nwmxkhdDFgqwwue8SZTQUQkpBVTmyU34SVZV8LgVg==","691f8ca61c6b4dcbb0aeb5f4","691fbe67e787f1998c73188d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:40:01
"178436.29999995232","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe67e787f1998c73188d","instructions",2,221787,"0.0-2.0","GDpVsq8RW2TFubnHHznsrUevT8iaEp0TrEFN4CIR1xTOSw30fTXZcV9P46cWrtsxjh9BYE/rgJruYMqzZar2pw//YhcOc8cSmKVIZ4opPZkTKKov8nKpaZB+k6gZ9oLKBJHsnT4Dm5pc0JHj+/HlRpDnxC2t4lzJ+YbzV9CpB3sTXhXwHNXOeDJeMww27B3l9H0PPXH5UOH9qIaLyQwED9P7I31upPesMeQhOUtZQ6hm2S62J+FLg0/eXZEdHudY89M8IEz7NL7ltAjzyUXOqQyInw++yJuEZOHjSO37PS5P0nwmxkhdDFgqwwue8SZTQUQkpBVTmyU34SVZV8LgVg==","691f8ca61c6b4dcbb0aeb5f4","691fbe67e787f1998c73188d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":29965.899999976158},{""page_index"":1,""viewing_time"":28979.700000047684},{""page_index"":2,""viewing_time"":20877.199999928474},{""page_index"":3,""viewing_time"":31866.5},{""page_index"":4,""viewing_time"":13353.700000047684},{""page_index"":5,""viewing_time"":19751.899999976158},{""page_index"":6,""viewing_time"":14321.399999976158},{""page_index"":5,""viewing_time"":1663.5},{""page_index"":4,""viewing_time"":7516.200000047684},{""page_index"":5,""viewing_time"":7165},{""page_index"":6,""viewing_time"":2974.899999976158}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:40:01
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe67e787f1998c73188d","html-keyboard-response",3,222791,"0.0-3.0","GDpVsq8RW2TFubnHHznsrUevT8iaEp0TrEFN4CIR1xTOSw30fTXZcV9P46cWrtsxjh9BYE/rgJruYMqzZar2pw//YhcOc8cSmKVIZ4opPZkTKKov8nKpaZB+k6gZ9oLKBJHsnT4Dm5pc0JHj+/HlRpDnxC2t4lzJ+YbzV9CpB3sTXhXwHNXOeDJeMww27B3l9H0PPXH5UOH9qIaLyQwED9P7I31upPesMeQhOUtZQ6hm2S62J+FLg0/eXZEdHudY89M8IEz7NL7ltAjzyUXOqQyInw++yJuEZOHjSO37PS5P0nwmxkhdDFgqwwue8SZTQUQkpBVTmyU34SVZV8LgVg==","691f8ca61c6b4dcbb0aeb5f4","691fbe67e787f1998c73188d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:40:01
"63047.299999952316","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe67e787f1998c73188d","survey-multi-choice",4,285840,"0.0-4.0","GDpVsq8RW2TFubnHHznsrUevT8iaEp0TrEFN4CIR1xTOSw30fTXZcV9P46cWrtsxjh9BYE/rgJruYMqzZar2pw//YhcOc8cSmKVIZ4opPZkTKKov8nKpaZB+k6gZ9oLKBJHsnT4Dm5pc0JHj+/HlRpDnxC2t4lzJ+YbzV9CpB3sTXhXwHNXOeDJeMww27B3l9H0PPXH5UOH9qIaLyQwED9P7I31upPesMeQhOUtZQ6hm2S62J+FLg0/eXZEdHudY89M8IEz7NL7ltAjzyUXOqQyInw++yJuEZOHjSO37PS5P0nwmxkhdDFgqwwue8SZTQUQkpBVTmyU34SVZV8LgVg==","691f8ca61c6b4dcbb0aeb5f4","691fbe67e787f1998c73188d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:40:01
"11511.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe67e787f1998c73188d","html-button-response",5,297353,"0.0-5.0-1.0","GDpVsq8RW2TFubnHHznsrUevT8iaEp0TrEFN4CIR1xTOSw30fTXZcV9P46cWrtsxjh9BYE/rgJruYMqzZar2pw//YhcOc8cSmKVIZ4opPZkTKKov8nKpaZB+k6gZ9oLKBJHsnT4Dm5pc0JHj+/HlRpDnxC2t4lzJ+YbzV9CpB3sTXhXwHNXOeDJeMww27B3l9H0PPXH5UOH9qIaLyQwED9P7I31upPesMeQhOUtZQ6hm2S62J+FLg0/eXZEdHudY89M8IEz7NL7ltAjzyUXOqQyInw++yJuEZOHjSO37PS5P0nwmxkhdDFgqwwue8SZTQUQkpBVTmyU34SVZV8LgVg==","691f8ca61c6b4dcbb0aeb5f4","691fbe67e787f1998c73188d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:40:01
"94733","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe67e787f1998c73188d","instructions",6,392086,"0.0-6.0-0.0","GDpVsq8RW2TFubnHHznsrUevT8iaEp0TrEFN4CIR1xTOSw30fTXZcV9P46cWrtsxjh9BYE/rgJruYMqzZar2pw//YhcOc8cSmKVIZ4opPZkTKKov8nKpaZB+k6gZ9oLKBJHsnT4Dm5pc0JHj+/HlRpDnxC2t4lzJ+YbzV9CpB3sTXhXwHNXOeDJeMww27B3l9H0PPXH5UOH9qIaLyQwED9P7I31upPesMeQhOUtZQ6hm2S62J+FLg0/eXZEdHudY89M8IEz7NL7ltAjzyUXOqQyInw++yJuEZOHjSO37PS5P0nwmxkhdDFgqwwue8SZTQUQkpBVTmyU34SVZV8LgVg==","691f8ca61c6b4dcbb0aeb5f4","691fbe67e787f1998c73188d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":18198.399999976158},{""page_index"":1,""viewing_time"":14114.299999952316},{""page_index"":2,""viewing_time"":17368.300000071526},{""page_index"":3,""viewing_time"":17607.299999952316},{""page_index"":4,""viewing_time"":5838.5},{""page_index"":5,""viewing_time"":20062.800000071526},{""page_index"":6,""viewing_time"":1543}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:40:01
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe67e787f1998c73188d","html-keyboard-response",7,393088,"0.0-6.0-1.0","GDpVsq8RW2TFubnHHznsrUevT8iaEp0TrEFN4CIR1xTOSw30fTXZcV9P46cWrtsxjh9BYE/rgJruYMqzZar2pw//YhcOc8cSmKVIZ4opPZkTKKov8nKpaZB+k6gZ9oLKBJHsnT4Dm5pc0JHj+/HlRpDnxC2t4lzJ+YbzV9CpB3sTXhXwHNXOeDJeMww27B3l9H0PPXH5UOH9qIaLyQwED9P7I31upPesMeQhOUtZQ6hm2S62J+FLg0/eXZEdHudY89M8IEz7NL7ltAjzyUXOqQyInw++yJuEZOHjSO37PS5P0nwmxkhdDFgqwwue8SZTQUQkpBVTmyU34SVZV8LgVg==","691f8ca61c6b4dcbb0aeb5f4","691fbe67e787f1998c73188d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:40:01
"47263.699999928474","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe67e787f1998c73188d","survey-multi-choice",8,440354,"0.0-7.0-0.0","GDpVsq8RW2TFubnHHznsrUevT8iaEp0TrEFN4CIR1xTOSw30fTXZcV9P46cWrtsxjh9BYE/rgJruYMqzZar2pw//YhcOc8cSmKVIZ4opPZkTKKov8nKpaZB+k6gZ9oLKBJHsnT4Dm5pc0JHj+/HlRpDnxC2t4lzJ+YbzV9CpB3sTXhXwHNXOeDJeMww27B3l9H0PPXH5UOH9qIaLyQwED9P7I31upPesMeQhOUtZQ6hm2S62J+FLg0/eXZEdHudY89M8IEz7NL7ltAjzyUXOqQyInw++yJuEZOHjSO37PS5P0nwmxkhdDFgqwwue8SZTQUQkpBVTmyU34SVZV8LgVg==","691f8ca61c6b4dcbb0aeb5f4","691fbe67e787f1998c73188d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:40:01
"21800.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe67e787f1998c73188d","instructions",9,462159,"0.0-305.0","GDpVsq8RW2TFubnHHznsrUevT8iaEp0TrEFN4CIR1xTOSw30fTXZcV9P46cWrtsxjh9BYE/rgJruYMqzZar2pw//YhcOc8cSmKVIZ4opPZkTKKov8nKpaZB+k6gZ9oLKBJHsnT4Dm5pc0JHj+/HlRpDnxC2t4lzJ+YbzV9CpB3sTXhXwHNXOeDJeMww27B3l9H0PPXH5UOH9qIaLyQwED9P7I31upPesMeQhOUtZQ6hm2S62J+FLg0/eXZEdHudY89M8IEz7NL7ltAjzyUXOqQyInw++yJuEZOHjSO37PS5P0nwmxkhdDFgqwwue8SZTQUQkpBVTmyU34SVZV8LgVg==","691f8ca61c6b4dcbb0aeb5f4","691fbe67e787f1998c73188d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":11989.300000071526},{""page_index"":1,""viewing_time"":9811}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:40:01
