"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"5152","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb3d33445aeef08ca733b","external-html",0,5211,"0.0-0.0","FHZwx1p/S4iHha3He3XHZnqeoZBAzONuZeG34L7ELfG2FxNGGwmHAmTlArgRtJXhgY8eTE6Hu5eKCx980qrXg5noYI6YoaWueZYAPLBXGSmFBONmpdZdpG8OV89L1jjPOG3vR30ZApL0scGqte/oVyS+Sv3AMhZDBSZ8j4tl0BGKaHyETff516NrU1WQhK0DKzvL+/MYl70SFVxCBjPMtwWzOC8GdulGvDqJhRXG/J+LRW4+/SWsmS1CcK5uGiqe3KXYvvLgYwXdhFBIpOoFvE5OJrsmeQLtZQlUUDKWAl3UfqSDAQ7SPgGzUf/bk5d6H2RtUzxIAEMgRLjAmXop0g==","691f8ca61c6b4dcbb0aeb5f4","691fb3d33445aeef08ca733b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:56:30
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb3d33445aeef08ca733b","fullscreen",1,20934,"0.0-1.0","FHZwx1p/S4iHha3He3XHZnqeoZBAzONuZeG34L7ELfG2FxNGGwmHAmTlArgRtJXhgY8eTE6Hu5eKCx980qrXg5noYI6YoaWueZYAPLBXGSmFBONmpdZdpG8OV89L1jjPOG3vR30ZApL0scGqte/oVyS+Sv3AMhZDBSZ8j4tl0BGKaHyETff516NrU1WQhK0DKzvL+/MYl70SFVxCBjPMtwWzOC8GdulGvDqJhRXG/J+LRW4+/SWsmS1CcK5uGiqe3KXYvvLgYwXdhFBIpOoFvE5OJrsmeQLtZQlUUDKWAl3UfqSDAQ7SPgGzUf/bk5d6H2RtUzxIAEMgRLjAmXop0g==","691f8ca61c6b4dcbb0aeb5f4","691fb3d33445aeef08ca733b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:56:30
"124957.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb3d33445aeef08ca733b","instructions",2,145892,"0.0-2.0","FHZwx1p/S4iHha3He3XHZnqeoZBAzONuZeG34L7ELfG2FxNGGwmHAmTlArgRtJXhgY8eTE6Hu5eKCx980qrXg5noYI6YoaWueZYAPLBXGSmFBONmpdZdpG8OV89L1jjPOG3vR30ZApL0scGqte/oVyS+Sv3AMhZDBSZ8j4tl0BGKaHyETff516NrU1WQhK0DKzvL+/MYl70SFVxCBjPMtwWzOC8GdulGvDqJhRXG/J+LRW4+/SWsmS1CcK5uGiqe3KXYvvLgYwXdhFBIpOoFvE5OJrsmeQLtZQlUUDKWAl3UfqSDAQ7SPgGzUf/bk5d6H2RtUzxIAEMgRLjAmXop0g==","691f8ca61c6b4dcbb0aeb5f4","691fb3d33445aeef08ca733b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":59099.39999999851},{""page_index"":1,""viewing_time"":12017.80000000447},{""page_index"":2,""viewing_time"":8546.29999999702},{""page_index"":3,""viewing_time"":10518.29999999702},{""page_index"":4,""viewing_time"":5939.70000000298},{""page_index"":5,""viewing_time"":9319.5},{""page_index"":6,""viewing_time"":19516.20000000298}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:56:30
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb3d33445aeef08ca733b","html-keyboard-response",3,146904,"0.0-3.0","FHZwx1p/S4iHha3He3XHZnqeoZBAzONuZeG34L7ELfG2FxNGGwmHAmTlArgRtJXhgY8eTE6Hu5eKCx980qrXg5noYI6YoaWueZYAPLBXGSmFBONmpdZdpG8OV89L1jjPOG3vR30ZApL0scGqte/oVyS+Sv3AMhZDBSZ8j4tl0BGKaHyETff516NrU1WQhK0DKzvL+/MYl70SFVxCBjPMtwWzOC8GdulGvDqJhRXG/J+LRW4+/SWsmS1CcK5uGiqe3KXYvvLgYwXdhFBIpOoFvE5OJrsmeQLtZQlUUDKWAl3UfqSDAQ7SPgGzUf/bk5d6H2RtUzxIAEMgRLjAmXop0g==","691f8ca61c6b4dcbb0aeb5f4","691fb3d33445aeef08ca733b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:56:30
"36556.10000000149","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb3d33445aeef08ca733b","survey-multi-choice",4,183463,"0.0-4.0","FHZwx1p/S4iHha3He3XHZnqeoZBAzONuZeG34L7ELfG2FxNGGwmHAmTlArgRtJXhgY8eTE6Hu5eKCx980qrXg5noYI6YoaWueZYAPLBXGSmFBONmpdZdpG8OV89L1jjPOG3vR30ZApL0scGqte/oVyS+Sv3AMhZDBSZ8j4tl0BGKaHyETff516NrU1WQhK0DKzvL+/MYl70SFVxCBjPMtwWzOC8GdulGvDqJhRXG/J+LRW4+/SWsmS1CcK5uGiqe3KXYvvLgYwXdhFBIpOoFvE5OJrsmeQLtZQlUUDKWAl3UfqSDAQ7SPgGzUf/bk5d6H2RtUzxIAEMgRLjAmXop0g==","691f8ca61c6b4dcbb0aeb5f4","691fb3d33445aeef08ca733b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:56:30
"38629","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb3d33445aeef08ca733b","instructions",5,222099,"0.0-305.0","FHZwx1p/S4iHha3He3XHZnqeoZBAzONuZeG34L7ELfG2FxNGGwmHAmTlArgRtJXhgY8eTE6Hu5eKCx980qrXg5noYI6YoaWueZYAPLBXGSmFBONmpdZdpG8OV89L1jjPOG3vR30ZApL0scGqte/oVyS+Sv3AMhZDBSZ8j4tl0BGKaHyETff516NrU1WQhK0DKzvL+/MYl70SFVxCBjPMtwWzOC8GdulGvDqJhRXG/J+LRW4+/SWsmS1CcK5uGiqe3KXYvvLgYwXdhFBIpOoFvE5OJrsmeQLtZQlUUDKWAl3UfqSDAQ7SPgGzUf/bk5d6H2RtUzxIAEMgRLjAmXop0g==","691f8ca61c6b4dcbb0aeb5f4","691fb3d33445aeef08ca733b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":28708.60000000149},{""page_index"":1,""viewing_time"":9920}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:56:30
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb3d33445aeef08ca733b","html-keyboard-response",6,223102,"0.0-306.0","FHZwx1p/S4iHha3He3XHZnqeoZBAzONuZeG34L7ELfG2FxNGGwmHAmTlArgRtJXhgY8eTE6Hu5eKCx980qrXg5noYI6YoaWueZYAPLBXGSmFBONmpdZdpG8OV89L1jjPOG3vR30ZApL0scGqte/oVyS+Sv3AMhZDBSZ8j4tl0BGKaHyETff516NrU1WQhK0DKzvL+/MYl70SFVxCBjPMtwWzOC8GdulGvDqJhRXG/J+LRW4+/SWsmS1CcK5uGiqe3KXYvvLgYwXdhFBIpOoFvE5OJrsmeQLtZQlUUDKWAl3UfqSDAQ7SPgGzUf/bk5d6H2RtUzxIAEMgRLjAmXop0g==","691f8ca61c6b4dcbb0aeb5f4","691fb3d33445aeef08ca733b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:56:30
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb3d33445aeef08ca733b","html-keyboard-response",7,226114,"0.0-307.0","FHZwx1p/S4iHha3He3XHZnqeoZBAzONuZeG34L7ELfG2FxNGGwmHAmTlArgRtJXhgY8eTE6Hu5eKCx980qrXg5noYI6YoaWueZYAPLBXGSmFBONmpdZdpG8OV89L1jjPOG3vR30ZApL0scGqte/oVyS+Sv3AMhZDBSZ8j4tl0BGKaHyETff516NrU1WQhK0DKzvL+/MYl70SFVxCBjPMtwWzOC8GdulGvDqJhRXG/J+LRW4+/SWsmS1CcK5uGiqe3KXYvvLgYwXdhFBIpOoFvE5OJrsmeQLtZQlUUDKWAl3UfqSDAQ7SPgGzUf/bk5d6H2RtUzxIAEMgRLjAmXop0g==","691f8ca61c6b4dcbb0aeb5f4","691fb3d33445aeef08ca733b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:56:30
"24380.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb3d33445aeef08ca733b","survey-html-form",8,250497,"0.0-308.0","FHZwx1p/S4iHha3He3XHZnqeoZBAzONuZeG34L7ELfG2FxNGGwmHAmTlArgRtJXhgY8eTE6Hu5eKCx980qrXg5noYI6YoaWueZYAPLBXGSmFBONmpdZdpG8OV89L1jjPOG3vR30ZApL0scGqte/oVyS+Sv3AMhZDBSZ8j4tl0BGKaHyETff516NrU1WQhK0DKzvL+/MYl70SFVxCBjPMtwWzOC8GdulGvDqJhRXG/J+LRW4+/SWsmS1CcK5uGiqe3KXYvvLgYwXdhFBIpOoFvE5OJrsmeQLtZQlUUDKWAl3UfqSDAQ7SPgGzUf/bk5d6H2RtUzxIAEMgRLjAmXop0g==","691f8ca61c6b4dcbb0aeb5f4","691fb3d33445aeef08ca733b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""4"",""box2"":""4""}","",1,"round1_outcome",1,1,1,4,4,NA,NA,0,0,10,4,4,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:56:30
"18724","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb3d33445aeef08ca733b","survey-html-form",9,269222,"0.0-309.0","FHZwx1p/S4iHha3He3XHZnqeoZBAzONuZeG34L7ELfG2FxNGGwmHAmTlArgRtJXhgY8eTE6Hu5eKCx980qrXg5noYI6YoaWueZYAPLBXGSmFBONmpdZdpG8OV89L1jjPOG3vR30ZApL0scGqte/oVyS+Sv3AMhZDBSZ8j4tl0BGKaHyETff516NrU1WQhK0DKzvL+/MYl70SFVxCBjPMtwWzOC8GdulGvDqJhRXG/J+LRW4+/SWsmS1CcK5uGiqe3KXYvvLgYwXdhFBIpOoFvE5OJrsmeQLtZQlUUDKWAl3UfqSDAQ7SPgGzUf/bk5d6H2RtUzxIAEMgRLjAmXop0g==","691f8ca61c6b4dcbb0aeb5f4","691fb3d33445aeef08ca733b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""0"",""box2"":""0""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:56:30
