"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"49773.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc962d40d4e5259e83ec8","external-html",0,49880,"0.0-0.0","gPCjkGXJ30Gh+KfAcffOt+vH2h6HHvSLsCikf9kKfw+tMAvwmkoU33WuFKttT3005pTmNgV4UGCEzGoeUaMUMoc29zqXp0T9P8QgU9JmDFpLjTpd0EbGww6suZUbMVCEW03/YtLQ/ZrSeOrMfJVFrH3+55lHh4jF5Dcq2rHEv3YZ0NGWludwC/yWdPgje0zSouTNxJBXGIgFmDfH5oUaaFxqAzcNK84TIty1godqJSgKj53JxNv1RIBVJn660053SQrGJ8WffhOHLPYH6gy0rfb0JPo6hq+xV8IcwNm0x6X0P7UoSzR/M+A7Hl5wX1cxGDcGCX5ePi8T3gjvPLhZ8A==","691f8ca61c6b4dcbb0aeb5f4","691fc962d40d4e5259e83ec8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:40:42
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc962d40d4e5259e83ec8","fullscreen",1,851347,"0.0-1.0","gPCjkGXJ30Gh+KfAcffOt+vH2h6HHvSLsCikf9kKfw+tMAvwmkoU33WuFKttT3005pTmNgV4UGCEzGoeUaMUMoc29zqXp0T9P8QgU9JmDFpLjTpd0EbGww6suZUbMVCEW03/YtLQ/ZrSeOrMfJVFrH3+55lHh4jF5Dcq2rHEv3YZ0NGWludwC/yWdPgje0zSouTNxJBXGIgFmDfH5oUaaFxqAzcNK84TIty1godqJSgKj53JxNv1RIBVJn660053SQrGJ8WffhOHLPYH6gy0rfb0JPo6hq+xV8IcwNm0x6X0P7UoSzR/M+A7Hl5wX1cxGDcGCX5ePi8T3gjvPLhZ8A==","691f8ca61c6b4dcbb0aeb5f4","691fc962d40d4e5259e83ec8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:40:42
"292253.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc962d40d4e5259e83ec8","instructions",2,1143603,"0.0-2.0","gPCjkGXJ30Gh+KfAcffOt+vH2h6HHvSLsCikf9kKfw+tMAvwmkoU33WuFKttT3005pTmNgV4UGCEzGoeUaMUMoc29zqXp0T9P8QgU9JmDFpLjTpd0EbGww6suZUbMVCEW03/YtLQ/ZrSeOrMfJVFrH3+55lHh4jF5Dcq2rHEv3YZ0NGWludwC/yWdPgje0zSouTNxJBXGIgFmDfH5oUaaFxqAzcNK84TIty1godqJSgKj53JxNv1RIBVJn660053SQrGJ8WffhOHLPYH6gy0rfb0JPo6hq+xV8IcwNm0x6X0P7UoSzR/M+A7Hl5wX1cxGDcGCX5ePi8T3gjvPLhZ8A==","691f8ca61c6b4dcbb0aeb5f4","691fc962d40d4e5259e83ec8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":55063.70000001788},{""page_index"":1,""viewing_time"":43199.19999998808},{""page_index"":2,""viewing_time"":38257.30000001192},{""page_index"":3,""viewing_time"":61744.89999997616},{""page_index"":4,""viewing_time"":15533.90000000596},{""page_index"":5,""viewing_time"":63232.59999999404},{""page_index"":6,""viewing_time"":15221.700000017881}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:40:42
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc962d40d4e5259e83ec8","html-keyboard-response",3,1144614,"0.0-3.0","gPCjkGXJ30Gh+KfAcffOt+vH2h6HHvSLsCikf9kKfw+tMAvwmkoU33WuFKttT3005pTmNgV4UGCEzGoeUaMUMoc29zqXp0T9P8QgU9JmDFpLjTpd0EbGww6suZUbMVCEW03/YtLQ/ZrSeOrMfJVFrH3+55lHh4jF5Dcq2rHEv3YZ0NGWludwC/yWdPgje0zSouTNxJBXGIgFmDfH5oUaaFxqAzcNK84TIty1godqJSgKj53JxNv1RIBVJn660053SQrGJ8WffhOHLPYH6gy0rfb0JPo6hq+xV8IcwNm0x6X0P7UoSzR/M+A7Hl5wX1cxGDcGCX5ePi8T3gjvPLhZ8A==","691f8ca61c6b4dcbb0aeb5f4","691fc962d40d4e5259e83ec8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:40:42
"78879.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc962d40d4e5259e83ec8","survey-multi-choice",4,1223498,"0.0-4.0","gPCjkGXJ30Gh+KfAcffOt+vH2h6HHvSLsCikf9kKfw+tMAvwmkoU33WuFKttT3005pTmNgV4UGCEzGoeUaMUMoc29zqXp0T9P8QgU9JmDFpLjTpd0EbGww6suZUbMVCEW03/YtLQ/ZrSeOrMfJVFrH3+55lHh4jF5Dcq2rHEv3YZ0NGWludwC/yWdPgje0zSouTNxJBXGIgFmDfH5oUaaFxqAzcNK84TIty1godqJSgKj53JxNv1RIBVJn660053SQrGJ8WffhOHLPYH6gy0rfb0JPo6hq+xV8IcwNm0x6X0P7UoSzR/M+A7Hl5wX1cxGDcGCX5ePi8T3gjvPLhZ8A==","691f8ca61c6b4dcbb0aeb5f4","691fc962d40d4e5259e83ec8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:40:42
"15558.100000023842","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc962d40d4e5259e83ec8","instructions",5,1239066,"0.0-305.0","gPCjkGXJ30Gh+KfAcffOt+vH2h6HHvSLsCikf9kKfw+tMAvwmkoU33WuFKttT3005pTmNgV4UGCEzGoeUaMUMoc29zqXp0T9P8QgU9JmDFpLjTpd0EbGww6suZUbMVCEW03/YtLQ/ZrSeOrMfJVFrH3+55lHh4jF5Dcq2rHEv3YZ0NGWludwC/yWdPgje0zSouTNxJBXGIgFmDfH5oUaaFxqAzcNK84TIty1godqJSgKj53JxNv1RIBVJn660053SQrGJ8WffhOHLPYH6gy0rfb0JPo6hq+xV8IcwNm0x6X0P7UoSzR/M+A7Hl5wX1cxGDcGCX5ePi8T3gjvPLhZ8A==","691f8ca61c6b4dcbb0aeb5f4","691fc962d40d4e5259e83ec8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":11079.200000017881},{""page_index"":1,""viewing_time"":4478.4000000059605}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:40:42
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc962d40d4e5259e83ec8","html-keyboard-response",6,1240072,"0.0-306.0","gPCjkGXJ30Gh+KfAcffOt+vH2h6HHvSLsCikf9kKfw+tMAvwmkoU33WuFKttT3005pTmNgV4UGCEzGoeUaMUMoc29zqXp0T9P8QgU9JmDFpLjTpd0EbGww6suZUbMVCEW03/YtLQ/ZrSeOrMfJVFrH3+55lHh4jF5Dcq2rHEv3YZ0NGWludwC/yWdPgje0zSouTNxJBXGIgFmDfH5oUaaFxqAzcNK84TIty1godqJSgKj53JxNv1RIBVJn660053SQrGJ8WffhOHLPYH6gy0rfb0JPo6hq+xV8IcwNm0x6X0P7UoSzR/M+A7Hl5wX1cxGDcGCX5ePi8T3gjvPLhZ8A==","691f8ca61c6b4dcbb0aeb5f4","691fc962d40d4e5259e83ec8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:40:42
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc962d40d4e5259e83ec8","html-keyboard-response",7,1243083,"0.0-307.0","gPCjkGXJ30Gh+KfAcffOt+vH2h6HHvSLsCikf9kKfw+tMAvwmkoU33WuFKttT3005pTmNgV4UGCEzGoeUaMUMoc29zqXp0T9P8QgU9JmDFpLjTpd0EbGww6suZUbMVCEW03/YtLQ/ZrSeOrMfJVFrH3+55lHh4jF5Dcq2rHEv3YZ0NGWludwC/yWdPgje0zSouTNxJBXGIgFmDfH5oUaaFxqAzcNK84TIty1godqJSgKj53JxNv1RIBVJn660053SQrGJ8WffhOHLPYH6gy0rfb0JPo6hq+xV8IcwNm0x6X0P7UoSzR/M+A7Hl5wX1cxGDcGCX5ePi8T3gjvPLhZ8A==","691f8ca61c6b4dcbb0aeb5f4","691fc962d40d4e5259e83ec8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:40:42
"85724.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc962d40d4e5259e83ec8","survey-html-form",8,1328812,"0.0-308.0","gPCjkGXJ30Gh+KfAcffOt+vH2h6HHvSLsCikf9kKfw+tMAvwmkoU33WuFKttT3005pTmNgV4UGCEzGoeUaMUMoc29zqXp0T9P8QgU9JmDFpLjTpd0EbGww6suZUbMVCEW03/YtLQ/ZrSeOrMfJVFrH3+55lHh4jF5Dcq2rHEv3YZ0NGWludwC/yWdPgje0zSouTNxJBXGIgFmDfH5oUaaFxqAzcNK84TIty1godqJSgKj53JxNv1RIBVJn660053SQrGJ8WffhOHLPYH6gy0rfb0JPo6hq+xV8IcwNm0x6X0P7UoSzR/M+A7Hl5wX1cxGDcGCX5ePi8T3gjvPLhZ8A==","691f8ca61c6b4dcbb0aeb5f4","691fc962d40d4e5259e83ec8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""6"",""box2"":""8"",""box4"":""90""}","",1,"round1_outcome",1,1,1,6,8,NA,90,0,1,10,6,8,NA,90,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:40:42
"32691.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc962d40d4e5259e83ec8","survey-html-form",9,1361507,"0.0-309.0","gPCjkGXJ30Gh+KfAcffOt+vH2h6HHvSLsCikf9kKfw+tMAvwmkoU33WuFKttT3005pTmNgV4UGCEzGoeUaMUMoc29zqXp0T9P8QgU9JmDFpLjTpd0EbGww6suZUbMVCEW03/YtLQ/ZrSeOrMfJVFrH3+55lHh4jF5Dcq2rHEv3YZ0NGWludwC/yWdPgje0zSouTNxJBXGIgFmDfH5oUaaFxqAzcNK84TIty1godqJSgKj53JxNv1RIBVJn660053SQrGJ8WffhOHLPYH6gy0rfb0JPo6hq+xV8IcwNm0x6X0P7UoSzR/M+A7Hl5wX1cxGDcGCX5ePi8T3gjvPLhZ8A==","691f8ca61c6b4dcbb0aeb5f4","691fc962d40d4e5259e83ec8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""88"",""box2"":""90""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,90,88,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:40:42
