"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"3382.6000000089407","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc98bd239912070a2d37b","external-html",0,3412,"0.0-0.0","G5xWq0T2wTQiZKV5zQXrnAtFVf7kE0+xQTgK2Ne7lgEcJN4hZcBApHNYXqf4RNn8zhTv9funSYX3qfIIlWlYvRZmNSyYpTU//2K6hN9jEmRIsV9v5oT2j1sNkx5jpCzRY83c2tfGBl9CjUVk/jclrD85SMhTs02XEdOzzZHlj7/5mlmUdWGhwECZazueM/0PVGdWeo8tFiBCPwMkIupSJHycwgv2WiGkhDHnL+dfHNOTK5nWl3WcQt12Zoopz+0xLKLIHJYbe/wsDSw/spuwiE9PUcOlDtySgV+hbTOVfr27vPVyDg+cCiYa0FlqY0/jddtTmzlvqanGdqaSybgFIA==","691f8ca61c6b4dcbb0aeb5f4","691fc98bd239912070a2d37b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:27:53
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc98bd239912070a2d37b","fullscreen",1,6981,"0.0-1.0","G5xWq0T2wTQiZKV5zQXrnAtFVf7kE0+xQTgK2Ne7lgEcJN4hZcBApHNYXqf4RNn8zhTv9funSYX3qfIIlWlYvRZmNSyYpTU//2K6hN9jEmRIsV9v5oT2j1sNkx5jpCzRY83c2tfGBl9CjUVk/jclrD85SMhTs02XEdOzzZHlj7/5mlmUdWGhwECZazueM/0PVGdWeo8tFiBCPwMkIupSJHycwgv2WiGkhDHnL+dfHNOTK5nWl3WcQt12Zoopz+0xLKLIHJYbe/wsDSw/spuwiE9PUcOlDtySgV+hbTOVfr27vPVyDg+cCiYa0FlqY0/jddtTmzlvqanGdqaSybgFIA==","691f8ca61c6b4dcbb0aeb5f4","691fc98bd239912070a2d37b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:27:53
"127827.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc98bd239912070a2d37b","instructions",2,134811,"0.0-2.0","G5xWq0T2wTQiZKV5zQXrnAtFVf7kE0+xQTgK2Ne7lgEcJN4hZcBApHNYXqf4RNn8zhTv9funSYX3qfIIlWlYvRZmNSyYpTU//2K6hN9jEmRIsV9v5oT2j1sNkx5jpCzRY83c2tfGBl9CjUVk/jclrD85SMhTs02XEdOzzZHlj7/5mlmUdWGhwECZazueM/0PVGdWeo8tFiBCPwMkIupSJHycwgv2WiGkhDHnL+dfHNOTK5nWl3WcQt12Zoopz+0xLKLIHJYbe/wsDSw/spuwiE9PUcOlDtySgV+hbTOVfr27vPVyDg+cCiYa0FlqY0/jddtTmzlvqanGdqaSybgFIA==","691f8ca61c6b4dcbb0aeb5f4","691fc98bd239912070a2d37b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":12203.90000000596},{""page_index"":1,""viewing_time"":15695.79999999702},{""page_index"":2,""viewing_time"":9217.90000000596},{""page_index"":3,""viewing_time"":17688},{""page_index"":4,""viewing_time"":11123.89999999106},{""page_index"":5,""viewing_time"":22262.10000000894},{""page_index"":6,""viewing_time"":5902},{""page_index"":5,""viewing_time"":1465.7999999970198},{""page_index"":4,""viewing_time"":1710.2999999970198},{""page_index"":3,""viewing_time"":7620},{""page_index"":2,""viewing_time"":2122.0999999940395},{""page_index"":3,""viewing_time"":1405.800000011921},{""page_index"":4,""viewing_time"":3578},{""page_index"":5,""viewing_time"":4779},{""page_index"":6,""viewing_time"":11053.09999999404}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:27:53
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc98bd239912070a2d37b","html-keyboard-response",3,135818,"0.0-3.0","G5xWq0T2wTQiZKV5zQXrnAtFVf7kE0+xQTgK2Ne7lgEcJN4hZcBApHNYXqf4RNn8zhTv9funSYX3qfIIlWlYvRZmNSyYpTU//2K6hN9jEmRIsV9v5oT2j1sNkx5jpCzRY83c2tfGBl9CjUVk/jclrD85SMhTs02XEdOzzZHlj7/5mlmUdWGhwECZazueM/0PVGdWeo8tFiBCPwMkIupSJHycwgv2WiGkhDHnL+dfHNOTK5nWl3WcQt12Zoopz+0xLKLIHJYbe/wsDSw/spuwiE9PUcOlDtySgV+hbTOVfr27vPVyDg+cCiYa0FlqY0/jddtTmzlvqanGdqaSybgFIA==","691f8ca61c6b4dcbb0aeb5f4","691fc98bd239912070a2d37b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:27:53
"191857.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc98bd239912070a2d37b","survey-multi-choice",4,327688,"0.0-4.0","G5xWq0T2wTQiZKV5zQXrnAtFVf7kE0+xQTgK2Ne7lgEcJN4hZcBApHNYXqf4RNn8zhTv9funSYX3qfIIlWlYvRZmNSyYpTU//2K6hN9jEmRIsV9v5oT2j1sNkx5jpCzRY83c2tfGBl9CjUVk/jclrD85SMhTs02XEdOzzZHlj7/5mlmUdWGhwECZazueM/0PVGdWeo8tFiBCPwMkIupSJHycwgv2WiGkhDHnL+dfHNOTK5nWl3WcQt12Zoopz+0xLKLIHJYbe/wsDSw/spuwiE9PUcOlDtySgV+hbTOVfr27vPVyDg+cCiYa0FlqY0/jddtTmzlvqanGdqaSybgFIA==","691f8ca61c6b4dcbb0aeb5f4","691fc98bd239912070a2d37b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:27:53
"2680.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc98bd239912070a2d37b","html-button-response",5,330371,"0.0-5.0-1.0","G5xWq0T2wTQiZKV5zQXrnAtFVf7kE0+xQTgK2Ne7lgEcJN4hZcBApHNYXqf4RNn8zhTv9funSYX3qfIIlWlYvRZmNSyYpTU//2K6hN9jEmRIsV9v5oT2j1sNkx5jpCzRY83c2tfGBl9CjUVk/jclrD85SMhTs02XEdOzzZHlj7/5mlmUdWGhwECZazueM/0PVGdWeo8tFiBCPwMkIupSJHycwgv2WiGkhDHnL+dfHNOTK5nWl3WcQt12Zoopz+0xLKLIHJYbe/wsDSw/spuwiE9PUcOlDtySgV+hbTOVfr27vPVyDg+cCiYa0FlqY0/jddtTmzlvqanGdqaSybgFIA==","691f8ca61c6b4dcbb0aeb5f4","691fc98bd239912070a2d37b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:27:53
"48996.29999999702","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc98bd239912070a2d37b","instructions",6,379368,"0.0-6.0-0.0","G5xWq0T2wTQiZKV5zQXrnAtFVf7kE0+xQTgK2Ne7lgEcJN4hZcBApHNYXqf4RNn8zhTv9funSYX3qfIIlWlYvRZmNSyYpTU//2K6hN9jEmRIsV9v5oT2j1sNkx5jpCzRY83c2tfGBl9CjUVk/jclrD85SMhTs02XEdOzzZHlj7/5mlmUdWGhwECZazueM/0PVGdWeo8tFiBCPwMkIupSJHycwgv2WiGkhDHnL+dfHNOTK5nWl3WcQt12Zoopz+0xLKLIHJYbe/wsDSw/spuwiE9PUcOlDtySgV+hbTOVfr27vPVyDg+cCiYa0FlqY0/jddtTmzlvqanGdqaSybgFIA==","691f8ca61c6b4dcbb0aeb5f4","691fc98bd239912070a2d37b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":23755.20000000298},{""page_index"":1,""viewing_time"":13030.20000000298},{""page_index"":2,""viewing_time"":6890.0999999940395},{""page_index"":3,""viewing_time"":1684.2999999970198},{""page_index"":4,""viewing_time"":1762.1000000089407},{""page_index"":5,""viewing_time"":626},{""page_index"":6,""viewing_time"":1248.199999988079}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:27:53
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc98bd239912070a2d37b","html-keyboard-response",7,380382,"0.0-6.0-1.0","G5xWq0T2wTQiZKV5zQXrnAtFVf7kE0+xQTgK2Ne7lgEcJN4hZcBApHNYXqf4RNn8zhTv9funSYX3qfIIlWlYvRZmNSyYpTU//2K6hN9jEmRIsV9v5oT2j1sNkx5jpCzRY83c2tfGBl9CjUVk/jclrD85SMhTs02XEdOzzZHlj7/5mlmUdWGhwECZazueM/0PVGdWeo8tFiBCPwMkIupSJHycwgv2WiGkhDHnL+dfHNOTK5nWl3WcQt12Zoopz+0xLKLIHJYbe/wsDSw/spuwiE9PUcOlDtySgV+hbTOVfr27vPVyDg+cCiYa0FlqY0/jddtTmzlvqanGdqaSybgFIA==","691f8ca61c6b4dcbb0aeb5f4","691fc98bd239912070a2d37b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:27:53
"13644.70000000298","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc98bd239912070a2d37b","survey-multi-choice",8,394028,"0.0-7.0-0.0","G5xWq0T2wTQiZKV5zQXrnAtFVf7kE0+xQTgK2Ne7lgEcJN4hZcBApHNYXqf4RNn8zhTv9funSYX3qfIIlWlYvRZmNSyYpTU//2K6hN9jEmRIsV9v5oT2j1sNkx5jpCzRY83c2tfGBl9CjUVk/jclrD85SMhTs02XEdOzzZHlj7/5mlmUdWGhwECZazueM/0PVGdWeo8tFiBCPwMkIupSJHycwgv2WiGkhDHnL+dfHNOTK5nWl3WcQt12Zoopz+0xLKLIHJYbe/wsDSw/spuwiE9PUcOlDtySgV+hbTOVfr27vPVyDg+cCiYa0FlqY0/jddtTmzlvqanGdqaSybgFIA==","691f8ca61c6b4dcbb0aeb5f4","691fc98bd239912070a2d37b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:27:53
"16224.800000011921","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc98bd239912070a2d37b","instructions",9,410257,"0.0-305.0","G5xWq0T2wTQiZKV5zQXrnAtFVf7kE0+xQTgK2Ne7lgEcJN4hZcBApHNYXqf4RNn8zhTv9funSYX3qfIIlWlYvRZmNSyYpTU//2K6hN9jEmRIsV9v5oT2j1sNkx5jpCzRY83c2tfGBl9CjUVk/jclrD85SMhTs02XEdOzzZHlj7/5mlmUdWGhwECZazueM/0PVGdWeo8tFiBCPwMkIupSJHycwgv2WiGkhDHnL+dfHNOTK5nWl3WcQt12Zoopz+0xLKLIHJYbe/wsDSw/spuwiE9PUcOlDtySgV+hbTOVfr27vPVyDg+cCiYa0FlqY0/jddtTmzlvqanGdqaSybgFIA==","691f8ca61c6b4dcbb0aeb5f4","691fc98bd239912070a2d37b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":10680.800000011921},{""page_index"":1,""viewing_time"":5543.699999988079}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:27:53
