"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"3965.7999999523163","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd46bcdd5e877c02610e6","external-html",0,4067,"0.0-0.0","qqw+6O/bmICv0iLz6CgEWGDcPB0HX5+sUUVykZwRai9KQQRWmombCzTQ/PEttFMWKs/1pNPyEwijxsSbr4jvIAJEg1b6M/Djd6fTKIZAz5pIhl/q6GLnFauyk6V1phG4mUWatPouLx0yV9U/8mT2SmgSRcNzAw+B14aq8jzrYN98bwtX1UVdAr+cIMjFRzmvEo9wq5HArbOBVYp60wnNQWpzEjYCZFgRuv7admnEximdmlMGDWrn4N5BvPU1zCGsxoicHT2NREIymUqiwWT8mPdxlNErN4S7tP/DkymwR8jieLEqG9N0BX2KLmrJyrDkptojsdrOtvgogvej3M5X1g==","69168b21477cff9ada6cb980","691bd46bcdd5e877c02610e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:23:16
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd46bcdd5e877c02610e6","fullscreen",1,9745,"0.0-1.0","qqw+6O/bmICv0iLz6CgEWGDcPB0HX5+sUUVykZwRai9KQQRWmombCzTQ/PEttFMWKs/1pNPyEwijxsSbr4jvIAJEg1b6M/Djd6fTKIZAz5pIhl/q6GLnFauyk6V1phG4mUWatPouLx0yV9U/8mT2SmgSRcNzAw+B14aq8jzrYN98bwtX1UVdAr+cIMjFRzmvEo9wq5HArbOBVYp60wnNQWpzEjYCZFgRuv7admnEximdmlMGDWrn4N5BvPU1zCGsxoicHT2NREIymUqiwWT8mPdxlNErN4S7tP/DkymwR8jieLEqG9N0BX2KLmrJyrDkptojsdrOtvgogvej3M5X1g==","69168b21477cff9ada6cb980","691bd46bcdd5e877c02610e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:23:16
"274034.40000009537","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd46bcdd5e877c02610e6","instructions",2,283782,"0.0-2.0","qqw+6O/bmICv0iLz6CgEWGDcPB0HX5+sUUVykZwRai9KQQRWmombCzTQ/PEttFMWKs/1pNPyEwijxsSbr4jvIAJEg1b6M/Djd6fTKIZAz5pIhl/q6GLnFauyk6V1phG4mUWatPouLx0yV9U/8mT2SmgSRcNzAw+B14aq8jzrYN98bwtX1UVdAr+cIMjFRzmvEo9wq5HArbOBVYp60wnNQWpzEjYCZFgRuv7admnEximdmlMGDWrn4N5BvPU1zCGsxoicHT2NREIymUqiwWT8mPdxlNErN4S7tP/DkymwR8jieLEqG9N0BX2KLmrJyrDkptojsdrOtvgogvej3M5X1g==","69168b21477cff9ada6cb980","691bd46bcdd5e877c02610e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":105683.40000009537},{""page_index"":1,""viewing_time"":19720.299999952316},{""page_index"":2,""viewing_time"":110329.29999995232},{""page_index"":3,""viewing_time"":14357},{""page_index"":4,""viewing_time"":7146.299999952316},{""page_index"":5,""viewing_time"":12086},{""page_index"":6,""viewing_time"":4711.299999952316}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:23:16
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd46bcdd5e877c02610e6","html-keyboard-response",3,284801,"0.0-3.0","qqw+6O/bmICv0iLz6CgEWGDcPB0HX5+sUUVykZwRai9KQQRWmombCzTQ/PEttFMWKs/1pNPyEwijxsSbr4jvIAJEg1b6M/Djd6fTKIZAz5pIhl/q6GLnFauyk6V1phG4mUWatPouLx0yV9U/8mT2SmgSRcNzAw+B14aq8jzrYN98bwtX1UVdAr+cIMjFRzmvEo9wq5HArbOBVYp60wnNQWpzEjYCZFgRuv7admnEximdmlMGDWrn4N5BvPU1zCGsxoicHT2NREIymUqiwWT8mPdxlNErN4S7tP/DkymwR8jieLEqG9N0BX2KLmrJyrDkptojsdrOtvgogvej3M5X1g==","69168b21477cff9ada6cb980","691bd46bcdd5e877c02610e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:23:16
"39137.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd46bcdd5e877c02610e6","survey-multi-choice",4,323941,"0.0-4.0","qqw+6O/bmICv0iLz6CgEWGDcPB0HX5+sUUVykZwRai9KQQRWmombCzTQ/PEttFMWKs/1pNPyEwijxsSbr4jvIAJEg1b6M/Djd6fTKIZAz5pIhl/q6GLnFauyk6V1phG4mUWatPouLx0yV9U/8mT2SmgSRcNzAw+B14aq8jzrYN98bwtX1UVdAr+cIMjFRzmvEo9wq5HArbOBVYp60wnNQWpzEjYCZFgRuv7admnEximdmlMGDWrn4N5BvPU1zCGsxoicHT2NREIymUqiwWT8mPdxlNErN4S7tP/DkymwR8jieLEqG9N0BX2KLmrJyrDkptojsdrOtvgogvej3M5X1g==","69168b21477cff9ada6cb980","691bd46bcdd5e877c02610e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:23:16
"2212.4000000953674","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd46bcdd5e877c02610e6","html-button-response",5,326156,"0.0-5.0-0.0","qqw+6O/bmICv0iLz6CgEWGDcPB0HX5+sUUVykZwRai9KQQRWmombCzTQ/PEttFMWKs/1pNPyEwijxsSbr4jvIAJEg1b6M/Djd6fTKIZAz5pIhl/q6GLnFauyk6V1phG4mUWatPouLx0yV9U/8mT2SmgSRcNzAw+B14aq8jzrYN98bwtX1UVdAr+cIMjFRzmvEo9wq5HArbOBVYp60wnNQWpzEjYCZFgRuv7admnEximdmlMGDWrn4N5BvPU1zCGsxoicHT2NREIymUqiwWT8mPdxlNErN4S7tP/DkymwR8jieLEqG9N0BX2KLmrJyrDkptojsdrOtvgogvej3M5X1g==","69168b21477cff9ada6cb980","691bd46bcdd5e877c02610e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:23:16
"22875.89999985695","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd46bcdd5e877c02610e6","instructions",6,349034,"0.0-6.0-0.0","qqw+6O/bmICv0iLz6CgEWGDcPB0HX5+sUUVykZwRai9KQQRWmombCzTQ/PEttFMWKs/1pNPyEwijxsSbr4jvIAJEg1b6M/Djd6fTKIZAz5pIhl/q6GLnFauyk6V1phG4mUWatPouLx0yV9U/8mT2SmgSRcNzAw+B14aq8jzrYN98bwtX1UVdAr+cIMjFRzmvEo9wq5HArbOBVYp60wnNQWpzEjYCZFgRuv7admnEximdmlMGDWrn4N5BvPU1zCGsxoicHT2NREIymUqiwWT8mPdxlNErN4S7tP/DkymwR8jieLEqG9N0BX2KLmrJyrDkptojsdrOtvgogvej3M5X1g==","69168b21477cff9ada6cb980","691bd46bcdd5e877c02610e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":9834},{""page_index"":1,""viewing_time"":2497.7999999523163},{""page_index"":2,""viewing_time"":4624.099999904633},{""page_index"":3,""viewing_time"":2083.800000190735},{""page_index"":4,""viewing_time"":1293},{""page_index"":5,""viewing_time"":886.7999999523163},{""page_index"":6,""viewing_time"":1655.5999999046326}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:23:16
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd46bcdd5e877c02610e6","html-keyboard-response",7,350051,"0.0-6.0-1.0","qqw+6O/bmICv0iLz6CgEWGDcPB0HX5+sUUVykZwRai9KQQRWmombCzTQ/PEttFMWKs/1pNPyEwijxsSbr4jvIAJEg1b6M/Djd6fTKIZAz5pIhl/q6GLnFauyk6V1phG4mUWatPouLx0yV9U/8mT2SmgSRcNzAw+B14aq8jzrYN98bwtX1UVdAr+cIMjFRzmvEo9wq5HArbOBVYp60wnNQWpzEjYCZFgRuv7admnEximdmlMGDWrn4N5BvPU1zCGsxoicHT2NREIymUqiwWT8mPdxlNErN4S7tP/DkymwR8jieLEqG9N0BX2KLmrJyrDkptojsdrOtvgogvej3M5X1g==","69168b21477cff9ada6cb980","691bd46bcdd5e877c02610e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:23:16
"24159.799999952316","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd46bcdd5e877c02610e6","survey-multi-choice",8,374214,"0.0-7.0-0.0","qqw+6O/bmICv0iLz6CgEWGDcPB0HX5+sUUVykZwRai9KQQRWmombCzTQ/PEttFMWKs/1pNPyEwijxsSbr4jvIAJEg1b6M/Djd6fTKIZAz5pIhl/q6GLnFauyk6V1phG4mUWatPouLx0yV9U/8mT2SmgSRcNzAw+B14aq8jzrYN98bwtX1UVdAr+cIMjFRzmvEo9wq5HArbOBVYp60wnNQWpzEjYCZFgRuv7admnEximdmlMGDWrn4N5BvPU1zCGsxoicHT2NREIymUqiwWT8mPdxlNErN4S7tP/DkymwR8jieLEqG9N0BX2KLmrJyrDkptojsdrOtvgogvej3M5X1g==","69168b21477cff9ada6cb980","691bd46bcdd5e877c02610e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with one round."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:23:16
"1622.3000001907349","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd46bcdd5e877c02610e6","html-button-response",9,375840,"0.0-8.0-0.0","qqw+6O/bmICv0iLz6CgEWGDcPB0HX5+sUUVykZwRai9KQQRWmombCzTQ/PEttFMWKs/1pNPyEwijxsSbr4jvIAJEg1b6M/Djd6fTKIZAz5pIhl/q6GLnFauyk6V1phG4mUWatPouLx0yV9U/8mT2SmgSRcNzAw+B14aq8jzrYN98bwtX1UVdAr+cIMjFRzmvEo9wq5HArbOBVYp60wnNQWpzEjYCZFgRuv7admnEximdmlMGDWrn4N5BvPU1zCGsxoicHT2NREIymUqiwWT8mPdxlNErN4S7tP/DkymwR8jieLEqG9N0BX2KLmrJyrDkptojsdrOtvgogvej3M5X1g==","69168b21477cff9ada6cb980","691bd46bcdd5e877c02610e6","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:23:16
