"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"16101.399999976158","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37daff303c8f38c45fe","external-html",0,16199,"0.0-0.0","TcKSGcD5csyANglOWe4KcJwCyG/wLAW2HeOdiDwbYX0Xs41T3K6hG0oW/ovqUGwbfxnkcmv1eQZyol/sBbmYq15wQlYsbq/dvC6oxoj/sPOaFLhVGeouXL/PXez93wbteu04p3DuOlQiFwxdH7y453LxwFhFLCNMHSTG2Cu/Pp3XbyBQ9XlEdqr5A95w/w0N74DrMbu4YR9OzCSMbZWQczBMkaZufbOj/76YVw5ZSzqfy3X7O0eF59ttUB94YgZn5syJ2/bNX3vPn69ce+QEzAqpQhZYWDqp5AO76UXJO3H5hJWhnnnjSuGtphUQ/ylReCkN9hm6MGIctg02twAtJQ==","69168b21477cff9ada6cb980","691bd37daff303c8f38c45fe","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:26:15
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37daff303c8f38c45fe","fullscreen",1,24499,"0.0-1.0","TcKSGcD5csyANglOWe4KcJwCyG/wLAW2HeOdiDwbYX0Xs41T3K6hG0oW/ovqUGwbfxnkcmv1eQZyol/sBbmYq15wQlYsbq/dvC6oxoj/sPOaFLhVGeouXL/PXez93wbteu04p3DuOlQiFwxdH7y453LxwFhFLCNMHSTG2Cu/Pp3XbyBQ9XlEdqr5A95w/w0N74DrMbu4YR9OzCSMbZWQczBMkaZufbOj/76YVw5ZSzqfy3X7O0eF59ttUB94YgZn5syJ2/bNX3vPn69ce+QEzAqpQhZYWDqp5AO76UXJO3H5hJWhnnnjSuGtphUQ/ylReCkN9hm6MGIctg02twAtJQ==","69168b21477cff9ada6cb980","691bd37daff303c8f38c45fe","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:26:15
"232663.29999995232","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37daff303c8f38c45fe","instructions",2,257157,"0.0-2.0","TcKSGcD5csyANglOWe4KcJwCyG/wLAW2HeOdiDwbYX0Xs41T3K6hG0oW/ovqUGwbfxnkcmv1eQZyol/sBbmYq15wQlYsbq/dvC6oxoj/sPOaFLhVGeouXL/PXez93wbteu04p3DuOlQiFwxdH7y453LxwFhFLCNMHSTG2Cu/Pp3XbyBQ9XlEdqr5A95w/w0N74DrMbu4YR9OzCSMbZWQczBMkaZufbOj/76YVw5ZSzqfy3X7O0eF59ttUB94YgZn5syJ2/bNX3vPn69ce+QEzAqpQhZYWDqp5AO76UXJO3H5hJWhnnnjSuGtphUQ/ylReCkN9hm6MGIctg02twAtJQ==","69168b21477cff9ada6cb980","691bd37daff303c8f38c45fe","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":47746.60000002384},{""page_index"":1,""viewing_time"":35349.60000002384},{""page_index"":2,""viewing_time"":31149.899999976158},{""page_index"":3,""viewing_time"":66666.69999992847},{""page_index"":4,""viewing_time"":15699.800000071526},{""page_index"":5,""viewing_time"":27550},{""page_index"":6,""viewing_time"":8500.100000023842}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:26:15
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37daff303c8f38c45fe","html-keyboard-response",3,258159,"0.0-3.0","TcKSGcD5csyANglOWe4KcJwCyG/wLAW2HeOdiDwbYX0Xs41T3K6hG0oW/ovqUGwbfxnkcmv1eQZyol/sBbmYq15wQlYsbq/dvC6oxoj/sPOaFLhVGeouXL/PXez93wbteu04p3DuOlQiFwxdH7y453LxwFhFLCNMHSTG2Cu/Pp3XbyBQ9XlEdqr5A95w/w0N74DrMbu4YR9OzCSMbZWQczBMkaZufbOj/76YVw5ZSzqfy3X7O0eF59ttUB94YgZn5syJ2/bNX3vPn69ce+QEzAqpQhZYWDqp5AO76UXJO3H5hJWhnnnjSuGtphUQ/ylReCkN9hm6MGIctg02twAtJQ==","69168b21477cff9ada6cb980","691bd37daff303c8f38c45fe","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:26:15
"101214","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37daff303c8f38c45fe","survey-multi-choice",4,359372,"0.0-4.0","TcKSGcD5csyANglOWe4KcJwCyG/wLAW2HeOdiDwbYX0Xs41T3K6hG0oW/ovqUGwbfxnkcmv1eQZyol/sBbmYq15wQlYsbq/dvC6oxoj/sPOaFLhVGeouXL/PXez93wbteu04p3DuOlQiFwxdH7y453LxwFhFLCNMHSTG2Cu/Pp3XbyBQ9XlEdqr5A95w/w0N74DrMbu4YR9OzCSMbZWQczBMkaZufbOj/76YVw5ZSzqfy3X7O0eF59ttUB94YgZn5syJ2/bNX3vPn69ce+QEzAqpQhZYWDqp5AO76UXJO3H5hJWhnnnjSuGtphUQ/ylReCkN9hm6MGIctg02twAtJQ==","69168b21477cff9ada6cb980","691bd37daff303c8f38c45fe","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:26:15
"25858.299999952316","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37daff303c8f38c45fe","instructions",5,385236,"0.0-305.0","TcKSGcD5csyANglOWe4KcJwCyG/wLAW2HeOdiDwbYX0Xs41T3K6hG0oW/ovqUGwbfxnkcmv1eQZyol/sBbmYq15wQlYsbq/dvC6oxoj/sPOaFLhVGeouXL/PXez93wbteu04p3DuOlQiFwxdH7y453LxwFhFLCNMHSTG2Cu/Pp3XbyBQ9XlEdqr5A95w/w0N74DrMbu4YR9OzCSMbZWQczBMkaZufbOj/76YVw5ZSzqfy3X7O0eF59ttUB94YgZn5syJ2/bNX3vPn69ce+QEzAqpQhZYWDqp5AO76UXJO3H5hJWhnnnjSuGtphUQ/ylReCkN9hm6MGIctg02twAtJQ==","69168b21477cff9ada6cb980","691bd37daff303c8f38c45fe","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":17207.600000023842},{""page_index"":1,""viewing_time"":8650.399999976158}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:26:15
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37daff303c8f38c45fe","html-keyboard-response",6,386238,"0.0-306.0","TcKSGcD5csyANglOWe4KcJwCyG/wLAW2HeOdiDwbYX0Xs41T3K6hG0oW/ovqUGwbfxnkcmv1eQZyol/sBbmYq15wQlYsbq/dvC6oxoj/sPOaFLhVGeouXL/PXez93wbteu04p3DuOlQiFwxdH7y453LxwFhFLCNMHSTG2Cu/Pp3XbyBQ9XlEdqr5A95w/w0N74DrMbu4YR9OzCSMbZWQczBMkaZufbOj/76YVw5ZSzqfy3X7O0eF59ttUB94YgZn5syJ2/bNX3vPn69ce+QEzAqpQhZYWDqp5AO76UXJO3H5hJWhnnnjSuGtphUQ/ylReCkN9hm6MGIctg02twAtJQ==","69168b21477cff9ada6cb980","691bd37daff303c8f38c45fe","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:26:15
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37daff303c8f38c45fe","html-keyboard-response",7,389241,"0.0-307.0","TcKSGcD5csyANglOWe4KcJwCyG/wLAW2HeOdiDwbYX0Xs41T3K6hG0oW/ovqUGwbfxnkcmv1eQZyol/sBbmYq15wQlYsbq/dvC6oxoj/sPOaFLhVGeouXL/PXez93wbteu04p3DuOlQiFwxdH7y453LxwFhFLCNMHSTG2Cu/Pp3XbyBQ9XlEdqr5A95w/w0N74DrMbu4YR9OzCSMbZWQczBMkaZufbOj/76YVw5ZSzqfy3X7O0eF59ttUB94YgZn5syJ2/bNX3vPn69ce+QEzAqpQhZYWDqp5AO76UXJO3H5hJWhnnnjSuGtphUQ/ylReCkN9hm6MGIctg02twAtJQ==","69168b21477cff9ada6cb980","691bd37daff303c8f38c45fe","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:26:15
"42941.59999990463","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37daff303c8f38c45fe","survey-html-form",8,432185,"0.0-308.0","TcKSGcD5csyANglOWe4KcJwCyG/wLAW2HeOdiDwbYX0Xs41T3K6hG0oW/ovqUGwbfxnkcmv1eQZyol/sBbmYq15wQlYsbq/dvC6oxoj/sPOaFLhVGeouXL/PXez93wbteu04p3DuOlQiFwxdH7y453LxwFhFLCNMHSTG2Cu/Pp3XbyBQ9XlEdqr5A95w/w0N74DrMbu4YR9OzCSMbZWQczBMkaZufbOj/76YVw5ZSzqfy3X7O0eF59ttUB94YgZn5syJ2/bNX3vPn69ce+QEzAqpQhZYWDqp5AO76UXJO3H5hJWhnnnjSuGtphUQ/ylReCkN9hm6MGIctg02twAtJQ==","69168b21477cff9ada6cb980","691bd37daff303c8f38c45fe","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""5"",""box2"":""5""}","",1,"round1_outcome",1,1,1,5,5,NA,NA,0,0,10,5,5,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:26:15
"24630.299999952316","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37daff303c8f38c45fe","survey-html-form",9,456817,"0.0-309.0","TcKSGcD5csyANglOWe4KcJwCyG/wLAW2HeOdiDwbYX0Xs41T3K6hG0oW/ovqUGwbfxnkcmv1eQZyol/sBbmYq15wQlYsbq/dvC6oxoj/sPOaFLhVGeouXL/PXez93wbteu04p3DuOlQiFwxdH7y453LxwFhFLCNMHSTG2Cu/Pp3XbyBQ9XlEdqr5A95w/w0N74DrMbu4YR9OzCSMbZWQczBMkaZufbOj/76YVw5ZSzqfy3X7O0eF59ttUB94YgZn5syJ2/bNX3vPn69ce+QEzAqpQhZYWDqp5AO76UXJO3H5hJWhnnnjSuGtphUQ/ylReCkN9hm6MGIctg02twAtJQ==","69168b21477cff9ada6cb980","691bd37daff303c8f38c45fe","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""8"",""box2"":""8""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:26:15
