"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"11462.300000011921","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbdd6979be4775b0b1689","external-html",0,11939,"0.0-0.0","c43FLjbrguhv0PUPWa9UlFE2AIytyBuj+yaBnm5Pe4qajggJdZmgbeVw73q6F12yIZVIttkvXHJzMh2VZ/zokAjHdU5G8ekzNk7ZJleBf4IRRXj1bqJMbVxaTQhd6uSgV2ay25+DT1zznlkD9AmU0/z5x8IDAetja8yOgt2WnhaDqfynnwmExpCUGHPdsNGBGLj8qbWaKYe11vP4a7pHthBxe/u9HZ2BITQctzM1jnyL36iN+1qKOrKdrKYfQ9iTKr6IkJs1gXtwwDvFFKNK8fvkeYayoCKzCuaXiMM2/HYx+8r1yI7rf5yZCOS8RcqKtTFjO5/16KUgrBYQpGqPwA==","691f8ca61c6b4dcbb0aeb5f4","691fbdd6979be4775b0b1689","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:32
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbdd6979be4775b0b1689","fullscreen",1,20221,"0.0-1.0","c43FLjbrguhv0PUPWa9UlFE2AIytyBuj+yaBnm5Pe4qajggJdZmgbeVw73q6F12yIZVIttkvXHJzMh2VZ/zokAjHdU5G8ekzNk7ZJleBf4IRRXj1bqJMbVxaTQhd6uSgV2ay25+DT1zznlkD9AmU0/z5x8IDAetja8yOgt2WnhaDqfynnwmExpCUGHPdsNGBGLj8qbWaKYe11vP4a7pHthBxe/u9HZ2BITQctzM1jnyL36iN+1qKOrKdrKYfQ9iTKr6IkJs1gXtwwDvFFKNK8fvkeYayoCKzCuaXiMM2/HYx+8r1yI7rf5yZCOS8RcqKtTFjO5/16KUgrBYQpGqPwA==","691f8ca61c6b4dcbb0aeb5f4","691fbdd6979be4775b0b1689","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:32
"228326.10000002384","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbdd6979be4775b0b1689","instructions",2,248550,"0.0-2.0","c43FLjbrguhv0PUPWa9UlFE2AIytyBuj+yaBnm5Pe4qajggJdZmgbeVw73q6F12yIZVIttkvXHJzMh2VZ/zokAjHdU5G8ekzNk7ZJleBf4IRRXj1bqJMbVxaTQhd6uSgV2ay25+DT1zznlkD9AmU0/z5x8IDAetja8yOgt2WnhaDqfynnwmExpCUGHPdsNGBGLj8qbWaKYe11vP4a7pHthBxe/u9HZ2BITQctzM1jnyL36iN+1qKOrKdrKYfQ9iTKr6IkJs1gXtwwDvFFKNK8fvkeYayoCKzCuaXiMM2/HYx+8r1yI7rf5yZCOS8RcqKtTFjO5/16KUgrBYQpGqPwA==","691f8ca61c6b4dcbb0aeb5f4","691fbdd6979be4775b0b1689","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":34728.60000002384},{""page_index"":1,""viewing_time"":25037.399999976158},{""page_index"":2,""viewing_time"":14752.5},{""page_index"":3,""viewing_time"":70671.40000000596},{""page_index"":4,""viewing_time"":20110.09999999404},{""page_index"":5,""viewing_time"":40446.80000001192},{""page_index"":6,""viewing_time"":16083},{""page_index"":5,""viewing_time"":5647.5},{""page_index"":6,""viewing_time"":846.5}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:32
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbdd6979be4775b0b1689","html-keyboard-response",3,249567,"0.0-3.0","c43FLjbrguhv0PUPWa9UlFE2AIytyBuj+yaBnm5Pe4qajggJdZmgbeVw73q6F12yIZVIttkvXHJzMh2VZ/zokAjHdU5G8ekzNk7ZJleBf4IRRXj1bqJMbVxaTQhd6uSgV2ay25+DT1zznlkD9AmU0/z5x8IDAetja8yOgt2WnhaDqfynnwmExpCUGHPdsNGBGLj8qbWaKYe11vP4a7pHthBxe/u9HZ2BITQctzM1jnyL36iN+1qKOrKdrKYfQ9iTKr6IkJs1gXtwwDvFFKNK8fvkeYayoCKzCuaXiMM2/HYx+8r1yI7rf5yZCOS8RcqKtTFjO5/16KUgrBYQpGqPwA==","691f8ca61c6b4dcbb0aeb5f4","691fbdd6979be4775b0b1689","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:32
"143399.80000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbdd6979be4775b0b1689","survey-multi-choice",4,392975,"0.0-4.0","c43FLjbrguhv0PUPWa9UlFE2AIytyBuj+yaBnm5Pe4qajggJdZmgbeVw73q6F12yIZVIttkvXHJzMh2VZ/zokAjHdU5G8ekzNk7ZJleBf4IRRXj1bqJMbVxaTQhd6uSgV2ay25+DT1zznlkD9AmU0/z5x8IDAetja8yOgt2WnhaDqfynnwmExpCUGHPdsNGBGLj8qbWaKYe11vP4a7pHthBxe/u9HZ2BITQctzM1jnyL36iN+1qKOrKdrKYfQ9iTKr6IkJs1gXtwwDvFFKNK8fvkeYayoCKzCuaXiMM2/HYx+8r1yI7rf5yZCOS8RcqKtTFjO5/16KUgrBYQpGqPwA==","691f8ca61c6b4dcbb0aeb5f4","691fbdd6979be4775b0b1689","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:32
"24114","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbdd6979be4775b0b1689","instructions",5,417106,"0.0-305.0","c43FLjbrguhv0PUPWa9UlFE2AIytyBuj+yaBnm5Pe4qajggJdZmgbeVw73q6F12yIZVIttkvXHJzMh2VZ/zokAjHdU5G8ekzNk7ZJleBf4IRRXj1bqJMbVxaTQhd6uSgV2ay25+DT1zznlkD9AmU0/z5x8IDAetja8yOgt2WnhaDqfynnwmExpCUGHPdsNGBGLj8qbWaKYe11vP4a7pHthBxe/u9HZ2BITQctzM1jnyL36iN+1qKOrKdrKYfQ9iTKr6IkJs1gXtwwDvFFKNK8fvkeYayoCKzCuaXiMM2/HYx+8r1yI7rf5yZCOS8RcqKtTFjO5/16KUgrBYQpGqPwA==","691f8ca61c6b4dcbb0aeb5f4","691fbdd6979be4775b0b1689","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":18996.90000000596},{""page_index"":1,""viewing_time"":5112.799999982119}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:32
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbdd6979be4775b0b1689","html-keyboard-response",6,418123,"0.0-306.0","c43FLjbrguhv0PUPWa9UlFE2AIytyBuj+yaBnm5Pe4qajggJdZmgbeVw73q6F12yIZVIttkvXHJzMh2VZ/zokAjHdU5G8ekzNk7ZJleBf4IRRXj1bqJMbVxaTQhd6uSgV2ay25+DT1zznlkD9AmU0/z5x8IDAetja8yOgt2WnhaDqfynnwmExpCUGHPdsNGBGLj8qbWaKYe11vP4a7pHthBxe/u9HZ2BITQctzM1jnyL36iN+1qKOrKdrKYfQ9iTKr6IkJs1gXtwwDvFFKNK8fvkeYayoCKzCuaXiMM2/HYx+8r1yI7rf5yZCOS8RcqKtTFjO5/16KUgrBYQpGqPwA==","691f8ca61c6b4dcbb0aeb5f4","691fbdd6979be4775b0b1689","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:32
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbdd6979be4775b0b1689","html-keyboard-response",7,421138,"0.0-307.0","c43FLjbrguhv0PUPWa9UlFE2AIytyBuj+yaBnm5Pe4qajggJdZmgbeVw73q6F12yIZVIttkvXHJzMh2VZ/zokAjHdU5G8ekzNk7ZJleBf4IRRXj1bqJMbVxaTQhd6uSgV2ay25+DT1zznlkD9AmU0/z5x8IDAetja8yOgt2WnhaDqfynnwmExpCUGHPdsNGBGLj8qbWaKYe11vP4a7pHthBxe/u9HZ2BITQctzM1jnyL36iN+1qKOrKdrKYfQ9iTKr6IkJs1gXtwwDvFFKNK8fvkeYayoCKzCuaXiMM2/HYx+8r1yI7rf5yZCOS8RcqKtTFjO5/16KUgrBYQpGqPwA==","691f8ca61c6b4dcbb0aeb5f4","691fbdd6979be4775b0b1689","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:32
"50322.09999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbdd6979be4775b0b1689","survey-html-form",8,471475,"0.0-308.0","c43FLjbrguhv0PUPWa9UlFE2AIytyBuj+yaBnm5Pe4qajggJdZmgbeVw73q6F12yIZVIttkvXHJzMh2VZ/zokAjHdU5G8ekzNk7ZJleBf4IRRXj1bqJMbVxaTQhd6uSgV2ay25+DT1zznlkD9AmU0/z5x8IDAetja8yOgt2WnhaDqfynnwmExpCUGHPdsNGBGLj8qbWaKYe11vP4a7pHthBxe/u9HZ2BITQctzM1jnyL36iN+1qKOrKdrKYfQ9iTKr6IkJs1gXtwwDvFFKNK8fvkeYayoCKzCuaXiMM2/HYx+8r1yI7rf5yZCOS8RcqKtTFjO5/16KUgrBYQpGqPwA==","691f8ca61c6b4dcbb0aeb5f4","691fbdd6979be4775b0b1689","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""5"",""box2"":""1"",""box4"":""50""}","",1,"round1_outcome",1,1,1,5,1,NA,50,0,1,10,5,1,NA,50,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:32
"27854.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbdd6979be4775b0b1689","survey-html-form",9,499339,"0.0-309.0","c43FLjbrguhv0PUPWa9UlFE2AIytyBuj+yaBnm5Pe4qajggJdZmgbeVw73q6F12yIZVIttkvXHJzMh2VZ/zokAjHdU5G8ekzNk7ZJleBf4IRRXj1bqJMbVxaTQhd6uSgV2ay25+DT1zznlkD9AmU0/z5x8IDAetja8yOgt2WnhaDqfynnwmExpCUGHPdsNGBGLj8qbWaKYe11vP4a7pHthBxe/u9HZ2BITQctzM1jnyL36iN+1qKOrKdrKYfQ9iTKr6IkJs1gXtwwDvFFKNK8fvkeYayoCKzCuaXiMM2/HYx+8r1yI7rf5yZCOS8RcqKtTFjO5/16KUgrBYQpGqPwA==","691f8ca61c6b4dcbb0aeb5f4","691fbdd6979be4775b0b1689","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""50"",""box2"":""100""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,100,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:32
