"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"9740.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f923393c2e8a21cacff27","external-html",0,10602,"0.0-0.0","WOpHCwVljqWbB/datIEx/l129UweM8UFoB5/myFJFXykkN0DekzX4Q+BA4Ud6jb8tuiZ8ASRtFtuDKGUnzNqlhJyJvqKyjZA/lH0CY1jfKsfsmzCh0wmo/nE5Z1BvyaMu4T6t628HQQczyoKKdECa3t2SCRHDR70onUYJa57gsNPxJY4YyvVWdIUBqrvF3scQpET8HDZpIoaj1H8xYj3KCgibVQIpUNVmGQJXxi1+7HF4aHzIzX74fuQqzbntpCEjcqhqZwFtgH5dqNPlKDY7rJp3lKtUfIH3vXCrN1hbPeomCVsl+B3170hofffm/AbLO1xgOThAntxhnZy4mZk+w==","691f8ca61c6b4dcbb0aeb5f4","691f923393c2e8a21cacff27","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:23:16
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f923393c2e8a21cacff27","fullscreen",1,30839,"0.0-1.0","WOpHCwVljqWbB/datIEx/l129UweM8UFoB5/myFJFXykkN0DekzX4Q+BA4Ud6jb8tuiZ8ASRtFtuDKGUnzNqlhJyJvqKyjZA/lH0CY1jfKsfsmzCh0wmo/nE5Z1BvyaMu4T6t628HQQczyoKKdECa3t2SCRHDR70onUYJa57gsNPxJY4YyvVWdIUBqrvF3scQpET8HDZpIoaj1H8xYj3KCgibVQIpUNVmGQJXxi1+7HF4aHzIzX74fuQqzbntpCEjcqhqZwFtgH5dqNPlKDY7rJp3lKtUfIH3vXCrN1hbPeomCVsl+B3170hofffm/AbLO1xgOThAntxhnZy4mZk+w==","691f8ca61c6b4dcbb0aeb5f4","691f923393c2e8a21cacff27","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:23:16
"203889.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f923393c2e8a21cacff27","instructions",2,234731,"0.0-2.0","WOpHCwVljqWbB/datIEx/l129UweM8UFoB5/myFJFXykkN0DekzX4Q+BA4Ud6jb8tuiZ8ASRtFtuDKGUnzNqlhJyJvqKyjZA/lH0CY1jfKsfsmzCh0wmo/nE5Z1BvyaMu4T6t628HQQczyoKKdECa3t2SCRHDR70onUYJa57gsNPxJY4YyvVWdIUBqrvF3scQpET8HDZpIoaj1H8xYj3KCgibVQIpUNVmGQJXxi1+7HF4aHzIzX74fuQqzbntpCEjcqhqZwFtgH5dqNPlKDY7rJp3lKtUfIH3vXCrN1hbPeomCVsl+B3170hofffm/AbLO1xgOThAntxhnZy4mZk+w==","691f8ca61c6b4dcbb0aeb5f4","691f923393c2e8a21cacff27","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":21024.40000000596},{""page_index"":1,""viewing_time"":35338.40000000596},{""page_index"":2,""viewing_time"":14768.59999999404},{""page_index"":3,""viewing_time"":28973.09999999404},{""page_index"":4,""viewing_time"":78143.59999999404},{""page_index"":5,""viewing_time"":16776.5},{""page_index"":6,""viewing_time"":8862}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:23:16
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f923393c2e8a21cacff27","html-keyboard-response",3,235748,"0.0-3.0","WOpHCwVljqWbB/datIEx/l129UweM8UFoB5/myFJFXykkN0DekzX4Q+BA4Ud6jb8tuiZ8ASRtFtuDKGUnzNqlhJyJvqKyjZA/lH0CY1jfKsfsmzCh0wmo/nE5Z1BvyaMu4T6t628HQQczyoKKdECa3t2SCRHDR70onUYJa57gsNPxJY4YyvVWdIUBqrvF3scQpET8HDZpIoaj1H8xYj3KCgibVQIpUNVmGQJXxi1+7HF4aHzIzX74fuQqzbntpCEjcqhqZwFtgH5dqNPlKDY7rJp3lKtUfIH3vXCrN1hbPeomCVsl+B3170hofffm/AbLO1xgOThAntxhnZy4mZk+w==","691f8ca61c6b4dcbb0aeb5f4","691f923393c2e8a21cacff27","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:23:16
"19747.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f923393c2e8a21cacff27","survey-multi-choice",4,255504,"0.0-4.0","WOpHCwVljqWbB/datIEx/l129UweM8UFoB5/myFJFXykkN0DekzX4Q+BA4Ud6jb8tuiZ8ASRtFtuDKGUnzNqlhJyJvqKyjZA/lH0CY1jfKsfsmzCh0wmo/nE5Z1BvyaMu4T6t628HQQczyoKKdECa3t2SCRHDR70onUYJa57gsNPxJY4YyvVWdIUBqrvF3scQpET8HDZpIoaj1H8xYj3KCgibVQIpUNVmGQJXxi1+7HF4aHzIzX74fuQqzbntpCEjcqhqZwFtgH5dqNPlKDY7rJp3lKtUfIH3vXCrN1hbPeomCVsl+B3170hofffm/AbLO1xgOThAntxhnZy4mZk+w==","691f8ca61c6b4dcbb0aeb5f4","691f923393c2e8a21cacff27","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:23:16
"19069.30000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f923393c2e8a21cacff27","instructions",5,274590,"0.0-305.0","WOpHCwVljqWbB/datIEx/l129UweM8UFoB5/myFJFXykkN0DekzX4Q+BA4Ud6jb8tuiZ8ASRtFtuDKGUnzNqlhJyJvqKyjZA/lH0CY1jfKsfsmzCh0wmo/nE5Z1BvyaMu4T6t628HQQczyoKKdECa3t2SCRHDR70onUYJa57gsNPxJY4YyvVWdIUBqrvF3scQpET8HDZpIoaj1H8xYj3KCgibVQIpUNVmGQJXxi1+7HF4aHzIzX74fuQqzbntpCEjcqhqZwFtgH5dqNPlKDY7rJp3lKtUfIH3vXCrN1hbPeomCVsl+B3170hofffm/AbLO1xgOThAntxhnZy4mZk+w==","691f8ca61c6b4dcbb0aeb5f4","691f923393c2e8a21cacff27","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":12171.800000011921},{""page_index"":1,""viewing_time"":6896.9000000059605}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:23:16
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f923393c2e8a21cacff27","html-keyboard-response",6,275602,"0.0-306.0","WOpHCwVljqWbB/datIEx/l129UweM8UFoB5/myFJFXykkN0DekzX4Q+BA4Ud6jb8tuiZ8ASRtFtuDKGUnzNqlhJyJvqKyjZA/lH0CY1jfKsfsmzCh0wmo/nE5Z1BvyaMu4T6t628HQQczyoKKdECa3t2SCRHDR70onUYJa57gsNPxJY4YyvVWdIUBqrvF3scQpET8HDZpIoaj1H8xYj3KCgibVQIpUNVmGQJXxi1+7HF4aHzIzX74fuQqzbntpCEjcqhqZwFtgH5dqNPlKDY7rJp3lKtUfIH3vXCrN1hbPeomCVsl+B3170hofffm/AbLO1xgOThAntxhnZy4mZk+w==","691f8ca61c6b4dcbb0aeb5f4","691f923393c2e8a21cacff27","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:23:16
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f923393c2e8a21cacff27","html-keyboard-response",7,278612,"0.0-307.0","WOpHCwVljqWbB/datIEx/l129UweM8UFoB5/myFJFXykkN0DekzX4Q+BA4Ud6jb8tuiZ8ASRtFtuDKGUnzNqlhJyJvqKyjZA/lH0CY1jfKsfsmzCh0wmo/nE5Z1BvyaMu4T6t628HQQczyoKKdECa3t2SCRHDR70onUYJa57gsNPxJY4YyvVWdIUBqrvF3scQpET8HDZpIoaj1H8xYj3KCgibVQIpUNVmGQJXxi1+7HF4aHzIzX74fuQqzbntpCEjcqhqZwFtgH5dqNPlKDY7rJp3lKtUfIH3vXCrN1hbPeomCVsl+B3170hofffm/AbLO1xgOThAntxhnZy4mZk+w==","691f8ca61c6b4dcbb0aeb5f4","691f923393c2e8a21cacff27","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:23:16
"15534.09999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f923393c2e8a21cacff27","survey-html-form",8,294154,"0.0-308.0","WOpHCwVljqWbB/datIEx/l129UweM8UFoB5/myFJFXykkN0DekzX4Q+BA4Ud6jb8tuiZ8ASRtFtuDKGUnzNqlhJyJvqKyjZA/lH0CY1jfKsfsmzCh0wmo/nE5Z1BvyaMu4T6t628HQQczyoKKdECa3t2SCRHDR70onUYJa57gsNPxJY4YyvVWdIUBqrvF3scQpET8HDZpIoaj1H8xYj3KCgibVQIpUNVmGQJXxi1+7HF4aHzIzX74fuQqzbntpCEjcqhqZwFtgH5dqNPlKDY7rJp3lKtUfIH3vXCrN1hbPeomCVsl+B3170hofffm/AbLO1xgOThAntxhnZy4mZk+w==","691f8ca61c6b4dcbb0aeb5f4","691f923393c2e8a21cacff27","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""2"",""box2"":""3""}","",1,"round1_outcome",1,1,1,2,3,NA,NA,0,0,10,2,3,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:23:16
"8503.799999982119","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f923393c2e8a21cacff27","survey-html-form",9,302669,"0.0-309.0","WOpHCwVljqWbB/datIEx/l129UweM8UFoB5/myFJFXykkN0DekzX4Q+BA4Ud6jb8tuiZ8ASRtFtuDKGUnzNqlhJyJvqKyjZA/lH0CY1jfKsfsmzCh0wmo/nE5Z1BvyaMu4T6t628HQQczyoKKdECa3t2SCRHDR70onUYJa57gsNPxJY4YyvVWdIUBqrvF3scQpET8HDZpIoaj1H8xYj3KCgibVQIpUNVmGQJXxi1+7HF4aHzIzX74fuQqzbntpCEjcqhqZwFtgH5dqNPlKDY7rJp3lKtUfIH3vXCrN1hbPeomCVsl+B3170hofffm/AbLO1xgOThAntxhnZy4mZk+w==","691f8ca61c6b4dcbb0aeb5f4","691f923393c2e8a21cacff27","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""25"",""box2"":""25""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:23:16
