"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"1578.3999999761581","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7bce524825be65c1ef8","external-html",0,1698,"0.0-0.0","L9lzJsdZuiSESgJ1Te2RrA/lPCslSuI6g/bHAoFcdoTtE/KmzcOUt0LkoLSmiVCtfVWFnpXY1iE4L5d3mJtoNtevISZdacDcjuGlCSw+e2x2vaHU3P+mAd+gR/WRfxDPUV1Qrq+bcH0peoRnUdG4n9LSCGznidhKvWEGOePo+QipFgoa3Ra3jrhiK14tJaxJ93oUyovWuRRkK8/3IHp7P/Y1yckF0j3xsC/niyjE2U89DROVjjX7CxZCZnqCp8jR45ecrypZ9t9B9kL2jLIRtHVu0bNHrjroLN8CyidmFUNQ1Z3Qn6BTmegq0ajHT2hLq/uSZzkX7utavye8sM5eMg==","691f8ca61c6b4dcbb0aeb5f4","691fc7bce524825be65c1ef8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:13:49
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7bce524825be65c1ef8","fullscreen",1,4212,"0.0-1.0","L9lzJsdZuiSESgJ1Te2RrA/lPCslSuI6g/bHAoFcdoTtE/KmzcOUt0LkoLSmiVCtfVWFnpXY1iE4L5d3mJtoNtevISZdacDcjuGlCSw+e2x2vaHU3P+mAd+gR/WRfxDPUV1Qrq+bcH0peoRnUdG4n9LSCGznidhKvWEGOePo+QipFgoa3Ra3jrhiK14tJaxJ93oUyovWuRRkK8/3IHp7P/Y1yckF0j3xsC/niyjE2U89DROVjjX7CxZCZnqCp8jR45ecrypZ9t9B9kL2jLIRtHVu0bNHrjroLN8CyidmFUNQ1Z3Qn6BTmegq0ajHT2hLq/uSZzkX7utavye8sM5eMg==","691f8ca61c6b4dcbb0aeb5f4","691fc7bce524825be65c1ef8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:13:49
"265938.60000002384","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7bce524825be65c1ef8","instructions",2,270151,"0.0-2.0","L9lzJsdZuiSESgJ1Te2RrA/lPCslSuI6g/bHAoFcdoTtE/KmzcOUt0LkoLSmiVCtfVWFnpXY1iE4L5d3mJtoNtevISZdacDcjuGlCSw+e2x2vaHU3P+mAd+gR/WRfxDPUV1Qrq+bcH0peoRnUdG4n9LSCGznidhKvWEGOePo+QipFgoa3Ra3jrhiK14tJaxJ93oUyovWuRRkK8/3IHp7P/Y1yckF0j3xsC/niyjE2U89DROVjjX7CxZCZnqCp8jR45ecrypZ9t9B9kL2jLIRtHVu0bNHrjroLN8CyidmFUNQ1Z3Qn6BTmegq0ajHT2hLq/uSZzkX7utavye8sM5eMg==","691f8ca61c6b4dcbb0aeb5f4","691fc7bce524825be65c1ef8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":41126.300000071526},{""page_index"":1,""viewing_time"":25276.100000023842},{""page_index"":2,""viewing_time"":12155.899999976158},{""page_index"":3,""viewing_time"":140076.19999992847},{""page_index"":4,""viewing_time"":12117.900000095367},{""page_index"":5,""viewing_time"":18870.099999904633},{""page_index"":6,""viewing_time"":16315.900000095367}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:13:49
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7bce524825be65c1ef8","html-keyboard-response",3,271156,"0.0-3.0","L9lzJsdZuiSESgJ1Te2RrA/lPCslSuI6g/bHAoFcdoTtE/KmzcOUt0LkoLSmiVCtfVWFnpXY1iE4L5d3mJtoNtevISZdacDcjuGlCSw+e2x2vaHU3P+mAd+gR/WRfxDPUV1Qrq+bcH0peoRnUdG4n9LSCGznidhKvWEGOePo+QipFgoa3Ra3jrhiK14tJaxJ93oUyovWuRRkK8/3IHp7P/Y1yckF0j3xsC/niyjE2U89DROVjjX7CxZCZnqCp8jR45ecrypZ9t9B9kL2jLIRtHVu0bNHrjroLN8CyidmFUNQ1Z3Qn6BTmegq0ajHT2hLq/uSZzkX7utavye8sM5eMg==","691f8ca61c6b4dcbb0aeb5f4","691fc7bce524825be65c1ef8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:13:49
"63345.299999952316","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7bce524825be65c1ef8","survey-multi-choice",4,334503,"0.0-4.0","L9lzJsdZuiSESgJ1Te2RrA/lPCslSuI6g/bHAoFcdoTtE/KmzcOUt0LkoLSmiVCtfVWFnpXY1iE4L5d3mJtoNtevISZdacDcjuGlCSw+e2x2vaHU3P+mAd+gR/WRfxDPUV1Qrq+bcH0peoRnUdG4n9LSCGznidhKvWEGOePo+QipFgoa3Ra3jrhiK14tJaxJ93oUyovWuRRkK8/3IHp7P/Y1yckF0j3xsC/niyjE2U89DROVjjX7CxZCZnqCp8jR45ecrypZ9t9B9kL2jLIRtHVu0bNHrjroLN8CyidmFUNQ1Z3Qn6BTmegq0ajHT2hLq/uSZzkX7utavye8sM5eMg==","691f8ca61c6b4dcbb0aeb5f4","691fc7bce524825be65c1ef8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with one round."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:13:49
"3148.0999999046326","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7bce524825be65c1ef8","html-button-response",5,337652,"0.0-5.0-1.0","L9lzJsdZuiSESgJ1Te2RrA/lPCslSuI6g/bHAoFcdoTtE/KmzcOUt0LkoLSmiVCtfVWFnpXY1iE4L5d3mJtoNtevISZdacDcjuGlCSw+e2x2vaHU3P+mAd+gR/WRfxDPUV1Qrq+bcH0peoRnUdG4n9LSCGznidhKvWEGOePo+QipFgoa3Ra3jrhiK14tJaxJ93oUyovWuRRkK8/3IHp7P/Y1yckF0j3xsC/niyjE2U89DROVjjX7CxZCZnqCp8jR45ecrypZ9t9B9kL2jLIRtHVu0bNHrjroLN8CyidmFUNQ1Z3Qn6BTmegq0ajHT2hLq/uSZzkX7utavye8sM5eMg==","691f8ca61c6b4dcbb0aeb5f4","691fc7bce524825be65c1ef8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:13:49
"81377.79999995232","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7bce524825be65c1ef8","instructions",6,419030,"0.0-6.0-0.0","L9lzJsdZuiSESgJ1Te2RrA/lPCslSuI6g/bHAoFcdoTtE/KmzcOUt0LkoLSmiVCtfVWFnpXY1iE4L5d3mJtoNtevISZdacDcjuGlCSw+e2x2vaHU3P+mAd+gR/WRfxDPUV1Qrq+bcH0peoRnUdG4n9LSCGznidhKvWEGOePo+QipFgoa3Ra3jrhiK14tJaxJ93oUyovWuRRkK8/3IHp7P/Y1yckF0j3xsC/niyjE2U89DROVjjX7CxZCZnqCp8jR45ecrypZ9t9B9kL2jLIRtHVu0bNHrjroLN8CyidmFUNQ1Z3Qn6BTmegq0ajHT2hLq/uSZzkX7utavye8sM5eMg==","691f8ca61c6b4dcbb0aeb5f4","691fc7bce524825be65c1ef8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":27663.399999976158},{""page_index"":1,""viewing_time"":9507.800000071526},{""page_index"":2,""viewing_time"":10496.099999904633},{""page_index"":3,""viewing_time"":9577.900000095367},{""page_index"":4,""viewing_time"":9182.099999904633},{""page_index"":5,""viewing_time"":13413.900000095367},{""page_index"":6,""viewing_time"":1536.3999999761581}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:13:49
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7bce524825be65c1ef8","html-keyboard-response",7,420039,"0.0-6.0-1.0","L9lzJsdZuiSESgJ1Te2RrA/lPCslSuI6g/bHAoFcdoTtE/KmzcOUt0LkoLSmiVCtfVWFnpXY1iE4L5d3mJtoNtevISZdacDcjuGlCSw+e2x2vaHU3P+mAd+gR/WRfxDPUV1Qrq+bcH0peoRnUdG4n9LSCGznidhKvWEGOePo+QipFgoa3Ra3jrhiK14tJaxJ93oUyovWuRRkK8/3IHp7P/Y1yckF0j3xsC/niyjE2U89DROVjjX7CxZCZnqCp8jR45ecrypZ9t9B9kL2jLIRtHVu0bNHrjroLN8CyidmFUNQ1Z3Qn6BTmegq0ajHT2hLq/uSZzkX7utavye8sM5eMg==","691f8ca61c6b4dcbb0aeb5f4","691fc7bce524825be65c1ef8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:13:49
"33038.10000002384","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7bce524825be65c1ef8","survey-multi-choice",8,453078,"0.0-7.0-0.0","L9lzJsdZuiSESgJ1Te2RrA/lPCslSuI6g/bHAoFcdoTtE/KmzcOUt0LkoLSmiVCtfVWFnpXY1iE4L5d3mJtoNtevISZdacDcjuGlCSw+e2x2vaHU3P+mAd+gR/WRfxDPUV1Qrq+bcH0peoRnUdG4n9LSCGznidhKvWEGOePo+QipFgoa3Ra3jrhiK14tJaxJ93oUyovWuRRkK8/3IHp7P/Y1yckF0j3xsC/niyjE2U89DROVjjX7CxZCZnqCp8jR45ecrypZ9t9B9kL2jLIRtHVu0bNHrjroLN8CyidmFUNQ1Z3Qn6BTmegq0ajHT2hLq/uSZzkX7utavye8sM5eMg==","691f8ca61c6b4dcbb0aeb5f4","691fc7bce524825be65c1ef8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:13:49
"5941.200000047684","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc7bce524825be65c1ef8","instructions",9,459022,"0.0-305.0","L9lzJsdZuiSESgJ1Te2RrA/lPCslSuI6g/bHAoFcdoTtE/KmzcOUt0LkoLSmiVCtfVWFnpXY1iE4L5d3mJtoNtevISZdacDcjuGlCSw+e2x2vaHU3P+mAd+gR/WRfxDPUV1Qrq+bcH0peoRnUdG4n9LSCGznidhKvWEGOePo+QipFgoa3Ra3jrhiK14tJaxJ93oUyovWuRRkK8/3IHp7P/Y1yckF0j3xsC/niyjE2U89DROVjjX7CxZCZnqCp8jR45ecrypZ9t9B9kL2jLIRtHVu0bNHrjroLN8CyidmFUNQ1Z3Qn6BTmegq0ajHT2hLq/uSZzkX7utavye8sM5eMg==","691f8ca61c6b4dcbb0aeb5f4","691fc7bce524825be65c1ef8","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":2542.7999999523163},{""page_index"":1,""viewing_time"":3398.3000000715256}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:13:49
