"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"18039.30000000028","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691faaec855d05685b6c7f44","external-html",0,18243,"0.0-0.0","n/q672NhZTS656vxxj878tCyr5L548TnC6vP/N/sGFtI+IReltecASoEzMlFgYVIv8EhjAgynsh3CjPvddTsT3aPB4nsKHKqNykX/FjuUE6thV9Xl4JT0e6ZFf+avmqeyguk1Tu6f62BKur6hm82Lc6W/yIf0hKTxlMclBAlHxNObz32oQEcB6/lf0gt6gc2lSjR4Vh3joJPRPkqFl9WJ3v8sVK5WT+p2R3d4RzNn9g2CSTZXyJOOs+i4Yv+/hk9awvmOi1gAsHrXp6IcocACbQ4vPXuoOC7i3odTPFRo/paADXRZ171vKTjRQ2lt+E5gnd3FSSYRbIOIWGqyQshMg==","691f8ca61c6b4dcbb0aeb5f4","691faaec855d05685b6c7f44","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:14:18
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691faaec855d05685b6c7f44","fullscreen",1,23515,"0.0-1.0","n/q672NhZTS656vxxj878tCyr5L548TnC6vP/N/sGFtI+IReltecASoEzMlFgYVIv8EhjAgynsh3CjPvddTsT3aPB4nsKHKqNykX/FjuUE6thV9Xl4JT0e6ZFf+avmqeyguk1Tu6f62BKur6hm82Lc6W/yIf0hKTxlMclBAlHxNObz32oQEcB6/lf0gt6gc2lSjR4Vh3joJPRPkqFl9WJ3v8sVK5WT+p2R3d4RzNn9g2CSTZXyJOOs+i4Yv+/hk9awvmOi1gAsHrXp6IcocACbQ4vPXuoOC7i3odTPFRo/paADXRZ171vKTjRQ2lt+E5gnd3FSSYRbIOIWGqyQshMg==","691f8ca61c6b4dcbb0aeb5f4","691faaec855d05685b6c7f44","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:14:18
"155831.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691faaec855d05685b6c7f44","instructions",2,179349,"0.0-2.0","n/q672NhZTS656vxxj878tCyr5L548TnC6vP/N/sGFtI+IReltecASoEzMlFgYVIv8EhjAgynsh3CjPvddTsT3aPB4nsKHKqNykX/FjuUE6thV9Xl4JT0e6ZFf+avmqeyguk1Tu6f62BKur6hm82Lc6W/yIf0hKTxlMclBAlHxNObz32oQEcB6/lf0gt6gc2lSjR4Vh3joJPRPkqFl9WJ3v8sVK5WT+p2R3d4RzNn9g2CSTZXyJOOs+i4Yv+/hk9awvmOi1gAsHrXp6IcocACbQ4vPXuoOC7i3odTPFRo/paADXRZ171vKTjRQ2lt+E5gnd3FSSYRbIOIWGqyQshMg==","691f8ca61c6b4dcbb0aeb5f4","691faaec855d05685b6c7f44","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":29916.899999999907},{""page_index"":1,""viewing_time"":61080.299999999814},{""page_index"":2,""viewing_time"":31497.399999999907},{""page_index"":3,""viewing_time"":12566.80000000028},{""page_index"":4,""viewing_time"":7466.600000000093},{""page_index"":5,""viewing_time"":8840.799999999814},{""page_index"":6,""viewing_time"":4462.100000000093}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:14:18
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691faaec855d05685b6c7f44","html-keyboard-response",3,180354,"0.0-3.0","n/q672NhZTS656vxxj878tCyr5L548TnC6vP/N/sGFtI+IReltecASoEzMlFgYVIv8EhjAgynsh3CjPvddTsT3aPB4nsKHKqNykX/FjuUE6thV9Xl4JT0e6ZFf+avmqeyguk1Tu6f62BKur6hm82Lc6W/yIf0hKTxlMclBAlHxNObz32oQEcB6/lf0gt6gc2lSjR4Vh3joJPRPkqFl9WJ3v8sVK5WT+p2R3d4RzNn9g2CSTZXyJOOs+i4Yv+/hk9awvmOi1gAsHrXp6IcocACbQ4vPXuoOC7i3odTPFRo/paADXRZ171vKTjRQ2lt+E5gnd3FSSYRbIOIWGqyQshMg==","691f8ca61c6b4dcbb0aeb5f4","691faaec855d05685b6c7f44","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:14:18
"36055.700000000186","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691faaec855d05685b6c7f44","survey-multi-choice",4,216413,"0.0-4.0","n/q672NhZTS656vxxj878tCyr5L548TnC6vP/N/sGFtI+IReltecASoEzMlFgYVIv8EhjAgynsh3CjPvddTsT3aPB4nsKHKqNykX/FjuUE6thV9Xl4JT0e6ZFf+avmqeyguk1Tu6f62BKur6hm82Lc6W/yIf0hKTxlMclBAlHxNObz32oQEcB6/lf0gt6gc2lSjR4Vh3joJPRPkqFl9WJ3v8sVK5WT+p2R3d4RzNn9g2CSTZXyJOOs+i4Yv+/hk9awvmOi1gAsHrXp6IcocACbQ4vPXuoOC7i3odTPFRo/paADXRZ171vKTjRQ2lt+E5gnd3FSSYRbIOIWGqyQshMg==","691f8ca61c6b4dcbb0aeb5f4","691faaec855d05685b6c7f44","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with one round."",""Q1"":""When a new round starts."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:14:18
"2426.899999999907","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691faaec855d05685b6c7f44","html-button-response",5,218844,"0.0-5.0-1.0","n/q672NhZTS656vxxj878tCyr5L548TnC6vP/N/sGFtI+IReltecASoEzMlFgYVIv8EhjAgynsh3CjPvddTsT3aPB4nsKHKqNykX/FjuUE6thV9Xl4JT0e6ZFf+avmqeyguk1Tu6f62BKur6hm82Lc6W/yIf0hKTxlMclBAlHxNObz32oQEcB6/lf0gt6gc2lSjR4Vh3joJPRPkqFl9WJ3v8sVK5WT+p2R3d4RzNn9g2CSTZXyJOOs+i4Yv+/hk9awvmOi1gAsHrXp6IcocACbQ4vPXuoOC7i3odTPFRo/paADXRZ171vKTjRQ2lt+E5gnd3FSSYRbIOIWGqyQshMg==","691f8ca61c6b4dcbb0aeb5f4","691faaec855d05685b6c7f44","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:14:18
"68582.19999999972","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691faaec855d05685b6c7f44","instructions",6,287427,"0.0-6.0-0.0","n/q672NhZTS656vxxj878tCyr5L548TnC6vP/N/sGFtI+IReltecASoEzMlFgYVIv8EhjAgynsh3CjPvddTsT3aPB4nsKHKqNykX/FjuUE6thV9Xl4JT0e6ZFf+avmqeyguk1Tu6f62BKur6hm82Lc6W/yIf0hKTxlMclBAlHxNObz32oQEcB6/lf0gt6gc2lSjR4Vh3joJPRPkqFl9WJ3v8sVK5WT+p2R3d4RzNn9g2CSTZXyJOOs+i4Yv+/hk9awvmOi1gAsHrXp6IcocACbQ4vPXuoOC7i3odTPFRo/paADXRZ171vKTjRQ2lt+E5gnd3FSSYRbIOIWGqyQshMg==","691f8ca61c6b4dcbb0aeb5f4","691faaec855d05685b6c7f44","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":28791.100000000093},{""page_index"":1,""viewing_time"":12008},{""page_index"":2,""viewing_time"":6445},{""page_index"":3,""viewing_time"":4855.0999999996275},{""page_index"":4,""viewing_time"":6048.9000000003725},{""page_index"":5,""viewing_time"":4521.399999999907},{""page_index"":6,""viewing_time"":5912.5}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:14:18
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691faaec855d05685b6c7f44","html-keyboard-response",7,288438,"0.0-6.0-1.0","n/q672NhZTS656vxxj878tCyr5L548TnC6vP/N/sGFtI+IReltecASoEzMlFgYVIv8EhjAgynsh3CjPvddTsT3aPB4nsKHKqNykX/FjuUE6thV9Xl4JT0e6ZFf+avmqeyguk1Tu6f62BKur6hm82Lc6W/yIf0hKTxlMclBAlHxNObz32oQEcB6/lf0gt6gc2lSjR4Vh3joJPRPkqFl9WJ3v8sVK5WT+p2R3d4RzNn9g2CSTZXyJOOs+i4Yv+/hk9awvmOi1gAsHrXp6IcocACbQ4vPXuoOC7i3odTPFRo/paADXRZ171vKTjRQ2lt+E5gnd3FSSYRbIOIWGqyQshMg==","691f8ca61c6b4dcbb0aeb5f4","691faaec855d05685b6c7f44","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:14:18
"145486.2999999998","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691faaec855d05685b6c7f44","survey-multi-choice",8,433929,"0.0-7.0-0.0","n/q672NhZTS656vxxj878tCyr5L548TnC6vP/N/sGFtI+IReltecASoEzMlFgYVIv8EhjAgynsh3CjPvddTsT3aPB4nsKHKqNykX/FjuUE6thV9Xl4JT0e6ZFf+avmqeyguk1Tu6f62BKur6hm82Lc6W/yIf0hKTxlMclBAlHxNObz32oQEcB6/lf0gt6gc2lSjR4Vh3joJPRPkqFl9WJ3v8sVK5WT+p2R3d4RzNn9g2CSTZXyJOOs+i4Yv+/hk9awvmOi1gAsHrXp6IcocACbQ4vPXuoOC7i3odTPFRo/paADXRZ171vKTjRQ2lt+E5gnd3FSSYRbIOIWGqyQshMg==","691f8ca61c6b4dcbb0aeb5f4","691faaec855d05685b6c7f44","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:14:18
"8445.799999999814","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691faaec855d05685b6c7f44","instructions",9,442391,"0.0-305.0","n/q672NhZTS656vxxj878tCyr5L548TnC6vP/N/sGFtI+IReltecASoEzMlFgYVIv8EhjAgynsh3CjPvddTsT3aPB4nsKHKqNykX/FjuUE6thV9Xl4JT0e6ZFf+avmqeyguk1Tu6f62BKur6hm82Lc6W/yIf0hKTxlMclBAlHxNObz32oQEcB6/lf0gt6gc2lSjR4Vh3joJPRPkqFl9WJ3v8sVK5WT+p2R3d4RzNn9g2CSTZXyJOOs+i4Yv+/hk9awvmOi1gAsHrXp6IcocACbQ4vPXuoOC7i3odTPFRo/paADXRZ171vKTjRQ2lt+E5gnd3FSSYRbIOIWGqyQshMg==","691f8ca61c6b4dcbb0aeb5f4","691faaec855d05685b6c7f44","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":5258.600000000093},{""page_index"":1,""viewing_time"":3186.6999999997206}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:14:18
