"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"3711.9000000059605","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9710cba5372b382fe2cc","external-html",0,3768,"0.0-0.0","QGfAw+bPUydOAKkzEx99ZHcnyQLfjkRwaUyObWD/grQ31oZlYGmXSpCGyqfV3rw2VYz/IvcD1kFzdOUEq4EdFMm7hQyEKMWUy+QwWUlYw6Hzu/2klX1p6yP93oNAGPJMjumLoAd/gT/7LICfeVPutMSENO6zmYyN9oW7gFZoHNRaS4DS82aQ+W2A3fBsDzxwBzeHZm8+gwdNGaDENcaac7u9kjdfO27a/hPQqTZMZkz907sUyne/O3Mn9GdUsv3tNXhRl48zjqJp8wBJSV2GJcgCJAG5QOljz+Q7bxgC/VW2n5oeOvtxNovvkIiHEoCer2M2GVHLkDF7Hi3Q2yB8cg==","691f8ca61c6b4dcbb0aeb5f4","691f9710cba5372b382fe2cc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:05:54
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9710cba5372b382fe2cc","fullscreen",1,5987,"0.0-1.0","QGfAw+bPUydOAKkzEx99ZHcnyQLfjkRwaUyObWD/grQ31oZlYGmXSpCGyqfV3rw2VYz/IvcD1kFzdOUEq4EdFMm7hQyEKMWUy+QwWUlYw6Hzu/2klX1p6yP93oNAGPJMjumLoAd/gT/7LICfeVPutMSENO6zmYyN9oW7gFZoHNRaS4DS82aQ+W2A3fBsDzxwBzeHZm8+gwdNGaDENcaac7u9kjdfO27a/hPQqTZMZkz907sUyne/O3Mn9GdUsv3tNXhRl48zjqJp8wBJSV2GJcgCJAG5QOljz+Q7bxgC/VW2n5oeOvtxNovvkIiHEoCer2M2GVHLkDF7Hi3Q2yB8cg==","691f8ca61c6b4dcbb0aeb5f4","691f9710cba5372b382fe2cc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:05:54
"47593.20000001788","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9710cba5372b382fe2cc","instructions",2,53581,"0.0-2.0","QGfAw+bPUydOAKkzEx99ZHcnyQLfjkRwaUyObWD/grQ31oZlYGmXSpCGyqfV3rw2VYz/IvcD1kFzdOUEq4EdFMm7hQyEKMWUy+QwWUlYw6Hzu/2klX1p6yP93oNAGPJMjumLoAd/gT/7LICfeVPutMSENO6zmYyN9oW7gFZoHNRaS4DS82aQ+W2A3fBsDzxwBzeHZm8+gwdNGaDENcaac7u9kjdfO27a/hPQqTZMZkz907sUyne/O3Mn9GdUsv3tNXhRl48zjqJp8wBJSV2GJcgCJAG5QOljz+Q7bxgC/VW2n5oeOvtxNovvkIiHEoCer2M2GVHLkDF7Hi3Q2yB8cg==","691f8ca61c6b4dcbb0aeb5f4","691f9710cba5372b382fe2cc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":11083.700000017881},{""page_index"":1,""viewing_time"":5004},{""page_index"":2,""viewing_time"":8041.199999988079},{""page_index"":3,""viewing_time"":6659.4000000059605},{""page_index"":4,""viewing_time"":8512.09999999404},{""page_index"":5,""viewing_time"":6925.5},{""page_index"":6,""viewing_time"":1367}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:05:54
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9710cba5372b382fe2cc","html-keyboard-response",3,54584,"0.0-3.0","QGfAw+bPUydOAKkzEx99ZHcnyQLfjkRwaUyObWD/grQ31oZlYGmXSpCGyqfV3rw2VYz/IvcD1kFzdOUEq4EdFMm7hQyEKMWUy+QwWUlYw6Hzu/2klX1p6yP93oNAGPJMjumLoAd/gT/7LICfeVPutMSENO6zmYyN9oW7gFZoHNRaS4DS82aQ+W2A3fBsDzxwBzeHZm8+gwdNGaDENcaac7u9kjdfO27a/hPQqTZMZkz907sUyne/O3Mn9GdUsv3tNXhRl48zjqJp8wBJSV2GJcgCJAG5QOljz+Q7bxgC/VW2n5oeOvtxNovvkIiHEoCer2M2GVHLkDF7Hi3Q2yB8cg==","691f8ca61c6b4dcbb0aeb5f4","691f9710cba5372b382fe2cc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:05:54
"17924","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9710cba5372b382fe2cc","survey-multi-choice",4,72509,"0.0-4.0","QGfAw+bPUydOAKkzEx99ZHcnyQLfjkRwaUyObWD/grQ31oZlYGmXSpCGyqfV3rw2VYz/IvcD1kFzdOUEq4EdFMm7hQyEKMWUy+QwWUlYw6Hzu/2klX1p6yP93oNAGPJMjumLoAd/gT/7LICfeVPutMSENO6zmYyN9oW7gFZoHNRaS4DS82aQ+W2A3fBsDzxwBzeHZm8+gwdNGaDENcaac7u9kjdfO27a/hPQqTZMZkz907sUyne/O3Mn9GdUsv3tNXhRl48zjqJp8wBJSV2GJcgCJAG5QOljz+Q7bxgC/VW2n5oeOvtxNovvkIiHEoCer2M2GVHLkDF7Hi3Q2yB8cg==","691f8ca61c6b4dcbb0aeb5f4","691f9710cba5372b382fe2cc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:05:54
"12819","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9710cba5372b382fe2cc","instructions",5,85331,"0.0-305.0","QGfAw+bPUydOAKkzEx99ZHcnyQLfjkRwaUyObWD/grQ31oZlYGmXSpCGyqfV3rw2VYz/IvcD1kFzdOUEq4EdFMm7hQyEKMWUy+QwWUlYw6Hzu/2klX1p6yP93oNAGPJMjumLoAd/gT/7LICfeVPutMSENO6zmYyN9oW7gFZoHNRaS4DS82aQ+W2A3fBsDzxwBzeHZm8+gwdNGaDENcaac7u9kjdfO27a/hPQqTZMZkz907sUyne/O3Mn9GdUsv3tNXhRl48zjqJp8wBJSV2GJcgCJAG5QOljz+Q7bxgC/VW2n5oeOvtxNovvkIiHEoCer2M2GVHLkDF7Hi3Q2yB8cg==","691f8ca61c6b4dcbb0aeb5f4","691f9710cba5372b382fe2cc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":8175.5},{""page_index"":1,""viewing_time"":4643.299999982119}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:05:54
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9710cba5372b382fe2cc","html-keyboard-response",6,86333,"0.0-306.0","QGfAw+bPUydOAKkzEx99ZHcnyQLfjkRwaUyObWD/grQ31oZlYGmXSpCGyqfV3rw2VYz/IvcD1kFzdOUEq4EdFMm7hQyEKMWUy+QwWUlYw6Hzu/2klX1p6yP93oNAGPJMjumLoAd/gT/7LICfeVPutMSENO6zmYyN9oW7gFZoHNRaS4DS82aQ+W2A3fBsDzxwBzeHZm8+gwdNGaDENcaac7u9kjdfO27a/hPQqTZMZkz907sUyne/O3Mn9GdUsv3tNXhRl48zjqJp8wBJSV2GJcgCJAG5QOljz+Q7bxgC/VW2n5oeOvtxNovvkIiHEoCer2M2GVHLkDF7Hi3Q2yB8cg==","691f8ca61c6b4dcbb0aeb5f4","691f9710cba5372b382fe2cc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:05:54
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9710cba5372b382fe2cc","html-keyboard-response",7,89335,"0.0-307.0","QGfAw+bPUydOAKkzEx99ZHcnyQLfjkRwaUyObWD/grQ31oZlYGmXSpCGyqfV3rw2VYz/IvcD1kFzdOUEq4EdFMm7hQyEKMWUy+QwWUlYw6Hzu/2klX1p6yP93oNAGPJMjumLoAd/gT/7LICfeVPutMSENO6zmYyN9oW7gFZoHNRaS4DS82aQ+W2A3fBsDzxwBzeHZm8+gwdNGaDENcaac7u9kjdfO27a/hPQqTZMZkz907sUyne/O3Mn9GdUsv3tNXhRl48zjqJp8wBJSV2GJcgCJAG5QOljz+Q7bxgC/VW2n5oeOvtxNovvkIiHEoCer2M2GVHLkDF7Hi3Q2yB8cg==","691f8ca61c6b4dcbb0aeb5f4","691f9710cba5372b382fe2cc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:05:54
"30577.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9710cba5372b382fe2cc","survey-html-form",8,119914,"0.0-308.0","QGfAw+bPUydOAKkzEx99ZHcnyQLfjkRwaUyObWD/grQ31oZlYGmXSpCGyqfV3rw2VYz/IvcD1kFzdOUEq4EdFMm7hQyEKMWUy+QwWUlYw6Hzu/2klX1p6yP93oNAGPJMjumLoAd/gT/7LICfeVPutMSENO6zmYyN9oW7gFZoHNRaS4DS82aQ+W2A3fBsDzxwBzeHZm8+gwdNGaDENcaac7u9kjdfO27a/hPQqTZMZkz907sUyne/O3Mn9GdUsv3tNXhRl48zjqJp8wBJSV2GJcgCJAG5QOljz+Q7bxgC/VW2n5oeOvtxNovvkIiHEoCer2M2GVHLkDF7Hi3Q2yB8cg==","691f8ca61c6b4dcbb0aeb5f4","691f9710cba5372b382fe2cc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""5"",""box2"":""5"",""box4"":""50""}","",1,"round1_outcome",1,1,1,5,5,NA,50,0,1,10,5,5,NA,50,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:05:54
"14231.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f9710cba5372b382fe2cc","survey-html-form",9,134147,"0.0-309.0","QGfAw+bPUydOAKkzEx99ZHcnyQLfjkRwaUyObWD/grQ31oZlYGmXSpCGyqfV3rw2VYz/IvcD1kFzdOUEq4EdFMm7hQyEKMWUy+QwWUlYw6Hzu/2klX1p6yP93oNAGPJMjumLoAd/gT/7LICfeVPutMSENO6zmYyN9oW7gFZoHNRaS4DS82aQ+W2A3fBsDzxwBzeHZm8+gwdNGaDENcaac7u9kjdfO27a/hPQqTZMZkz907sUyne/O3Mn9GdUsv3tNXhRl48zjqJp8wBJSV2GJcgCJAG5QOljz+Q7bxgC/VW2n5oeOvtxNovvkIiHEoCer2M2GVHLkDF7Hi3Q2yB8cg==","691f8ca61c6b4dcbb0aeb5f4","691f9710cba5372b382fe2cc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""25"",""box2"":""75""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,75,25,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 23:05:54
