"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"16907.30000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc926161344da0ad02c01","external-html",0,17075,"0.0-0.0","DMI9I2sFf/b/yuMM+aYlikNRBaGSBcvhNVsgdbQLNGyYqDuiL0wMRiwlOj9VKnSCFoR3IOcW2h8RyjR7i2CryXYHMCeg0oVcwQ7Jz4hKr3b8+Z5VDh1zcWMkn9BFLrQ2RAI30/VLu2aZ6BXcM7SmGyVzV9lnmy58X36Yz2XmHeuQiO4q9bOM1Il+9pQIt52K0DTGEj4bnmVUaPHC8CLRmSRwhdDxujT6S/jFGk1xKsbOs+sBVw8viWrZ3yIvUUyf1a0MGD9ZzaeYt3ZCo2b/jMN0lQFQszCCR0x5yvDvHYceE2hSZTA0dPBmsp2SEG8vunFeEHmu4ANAHcz6tIMBOg==","691f8ca61c6b4dcbb0aeb5f4","691fc926161344da0ad02c01","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:17:36
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc926161344da0ad02c01","fullscreen",1,23659,"0.0-1.0","DMI9I2sFf/b/yuMM+aYlikNRBaGSBcvhNVsgdbQLNGyYqDuiL0wMRiwlOj9VKnSCFoR3IOcW2h8RyjR7i2CryXYHMCeg0oVcwQ7Jz4hKr3b8+Z5VDh1zcWMkn9BFLrQ2RAI30/VLu2aZ6BXcM7SmGyVzV9lnmy58X36Yz2XmHeuQiO4q9bOM1Il+9pQIt52K0DTGEj4bnmVUaPHC8CLRmSRwhdDxujT6S/jFGk1xKsbOs+sBVw8viWrZ3yIvUUyf1a0MGD9ZzaeYt3ZCo2b/jMN0lQFQszCCR0x5yvDvHYceE2hSZTA0dPBmsp2SEG8vunFeEHmu4ANAHcz6tIMBOg==","691f8ca61c6b4dcbb0aeb5f4","691fc926161344da0ad02c01","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:17:36
"126492","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc926161344da0ad02c01","instructions",2,150149,"0.0-2.0","DMI9I2sFf/b/yuMM+aYlikNRBaGSBcvhNVsgdbQLNGyYqDuiL0wMRiwlOj9VKnSCFoR3IOcW2h8RyjR7i2CryXYHMCeg0oVcwQ7Jz4hKr3b8+Z5VDh1zcWMkn9BFLrQ2RAI30/VLu2aZ6BXcM7SmGyVzV9lnmy58X36Yz2XmHeuQiO4q9bOM1Il+9pQIt52K0DTGEj4bnmVUaPHC8CLRmSRwhdDxujT6S/jFGk1xKsbOs+sBVw8viWrZ3yIvUUyf1a0MGD9ZzaeYt3ZCo2b/jMN0lQFQszCCR0x5yvDvHYceE2hSZTA0dPBmsp2SEG8vunFeEHmu4ANAHcz6tIMBOg==","691f8ca61c6b4dcbb0aeb5f4","691fc926161344da0ad02c01","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":27007.90000000596},{""page_index"":1,""viewing_time"":19401.30000001192},{""page_index"":2,""viewing_time"":12919.59999999404},{""page_index"":3,""viewing_time"":25672.59999999404},{""page_index"":4,""viewing_time"":14004.700000017881},{""page_index"":5,""viewing_time"":19709.399999976158},{""page_index"":6,""viewing_time"":7776}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:17:36
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc926161344da0ad02c01","html-keyboard-response",3,151153,"0.0-3.0","DMI9I2sFf/b/yuMM+aYlikNRBaGSBcvhNVsgdbQLNGyYqDuiL0wMRiwlOj9VKnSCFoR3IOcW2h8RyjR7i2CryXYHMCeg0oVcwQ7Jz4hKr3b8+Z5VDh1zcWMkn9BFLrQ2RAI30/VLu2aZ6BXcM7SmGyVzV9lnmy58X36Yz2XmHeuQiO4q9bOM1Il+9pQIt52K0DTGEj4bnmVUaPHC8CLRmSRwhdDxujT6S/jFGk1xKsbOs+sBVw8viWrZ3yIvUUyf1a0MGD9ZzaeYt3ZCo2b/jMN0lQFQszCCR0x5yvDvHYceE2hSZTA0dPBmsp2SEG8vunFeEHmu4ANAHcz6tIMBOg==","691f8ca61c6b4dcbb0aeb5f4","691fc926161344da0ad02c01","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:17:36
"42953.09999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc926161344da0ad02c01","survey-multi-choice",4,194108,"0.0-4.0","DMI9I2sFf/b/yuMM+aYlikNRBaGSBcvhNVsgdbQLNGyYqDuiL0wMRiwlOj9VKnSCFoR3IOcW2h8RyjR7i2CryXYHMCeg0oVcwQ7Jz4hKr3b8+Z5VDh1zcWMkn9BFLrQ2RAI30/VLu2aZ6BXcM7SmGyVzV9lnmy58X36Yz2XmHeuQiO4q9bOM1Il+9pQIt52K0DTGEj4bnmVUaPHC8CLRmSRwhdDxujT6S/jFGk1xKsbOs+sBVw8viWrZ3yIvUUyf1a0MGD9ZzaeYt3ZCo2b/jMN0lQFQszCCR0x5yvDvHYceE2hSZTA0dPBmsp2SEG8vunFeEHmu4ANAHcz6tIMBOg==","691f8ca61c6b4dcbb0aeb5f4","691fc926161344da0ad02c01","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:17:36
"22122","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc926161344da0ad02c01","instructions",5,216238,"0.0-305.0","DMI9I2sFf/b/yuMM+aYlikNRBaGSBcvhNVsgdbQLNGyYqDuiL0wMRiwlOj9VKnSCFoR3IOcW2h8RyjR7i2CryXYHMCeg0oVcwQ7Jz4hKr3b8+Z5VDh1zcWMkn9BFLrQ2RAI30/VLu2aZ6BXcM7SmGyVzV9lnmy58X36Yz2XmHeuQiO4q9bOM1Il+9pQIt52K0DTGEj4bnmVUaPHC8CLRmSRwhdDxujT6S/jFGk1xKsbOs+sBVw8viWrZ3yIvUUyf1a0MGD9ZzaeYt3ZCo2b/jMN0lQFQszCCR0x5yvDvHYceE2hSZTA0dPBmsp2SEG8vunFeEHmu4ANAHcz6tIMBOg==","691f8ca61c6b4dcbb0aeb5f4","691fc926161344da0ad02c01","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":13784.799999982119},{""page_index"":1,""viewing_time"":8337}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:17:36
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc926161344da0ad02c01","html-keyboard-response",6,217240,"0.0-306.0","DMI9I2sFf/b/yuMM+aYlikNRBaGSBcvhNVsgdbQLNGyYqDuiL0wMRiwlOj9VKnSCFoR3IOcW2h8RyjR7i2CryXYHMCeg0oVcwQ7Jz4hKr3b8+Z5VDh1zcWMkn9BFLrQ2RAI30/VLu2aZ6BXcM7SmGyVzV9lnmy58X36Yz2XmHeuQiO4q9bOM1Il+9pQIt52K0DTGEj4bnmVUaPHC8CLRmSRwhdDxujT6S/jFGk1xKsbOs+sBVw8viWrZ3yIvUUyf1a0MGD9ZzaeYt3ZCo2b/jMN0lQFQszCCR0x5yvDvHYceE2hSZTA0dPBmsp2SEG8vunFeEHmu4ANAHcz6tIMBOg==","691f8ca61c6b4dcbb0aeb5f4","691fc926161344da0ad02c01","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:17:36
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc926161344da0ad02c01","html-keyboard-response",7,220244,"0.0-307.0","DMI9I2sFf/b/yuMM+aYlikNRBaGSBcvhNVsgdbQLNGyYqDuiL0wMRiwlOj9VKnSCFoR3IOcW2h8RyjR7i2CryXYHMCeg0oVcwQ7Jz4hKr3b8+Z5VDh1zcWMkn9BFLrQ2RAI30/VLu2aZ6BXcM7SmGyVzV9lnmy58X36Yz2XmHeuQiO4q9bOM1Il+9pQIt52K0DTGEj4bnmVUaPHC8CLRmSRwhdDxujT6S/jFGk1xKsbOs+sBVw8viWrZ3yIvUUyf1a0MGD9ZzaeYt3ZCo2b/jMN0lQFQszCCR0x5yvDvHYceE2hSZTA0dPBmsp2SEG8vunFeEHmu4ANAHcz6tIMBOg==","691f8ca61c6b4dcbb0aeb5f4","691fc926161344da0ad02c01","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:17:36
"45601.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc926161344da0ad02c01","survey-html-form",8,265847,"0.0-308.0","DMI9I2sFf/b/yuMM+aYlikNRBaGSBcvhNVsgdbQLNGyYqDuiL0wMRiwlOj9VKnSCFoR3IOcW2h8RyjR7i2CryXYHMCeg0oVcwQ7Jz4hKr3b8+Z5VDh1zcWMkn9BFLrQ2RAI30/VLu2aZ6BXcM7SmGyVzV9lnmy58X36Yz2XmHeuQiO4q9bOM1Il+9pQIt52K0DTGEj4bnmVUaPHC8CLRmSRwhdDxujT6S/jFGk1xKsbOs+sBVw8viWrZ3yIvUUyf1a0MGD9ZzaeYt3ZCo2b/jMN0lQFQszCCR0x5yvDvHYceE2hSZTA0dPBmsp2SEG8vunFeEHmu4ANAHcz6tIMBOg==","691f8ca61c6b4dcbb0aeb5f4","691fc926161344da0ad02c01","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""3"",""box2"":""8"",""box4"":""70""}","",1,"round1_outcome",1,1,1,3,8,NA,70,0,1,10,3,8,NA,70,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:17:36
"17462.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc926161344da0ad02c01","survey-html-form",9,283312,"0.0-309.0","DMI9I2sFf/b/yuMM+aYlikNRBaGSBcvhNVsgdbQLNGyYqDuiL0wMRiwlOj9VKnSCFoR3IOcW2h8RyjR7i2CryXYHMCeg0oVcwQ7Jz4hKr3b8+Z5VDh1zcWMkn9BFLrQ2RAI30/VLu2aZ6BXcM7SmGyVzV9lnmy58X36Yz2XmHeuQiO4q9bOM1Il+9pQIt52K0DTGEj4bnmVUaPHC8CLRmSRwhdDxujT6S/jFGk1xKsbOs+sBVw8viWrZ3yIvUUyf1a0MGD9ZzaeYt3ZCo2b/jMN0lQFQszCCR0x5yvDvHYceE2hSZTA0dPBmsp2SEG8vunFeEHmu4ANAHcz6tIMBOg==","691f8ca61c6b4dcbb0aeb5f4","691fc926161344da0ad02c01","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""50"",""box2"":""100""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,100,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:17:36
