"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"5710.4000000059605","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb5a2979be4775b0b15f4","external-html",0,5802,"0.0-0.0","dFoKsFIT33mCiq7ZihZGdQWNVOAlbf7X/dPYrMGD0A0+/VmzxRLFt+dSjR7bjbB3q8OXIr9WTyWCxkRtBX5BX2nTAEtqv/44aSn8gNxU+rW5vqYxajALPje/FUVll5OKLf53Jn41mRWBYjOIBTJEF39hAoA7eaGNp/jqBI2T1FzxFlFoX1lvpDpjzigd3/K8ShLWxzy8oN63ZE4xxY0wxDvLny8EPDxfqNePHfSqOMXa2JbZbrRwIkS67n8TW4dEtc7vH8McUGM26G2f7Lp+DuAAtwjJEc91bsCPmcxoFR4ar5W56Y0V+WWtVZg9VJoKdK516EZAQp2OtTrHU/oF7w==","691f8ca61c6b4dcbb0aeb5f4","691fb5a2979be4775b0b15f4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:02
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb5a2979be4775b0b15f4","fullscreen",1,35603,"0.0-1.0","dFoKsFIT33mCiq7ZihZGdQWNVOAlbf7X/dPYrMGD0A0+/VmzxRLFt+dSjR7bjbB3q8OXIr9WTyWCxkRtBX5BX2nTAEtqv/44aSn8gNxU+rW5vqYxajALPje/FUVll5OKLf53Jn41mRWBYjOIBTJEF39hAoA7eaGNp/jqBI2T1FzxFlFoX1lvpDpjzigd3/K8ShLWxzy8oN63ZE4xxY0wxDvLny8EPDxfqNePHfSqOMXa2JbZbrRwIkS67n8TW4dEtc7vH8McUGM26G2f7Lp+DuAAtwjJEc91bsCPmcxoFR4ar5W56Y0V+WWtVZg9VJoKdK516EZAQp2OtTrHU/oF7w==","691f8ca61c6b4dcbb0aeb5f4","691fb5a2979be4775b0b15f4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:02
"362274.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb5a2979be4775b0b15f4","instructions",2,397881,"0.0-2.0","dFoKsFIT33mCiq7ZihZGdQWNVOAlbf7X/dPYrMGD0A0+/VmzxRLFt+dSjR7bjbB3q8OXIr9WTyWCxkRtBX5BX2nTAEtqv/44aSn8gNxU+rW5vqYxajALPje/FUVll5OKLf53Jn41mRWBYjOIBTJEF39hAoA7eaGNp/jqBI2T1FzxFlFoX1lvpDpjzigd3/K8ShLWxzy8oN63ZE4xxY0wxDvLny8EPDxfqNePHfSqOMXa2JbZbrRwIkS67n8TW4dEtc7vH8McUGM26G2f7Lp+DuAAtwjJEc91bsCPmcxoFR4ar5W56Y0V+WWtVZg9VJoKdK516EZAQp2OtTrHU/oF7w==","691f8ca61c6b4dcbb0aeb5f4","691fb5a2979be4775b0b15f4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":84498.80000001192},{""page_index"":1,""viewing_time"":92288.19999998808},{""page_index"":2,""viewing_time"":30071.30000001192},{""page_index"":3,""viewing_time"":66176.30000001192},{""page_index"":4,""viewing_time"":24143.09999999404},{""page_index"":5,""viewing_time"":46400.5},{""page_index"":6,""viewing_time"":18696.09999999404}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:02
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb5a2979be4775b0b15f4","html-keyboard-response",3,398895,"0.0-3.0","dFoKsFIT33mCiq7ZihZGdQWNVOAlbf7X/dPYrMGD0A0+/VmzxRLFt+dSjR7bjbB3q8OXIr9WTyWCxkRtBX5BX2nTAEtqv/44aSn8gNxU+rW5vqYxajALPje/FUVll5OKLf53Jn41mRWBYjOIBTJEF39hAoA7eaGNp/jqBI2T1FzxFlFoX1lvpDpjzigd3/K8ShLWxzy8oN63ZE4xxY0wxDvLny8EPDxfqNePHfSqOMXa2JbZbrRwIkS67n8TW4dEtc7vH8McUGM26G2f7Lp+DuAAtwjJEc91bsCPmcxoFR4ar5W56Y0V+WWtVZg9VJoKdK516EZAQp2OtTrHU/oF7w==","691f8ca61c6b4dcbb0aeb5f4","691fb5a2979be4775b0b15f4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:02
"106440.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb5a2979be4775b0b15f4","survey-multi-choice",4,505338,"0.0-4.0","dFoKsFIT33mCiq7ZihZGdQWNVOAlbf7X/dPYrMGD0A0+/VmzxRLFt+dSjR7bjbB3q8OXIr9WTyWCxkRtBX5BX2nTAEtqv/44aSn8gNxU+rW5vqYxajALPje/FUVll5OKLf53Jn41mRWBYjOIBTJEF39hAoA7eaGNp/jqBI2T1FzxFlFoX1lvpDpjzigd3/K8ShLWxzy8oN63ZE4xxY0wxDvLny8EPDxfqNePHfSqOMXa2JbZbrRwIkS67n8TW4dEtc7vH8McUGM26G2f7Lp+DuAAtwjJEc91bsCPmcxoFR4ar5W56Y0V+WWtVZg9VJoKdK516EZAQp2OtTrHU/oF7w==","691f8ca61c6b4dcbb0aeb5f4","691fb5a2979be4775b0b15f4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:02
"33362.69999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb5a2979be4775b0b15f4","instructions",5,538704,"0.0-305.0","dFoKsFIT33mCiq7ZihZGdQWNVOAlbf7X/dPYrMGD0A0+/VmzxRLFt+dSjR7bjbB3q8OXIr9WTyWCxkRtBX5BX2nTAEtqv/44aSn8gNxU+rW5vqYxajALPje/FUVll5OKLf53Jn41mRWBYjOIBTJEF39hAoA7eaGNp/jqBI2T1FzxFlFoX1lvpDpjzigd3/K8ShLWxzy8oN63ZE4xxY0wxDvLny8EPDxfqNePHfSqOMXa2JbZbrRwIkS67n8TW4dEtc7vH8McUGM26G2f7Lp+DuAAtwjJEc91bsCPmcxoFR4ar5W56Y0V+WWtVZg9VJoKdK516EZAQp2OtTrHU/oF7w==","691f8ca61c6b4dcbb0aeb5f4","691fb5a2979be4775b0b15f4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":23090.59999999404},{""page_index"":1,""viewing_time"":10271.90000000596}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:02
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb5a2979be4775b0b15f4","html-keyboard-response",6,539713,"0.0-306.0","dFoKsFIT33mCiq7ZihZGdQWNVOAlbf7X/dPYrMGD0A0+/VmzxRLFt+dSjR7bjbB3q8OXIr9WTyWCxkRtBX5BX2nTAEtqv/44aSn8gNxU+rW5vqYxajALPje/FUVll5OKLf53Jn41mRWBYjOIBTJEF39hAoA7eaGNp/jqBI2T1FzxFlFoX1lvpDpjzigd3/K8ShLWxzy8oN63ZE4xxY0wxDvLny8EPDxfqNePHfSqOMXa2JbZbrRwIkS67n8TW4dEtc7vH8McUGM26G2f7Lp+DuAAtwjJEc91bsCPmcxoFR4ar5W56Y0V+WWtVZg9VJoKdK516EZAQp2OtTrHU/oF7w==","691f8ca61c6b4dcbb0aeb5f4","691fb5a2979be4775b0b15f4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:02
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb5a2979be4775b0b15f4","html-keyboard-response",7,542715,"0.0-307.0","dFoKsFIT33mCiq7ZihZGdQWNVOAlbf7X/dPYrMGD0A0+/VmzxRLFt+dSjR7bjbB3q8OXIr9WTyWCxkRtBX5BX2nTAEtqv/44aSn8gNxU+rW5vqYxajALPje/FUVll5OKLf53Jn41mRWBYjOIBTJEF39hAoA7eaGNp/jqBI2T1FzxFlFoX1lvpDpjzigd3/K8ShLWxzy8oN63ZE4xxY0wxDvLny8EPDxfqNePHfSqOMXa2JbZbrRwIkS67n8TW4dEtc7vH8McUGM26G2f7Lp+DuAAtwjJEc91bsCPmcxoFR4ar5W56Y0V+WWtVZg9VJoKdK516EZAQp2OtTrHU/oF7w==","691f8ca61c6b4dcbb0aeb5f4","691fb5a2979be4775b0b15f4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:02
"51059.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb5a2979be4775b0b15f4","survey-html-form",8,593777,"0.0-308.0","dFoKsFIT33mCiq7ZihZGdQWNVOAlbf7X/dPYrMGD0A0+/VmzxRLFt+dSjR7bjbB3q8OXIr9WTyWCxkRtBX5BX2nTAEtqv/44aSn8gNxU+rW5vqYxajALPje/FUVll5OKLf53Jn41mRWBYjOIBTJEF39hAoA7eaGNp/jqBI2T1FzxFlFoX1lvpDpjzigd3/K8ShLWxzy8oN63ZE4xxY0wxDvLny8EPDxfqNePHfSqOMXa2JbZbrRwIkS67n8TW4dEtc7vH8McUGM26G2f7Lp+DuAAtwjJEc91bsCPmcxoFR4ar5W56Y0V+WWtVZg9VJoKdK516EZAQp2OtTrHU/oF7w==","691f8ca61c6b4dcbb0aeb5f4","691fb5a2979be4775b0b15f4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""4"",""box2"":""4""}","",1,"round1_outcome",1,1,1,4,4,NA,NA,0,0,10,4,4,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:02
"55614.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb5a2979be4775b0b15f4","survey-html-form",9,649393,"0.0-309.0","dFoKsFIT33mCiq7ZihZGdQWNVOAlbf7X/dPYrMGD0A0+/VmzxRLFt+dSjR7bjbB3q8OXIr9WTyWCxkRtBX5BX2nTAEtqv/44aSn8gNxU+rW5vqYxajALPje/FUVll5OKLf53Jn41mRWBYjOIBTJEF39hAoA7eaGNp/jqBI2T1FzxFlFoX1lvpDpjzigd3/K8ShLWxzy8oN63ZE4xxY0wxDvLny8EPDxfqNePHfSqOMXa2JbZbrRwIkS67n8TW4dEtc7vH8McUGM26G2f7Lp+DuAAtwjJEc91bsCPmcxoFR4ar5W56Y0V+WWtVZg9VJoKdK516EZAQp2OtTrHU/oF7w==","691f8ca61c6b4dcbb0aeb5f4","691fb5a2979be4775b0b15f4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""75"",""box2"":""75""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:29:02
