"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"5168.29999999702","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fae574df6394e97ce24fa","external-html",0,5600,"0.0-0.0","g/qitCDKTRC9tXC/CYWUl0ulr5nBZv00ofWtlm+wdjW/YQRuX+tdAFkpGTJDyIGxZx2dAs7UZev3TWF45ouKtjLjF7OP33oJNl9MJEjCrYik2qPp5s90jH/Tdh8oHUkNhR8u8iSTvT+U4JqKEl5KgvIks2Rc0Wdz7/gSWweMwS7lp7HB3HIQeUnevht6JafR1peBr2w9AA2WUc5Is4GT6trUv42pTK/pOTZXFlIUiIPsErs+0GK5wnzqIUe47ckFWMfpMkHok8hQsgAI5md1QyifY1yXxf/1YbdtaOCl/gyex62v2CMbWk/9KJivDoYgqrVZMBf0J7VRr8SdkGqp8g==","691f8ca61c6b4dcbb0aeb5f4","691fae574df6394e97ce24fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:24:44
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fae574df6394e97ce24fa","fullscreen",1,14497,"0.0-1.0","g/qitCDKTRC9tXC/CYWUl0ulr5nBZv00ofWtlm+wdjW/YQRuX+tdAFkpGTJDyIGxZx2dAs7UZev3TWF45ouKtjLjF7OP33oJNl9MJEjCrYik2qPp5s90jH/Tdh8oHUkNhR8u8iSTvT+U4JqKEl5KgvIks2Rc0Wdz7/gSWweMwS7lp7HB3HIQeUnevht6JafR1peBr2w9AA2WUc5Is4GT6trUv42pTK/pOTZXFlIUiIPsErs+0GK5wnzqIUe47ckFWMfpMkHok8hQsgAI5md1QyifY1yXxf/1YbdtaOCl/gyex62v2CMbWk/9KJivDoYgqrVZMBf0J7VRr8SdkGqp8g==","691f8ca61c6b4dcbb0aeb5f4","691fae574df6394e97ce24fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:24:44
"127369.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fae574df6394e97ce24fa","instructions",2,141869,"0.0-2.0","g/qitCDKTRC9tXC/CYWUl0ulr5nBZv00ofWtlm+wdjW/YQRuX+tdAFkpGTJDyIGxZx2dAs7UZev3TWF45ouKtjLjF7OP33oJNl9MJEjCrYik2qPp5s90jH/Tdh8oHUkNhR8u8iSTvT+U4JqKEl5KgvIks2Rc0Wdz7/gSWweMwS7lp7HB3HIQeUnevht6JafR1peBr2w9AA2WUc5Is4GT6trUv42pTK/pOTZXFlIUiIPsErs+0GK5wnzqIUe47ckFWMfpMkHok8hQsgAI5md1QyifY1yXxf/1YbdtaOCl/gyex62v2CMbWk/9KJivDoYgqrVZMBf0J7VRr8SdkGqp8g==","691f8ca61c6b4dcbb0aeb5f4","691fae574df6394e97ce24fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":36643.59999999404},{""page_index"":1,""viewing_time"":16901.59999999404},{""page_index"":2,""viewing_time"":19084},{""page_index"":3,""viewing_time"":30948.10000000894},{""page_index"":4,""viewing_time"":7516.20000000298},{""page_index"":5,""viewing_time"":10533.199999988079},{""page_index"":6,""viewing_time"":5742.5}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:24:44
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fae574df6394e97ce24fa","html-keyboard-response",3,142872,"0.0-3.0","g/qitCDKTRC9tXC/CYWUl0ulr5nBZv00ofWtlm+wdjW/YQRuX+tdAFkpGTJDyIGxZx2dAs7UZev3TWF45ouKtjLjF7OP33oJNl9MJEjCrYik2qPp5s90jH/Tdh8oHUkNhR8u8iSTvT+U4JqKEl5KgvIks2Rc0Wdz7/gSWweMwS7lp7HB3HIQeUnevht6JafR1peBr2w9AA2WUc5Is4GT6trUv42pTK/pOTZXFlIUiIPsErs+0GK5wnzqIUe47ckFWMfpMkHok8hQsgAI5md1QyifY1yXxf/1YbdtaOCl/gyex62v2CMbWk/9KJivDoYgqrVZMBf0J7VRr8SdkGqp8g==","691f8ca61c6b4dcbb0aeb5f4","691fae574df6394e97ce24fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:24:44
"37400.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fae574df6394e97ce24fa","survey-multi-choice",4,180277,"0.0-4.0","g/qitCDKTRC9tXC/CYWUl0ulr5nBZv00ofWtlm+wdjW/YQRuX+tdAFkpGTJDyIGxZx2dAs7UZev3TWF45ouKtjLjF7OP33oJNl9MJEjCrYik2qPp5s90jH/Tdh8oHUkNhR8u8iSTvT+U4JqKEl5KgvIks2Rc0Wdz7/gSWweMwS7lp7HB3HIQeUnevht6JafR1peBr2w9AA2WUc5Is4GT6trUv42pTK/pOTZXFlIUiIPsErs+0GK5wnzqIUe47ckFWMfpMkHok8hQsgAI5md1QyifY1yXxf/1YbdtaOCl/gyex62v2CMbWk/9KJivDoYgqrVZMBf0J7VRr8SdkGqp8g==","691f8ca61c6b4dcbb0aeb5f4","691fae574df6394e97ce24fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight changes across contests, but not across rounds within each contest."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:24:44
"2828.9000000059605","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fae574df6394e97ce24fa","html-button-response",5,183109,"0.0-5.0-1.0","g/qitCDKTRC9tXC/CYWUl0ulr5nBZv00ofWtlm+wdjW/YQRuX+tdAFkpGTJDyIGxZx2dAs7UZev3TWF45ouKtjLjF7OP33oJNl9MJEjCrYik2qPp5s90jH/Tdh8oHUkNhR8u8iSTvT+U4JqKEl5KgvIks2Rc0Wdz7/gSWweMwS7lp7HB3HIQeUnevht6JafR1peBr2w9AA2WUc5Is4GT6trUv42pTK/pOTZXFlIUiIPsErs+0GK5wnzqIUe47ckFWMfpMkHok8hQsgAI5md1QyifY1yXxf/1YbdtaOCl/gyex62v2CMbWk/9KJivDoYgqrVZMBf0J7VRr8SdkGqp8g==","691f8ca61c6b4dcbb0aeb5f4","691fae574df6394e97ce24fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:24:44
"39250.29999999702","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fae574df6394e97ce24fa","instructions",6,222360,"0.0-6.0-0.0","g/qitCDKTRC9tXC/CYWUl0ulr5nBZv00ofWtlm+wdjW/YQRuX+tdAFkpGTJDyIGxZx2dAs7UZev3TWF45ouKtjLjF7OP33oJNl9MJEjCrYik2qPp5s90jH/Tdh8oHUkNhR8u8iSTvT+U4JqKEl5KgvIks2Rc0Wdz7/gSWweMwS7lp7HB3HIQeUnevht6JafR1peBr2w9AA2WUc5Is4GT6trUv42pTK/pOTZXFlIUiIPsErs+0GK5wnzqIUe47ckFWMfpMkHok8hQsgAI5md1QyifY1yXxf/1YbdtaOCl/gyex62v2CMbWk/9KJivDoYgqrVZMBf0J7VRr8SdkGqp8g==","691f8ca61c6b4dcbb0aeb5f4","691fae574df6394e97ce24fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":18334},{""page_index"":1,""viewing_time"":16124.39999999106},{""page_index"":2,""viewing_time"":1059.4000000059605},{""page_index"":3,""viewing_time"":1496.0999999940395},{""page_index"":4,""viewing_time"":1095.9000000059605},{""page_index"":5,""viewing_time"":592.3999999910593},{""page_index"":6,""viewing_time"":547.8000000119209}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:24:44
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fae574df6394e97ce24fa","html-keyboard-response",7,223363,"0.0-6.0-1.0","g/qitCDKTRC9tXC/CYWUl0ulr5nBZv00ofWtlm+wdjW/YQRuX+tdAFkpGTJDyIGxZx2dAs7UZev3TWF45ouKtjLjF7OP33oJNl9MJEjCrYik2qPp5s90jH/Tdh8oHUkNhR8u8iSTvT+U4JqKEl5KgvIks2Rc0Wdz7/gSWweMwS7lp7HB3HIQeUnevht6JafR1peBr2w9AA2WUc5Is4GT6trUv42pTK/pOTZXFlIUiIPsErs+0GK5wnzqIUe47ckFWMfpMkHok8hQsgAI5md1QyifY1yXxf/1YbdtaOCl/gyex62v2CMbWk/9KJivDoYgqrVZMBf0J7VRr8SdkGqp8g==","691f8ca61c6b4dcbb0aeb5f4","691fae574df6394e97ce24fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:24:44
"23706.70000000298","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fae574df6394e97ce24fa","survey-multi-choice",8,247073,"0.0-7.0-0.0","g/qitCDKTRC9tXC/CYWUl0ulr5nBZv00ofWtlm+wdjW/YQRuX+tdAFkpGTJDyIGxZx2dAs7UZev3TWF45ouKtjLjF7OP33oJNl9MJEjCrYik2qPp5s90jH/Tdh8oHUkNhR8u8iSTvT+U4JqKEl5KgvIks2Rc0Wdz7/gSWweMwS7lp7HB3HIQeUnevht6JafR1peBr2w9AA2WUc5Is4GT6trUv42pTK/pOTZXFlIUiIPsErs+0GK5wnzqIUe47ckFWMfpMkHok8hQsgAI5md1QyifY1yXxf/1YbdtaOCl/gyex62v2CMbWk/9KJivDoYgqrVZMBf0J7VRr8SdkGqp8g==","691f8ca61c6b4dcbb0aeb5f4","691fae574df6394e97ce24fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:24:44
"10291.70000000298","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fae574df6394e97ce24fa","instructions",9,257372,"0.0-305.0","g/qitCDKTRC9tXC/CYWUl0ulr5nBZv00ofWtlm+wdjW/YQRuX+tdAFkpGTJDyIGxZx2dAs7UZev3TWF45ouKtjLjF7OP33oJNl9MJEjCrYik2qPp5s90jH/Tdh8oHUkNhR8u8iSTvT+U4JqKEl5KgvIks2Rc0Wdz7/gSWweMwS7lp7HB3HIQeUnevht6JafR1peBr2w9AA2WUc5Is4GT6trUv42pTK/pOTZXFlIUiIPsErs+0GK5wnzqIUe47ckFWMfpMkHok8hQsgAI5md1QyifY1yXxf/1YbdtaOCl/gyex62v2CMbWk/9KJivDoYgqrVZMBf0J7VRr8SdkGqp8g==","691f8ca61c6b4dcbb0aeb5f4","691fae574df6394e97ce24fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":7131.4000000059605},{""page_index"":1,""viewing_time"":3160}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:24:44
