"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"2839.800000011921","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bdef8ccef6a324b05b3b3","external-html",0,2998,"0.0-0.0","FeMmCCMHBYpgJlsD29iciL/A1TqFdYCQ+BQpHoCEG0IIYm/Dxr6XFyixUfnbRnO74C0URm6etCFixf+EkzQcKk+mRiyjq16pk8o4x8frYk8k5tdx4uGUlzaPH13oDYR9qJv7036hfTwQLrKsya4PHgt9R1dmqisl6yukI2h96lrhf95OWOg6HXvQ2hfZ1e0VEY6RXGd06deSnFunwoHi6ZeEmtg2Yn+3SwygiX3Y5hzj/g5a2TysJpw/UIYZhsfyDedYafMD3SV/VdPRJRYgUZJ5phELF4/Vu6iKQ90KDIpS9vbBm/6D0gDwcG8urzg9qLk6QBOtkeZfzf7a/QWv/w==","69168b21477cff9ada6cb980","691bdef8ccef6a324b05b3b3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 03:02:11
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bdef8ccef6a324b05b3b3","fullscreen",1,9744,"0.0-1.0","FeMmCCMHBYpgJlsD29iciL/A1TqFdYCQ+BQpHoCEG0IIYm/Dxr6XFyixUfnbRnO74C0URm6etCFixf+EkzQcKk+mRiyjq16pk8o4x8frYk8k5tdx4uGUlzaPH13oDYR9qJv7036hfTwQLrKsya4PHgt9R1dmqisl6yukI2h96lrhf95OWOg6HXvQ2hfZ1e0VEY6RXGd06deSnFunwoHi6ZeEmtg2Yn+3SwygiX3Y5hzj/g5a2TysJpw/UIYZhsfyDedYafMD3SV/VdPRJRYgUZJ5phELF4/Vu6iKQ90KDIpS9vbBm/6D0gDwcG8urzg9qLk6QBOtkeZfzf7a/QWv/w==","69168b21477cff9ada6cb980","691bdef8ccef6a324b05b3b3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 03:02:11
"128801.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bdef8ccef6a324b05b3b3","instructions",2,138550,"0.0-2.0","FeMmCCMHBYpgJlsD29iciL/A1TqFdYCQ+BQpHoCEG0IIYm/Dxr6XFyixUfnbRnO74C0URm6etCFixf+EkzQcKk+mRiyjq16pk8o4x8frYk8k5tdx4uGUlzaPH13oDYR9qJv7036hfTwQLrKsya4PHgt9R1dmqisl6yukI2h96lrhf95OWOg6HXvQ2hfZ1e0VEY6RXGd06deSnFunwoHi6ZeEmtg2Yn+3SwygiX3Y5hzj/g5a2TysJpw/UIYZhsfyDedYafMD3SV/VdPRJRYgUZJ5phELF4/Vu6iKQ90KDIpS9vbBm/6D0gDwcG8urzg9qLk6QBOtkeZfzf7a/QWv/w==","69168b21477cff9ada6cb980","691bdef8ccef6a324b05b3b3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":28088.399999976158},{""page_index"":1,""viewing_time"":30185.700000047684},{""page_index"":2,""viewing_time"":16407.299999952316},{""page_index"":3,""viewing_time"":23407.600000023842},{""page_index"":4,""viewing_time"":12379.100000023842},{""page_index"":5,""viewing_time"":14771.599999964237},{""page_index"":6,""viewing_time"":3561.300000011921}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 03:02:11
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bdef8ccef6a324b05b3b3","html-keyboard-response",3,139553,"0.0-3.0","FeMmCCMHBYpgJlsD29iciL/A1TqFdYCQ+BQpHoCEG0IIYm/Dxr6XFyixUfnbRnO74C0URm6etCFixf+EkzQcKk+mRiyjq16pk8o4x8frYk8k5tdx4uGUlzaPH13oDYR9qJv7036hfTwQLrKsya4PHgt9R1dmqisl6yukI2h96lrhf95OWOg6HXvQ2hfZ1e0VEY6RXGd06deSnFunwoHi6ZeEmtg2Yn+3SwygiX3Y5hzj/g5a2TysJpw/UIYZhsfyDedYafMD3SV/VdPRJRYgUZJ5phELF4/Vu6iKQ90KDIpS9vbBm/6D0gDwcG8urzg9qLk6QBOtkeZfzf7a/QWv/w==","69168b21477cff9ada6cb980","691bdef8ccef6a324b05b3b3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 03:02:11
"113434.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bdef8ccef6a324b05b3b3","survey-multi-choice",4,252992,"0.0-4.0","FeMmCCMHBYpgJlsD29iciL/A1TqFdYCQ+BQpHoCEG0IIYm/Dxr6XFyixUfnbRnO74C0URm6etCFixf+EkzQcKk+mRiyjq16pk8o4x8frYk8k5tdx4uGUlzaPH13oDYR9qJv7036hfTwQLrKsya4PHgt9R1dmqisl6yukI2h96lrhf95OWOg6HXvQ2hfZ1e0VEY6RXGd06deSnFunwoHi6ZeEmtg2Yn+3SwygiX3Y5hzj/g5a2TysJpw/UIYZhsfyDedYafMD3SV/VdPRJRYgUZJ5phELF4/Vu6iKQ90KDIpS9vbBm/6D0gDwcG8urzg9qLk6QBOtkeZfzf7a/QWv/w==","69168b21477cff9ada6cb980","691bdef8ccef6a324b05b3b3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 03:02:11
"12550","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bdef8ccef6a324b05b3b3","instructions",5,265551,"0.0-305.0","FeMmCCMHBYpgJlsD29iciL/A1TqFdYCQ+BQpHoCEG0IIYm/Dxr6XFyixUfnbRnO74C0URm6etCFixf+EkzQcKk+mRiyjq16pk8o4x8frYk8k5tdx4uGUlzaPH13oDYR9qJv7036hfTwQLrKsya4PHgt9R1dmqisl6yukI2h96lrhf95OWOg6HXvQ2hfZ1e0VEY6RXGd06deSnFunwoHi6ZeEmtg2Yn+3SwygiX3Y5hzj/g5a2TysJpw/UIYZhsfyDedYafMD3SV/VdPRJRYgUZJ5phELF4/Vu6iKQ90KDIpS9vbBm/6D0gDwcG8urzg9qLk6QBOtkeZfzf7a/QWv/w==","69168b21477cff9ada6cb980","691bdef8ccef6a324b05b3b3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":6748.5},{""page_index"":1,""viewing_time"":5801.099999964237}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 03:02:11
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bdef8ccef6a324b05b3b3","html-keyboard-response",6,266566,"0.0-306.0","FeMmCCMHBYpgJlsD29iciL/A1TqFdYCQ+BQpHoCEG0IIYm/Dxr6XFyixUfnbRnO74C0URm6etCFixf+EkzQcKk+mRiyjq16pk8o4x8frYk8k5tdx4uGUlzaPH13oDYR9qJv7036hfTwQLrKsya4PHgt9R1dmqisl6yukI2h96lrhf95OWOg6HXvQ2hfZ1e0VEY6RXGd06deSnFunwoHi6ZeEmtg2Yn+3SwygiX3Y5hzj/g5a2TysJpw/UIYZhsfyDedYafMD3SV/VdPRJRYgUZJ5phELF4/Vu6iKQ90KDIpS9vbBm/6D0gDwcG8urzg9qLk6QBOtkeZfzf7a/QWv/w==","69168b21477cff9ada6cb980","691bdef8ccef6a324b05b3b3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 03:02:11
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bdef8ccef6a324b05b3b3","html-keyboard-response",7,269579,"0.0-307.0","FeMmCCMHBYpgJlsD29iciL/A1TqFdYCQ+BQpHoCEG0IIYm/Dxr6XFyixUfnbRnO74C0URm6etCFixf+EkzQcKk+mRiyjq16pk8o4x8frYk8k5tdx4uGUlzaPH13oDYR9qJv7036hfTwQLrKsya4PHgt9R1dmqisl6yukI2h96lrhf95OWOg6HXvQ2hfZ1e0VEY6RXGd06deSnFunwoHi6ZeEmtg2Yn+3SwygiX3Y5hzj/g5a2TysJpw/UIYZhsfyDedYafMD3SV/VdPRJRYgUZJ5phELF4/Vu6iKQ90KDIpS9vbBm/6D0gDwcG8urzg9qLk6QBOtkeZfzf7a/QWv/w==","69168b21477cff9ada6cb980","691bdef8ccef6a324b05b3b3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 03:02:11
"19200.799999952316","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bdef8ccef6a324b05b3b3","survey-html-form",8,288784,"0.0-308.0","FeMmCCMHBYpgJlsD29iciL/A1TqFdYCQ+BQpHoCEG0IIYm/Dxr6XFyixUfnbRnO74C0URm6etCFixf+EkzQcKk+mRiyjq16pk8o4x8frYk8k5tdx4uGUlzaPH13oDYR9qJv7036hfTwQLrKsya4PHgt9R1dmqisl6yukI2h96lrhf95OWOg6HXvQ2hfZ1e0VEY6RXGd06deSnFunwoHi6ZeEmtg2Yn+3SwygiX3Y5hzj/g5a2TysJpw/UIYZhsfyDedYafMD3SV/VdPRJRYgUZJ5phELF4/Vu6iKQ90KDIpS9vbBm/6D0gDwcG8urzg9qLk6QBOtkeZfzf7a/QWv/w==","69168b21477cff9ada6cb980","691bdef8ccef6a324b05b3b3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""3"",""box2"":""2""}","",1,"round1_outcome",1,1,1,3,2,NA,NA,0,0,10,3,2,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 03:02:11
"10691.699999988079","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bdef8ccef6a324b05b3b3","survey-html-form",9,299479,"0.0-309.0","FeMmCCMHBYpgJlsD29iciL/A1TqFdYCQ+BQpHoCEG0IIYm/Dxr6XFyixUfnbRnO74C0URm6etCFixf+EkzQcKk+mRiyjq16pk8o4x8frYk8k5tdx4uGUlzaPH13oDYR9qJv7036hfTwQLrKsya4PHgt9R1dmqisl6yukI2h96lrhf95OWOg6HXvQ2hfZ1e0VEY6RXGd06deSnFunwoHi6ZeEmtg2Yn+3SwygiX3Y5hzj/g5a2TysJpw/UIYZhsfyDedYafMD3SV/VdPRJRYgUZJ5phELF4/Vu6iKQ90KDIpS9vbBm/6D0gDwcG8urzg9qLk6QBOtkeZfzf7a/QWv/w==","69168b21477cff9ada6cb980","691bdef8ccef6a324b05b3b3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""40"",""box2"":""30""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,30,40,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 03:02:11
