"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"34438.90000003576","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd700cfdd9c6c6a09a241","external-html",0,34499,"0.0-0.0","UPV7UOKJX2W8WBJG3Cc2qZqNguLOpKLmG5kfvPl+fFwkwpgRwiFyHQ/+O3iNaasvUdfDO4YiQe4dQkRUniOH0zgyWDnjTGu+oP724nbpkkgAn+tlecXi8I7TXg8Sa2mEjSfVZ5XqssMftnOP/+Z6JB0N/pBThMUqRICsin+96Sq61nDtxhQzhvnVlwLr1g4NX4+Dj1fqWE11MgTtynkr+AazksISfk1MtdJxU5ghcWk/c/7IOrlv1hKVDEi0z/EHkqFq6NYWgHqB8n16SV+j/34MSU5f+itrJUtzheIZw6k6jaSTZjRONzv49lYdENvgPKfanobwpb9PRZFMUDqogQ==","69168b21477cff9ada6cb980","691bd700cfdd9c6c6a09a241","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:36:47
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd700cfdd9c6c6a09a241","fullscreen",1,47489,"0.0-1.0","UPV7UOKJX2W8WBJG3Cc2qZqNguLOpKLmG5kfvPl+fFwkwpgRwiFyHQ/+O3iNaasvUdfDO4YiQe4dQkRUniOH0zgyWDnjTGu+oP724nbpkkgAn+tlecXi8I7TXg8Sa2mEjSfVZ5XqssMftnOP/+Z6JB0N/pBThMUqRICsin+96Sq61nDtxhQzhvnVlwLr1g4NX4+Dj1fqWE11MgTtynkr+AazksISfk1MtdJxU5ghcWk/c/7IOrlv1hKVDEi0z/EHkqFq6NYWgHqB8n16SV+j/34MSU5f+itrJUtzheIZw6k6jaSTZjRONzv49lYdENvgPKfanobwpb9PRZFMUDqogQ==","69168b21477cff9ada6cb980","691bd700cfdd9c6c6a09a241","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:36:47
"285260.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd700cfdd9c6c6a09a241","instructions",2,332752,"0.0-2.0","UPV7UOKJX2W8WBJG3Cc2qZqNguLOpKLmG5kfvPl+fFwkwpgRwiFyHQ/+O3iNaasvUdfDO4YiQe4dQkRUniOH0zgyWDnjTGu+oP724nbpkkgAn+tlecXi8I7TXg8Sa2mEjSfVZ5XqssMftnOP/+Z6JB0N/pBThMUqRICsin+96Sq61nDtxhQzhvnVlwLr1g4NX4+Dj1fqWE11MgTtynkr+AazksISfk1MtdJxU5ghcWk/c/7IOrlv1hKVDEi0z/EHkqFq6NYWgHqB8n16SV+j/34MSU5f+itrJUtzheIZw6k6jaSTZjRONzv49lYdENvgPKfanobwpb9PRZFMUDqogQ==","69168b21477cff9ada6cb980","691bd700cfdd9c6c6a09a241","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":97958.79999995232},{""page_index"":1,""viewing_time"":43270.200000047684},{""page_index"":2,""viewing_time"":35238.299999952316},{""page_index"":3,""viewing_time"":55265.30000001192},{""page_index"":4,""viewing_time"":17751.600000023842},{""page_index"":5,""viewing_time"":29404.19999998808},{""page_index"":6,""viewing_time"":6371.5}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:36:47
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd700cfdd9c6c6a09a241","html-keyboard-response",3,333769,"0.0-3.0","UPV7UOKJX2W8WBJG3Cc2qZqNguLOpKLmG5kfvPl+fFwkwpgRwiFyHQ/+O3iNaasvUdfDO4YiQe4dQkRUniOH0zgyWDnjTGu+oP724nbpkkgAn+tlecXi8I7TXg8Sa2mEjSfVZ5XqssMftnOP/+Z6JB0N/pBThMUqRICsin+96Sq61nDtxhQzhvnVlwLr1g4NX4+Dj1fqWE11MgTtynkr+AazksISfk1MtdJxU5ghcWk/c/7IOrlv1hKVDEi0z/EHkqFq6NYWgHqB8n16SV+j/34MSU5f+itrJUtzheIZw6k6jaSTZjRONzv49lYdENvgPKfanobwpb9PRZFMUDqogQ==","69168b21477cff9ada6cb980","691bd700cfdd9c6c6a09a241","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:36:47
"60524.19999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd700cfdd9c6c6a09a241","survey-multi-choice",4,394296,"0.0-4.0","UPV7UOKJX2W8WBJG3Cc2qZqNguLOpKLmG5kfvPl+fFwkwpgRwiFyHQ/+O3iNaasvUdfDO4YiQe4dQkRUniOH0zgyWDnjTGu+oP724nbpkkgAn+tlecXi8I7TXg8Sa2mEjSfVZ5XqssMftnOP/+Z6JB0N/pBThMUqRICsin+96Sq61nDtxhQzhvnVlwLr1g4NX4+Dj1fqWE11MgTtynkr+AazksISfk1MtdJxU5ghcWk/c/7IOrlv1hKVDEi0z/EHkqFq6NYWgHqB8n16SV+j/34MSU5f+itrJUtzheIZw6k6jaSTZjRONzv49lYdENvgPKfanobwpb9PRZFMUDqogQ==","69168b21477cff9ada6cb980","691bd700cfdd9c6c6a09a241","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:36:47
"3887.199999988079","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd700cfdd9c6c6a09a241","html-button-response",5,398184,"0.0-5.0-0.0","UPV7UOKJX2W8WBJG3Cc2qZqNguLOpKLmG5kfvPl+fFwkwpgRwiFyHQ/+O3iNaasvUdfDO4YiQe4dQkRUniOH0zgyWDnjTGu+oP724nbpkkgAn+tlecXi8I7TXg8Sa2mEjSfVZ5XqssMftnOP/+Z6JB0N/pBThMUqRICsin+96Sq61nDtxhQzhvnVlwLr1g4NX4+Dj1fqWE11MgTtynkr+AazksISfk1MtdJxU5ghcWk/c/7IOrlv1hKVDEi0z/EHkqFq6NYWgHqB8n16SV+j/34MSU5f+itrJUtzheIZw6k6jaSTZjRONzv49lYdENvgPKfanobwpb9PRZFMUDqogQ==","69168b21477cff9ada6cb980","691bd700cfdd9c6c6a09a241","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:36:47
"41713.30000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd700cfdd9c6c6a09a241","survey-multi-choice",6,439901,"0.0-7.0-0.0","UPV7UOKJX2W8WBJG3Cc2qZqNguLOpKLmG5kfvPl+fFwkwpgRwiFyHQ/+O3iNaasvUdfDO4YiQe4dQkRUniOH0zgyWDnjTGu+oP724nbpkkgAn+tlecXi8I7TXg8Sa2mEjSfVZ5XqssMftnOP/+Z6JB0N/pBThMUqRICsin+96Sq61nDtxhQzhvnVlwLr1g4NX4+Dj1fqWE11MgTtynkr+AazksISfk1MtdJxU5ghcWk/c/7IOrlv1hKVDEi0z/EHkqFq6NYWgHqB8n16SV+j/34MSU5f+itrJUtzheIZw6k6jaSTZjRONzv49lYdENvgPKfanobwpb9PRZFMUDqogQ==","69168b21477cff9ada6cb980","691bd700cfdd9c6c6a09a241","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:36:47
"1769","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd700cfdd9c6c6a09a241","html-button-response",7,441672,"0.0-8.0-0.0","UPV7UOKJX2W8WBJG3Cc2qZqNguLOpKLmG5kfvPl+fFwkwpgRwiFyHQ/+O3iNaasvUdfDO4YiQe4dQkRUniOH0zgyWDnjTGu+oP724nbpkkgAn+tlecXi8I7TXg8Sa2mEjSfVZ5XqssMftnOP/+Z6JB0N/pBThMUqRICsin+96Sq61nDtxhQzhvnVlwLr1g4NX4+Dj1fqWE11MgTtynkr+AazksISfk1MtdJxU5ghcWk/c/7IOrlv1hKVDEi0z/EHkqFq6NYWgHqB8n16SV+j/34MSU5f+itrJUtzheIZw6k6jaSTZjRONzv49lYdENvgPKfanobwpb9PRZFMUDqogQ==","69168b21477cff9ada6cb980","691bd700cfdd9c6c6a09a241","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:36:47
"118682.69999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd700cfdd9c6c6a09a241","instructions",8,560355,"0.0-9.0-0.0","UPV7UOKJX2W8WBJG3Cc2qZqNguLOpKLmG5kfvPl+fFwkwpgRwiFyHQ/+O3iNaasvUdfDO4YiQe4dQkRUniOH0zgyWDnjTGu+oP724nbpkkgAn+tlecXi8I7TXg8Sa2mEjSfVZ5XqssMftnOP/+Z6JB0N/pBThMUqRICsin+96Sq61nDtxhQzhvnVlwLr1g4NX4+Dj1fqWE11MgTtynkr+AazksISfk1MtdJxU5ghcWk/c/7IOrlv1hKVDEi0z/EHkqFq6NYWgHqB8n16SV+j/34MSU5f+itrJUtzheIZw6k6jaSTZjRONzv49lYdENvgPKfanobwpb9PRZFMUDqogQ==","69168b21477cff9ada6cb980","691bd700cfdd9c6c6a09a241","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":14706.300000011921},{""page_index"":1,""viewing_time"":4649.600000023842},{""page_index"":2,""viewing_time"":23554.5},{""page_index"":3,""viewing_time"":29273},{""page_index"":4,""viewing_time"":3938},{""page_index"":5,""viewing_time"":39555.59999996424},{""page_index"":6,""viewing_time"":3005.600000023842}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:36:47
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd700cfdd9c6c6a09a241","html-keyboard-response",9,561366,"0.0-9.0-1.0","UPV7UOKJX2W8WBJG3Cc2qZqNguLOpKLmG5kfvPl+fFwkwpgRwiFyHQ/+O3iNaasvUdfDO4YiQe4dQkRUniOH0zgyWDnjTGu+oP724nbpkkgAn+tlecXi8I7TXg8Sa2mEjSfVZ5XqssMftnOP/+Z6JB0N/pBThMUqRICsin+96Sq61nDtxhQzhvnVlwLr1g4NX4+Dj1fqWE11MgTtynkr+AazksISfk1MtdJxU5ghcWk/c/7IOrlv1hKVDEi0z/EHkqFq6NYWgHqB8n16SV+j/34MSU5f+itrJUtzheIZw6k6jaSTZjRONzv49lYdENvgPKfanobwpb9PRZFMUDqogQ==","69168b21477cff9ada6cb980","691bd700cfdd9c6c6a09a241","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:36:47
