"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","already","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"13084.199999988079","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f926bf65796ccca4c19a0","external-html",0,13277,"0.0-0.0","Ex4ENYLj1Smk8bYNULMsdGxuams1v09cKfX/TsMWBlghNP4FhNDBt40ZyFxSrobipWpV9ShKTjwOqEapJ91dvwjH+IFcZZ6rc6Kf3CC7AaArPO83r1LbapR/p/CiBNAMhphwFa7MRPKFGkpETgZaQjRn560tuWAp5/h8FlZjR5cHOFcwSoBRERNsUcemurZCD3rH6A02OjrRbvxN85ki2lliJfl8iaYPoYiv1nR8WEy1xV+hDqzsfgX8uvDKnkb4YWh/rwe6WRzi/uzg6cc+NP/6UYeY0RjaL6XNXURg3o61D1/891lSj6MBqIY1ycf8aguKFxq3RAFidvIbHsG4lg==","691f8ca61c6b4dcbb0aeb5f4","691f926bf65796ccca4c19a0","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:26:09
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f926bf65796ccca4c19a0","fullscreen",1,15990,"0.0-1.0","Ex4ENYLj1Smk8bYNULMsdGxuams1v09cKfX/TsMWBlghNP4FhNDBt40ZyFxSrobipWpV9ShKTjwOqEapJ91dvwjH+IFcZZ6rc6Kf3CC7AaArPO83r1LbapR/p/CiBNAMhphwFa7MRPKFGkpETgZaQjRn560tuWAp5/h8FlZjR5cHOFcwSoBRERNsUcemurZCD3rH6A02OjrRbvxN85ki2lliJfl8iaYPoYiv1nR8WEy1xV+hDqzsfgX8uvDKnkb4YWh/rwe6WRzi/uzg6cc+NP/6UYeY0RjaL6XNXURg3o61D1/891lSj6MBqIY1ycf8aguKFxq3RAFidvIbHsG4lg==","691f8ca61c6b4dcbb0aeb5f4","691f926bf65796ccca4c19a0","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:26:09
"200500.70000001788","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f926bf65796ccca4c19a0","instructions",2,216491,"0.0-2.0","Ex4ENYLj1Smk8bYNULMsdGxuams1v09cKfX/TsMWBlghNP4FhNDBt40ZyFxSrobipWpV9ShKTjwOqEapJ91dvwjH+IFcZZ6rc6Kf3CC7AaArPO83r1LbapR/p/CiBNAMhphwFa7MRPKFGkpETgZaQjRn560tuWAp5/h8FlZjR5cHOFcwSoBRERNsUcemurZCD3rH6A02OjrRbvxN85ki2lliJfl8iaYPoYiv1nR8WEy1xV+hDqzsfgX8uvDKnkb4YWh/rwe6WRzi/uzg6cc+NP/6UYeY0RjaL6XNXURg3o61D1/891lSj6MBqIY1ycf8aguKFxq3RAFidvIbHsG4lg==","691f8ca61c6b4dcbb0aeb5f4","691f926bf65796ccca4c19a0","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":27349.20000001788},{""page_index"":1,""viewing_time"":87287.59999999404},{""page_index"":2,""viewing_time"":17743.80000001192},{""page_index"":3,""viewing_time"":25768.09999999404},{""page_index"":4,""viewing_time"":13551.90000000596},{""page_index"":5,""viewing_time"":18991.899999976158},{""page_index"":6,""viewing_time"":9807.90000000596}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:26:09
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f926bf65796ccca4c19a0","html-keyboard-response",3,217494,"0.0-3.0","Ex4ENYLj1Smk8bYNULMsdGxuams1v09cKfX/TsMWBlghNP4FhNDBt40ZyFxSrobipWpV9ShKTjwOqEapJ91dvwjH+IFcZZ6rc6Kf3CC7AaArPO83r1LbapR/p/CiBNAMhphwFa7MRPKFGkpETgZaQjRn560tuWAp5/h8FlZjR5cHOFcwSoBRERNsUcemurZCD3rH6A02OjrRbvxN85ki2lliJfl8iaYPoYiv1nR8WEy1xV+hDqzsfgX8uvDKnkb4YWh/rwe6WRzi/uzg6cc+NP/6UYeY0RjaL6XNXURg3o61D1/891lSj6MBqIY1ycf8aguKFxq3RAFidvIbHsG4lg==","691f8ca61c6b4dcbb0aeb5f4","691f926bf65796ccca4c19a0","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:26:09
"45045.70000001788","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f926bf65796ccca4c19a0","survey-multi-choice",4,262541,"0.0-4.0","Ex4ENYLj1Smk8bYNULMsdGxuams1v09cKfX/TsMWBlghNP4FhNDBt40ZyFxSrobipWpV9ShKTjwOqEapJ91dvwjH+IFcZZ6rc6Kf3CC7AaArPO83r1LbapR/p/CiBNAMhphwFa7MRPKFGkpETgZaQjRn560tuWAp5/h8FlZjR5cHOFcwSoBRERNsUcemurZCD3rH6A02OjrRbvxN85ki2lliJfl8iaYPoYiv1nR8WEy1xV+hDqzsfgX8uvDKnkb4YWh/rwe6WRzi/uzg6cc+NP/6UYeY0RjaL6XNXURg3o61D1/891lSj6MBqIY1ycf8aguKFxq3RAFidvIbHsG4lg==","691f8ca61c6b4dcbb0aeb5f4","691f926bf65796ccca4c19a0","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""There is no bonus payment at all.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:26:09
"4045.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f926bf65796ccca4c19a0","html-button-response",5,266588,"0.0-5.0-1.0","Ex4ENYLj1Smk8bYNULMsdGxuams1v09cKfX/TsMWBlghNP4FhNDBt40ZyFxSrobipWpV9ShKTjwOqEapJ91dvwjH+IFcZZ6rc6Kf3CC7AaArPO83r1LbapR/p/CiBNAMhphwFa7MRPKFGkpETgZaQjRn560tuWAp5/h8FlZjR5cHOFcwSoBRERNsUcemurZCD3rH6A02OjrRbvxN85ki2lliJfl8iaYPoYiv1nR8WEy1xV+hDqzsfgX8uvDKnkb4YWh/rwe6WRzi/uzg6cc+NP/6UYeY0RjaL6XNXURg3o61D1/891lSj6MBqIY1ycf8aguKFxq3RAFidvIbHsG4lg==","691f8ca61c6b4dcbb0aeb5f4","691f926bf65796ccca4c19a0","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:26:09
"18422.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f926bf65796ccca4c19a0","instructions",6,285011,"0.0-6.0-0.0","Ex4ENYLj1Smk8bYNULMsdGxuams1v09cKfX/TsMWBlghNP4FhNDBt40ZyFxSrobipWpV9ShKTjwOqEapJ91dvwjH+IFcZZ6rc6Kf3CC7AaArPO83r1LbapR/p/CiBNAMhphwFa7MRPKFGkpETgZaQjRn560tuWAp5/h8FlZjR5cHOFcwSoBRERNsUcemurZCD3rH6A02OjrRbvxN85ki2lliJfl8iaYPoYiv1nR8WEy1xV+hDqzsfgX8uvDKnkb4YWh/rwe6WRzi/uzg6cc+NP/6UYeY0RjaL6XNXURg3o61D1/891lSj6MBqIY1ycf8aguKFxq3RAFidvIbHsG4lg==","691f8ca61c6b4dcbb0aeb5f4","691f926bf65796ccca4c19a0","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":2286.800000011921},{""page_index"":1,""viewing_time"":3608.0999999940395},{""page_index"":2,""viewing_time"":5615.9000000059605},{""page_index"":3,""viewing_time"":3536},{""page_index"":4,""viewing_time"":1632.0999999940395},{""page_index"":5,""viewing_time"":600},{""page_index"":6,""viewing_time"":1143.800000011921}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:26:09
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f926bf65796ccca4c19a0","html-keyboard-response",7,286012,"0.0-6.0-1.0","Ex4ENYLj1Smk8bYNULMsdGxuams1v09cKfX/TsMWBlghNP4FhNDBt40ZyFxSrobipWpV9ShKTjwOqEapJ91dvwjH+IFcZZ6rc6Kf3CC7AaArPO83r1LbapR/p/CiBNAMhphwFa7MRPKFGkpETgZaQjRn560tuWAp5/h8FlZjR5cHOFcwSoBRERNsUcemurZCD3rH6A02OjrRbvxN85ki2lliJfl8iaYPoYiv1nR8WEy1xV+hDqzsfgX8uvDKnkb4YWh/rwe6WRzi/uzg6cc+NP/6UYeY0RjaL6XNXURg3o61D1/891lSj6MBqIY1ycf8aguKFxq3RAFidvIbHsG4lg==","691f8ca61c6b4dcbb0aeb5f4","691f926bf65796ccca4c19a0","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:26:09
"20775.29999998212","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f926bf65796ccca4c19a0","survey-multi-choice",8,306788,"0.0-7.0-0.0","Ex4ENYLj1Smk8bYNULMsdGxuams1v09cKfX/TsMWBlghNP4FhNDBt40ZyFxSrobipWpV9ShKTjwOqEapJ91dvwjH+IFcZZ6rc6Kf3CC7AaArPO83r1LbapR/p/CiBNAMhphwFa7MRPKFGkpETgZaQjRn560tuWAp5/h8FlZjR5cHOFcwSoBRERNsUcemurZCD3rH6A02OjrRbvxN85ki2lliJfl8iaYPoYiv1nR8WEy1xV+hDqzsfgX8uvDKnkb4YWh/rwe6WRzi/uzg6cc+NP/6UYeY0RjaL6XNXURg3o61D1/891lSj6MBqIY1ycf8aguKFxq3RAFidvIbHsG4lg==","691f8ca61c6b4dcbb0aeb5f4","691f926bf65796ccca4c19a0","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:26:09
"11155.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f926bf65796ccca4c19a0","instructions",9,317947,"0.0-305.0","Ex4ENYLj1Smk8bYNULMsdGxuams1v09cKfX/TsMWBlghNP4FhNDBt40ZyFxSrobipWpV9ShKTjwOqEapJ91dvwjH+IFcZZ6rc6Kf3CC7AaArPO83r1LbapR/p/CiBNAMhphwFa7MRPKFGkpETgZaQjRn560tuWAp5/h8FlZjR5cHOFcwSoBRERNsUcemurZCD3rH6A02OjrRbvxN85ki2lliJfl8iaYPoYiv1nR8WEy1xV+hDqzsfgX8uvDKnkb4YWh/rwe6WRzi/uzg6cc+NP/6UYeY0RjaL6XNXURg3o61D1/891lSj6MBqIY1ycf8aguKFxq3RAFidvIbHsG4lg==","691f8ca61c6b4dcbb0aeb5f4","691f926bf65796ccca4c19a0","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":5803.4000000059605},{""page_index"":1,""viewing_time"":5352.199999988079}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-20 22:26:09
