"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"3589.899999976158","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa5faff8fc04f1a77707d","external-html",0,3708,"0.0-0.0","s/NtCFnhRpgQJRNvTnlUn5biSGEMJtcdq1RPOXlMMUJ+CgA4vflz3Ip1FufVf0yta94eW3Z6Te8S+Nnu7ZiLSyaUstWWzxHGR4NXV6fDkALEFLkSoQrjqTgKqm4kKndM9DVDLPoJceS/QVUD6n+wa9eZfI94UNfRpHk1KmFjD0hxyTRvsEAOEl5f2J4qcflBqIB6U+awe4BLSAPukFFYr2wnH+a4UiGfXu4rS+6xcJ9ro+slQ/Mqo9MpX+CF3cn8wbrdZkMyZRGZQMMk9jMaupgx3GBwdChCQ9OBPWKkiCTK15np69tj8RPOIHe0MUkg4jm5NSz0+8eZnsvRROIM4w==","691f8ca61c6b4dcbb0aeb5f4","691fa5faff8fc04f1a77707d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:00:20
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa5faff8fc04f1a77707d","fullscreen",1,15684,"0.0-1.0","s/NtCFnhRpgQJRNvTnlUn5biSGEMJtcdq1RPOXlMMUJ+CgA4vflz3Ip1FufVf0yta94eW3Z6Te8S+Nnu7ZiLSyaUstWWzxHGR4NXV6fDkALEFLkSoQrjqTgKqm4kKndM9DVDLPoJceS/QVUD6n+wa9eZfI94UNfRpHk1KmFjD0hxyTRvsEAOEl5f2J4qcflBqIB6U+awe4BLSAPukFFYr2wnH+a4UiGfXu4rS+6xcJ9ro+slQ/Mqo9MpX+CF3cn8wbrdZkMyZRGZQMMk9jMaupgx3GBwdChCQ9OBPWKkiCTK15np69tj8RPOIHe0MUkg4jm5NSz0+8eZnsvRROIM4w==","691f8ca61c6b4dcbb0aeb5f4","691fa5faff8fc04f1a77707d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:00:20
"193378.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa5faff8fc04f1a77707d","instructions",2,209064,"0.0-2.0","s/NtCFnhRpgQJRNvTnlUn5biSGEMJtcdq1RPOXlMMUJ+CgA4vflz3Ip1FufVf0yta94eW3Z6Te8S+Nnu7ZiLSyaUstWWzxHGR4NXV6fDkALEFLkSoQrjqTgKqm4kKndM9DVDLPoJceS/QVUD6n+wa9eZfI94UNfRpHk1KmFjD0hxyTRvsEAOEl5f2J4qcflBqIB6U+awe4BLSAPukFFYr2wnH+a4UiGfXu4rS+6xcJ9ro+slQ/Mqo9MpX+CF3cn8wbrdZkMyZRGZQMMk9jMaupgx3GBwdChCQ9OBPWKkiCTK15np69tj8RPOIHe0MUkg4jm5NSz0+8eZnsvRROIM4w==","691f8ca61c6b4dcbb0aeb5f4","691fa5faff8fc04f1a77707d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":25148},{""page_index"":1,""viewing_time"":27980},{""page_index"":2,""viewing_time"":23067.400000095367},{""page_index"":3,""viewing_time"":47064.699999928474},{""page_index"":4,""viewing_time"":16827.200000047684},{""page_index"":5,""viewing_time"":33589.299999952316},{""page_index"":6,""viewing_time"":19701.399999976158}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:00:20
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa5faff8fc04f1a77707d","html-keyboard-response",3,210073,"0.0-3.0","s/NtCFnhRpgQJRNvTnlUn5biSGEMJtcdq1RPOXlMMUJ+CgA4vflz3Ip1FufVf0yta94eW3Z6Te8S+Nnu7ZiLSyaUstWWzxHGR4NXV6fDkALEFLkSoQrjqTgKqm4kKndM9DVDLPoJceS/QVUD6n+wa9eZfI94UNfRpHk1KmFjD0hxyTRvsEAOEl5f2J4qcflBqIB6U+awe4BLSAPukFFYr2wnH+a4UiGfXu4rS+6xcJ9ro+slQ/Mqo9MpX+CF3cn8wbrdZkMyZRGZQMMk9jMaupgx3GBwdChCQ9OBPWKkiCTK15np69tj8RPOIHe0MUkg4jm5NSz0+8eZnsvRROIM4w==","691f8ca61c6b4dcbb0aeb5f4","691fa5faff8fc04f1a77707d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:00:20
"204445.80000007153","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa5faff8fc04f1a77707d","survey-multi-choice",4,414521,"0.0-4.0","s/NtCFnhRpgQJRNvTnlUn5biSGEMJtcdq1RPOXlMMUJ+CgA4vflz3Ip1FufVf0yta94eW3Z6Te8S+Nnu7ZiLSyaUstWWzxHGR4NXV6fDkALEFLkSoQrjqTgKqm4kKndM9DVDLPoJceS/QVUD6n+wa9eZfI94UNfRpHk1KmFjD0hxyTRvsEAOEl5f2J4qcflBqIB6U+awe4BLSAPukFFYr2wnH+a4UiGfXu4rS+6xcJ9ro+slQ/Mqo9MpX+CF3cn8wbrdZkMyZRGZQMMk9jMaupgx3GBwdChCQ9OBPWKkiCTK15np69tj8RPOIHe0MUkg4jm5NSz0+8eZnsvRROIM4w==","691f8ca61c6b4dcbb0aeb5f4","691fa5faff8fc04f1a77707d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""There is no bonus payment at all.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:00:20
"2601","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa5faff8fc04f1a77707d","html-button-response",5,417123,"0.0-5.0-1.0","s/NtCFnhRpgQJRNvTnlUn5biSGEMJtcdq1RPOXlMMUJ+CgA4vflz3Ip1FufVf0yta94eW3Z6Te8S+Nnu7ZiLSyaUstWWzxHGR4NXV6fDkALEFLkSoQrjqTgKqm4kKndM9DVDLPoJceS/QVUD6n+wa9eZfI94UNfRpHk1KmFjD0hxyTRvsEAOEl5f2J4qcflBqIB6U+awe4BLSAPukFFYr2wnH+a4UiGfXu4rS+6xcJ9ro+slQ/Mqo9MpX+CF3cn8wbrdZkMyZRGZQMMk9jMaupgx3GBwdChCQ9OBPWKkiCTK15np69tj8RPOIHe0MUkg4jm5NSz0+8eZnsvRROIM4w==","691f8ca61c6b4dcbb0aeb5f4","691fa5faff8fc04f1a77707d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:00:20
"122455.89999997616","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa5faff8fc04f1a77707d","instructions",6,539580,"0.0-6.0-0.0","s/NtCFnhRpgQJRNvTnlUn5biSGEMJtcdq1RPOXlMMUJ+CgA4vflz3Ip1FufVf0yta94eW3Z6Te8S+Nnu7ZiLSyaUstWWzxHGR4NXV6fDkALEFLkSoQrjqTgKqm4kKndM9DVDLPoJceS/QVUD6n+wa9eZfI94UNfRpHk1KmFjD0hxyTRvsEAOEl5f2J4qcflBqIB6U+awe4BLSAPukFFYr2wnH+a4UiGfXu4rS+6xcJ9ro+slQ/Mqo9MpX+CF3cn8wbrdZkMyZRGZQMMk9jMaupgx3GBwdChCQ9OBPWKkiCTK15np69tj8RPOIHe0MUkg4jm5NSz0+8eZnsvRROIM4w==","691f8ca61c6b4dcbb0aeb5f4","691fa5faff8fc04f1a77707d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":17993.5},{""page_index"":1,""viewing_time"":53690.699999928474},{""page_index"":2,""viewing_time"":23496.700000047684},{""page_index"":3,""viewing_time"":1849.8999999761581},{""page_index"":4,""viewing_time"":4293.600000023842},{""page_index"":3,""viewing_time"":8570.5},{""page_index"":4,""viewing_time"":5471},{""page_index"":5,""viewing_time"":5132},{""page_index"":6,""viewing_time"":1957.6999999284744}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:00:20
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa5faff8fc04f1a77707d","html-keyboard-response",7,540591,"0.0-6.0-1.0","s/NtCFnhRpgQJRNvTnlUn5biSGEMJtcdq1RPOXlMMUJ+CgA4vflz3Ip1FufVf0yta94eW3Z6Te8S+Nnu7ZiLSyaUstWWzxHGR4NXV6fDkALEFLkSoQrjqTgKqm4kKndM9DVDLPoJceS/QVUD6n+wa9eZfI94UNfRpHk1KmFjD0hxyTRvsEAOEl5f2J4qcflBqIB6U+awe4BLSAPukFFYr2wnH+a4UiGfXu4rS+6xcJ9ro+slQ/Mqo9MpX+CF3cn8wbrdZkMyZRGZQMMk9jMaupgx3GBwdChCQ9OBPWKkiCTK15np69tj8RPOIHe0MUkg4jm5NSz0+8eZnsvRROIM4w==","691f8ca61c6b4dcbb0aeb5f4","691fa5faff8fc04f1a77707d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:00:20
"128330.29999995232","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa5faff8fc04f1a77707d","survey-multi-choice",8,668924,"0.0-7.0-0.0","s/NtCFnhRpgQJRNvTnlUn5biSGEMJtcdq1RPOXlMMUJ+CgA4vflz3Ip1FufVf0yta94eW3Z6Te8S+Nnu7ZiLSyaUstWWzxHGR4NXV6fDkALEFLkSoQrjqTgKqm4kKndM9DVDLPoJceS/QVUD6n+wa9eZfI94UNfRpHk1KmFjD0hxyTRvsEAOEl5f2J4qcflBqIB6U+awe4BLSAPukFFYr2wnH+a4UiGfXu4rS+6xcJ9ro+slQ/Mqo9MpX+CF3cn8wbrdZkMyZRGZQMMk9jMaupgx3GBwdChCQ9OBPWKkiCTK15np69tj8RPOIHe0MUkg4jm5NSz0+8eZnsvRROIM4w==","691f8ca61c6b4dcbb0aeb5f4","691fa5faff8fc04f1a77707d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:00:20
"28422","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa5faff8fc04f1a77707d","instructions",9,697351,"0.0-305.0","s/NtCFnhRpgQJRNvTnlUn5biSGEMJtcdq1RPOXlMMUJ+CgA4vflz3Ip1FufVf0yta94eW3Z6Te8S+Nnu7ZiLSyaUstWWzxHGR4NXV6fDkALEFLkSoQrjqTgKqm4kKndM9DVDLPoJceS/QVUD6n+wa9eZfI94UNfRpHk1KmFjD0hxyTRvsEAOEl5f2J4qcflBqIB6U+awe4BLSAPukFFYr2wnH+a4UiGfXu4rS+6xcJ9ro+slQ/Mqo9MpX+CF3cn8wbrdZkMyZRGZQMMk9jMaupgx3GBwdChCQ9OBPWKkiCTK15np69tj8RPOIHe0MUkg4jm5NSz0+8eZnsvRROIM4w==","691f8ca61c6b4dcbb0aeb5f4","691fa5faff8fc04f1a77707d","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":8682.299999952316},{""page_index"":1,""viewing_time"":19739.600000023842}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:00:20
