"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"35552.39999999851","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fad63036a95890bb36fd2","external-html",0,35595,"0.0-0.0","X7LjFnQPQeOjm+ygDEK/z8ZL+rsCWYfh8BWnMwpN+q5YaTeoHUhwRJCiUzNomOh6hg6LL0V8fVtJY2L3uDZui1yNSFq1mP3MWUydqUe07oKUDGKRdkriZ7Q5OzBwzKJTA80TPcQY6INF5poZMgHCTxKfdBDvvyChzBoKxc3UF15qxL69wShl98lGs8kKGdcH+OLWHP6x5dql4y5LPXMh+/o56au1DiiISnjdUoY8w6sxXtSLLupSMcPiG7XSlA0CqZCCklU7wmTWTSZGEdUNgOFJ1NXLBp/imR+5vIVfMVaq/tR5/y1RBxCAca1rxW23ZF6LhSwKAmzndD+RvxEb7A==","691f8ca61c6b4dcbb0aeb5f4","691fad63036a95890bb36fd2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:26:24
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fad63036a95890bb36fd2","fullscreen",1,49689,"0.0-1.0","X7LjFnQPQeOjm+ygDEK/z8ZL+rsCWYfh8BWnMwpN+q5YaTeoHUhwRJCiUzNomOh6hg6LL0V8fVtJY2L3uDZui1yNSFq1mP3MWUydqUe07oKUDGKRdkriZ7Q5OzBwzKJTA80TPcQY6INF5poZMgHCTxKfdBDvvyChzBoKxc3UF15qxL69wShl98lGs8kKGdcH+OLWHP6x5dql4y5LPXMh+/o56au1DiiISnjdUoY8w6sxXtSLLupSMcPiG7XSlA0CqZCCklU7wmTWTSZGEdUNgOFJ1NXLBp/imR+5vIVfMVaq/tR5/y1RBxCAca1rxW23ZF6LhSwKAmzndD+RvxEb7A==","691f8ca61c6b4dcbb0aeb5f4","691fad63036a95890bb36fd2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:26:24
"172239.90000000224","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fad63036a95890bb36fd2","instructions",2,221930,"0.0-2.0","X7LjFnQPQeOjm+ygDEK/z8ZL+rsCWYfh8BWnMwpN+q5YaTeoHUhwRJCiUzNomOh6hg6LL0V8fVtJY2L3uDZui1yNSFq1mP3MWUydqUe07oKUDGKRdkriZ7Q5OzBwzKJTA80TPcQY6INF5poZMgHCTxKfdBDvvyChzBoKxc3UF15qxL69wShl98lGs8kKGdcH+OLWHP6x5dql4y5LPXMh+/o56au1DiiISnjdUoY8w6sxXtSLLupSMcPiG7XSlA0CqZCCklU7wmTWTSZGEdUNgOFJ1NXLBp/imR+5vIVfMVaq/tR5/y1RBxCAca1rxW23ZF6LhSwKAmzndD+RvxEb7A==","691f8ca61c6b4dcbb0aeb5f4","691fad63036a95890bb36fd2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":34545.800000000745},{""page_index"":1,""viewing_time"":21323.39999999851},{""page_index"":2,""viewing_time"":18849.60000000149},{""page_index"":3,""viewing_time"":46664.800000000745},{""page_index"":4,""viewing_time"":15355},{""page_index"":5,""viewing_time"":27549.099999997765},{""page_index"":6,""viewing_time"":7952}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:26:24
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fad63036a95890bb36fd2","html-keyboard-response",3,222936,"0.0-3.0","X7LjFnQPQeOjm+ygDEK/z8ZL+rsCWYfh8BWnMwpN+q5YaTeoHUhwRJCiUzNomOh6hg6LL0V8fVtJY2L3uDZui1yNSFq1mP3MWUydqUe07oKUDGKRdkriZ7Q5OzBwzKJTA80TPcQY6INF5poZMgHCTxKfdBDvvyChzBoKxc3UF15qxL69wShl98lGs8kKGdcH+OLWHP6x5dql4y5LPXMh+/o56au1DiiISnjdUoY8w6sxXtSLLupSMcPiG7XSlA0CqZCCklU7wmTWTSZGEdUNgOFJ1NXLBp/imR+5vIVfMVaq/tR5/y1RBxCAca1rxW23ZF6LhSwKAmzndD+RvxEb7A==","691f8ca61c6b4dcbb0aeb5f4","691fad63036a95890bb36fd2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:26:24
"40508.800000000745","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fad63036a95890bb36fd2","survey-multi-choice",4,263446,"0.0-4.0","X7LjFnQPQeOjm+ygDEK/z8ZL+rsCWYfh8BWnMwpN+q5YaTeoHUhwRJCiUzNomOh6hg6LL0V8fVtJY2L3uDZui1yNSFq1mP3MWUydqUe07oKUDGKRdkriZ7Q5OzBwzKJTA80TPcQY6INF5poZMgHCTxKfdBDvvyChzBoKxc3UF15qxL69wShl98lGs8kKGdcH+OLWHP6x5dql4y5LPXMh+/o56au1DiiISnjdUoY8w6sxXtSLLupSMcPiG7XSlA0CqZCCklU7wmTWTSZGEdUNgOFJ1NXLBp/imR+5vIVfMVaq/tR5/y1RBxCAca1rxW23ZF6LhSwKAmzndD+RvxEb7A==","691f8ca61c6b4dcbb0aeb5f4","691fad63036a95890bb36fd2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:26:24
"13793.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fad63036a95890bb36fd2","instructions",5,277243,"0.0-305.0","X7LjFnQPQeOjm+ygDEK/z8ZL+rsCWYfh8BWnMwpN+q5YaTeoHUhwRJCiUzNomOh6hg6LL0V8fVtJY2L3uDZui1yNSFq1mP3MWUydqUe07oKUDGKRdkriZ7Q5OzBwzKJTA80TPcQY6INF5poZMgHCTxKfdBDvvyChzBoKxc3UF15qxL69wShl98lGs8kKGdcH+OLWHP6x5dql4y5LPXMh+/o56au1DiiISnjdUoY8w6sxXtSLLupSMcPiG7XSlA0CqZCCklU7wmTWTSZGEdUNgOFJ1NXLBp/imR+5vIVfMVaq/tR5/y1RBxCAca1rxW23ZF6LhSwKAmzndD+RvxEb7A==","691f8ca61c6b4dcbb0aeb5f4","691fad63036a95890bb36fd2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":7920.60000000149},{""page_index"":1,""viewing_time"":5872.699999999255}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:26:24
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fad63036a95890bb36fd2","html-keyboard-response",6,278248,"0.0-306.0","X7LjFnQPQeOjm+ygDEK/z8ZL+rsCWYfh8BWnMwpN+q5YaTeoHUhwRJCiUzNomOh6hg6LL0V8fVtJY2L3uDZui1yNSFq1mP3MWUydqUe07oKUDGKRdkriZ7Q5OzBwzKJTA80TPcQY6INF5poZMgHCTxKfdBDvvyChzBoKxc3UF15qxL69wShl98lGs8kKGdcH+OLWHP6x5dql4y5LPXMh+/o56au1DiiISnjdUoY8w6sxXtSLLupSMcPiG7XSlA0CqZCCklU7wmTWTSZGEdUNgOFJ1NXLBp/imR+5vIVfMVaq/tR5/y1RBxCAca1rxW23ZF6LhSwKAmzndD+RvxEb7A==","691f8ca61c6b4dcbb0aeb5f4","691fad63036a95890bb36fd2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:26:24
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fad63036a95890bb36fd2","html-keyboard-response",7,281251,"0.0-307.0","X7LjFnQPQeOjm+ygDEK/z8ZL+rsCWYfh8BWnMwpN+q5YaTeoHUhwRJCiUzNomOh6hg6LL0V8fVtJY2L3uDZui1yNSFq1mP3MWUydqUe07oKUDGKRdkriZ7Q5OzBwzKJTA80TPcQY6INF5poZMgHCTxKfdBDvvyChzBoKxc3UF15qxL69wShl98lGs8kKGdcH+OLWHP6x5dql4y5LPXMh+/o56au1DiiISnjdUoY8w6sxXtSLLupSMcPiG7XSlA0CqZCCklU7wmTWTSZGEdUNgOFJ1NXLBp/imR+5vIVfMVaq/tR5/y1RBxCAca1rxW23ZF6LhSwKAmzndD+RvxEb7A==","691f8ca61c6b4dcbb0aeb5f4","691fad63036a95890bb36fd2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:26:24
"45502.300000000745","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fad63036a95890bb36fd2","survey-html-form",8,326754,"0.0-308.0","X7LjFnQPQeOjm+ygDEK/z8ZL+rsCWYfh8BWnMwpN+q5YaTeoHUhwRJCiUzNomOh6hg6LL0V8fVtJY2L3uDZui1yNSFq1mP3MWUydqUe07oKUDGKRdkriZ7Q5OzBwzKJTA80TPcQY6INF5poZMgHCTxKfdBDvvyChzBoKxc3UF15qxL69wShl98lGs8kKGdcH+OLWHP6x5dql4y5LPXMh+/o56au1DiiISnjdUoY8w6sxXtSLLupSMcPiG7XSlA0CqZCCklU7wmTWTSZGEdUNgOFJ1NXLBp/imR+5vIVfMVaq/tR5/y1RBxCAca1rxW23ZF6LhSwKAmzndD+RvxEb7A==","691f8ca61c6b4dcbb0aeb5f4","691fad63036a95890bb36fd2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""3"",""box2"":""8"",""box4"":""70""}","",1,"round1_outcome",1,1,1,3,8,NA,70,0,1,10,3,8,NA,70,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:26:24
"26617.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fad63036a95890bb36fd2","survey-html-form",9,353373,"0.0-309.0","X7LjFnQPQeOjm+ygDEK/z8ZL+rsCWYfh8BWnMwpN+q5YaTeoHUhwRJCiUzNomOh6hg6LL0V8fVtJY2L3uDZui1yNSFq1mP3MWUydqUe07oKUDGKRdkriZ7Q5OzBwzKJTA80TPcQY6INF5poZMgHCTxKfdBDvvyChzBoKxc3UF15qxL69wShl98lGs8kKGdcH+OLWHP6x5dql4y5LPXMh+/o56au1DiiISnjdUoY8w6sxXtSLLupSMcPiG7XSlA0CqZCCklU7wmTWTSZGEdUNgOFJ1NXLBp/imR+5vIVfMVaq/tR5/y1RBxCAca1rxW23ZF6LhSwKAmzndD+RvxEb7A==","691f8ca61c6b4dcbb0aeb5f4","691fad63036a95890bb36fd2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""30"",""box2"":""80""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,80,30,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:26:24
