"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"2983.89999999851","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d1deb9dc6f6d5d7681047","external-html",0,3123,"0.0-0.0","j+yQOpoVnrLFc46eKhMiQur5sMOuPmd35dPNszpf82GUxmqxCwlOPnb1MGn2DlA+TuX3a3E5DYkKKKfmiGlEY8f/1qCBlu1C0Y1gjtNLjdRc9WLcSXKlfLkybWsjwiw9BD821SmhbW/60LnzUCuPPkkb1LC++Mz4XT6IYvuawDU8YjThLLM9zH4i5HbusT+tzAj6+XMnUtt6vSLjoWxP7iBQ1eP/xVK7ZCOHorHlfbClDNEGow1pTip/7chOP2ElsJowPesUhbV+HxOT2W3w4AuB2b41cDleQo94OxKyfNKTwdCeDyytqgyNAj0yAZxddU3FqmS/oNGH5cTjzUgSLg==","69168b21477cff9ada6cb980","691d1deb9dc6f6d5d7681047","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 02:03:22
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d1deb9dc6f6d5d7681047","fullscreen",1,6048,"0.0-1.0","j+yQOpoVnrLFc46eKhMiQur5sMOuPmd35dPNszpf82GUxmqxCwlOPnb1MGn2DlA+TuX3a3E5DYkKKKfmiGlEY8f/1qCBlu1C0Y1gjtNLjdRc9WLcSXKlfLkybWsjwiw9BD821SmhbW/60LnzUCuPPkkb1LC++Mz4XT6IYvuawDU8YjThLLM9zH4i5HbusT+tzAj6+XMnUtt6vSLjoWxP7iBQ1eP/xVK7ZCOHorHlfbClDNEGow1pTip/7chOP2ElsJowPesUhbV+HxOT2W3w4AuB2b41cDleQo94OxKyfNKTwdCeDyytqgyNAj0yAZxddU3FqmS/oNGH5cTjzUgSLg==","69168b21477cff9ada6cb980","691d1deb9dc6f6d5d7681047","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 02:03:22
"113058.79999999702","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d1deb9dc6f6d5d7681047","instructions",2,119108,"0.0-2.0","j+yQOpoVnrLFc46eKhMiQur5sMOuPmd35dPNszpf82GUxmqxCwlOPnb1MGn2DlA+TuX3a3E5DYkKKKfmiGlEY8f/1qCBlu1C0Y1gjtNLjdRc9WLcSXKlfLkybWsjwiw9BD821SmhbW/60LnzUCuPPkkb1LC++Mz4XT6IYvuawDU8YjThLLM9zH4i5HbusT+tzAj6+XMnUtt6vSLjoWxP7iBQ1eP/xVK7ZCOHorHlfbClDNEGow1pTip/7chOP2ElsJowPesUhbV+HxOT2W3w4AuB2b41cDleQo94OxKyfNKTwdCeDyytqgyNAj0yAZxddU3FqmS/oNGH5cTjzUgSLg==","69168b21477cff9ada6cb980","691d1deb9dc6f6d5d7681047","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":21105.59999999404},{""page_index"":1,""viewing_time"":9425.90000000596},{""page_index"":2,""viewing_time"":12983.19999999553},{""page_index"":3,""viewing_time"":19495.20000000298},{""page_index"":4,""viewing_time"":10968.60000000149},{""page_index"":5,""viewing_time"":7421.0999999940395},{""page_index"":6,""viewing_time"":31658.90000000596}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 02:03:22
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d1deb9dc6f6d5d7681047","html-keyboard-response",3,120116,"0.0-3.0","j+yQOpoVnrLFc46eKhMiQur5sMOuPmd35dPNszpf82GUxmqxCwlOPnb1MGn2DlA+TuX3a3E5DYkKKKfmiGlEY8f/1qCBlu1C0Y1gjtNLjdRc9WLcSXKlfLkybWsjwiw9BD821SmhbW/60LnzUCuPPkkb1LC++Mz4XT6IYvuawDU8YjThLLM9zH4i5HbusT+tzAj6+XMnUtt6vSLjoWxP7iBQ1eP/xVK7ZCOHorHlfbClDNEGow1pTip/7chOP2ElsJowPesUhbV+HxOT2W3w4AuB2b41cDleQo94OxKyfNKTwdCeDyytqgyNAj0yAZxddU3FqmS/oNGH5cTjzUgSLg==","69168b21477cff9ada6cb980","691d1deb9dc6f6d5d7681047","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 02:03:22
"38225.20000000298","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d1deb9dc6f6d5d7681047","survey-multi-choice",4,158343,"0.0-4.0","j+yQOpoVnrLFc46eKhMiQur5sMOuPmd35dPNszpf82GUxmqxCwlOPnb1MGn2DlA+TuX3a3E5DYkKKKfmiGlEY8f/1qCBlu1C0Y1gjtNLjdRc9WLcSXKlfLkybWsjwiw9BD821SmhbW/60LnzUCuPPkkb1LC++Mz4XT6IYvuawDU8YjThLLM9zH4i5HbusT+tzAj6+XMnUtt6vSLjoWxP7iBQ1eP/xVK7ZCOHorHlfbClDNEGow1pTip/7chOP2ElsJowPesUhbV+HxOT2W3w4AuB2b41cDleQo94OxKyfNKTwdCeDyytqgyNAj0yAZxddU3FqmS/oNGH5cTjzUgSLg==","69168b21477cff9ada6cb980","691d1deb9dc6f6d5d7681047","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 02:03:22
"22916.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d1deb9dc6f6d5d7681047","instructions",5,181262,"0.0-305.0","j+yQOpoVnrLFc46eKhMiQur5sMOuPmd35dPNszpf82GUxmqxCwlOPnb1MGn2DlA+TuX3a3E5DYkKKKfmiGlEY8f/1qCBlu1C0Y1gjtNLjdRc9WLcSXKlfLkybWsjwiw9BD821SmhbW/60LnzUCuPPkkb1LC++Mz4XT6IYvuawDU8YjThLLM9zH4i5HbusT+tzAj6+XMnUtt6vSLjoWxP7iBQ1eP/xVK7ZCOHorHlfbClDNEGow1pTip/7chOP2ElsJowPesUhbV+HxOT2W3w4AuB2b41cDleQo94OxKyfNKTwdCeDyytqgyNAj0yAZxddU3FqmS/oNGH5cTjzUgSLg==","69168b21477cff9ada6cb980","691d1deb9dc6f6d5d7681047","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":7247.30000000447},{""page_index"":1,""viewing_time"":15669.09999999404}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 02:03:22
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d1deb9dc6f6d5d7681047","html-keyboard-response",6,182263,"0.0-306.0","j+yQOpoVnrLFc46eKhMiQur5sMOuPmd35dPNszpf82GUxmqxCwlOPnb1MGn2DlA+TuX3a3E5DYkKKKfmiGlEY8f/1qCBlu1C0Y1gjtNLjdRc9WLcSXKlfLkybWsjwiw9BD821SmhbW/60LnzUCuPPkkb1LC++Mz4XT6IYvuawDU8YjThLLM9zH4i5HbusT+tzAj6+XMnUtt6vSLjoWxP7iBQ1eP/xVK7ZCOHorHlfbClDNEGow1pTip/7chOP2ElsJowPesUhbV+HxOT2W3w4AuB2b41cDleQo94OxKyfNKTwdCeDyytqgyNAj0yAZxddU3FqmS/oNGH5cTjzUgSLg==","69168b21477cff9ada6cb980","691d1deb9dc6f6d5d7681047","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 02:03:22
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d1deb9dc6f6d5d7681047","html-keyboard-response",7,185274,"0.0-307.0","j+yQOpoVnrLFc46eKhMiQur5sMOuPmd35dPNszpf82GUxmqxCwlOPnb1MGn2DlA+TuX3a3E5DYkKKKfmiGlEY8f/1qCBlu1C0Y1gjtNLjdRc9WLcSXKlfLkybWsjwiw9BD821SmhbW/60LnzUCuPPkkb1LC++Mz4XT6IYvuawDU8YjThLLM9zH4i5HbusT+tzAj6+XMnUtt6vSLjoWxP7iBQ1eP/xVK7ZCOHorHlfbClDNEGow1pTip/7chOP2ElsJowPesUhbV+HxOT2W3w4AuB2b41cDleQo94OxKyfNKTwdCeDyytqgyNAj0yAZxddU3FqmS/oNGH5cTjzUgSLg==","69168b21477cff9ada6cb980","691d1deb9dc6f6d5d7681047","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 02:03:22
"18085.29999999702","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d1deb9dc6f6d5d7681047","survey-html-form",8,203361,"0.0-308.0","j+yQOpoVnrLFc46eKhMiQur5sMOuPmd35dPNszpf82GUxmqxCwlOPnb1MGn2DlA+TuX3a3E5DYkKKKfmiGlEY8f/1qCBlu1C0Y1gjtNLjdRc9WLcSXKlfLkybWsjwiw9BD821SmhbW/60LnzUCuPPkkb1LC++Mz4XT6IYvuawDU8YjThLLM9zH4i5HbusT+tzAj6+XMnUtt6vSLjoWxP7iBQ1eP/xVK7ZCOHorHlfbClDNEGow1pTip/7chOP2ElsJowPesUhbV+HxOT2W3w4AuB2b41cDleQo94OxKyfNKTwdCeDyytqgyNAj0yAZxddU3FqmS/oNGH5cTjzUgSLg==","69168b21477cff9ada6cb980","691d1deb9dc6f6d5d7681047","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""4"",""box2"":""4""}","",1,"round1_outcome",1,1,1,4,4,NA,NA,0,0,10,4,4,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 02:03:22
"16067","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d1deb9dc6f6d5d7681047","survey-html-form",9,219429,"0.0-309.0","j+yQOpoVnrLFc46eKhMiQur5sMOuPmd35dPNszpf82GUxmqxCwlOPnb1MGn2DlA+TuX3a3E5DYkKKKfmiGlEY8f/1qCBlu1C0Y1gjtNLjdRc9WLcSXKlfLkybWsjwiw9BD821SmhbW/60LnzUCuPPkkb1LC++Mz4XT6IYvuawDU8YjThLLM9zH4i5HbusT+tzAj6+XMnUtt6vSLjoWxP7iBQ1eP/xVK7ZCOHorHlfbClDNEGow1pTip/7chOP2ElsJowPesUhbV+HxOT2W3w4AuB2b41cDleQo94OxKyfNKTwdCeDyytqgyNAj0yAZxddU3FqmS/oNGH5cTjzUgSLg==","69168b21477cff9ada6cb980","691d1deb9dc6f6d5d7681047","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""60"",""box2"":""60""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 02:03:22
