"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"7822.400000002235","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc6cb0571382533ad0c9b","external-html",0,7826,"0.0-0.0","tAvYTw2t/r8Z2kckOjU/vEOOpp3Jpq0pqeH0iByNI0Y1V/z3qp3uFV5YoKEZLgTSRDDfYgc6i0d0fXC15KVHQ9ilW/OS95tp/7TwGEhE6oC37zSCra93t38w/ld2NAQ6OwBcLHeyb8BgcbwXpjeLm2i+fmj3PzHG1yzh1FmfZUdd3v48rU1DR0FR9gnRCbnuYRs+8IflWy/hMSt3wbwJv8kp0L4q9OQ+PEkhVNyH8LSWsD9hV4gmne+5zwoPKKPRy03YOaKVd9DDaZRocxKgThAyPLhi9o9OVQhGIRGxozfG8bZEoWviRFvLrqTGPb6hSYM8mqJIbQG5FWdvC5Bb/A==","691f8ca61c6b4dcbb0aeb5f4","691fc6cb0571382533ad0c9b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:24:38
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc6cb0571382533ad0c9b","fullscreen",1,10741,"0.0-1.0","tAvYTw2t/r8Z2kckOjU/vEOOpp3Jpq0pqeH0iByNI0Y1V/z3qp3uFV5YoKEZLgTSRDDfYgc6i0d0fXC15KVHQ9ilW/OS95tp/7TwGEhE6oC37zSCra93t38w/ld2NAQ6OwBcLHeyb8BgcbwXpjeLm2i+fmj3PzHG1yzh1FmfZUdd3v48rU1DR0FR9gnRCbnuYRs+8IflWy/hMSt3wbwJv8kp0L4q9OQ+PEkhVNyH8LSWsD9hV4gmne+5zwoPKKPRy03YOaKVd9DDaZRocxKgThAyPLhi9o9OVQhGIRGxozfG8bZEoWviRFvLrqTGPb6hSYM8mqJIbQG5FWdvC5Bb/A==","691f8ca61c6b4dcbb0aeb5f4","691fc6cb0571382533ad0c9b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:24:38
"81250.10000000149","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc6cb0571382533ad0c9b","instructions",2,91988,"0.0-2.0","tAvYTw2t/r8Z2kckOjU/vEOOpp3Jpq0pqeH0iByNI0Y1V/z3qp3uFV5YoKEZLgTSRDDfYgc6i0d0fXC15KVHQ9ilW/OS95tp/7TwGEhE6oC37zSCra93t38w/ld2NAQ6OwBcLHeyb8BgcbwXpjeLm2i+fmj3PzHG1yzh1FmfZUdd3v48rU1DR0FR9gnRCbnuYRs+8IflWy/hMSt3wbwJv8kp0L4q9OQ+PEkhVNyH8LSWsD9hV4gmne+5zwoPKKPRy03YOaKVd9DDaZRocxKgThAyPLhi9o9OVQhGIRGxozfG8bZEoWviRFvLrqTGPb6hSYM8mqJIbQG5FWdvC5Bb/A==","691f8ca61c6b4dcbb0aeb5f4","691fc6cb0571382533ad0c9b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":24643.300000000745},{""page_index"":1,""viewing_time"":7088.5},{""page_index"":2,""viewing_time"":12853.400000002235},{""page_index"":3,""viewing_time"":11313.5},{""page_index"":4,""viewing_time"":3321},{""page_index"":5,""viewing_time"":10848.39999999851},{""page_index"":6,""viewing_time"":11181.39999999851}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:24:38
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc6cb0571382533ad0c9b","html-keyboard-response",3,92991,"0.0-3.0","tAvYTw2t/r8Z2kckOjU/vEOOpp3Jpq0pqeH0iByNI0Y1V/z3qp3uFV5YoKEZLgTSRDDfYgc6i0d0fXC15KVHQ9ilW/OS95tp/7TwGEhE6oC37zSCra93t38w/ld2NAQ6OwBcLHeyb8BgcbwXpjeLm2i+fmj3PzHG1yzh1FmfZUdd3v48rU1DR0FR9gnRCbnuYRs+8IflWy/hMSt3wbwJv8kp0L4q9OQ+PEkhVNyH8LSWsD9hV4gmne+5zwoPKKPRy03YOaKVd9DDaZRocxKgThAyPLhi9o9OVQhGIRGxozfG8bZEoWviRFvLrqTGPb6hSYM8mqJIbQG5FWdvC5Bb/A==","691f8ca61c6b4dcbb0aeb5f4","691fc6cb0571382533ad0c9b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:24:38
"32620.29999999702","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc6cb0571382533ad0c9b","survey-multi-choice",4,125616,"0.0-4.0","tAvYTw2t/r8Z2kckOjU/vEOOpp3Jpq0pqeH0iByNI0Y1V/z3qp3uFV5YoKEZLgTSRDDfYgc6i0d0fXC15KVHQ9ilW/OS95tp/7TwGEhE6oC37zSCra93t38w/ld2NAQ6OwBcLHeyb8BgcbwXpjeLm2i+fmj3PzHG1yzh1FmfZUdd3v48rU1DR0FR9gnRCbnuYRs+8IflWy/hMSt3wbwJv8kp0L4q9OQ+PEkhVNyH8LSWsD9hV4gmne+5zwoPKKPRy03YOaKVd9DDaZRocxKgThAyPLhi9o9OVQhGIRGxozfG8bZEoWviRFvLrqTGPb6hSYM8mqJIbQG5FWdvC5Bb/A==","691f8ca61c6b4dcbb0aeb5f4","691fc6cb0571382533ad0c9b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:24:38
"18283.300000000745","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc6cb0571382533ad0c9b","instructions",5,143905,"0.0-305.0","tAvYTw2t/r8Z2kckOjU/vEOOpp3Jpq0pqeH0iByNI0Y1V/z3qp3uFV5YoKEZLgTSRDDfYgc6i0d0fXC15KVHQ9ilW/OS95tp/7TwGEhE6oC37zSCra93t38w/ld2NAQ6OwBcLHeyb8BgcbwXpjeLm2i+fmj3PzHG1yzh1FmfZUdd3v48rU1DR0FR9gnRCbnuYRs+8IflWy/hMSt3wbwJv8kp0L4q9OQ+PEkhVNyH8LSWsD9hV4gmne+5zwoPKKPRy03YOaKVd9DDaZRocxKgThAyPLhi9o9OVQhGIRGxozfG8bZEoWviRFvLrqTGPb6hSYM8mqJIbQG5FWdvC5Bb/A==","691f8ca61c6b4dcbb0aeb5f4","691fc6cb0571382533ad0c9b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":8287.199999999255},{""page_index"":1,""viewing_time"":9995.60000000149}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:24:38
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc6cb0571382533ad0c9b","html-keyboard-response",6,144907,"0.0-306.0","tAvYTw2t/r8Z2kckOjU/vEOOpp3Jpq0pqeH0iByNI0Y1V/z3qp3uFV5YoKEZLgTSRDDfYgc6i0d0fXC15KVHQ9ilW/OS95tp/7TwGEhE6oC37zSCra93t38w/ld2NAQ6OwBcLHeyb8BgcbwXpjeLm2i+fmj3PzHG1yzh1FmfZUdd3v48rU1DR0FR9gnRCbnuYRs+8IflWy/hMSt3wbwJv8kp0L4q9OQ+PEkhVNyH8LSWsD9hV4gmne+5zwoPKKPRy03YOaKVd9DDaZRocxKgThAyPLhi9o9OVQhGIRGxozfG8bZEoWviRFvLrqTGPb6hSYM8mqJIbQG5FWdvC5Bb/A==","691f8ca61c6b4dcbb0aeb5f4","691fc6cb0571382533ad0c9b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:24:38
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc6cb0571382533ad0c9b","html-keyboard-response",7,147911,"0.0-307.0","tAvYTw2t/r8Z2kckOjU/vEOOpp3Jpq0pqeH0iByNI0Y1V/z3qp3uFV5YoKEZLgTSRDDfYgc6i0d0fXC15KVHQ9ilW/OS95tp/7TwGEhE6oC37zSCra93t38w/ld2NAQ6OwBcLHeyb8BgcbwXpjeLm2i+fmj3PzHG1yzh1FmfZUdd3v48rU1DR0FR9gnRCbnuYRs+8IflWy/hMSt3wbwJv8kp0L4q9OQ+PEkhVNyH8LSWsD9hV4gmne+5zwoPKKPRy03YOaKVd9DDaZRocxKgThAyPLhi9o9OVQhGIRGxozfG8bZEoWviRFvLrqTGPb6hSYM8mqJIbQG5FWdvC5Bb/A==","691f8ca61c6b4dcbb0aeb5f4","691fc6cb0571382533ad0c9b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:24:38
"82427.39999999851","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc6cb0571382533ad0c9b","survey-html-form",8,230340,"0.0-308.0","tAvYTw2t/r8Z2kckOjU/vEOOpp3Jpq0pqeH0iByNI0Y1V/z3qp3uFV5YoKEZLgTSRDDfYgc6i0d0fXC15KVHQ9ilW/OS95tp/7TwGEhE6oC37zSCra93t38w/ld2NAQ6OwBcLHeyb8BgcbwXpjeLm2i+fmj3PzHG1yzh1FmfZUdd3v48rU1DR0FR9gnRCbnuYRs+8IflWy/hMSt3wbwJv8kp0L4q9OQ+PEkhVNyH8LSWsD9hV4gmne+5zwoPKKPRy03YOaKVd9DDaZRocxKgThAyPLhi9o9OVQhGIRGxozfG8bZEoWviRFvLrqTGPb6hSYM8mqJIbQG5FWdvC5Bb/A==","691f8ca61c6b4dcbb0aeb5f4","691fc6cb0571382533ad0c9b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""3"",""box2"":""7"",""box4"":""80""}","",1,"round1_outcome",1,1,1,3,7,NA,80,0,1,10,3,7,NA,80,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:24:38
"28301","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fc6cb0571382533ad0c9b","survey-html-form",9,258646,"0.0-309.0","tAvYTw2t/r8Z2kckOjU/vEOOpp3Jpq0pqeH0iByNI0Y1V/z3qp3uFV5YoKEZLgTSRDDfYgc6i0d0fXC15KVHQ9ilW/OS95tp/7TwGEhE6oC37zSCra93t38w/ld2NAQ6OwBcLHeyb8BgcbwXpjeLm2i+fmj3PzHG1yzh1FmfZUdd3v48rU1DR0FR9gnRCbnuYRs+8IflWy/hMSt3wbwJv8kp0L4q9OQ+PEkhVNyH8LSWsD9hV4gmne+5zwoPKKPRy03YOaKVd9DDaZRocxKgThAyPLhi9o9OVQhGIRGxozfG8bZEoWviRFvLrqTGPb6hSYM8mqJIbQG5FWdvC5Bb/A==","691f8ca61c6b4dcbb0aeb5f4","691fc6cb0571382533ad0c9b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""20"",""box2"":""90""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,90,20,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:24:38
