"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"124882.89999999851","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb05925b4fae95aaec28a","external-html",0,124915,"0.0-0.0","DEn0A5Af3MB2TBIaiPFNCeqfj5I+P0QvYGb2HGCoxmISERzSkCBjTrReTK/hQuM/lYKjeRIl5PGZIbUtrEV7WBk71gFRr4RO0mrQxJSM/y2inCLQgQ1ykPuOndfpughkRICzufiYorC4FoFhn5C+n2KWWEC10Ah7KVDFB68ezXgITXGnGz0rpZaQ8ti2h6cmDLT73xEFDHp6+KN9nnNcIKSijHtBMBOPuY+vH4Gn/f1IhtLLpGzPKLiSspGEW1KXfPfr+eUgW2WyMSaOwl4/eJD0yhpkC16SJzeZIGYRyn5vfoRs3oeE+qNEaN31uv5GwrxLj/JPZsYPQN5vB02kJQ==","691f8ca61c6b4dcbb0aeb5f4","691fb05925b4fae95aaec28a","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:30:18
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb05925b4fae95aaec28a","fullscreen",1,127749,"0.0-1.0","DEn0A5Af3MB2TBIaiPFNCeqfj5I+P0QvYGb2HGCoxmISERzSkCBjTrReTK/hQuM/lYKjeRIl5PGZIbUtrEV7WBk71gFRr4RO0mrQxJSM/y2inCLQgQ1ykPuOndfpughkRICzufiYorC4FoFhn5C+n2KWWEC10Ah7KVDFB68ezXgITXGnGz0rpZaQ8ti2h6cmDLT73xEFDHp6+KN9nnNcIKSijHtBMBOPuY+vH4Gn/f1IhtLLpGzPKLiSspGEW1KXfPfr+eUgW2WyMSaOwl4/eJD0yhpkC16SJzeZIGYRyn5vfoRs3oeE+qNEaN31uv5GwrxLj/JPZsYPQN5vB02kJQ==","691f8ca61c6b4dcbb0aeb5f4","691fb05925b4fae95aaec28a","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:30:18
"68429.60000000149","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb05925b4fae95aaec28a","instructions",2,196180,"0.0-2.0","DEn0A5Af3MB2TBIaiPFNCeqfj5I+P0QvYGb2HGCoxmISERzSkCBjTrReTK/hQuM/lYKjeRIl5PGZIbUtrEV7WBk71gFRr4RO0mrQxJSM/y2inCLQgQ1ykPuOndfpughkRICzufiYorC4FoFhn5C+n2KWWEC10Ah7KVDFB68ezXgITXGnGz0rpZaQ8ti2h6cmDLT73xEFDHp6+KN9nnNcIKSijHtBMBOPuY+vH4Gn/f1IhtLLpGzPKLiSspGEW1KXfPfr+eUgW2WyMSaOwl4/eJD0yhpkC16SJzeZIGYRyn5vfoRs3oeE+qNEaN31uv5GwrxLj/JPZsYPQN5vB02kJQ==","691f8ca61c6b4dcbb0aeb5f4","691fb05925b4fae95aaec28a","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":20479.80000000447},{""page_index"":1,""viewing_time"":9532.79999999702},{""page_index"":2,""viewing_time"":12066.80000000447},{""page_index"":3,""viewing_time"":13116.5},{""page_index"":4,""viewing_time"":4066.7999999970198},{""page_index"":5,""viewing_time"":6549.79999999702},{""page_index"":6,""viewing_time"":2616.7000000029802}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:30:18
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb05925b4fae95aaec28a","html-keyboard-response",3,197183,"0.0-3.0","DEn0A5Af3MB2TBIaiPFNCeqfj5I+P0QvYGb2HGCoxmISERzSkCBjTrReTK/hQuM/lYKjeRIl5PGZIbUtrEV7WBk71gFRr4RO0mrQxJSM/y2inCLQgQ1ykPuOndfpughkRICzufiYorC4FoFhn5C+n2KWWEC10Ah7KVDFB68ezXgITXGnGz0rpZaQ8ti2h6cmDLT73xEFDHp6+KN9nnNcIKSijHtBMBOPuY+vH4Gn/f1IhtLLpGzPKLiSspGEW1KXfPfr+eUgW2WyMSaOwl4/eJD0yhpkC16SJzeZIGYRyn5vfoRs3oeE+qNEaN31uv5GwrxLj/JPZsYPQN5vB02kJQ==","691f8ca61c6b4dcbb0aeb5f4","691fb05925b4fae95aaec28a","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:30:18
"25713.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb05925b4fae95aaec28a","survey-multi-choice",4,222899,"0.0-4.0","DEn0A5Af3MB2TBIaiPFNCeqfj5I+P0QvYGb2HGCoxmISERzSkCBjTrReTK/hQuM/lYKjeRIl5PGZIbUtrEV7WBk71gFRr4RO0mrQxJSM/y2inCLQgQ1ykPuOndfpughkRICzufiYorC4FoFhn5C+n2KWWEC10Ah7KVDFB68ezXgITXGnGz0rpZaQ8ti2h6cmDLT73xEFDHp6+KN9nnNcIKSijHtBMBOPuY+vH4Gn/f1IhtLLpGzPKLiSspGEW1KXfPfr+eUgW2WyMSaOwl4/eJD0yhpkC16SJzeZIGYRyn5vfoRs3oeE+qNEaN31uv5GwrxLj/JPZsYPQN5vB02kJQ==","691f8ca61c6b4dcbb0aeb5f4","691fb05925b4fae95aaec28a","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:30:18
"8874.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb05925b4fae95aaec28a","instructions",5,231778,"0.0-305.0","DEn0A5Af3MB2TBIaiPFNCeqfj5I+P0QvYGb2HGCoxmISERzSkCBjTrReTK/hQuM/lYKjeRIl5PGZIbUtrEV7WBk71gFRr4RO0mrQxJSM/y2inCLQgQ1ykPuOndfpughkRICzufiYorC4FoFhn5C+n2KWWEC10Ah7KVDFB68ezXgITXGnGz0rpZaQ8ti2h6cmDLT73xEFDHp6+KN9nnNcIKSijHtBMBOPuY+vH4Gn/f1IhtLLpGzPKLiSspGEW1KXfPfr+eUgW2WyMSaOwl4/eJD0yhpkC16SJzeZIGYRyn5vfoRs3oeE+qNEaN31uv5GwrxLj/JPZsYPQN5vB02kJQ==","691f8ca61c6b4dcbb0aeb5f4","691fb05925b4fae95aaec28a","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":4625.5},{""page_index"":1,""viewing_time"":4249}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:30:18
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb05925b4fae95aaec28a","html-keyboard-response",6,232780,"0.0-306.0","DEn0A5Af3MB2TBIaiPFNCeqfj5I+P0QvYGb2HGCoxmISERzSkCBjTrReTK/hQuM/lYKjeRIl5PGZIbUtrEV7WBk71gFRr4RO0mrQxJSM/y2inCLQgQ1ykPuOndfpughkRICzufiYorC4FoFhn5C+n2KWWEC10Ah7KVDFB68ezXgITXGnGz0rpZaQ8ti2h6cmDLT73xEFDHp6+KN9nnNcIKSijHtBMBOPuY+vH4Gn/f1IhtLLpGzPKLiSspGEW1KXfPfr+eUgW2WyMSaOwl4/eJD0yhpkC16SJzeZIGYRyn5vfoRs3oeE+qNEaN31uv5GwrxLj/JPZsYPQN5vB02kJQ==","691f8ca61c6b4dcbb0aeb5f4","691fb05925b4fae95aaec28a","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:30:18
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb05925b4fae95aaec28a","html-keyboard-response",7,235784,"0.0-307.0","DEn0A5Af3MB2TBIaiPFNCeqfj5I+P0QvYGb2HGCoxmISERzSkCBjTrReTK/hQuM/lYKjeRIl5PGZIbUtrEV7WBk71gFRr4RO0mrQxJSM/y2inCLQgQ1ykPuOndfpughkRICzufiYorC4FoFhn5C+n2KWWEC10Ah7KVDFB68ezXgITXGnGz0rpZaQ8ti2h6cmDLT73xEFDHp6+KN9nnNcIKSijHtBMBOPuY+vH4Gn/f1IhtLLpGzPKLiSspGEW1KXfPfr+eUgW2WyMSaOwl4/eJD0yhpkC16SJzeZIGYRyn5vfoRs3oeE+qNEaN31uv5GwrxLj/JPZsYPQN5vB02kJQ==","691f8ca61c6b4dcbb0aeb5f4","691fb05925b4fae95aaec28a","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:30:18
"15728.39999999851","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb05925b4fae95aaec28a","survey-html-form",8,251516,"0.0-308.0","DEn0A5Af3MB2TBIaiPFNCeqfj5I+P0QvYGb2HGCoxmISERzSkCBjTrReTK/hQuM/lYKjeRIl5PGZIbUtrEV7WBk71gFRr4RO0mrQxJSM/y2inCLQgQ1ykPuOndfpughkRICzufiYorC4FoFhn5C+n2KWWEC10Ah7KVDFB68ezXgITXGnGz0rpZaQ8ti2h6cmDLT73xEFDHp6+KN9nnNcIKSijHtBMBOPuY+vH4Gn/f1IhtLLpGzPKLiSspGEW1KXfPfr+eUgW2WyMSaOwl4/eJD0yhpkC16SJzeZIGYRyn5vfoRs3oeE+qNEaN31uv5GwrxLj/JPZsYPQN5vB02kJQ==","691f8ca61c6b4dcbb0aeb5f4","691fb05925b4fae95aaec28a","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""3"",""box2"":""3""}","",1,"round1_outcome",1,1,1,3,3,NA,NA,0,0,10,3,3,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:30:18
"7378.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb05925b4fae95aaec28a","survey-html-form",9,258897,"0.0-309.0","DEn0A5Af3MB2TBIaiPFNCeqfj5I+P0QvYGb2HGCoxmISERzSkCBjTrReTK/hQuM/lYKjeRIl5PGZIbUtrEV7WBk71gFRr4RO0mrQxJSM/y2inCLQgQ1ykPuOndfpughkRICzufiYorC4FoFhn5C+n2KWWEC10Ah7KVDFB68ezXgITXGnGz0rpZaQ8ti2h6cmDLT73xEFDHp6+KN9nnNcIKSijHtBMBOPuY+vH4Gn/f1IhtLLpGzPKLiSspGEW1KXfPfr+eUgW2WyMSaOwl4/eJD0yhpkC16SJzeZIGYRyn5vfoRs3oeE+qNEaN31uv5GwrxLj/JPZsYPQN5vB02kJQ==","691f8ca61c6b4dcbb0aeb5f4","691fb05925b4fae95aaec28a","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""50"",""box2"":""50""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:30:18
