"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"12063.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbef77b922f3d581e7cd5","external-html",0,12108,"0.0-0.0","dFWNX7ZA0Fyyp55RFdWa8sWD2XhxatexJXmB+bPKc42sdmVe8mMW47Xiwgzeim4uxZ7FWY1A/KySF9MUQrQFb05GNfCdkDFSWwlyE7YL39okdO5SjLe+CyfA5l5nw7DtoyKSHeL7XvqUETyXhBgKromyCeGDAr05PLTm8AqpJIeuEIi3hfilkCOXdQaWN/nP3ig2NrtldzTRZNNrKkgcWQmPpzSfVIltfsvmNVYqvq1yaFhg/NWojyvY3V3eLaHfABOXUVfdnYlnfsxORtf9cd0QHEqaOdFvqT7MmrDjEodangDEs2fsq2g6qeuX3NMIfZIUGT62wjBFiuI4XlM6ZA==","691f8ca61c6b4dcbb0aeb5f4","691fbef77b922f3d581e7cd5","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:46:02
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbef77b922f3d581e7cd5","fullscreen",1,15158,"0.0-1.0","dFWNX7ZA0Fyyp55RFdWa8sWD2XhxatexJXmB+bPKc42sdmVe8mMW47Xiwgzeim4uxZ7FWY1A/KySF9MUQrQFb05GNfCdkDFSWwlyE7YL39okdO5SjLe+CyfA5l5nw7DtoyKSHeL7XvqUETyXhBgKromyCeGDAr05PLTm8AqpJIeuEIi3hfilkCOXdQaWN/nP3ig2NrtldzTRZNNrKkgcWQmPpzSfVIltfsvmNVYqvq1yaFhg/NWojyvY3V3eLaHfABOXUVfdnYlnfsxORtf9cd0QHEqaOdFvqT7MmrDjEodangDEs2fsq2g6qeuX3NMIfZIUGT62wjBFiuI4XlM6ZA==","691f8ca61c6b4dcbb0aeb5f4","691fbef77b922f3d581e7cd5","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:46:02
"173293.89999961853","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbef77b922f3d581e7cd5","instructions",2,188447,"0.0-2.0","dFWNX7ZA0Fyyp55RFdWa8sWD2XhxatexJXmB+bPKc42sdmVe8mMW47Xiwgzeim4uxZ7FWY1A/KySF9MUQrQFb05GNfCdkDFSWwlyE7YL39okdO5SjLe+CyfA5l5nw7DtoyKSHeL7XvqUETyXhBgKromyCeGDAr05PLTm8AqpJIeuEIi3hfilkCOXdQaWN/nP3ig2NrtldzTRZNNrKkgcWQmPpzSfVIltfsvmNVYqvq1yaFhg/NWojyvY3V3eLaHfABOXUVfdnYlnfsxORtf9cd0QHEqaOdFvqT7MmrDjEodangDEs2fsq2g6qeuX3NMIfZIUGT62wjBFiuI4XlM6ZA==","691f8ca61c6b4dcbb0aeb5f4","691fbef77b922f3d581e7cd5","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":23094.39999961853},{""page_index"":1,""viewing_time"":31684.10000038147},{""page_index"":2,""viewing_time"":20867.60000038147},{""page_index"":3,""viewing_time"":27634.099999427795},{""page_index"":4,""viewing_time"":16265.800000190735},{""page_index"":5,""viewing_time"":40647.5},{""page_index"":6,""viewing_time"":13100.10000038147}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:46:02
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbef77b922f3d581e7cd5","html-keyboard-response",3,189452,"0.0-3.0","dFWNX7ZA0Fyyp55RFdWa8sWD2XhxatexJXmB+bPKc42sdmVe8mMW47Xiwgzeim4uxZ7FWY1A/KySF9MUQrQFb05GNfCdkDFSWwlyE7YL39okdO5SjLe+CyfA5l5nw7DtoyKSHeL7XvqUETyXhBgKromyCeGDAr05PLTm8AqpJIeuEIi3hfilkCOXdQaWN/nP3ig2NrtldzTRZNNrKkgcWQmPpzSfVIltfsvmNVYqvq1yaFhg/NWojyvY3V3eLaHfABOXUVfdnYlnfsxORtf9cd0QHEqaOdFvqT7MmrDjEodangDEs2fsq2g6qeuX3NMIfZIUGT62wjBFiuI4XlM6ZA==","691f8ca61c6b4dcbb0aeb5f4","691fbef77b922f3d581e7cd5","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:46:02
"71560.80000019073","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbef77b922f3d581e7cd5","survey-multi-choice",4,261013,"0.0-4.0","dFWNX7ZA0Fyyp55RFdWa8sWD2XhxatexJXmB+bPKc42sdmVe8mMW47Xiwgzeim4uxZ7FWY1A/KySF9MUQrQFb05GNfCdkDFSWwlyE7YL39okdO5SjLe+CyfA5l5nw7DtoyKSHeL7XvqUETyXhBgKromyCeGDAr05PLTm8AqpJIeuEIi3hfilkCOXdQaWN/nP3ig2NrtldzTRZNNrKkgcWQmPpzSfVIltfsvmNVYqvq1yaFhg/NWojyvY3V3eLaHfABOXUVfdnYlnfsxORtf9cd0QHEqaOdFvqT7MmrDjEodangDEs2fsq2g6qeuX3NMIfZIUGT62wjBFiuI4XlM6ZA==","691f8ca61c6b4dcbb0aeb5f4","691fbef77b922f3d581e7cd5","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:46:02
"19041.599999427795","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbef77b922f3d581e7cd5","instructions",5,280059,"0.0-305.0","dFWNX7ZA0Fyyp55RFdWa8sWD2XhxatexJXmB+bPKc42sdmVe8mMW47Xiwgzeim4uxZ7FWY1A/KySF9MUQrQFb05GNfCdkDFSWwlyE7YL39okdO5SjLe+CyfA5l5nw7DtoyKSHeL7XvqUETyXhBgKromyCeGDAr05PLTm8AqpJIeuEIi3hfilkCOXdQaWN/nP3ig2NrtldzTRZNNrKkgcWQmPpzSfVIltfsvmNVYqvq1yaFhg/NWojyvY3V3eLaHfABOXUVfdnYlnfsxORtf9cd0QHEqaOdFvqT7MmrDjEodangDEs2fsq2g6qeuX3NMIfZIUGT62wjBFiuI4XlM6ZA==","691f8ca61c6b4dcbb0aeb5f4","691fbef77b922f3d581e7cd5","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":12159},{""page_index"":1,""viewing_time"":6882.39999961853}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:46:02
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbef77b922f3d581e7cd5","html-keyboard-response",6,281061,"0.0-306.0","dFWNX7ZA0Fyyp55RFdWa8sWD2XhxatexJXmB+bPKc42sdmVe8mMW47Xiwgzeim4uxZ7FWY1A/KySF9MUQrQFb05GNfCdkDFSWwlyE7YL39okdO5SjLe+CyfA5l5nw7DtoyKSHeL7XvqUETyXhBgKromyCeGDAr05PLTm8AqpJIeuEIi3hfilkCOXdQaWN/nP3ig2NrtldzTRZNNrKkgcWQmPpzSfVIltfsvmNVYqvq1yaFhg/NWojyvY3V3eLaHfABOXUVfdnYlnfsxORtf9cd0QHEqaOdFvqT7MmrDjEodangDEs2fsq2g6qeuX3NMIfZIUGT62wjBFiuI4XlM6ZA==","691f8ca61c6b4dcbb0aeb5f4","691fbef77b922f3d581e7cd5","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:46:02
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbef77b922f3d581e7cd5","html-keyboard-response",7,284064,"0.0-307.0","dFWNX7ZA0Fyyp55RFdWa8sWD2XhxatexJXmB+bPKc42sdmVe8mMW47Xiwgzeim4uxZ7FWY1A/KySF9MUQrQFb05GNfCdkDFSWwlyE7YL39okdO5SjLe+CyfA5l5nw7DtoyKSHeL7XvqUETyXhBgKromyCeGDAr05PLTm8AqpJIeuEIi3hfilkCOXdQaWN/nP3ig2NrtldzTRZNNrKkgcWQmPpzSfVIltfsvmNVYqvq1yaFhg/NWojyvY3V3eLaHfABOXUVfdnYlnfsxORtf9cd0QHEqaOdFvqT7MmrDjEodangDEs2fsq2g6qeuX3NMIfZIUGT62wjBFiuI4XlM6ZA==","691f8ca61c6b4dcbb0aeb5f4","691fbef77b922f3d581e7cd5","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:46:02
"33116.599999427795","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbef77b922f3d581e7cd5","survey-html-form",8,317186,"0.0-308.0","dFWNX7ZA0Fyyp55RFdWa8sWD2XhxatexJXmB+bPKc42sdmVe8mMW47Xiwgzeim4uxZ7FWY1A/KySF9MUQrQFb05GNfCdkDFSWwlyE7YL39okdO5SjLe+CyfA5l5nw7DtoyKSHeL7XvqUETyXhBgKromyCeGDAr05PLTm8AqpJIeuEIi3hfilkCOXdQaWN/nP3ig2NrtldzTRZNNrKkgcWQmPpzSfVIltfsvmNVYqvq1yaFhg/NWojyvY3V3eLaHfABOXUVfdnYlnfsxORtf9cd0QHEqaOdFvqT7MmrDjEodangDEs2fsq2g6qeuX3NMIfZIUGT62wjBFiuI4XlM6ZA==","691f8ca61c6b4dcbb0aeb5f4","691fbef77b922f3d581e7cd5","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""5"",""box2"":""5""}","",1,"round1_outcome",1,1,1,5,5,NA,NA,0,0,10,5,5,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:46:02
"27176.800000190735","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbef77b922f3d581e7cd5","survey-html-form",9,344366,"0.0-309.0","dFWNX7ZA0Fyyp55RFdWa8sWD2XhxatexJXmB+bPKc42sdmVe8mMW47Xiwgzeim4uxZ7FWY1A/KySF9MUQrQFb05GNfCdkDFSWwlyE7YL39okdO5SjLe+CyfA5l5nw7DtoyKSHeL7XvqUETyXhBgKromyCeGDAr05PLTm8AqpJIeuEIi3hfilkCOXdQaWN/nP3ig2NrtldzTRZNNrKkgcWQmPpzSfVIltfsvmNVYqvq1yaFhg/NWojyvY3V3eLaHfABOXUVfdnYlnfsxORtf9cd0QHEqaOdFvqT7MmrDjEodangDEs2fsq2g6qeuX3NMIfZIUGT62wjBFiuI4XlM6ZA==","691f8ca61c6b4dcbb0aeb5f4","691fbef77b922f3d581e7cd5","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""50"",""box2"":""50""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:46:02
