"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"24647.19999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbd7668eae1cd9472735b","external-html",0,24708,"0.0-0.0","XMYO/OyQKtZwULJCetirOv/TiVdRhZBdly1IRQR3HIrt0szdolT8rdMHiPkYPP5YUf2Ib6FXMmZdPoOYAktnstRPRGl6eb/FGimftf43aNeAeuaFgGhO3KLXBhhLrKosjhol2L86FaiGZdej1hBdAioDUqB0pV1Ys5JvZZNz+mZTGgPA9TyXu6Bu6eijp/RqpiaEQGcAwWCECJk7UpOIlaiD+qtqDqdbcz5O8l+fcvOPfIW3C034a5u4syq1lua1Cb1AQ+bsxGa2ESu3H0cWM680A/q2rV+pFtMcWN/8nppGQSzmk2ysi+GqQc2QPd91ngOJ6rdaGhL6GdCsYS6xIQ==","691f8ca61c6b4dcbb0aeb5f4","691fbd7668eae1cd9472735b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:08
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbd7668eae1cd9472735b","fullscreen",1,31043,"0.0-1.0","XMYO/OyQKtZwULJCetirOv/TiVdRhZBdly1IRQR3HIrt0szdolT8rdMHiPkYPP5YUf2Ib6FXMmZdPoOYAktnstRPRGl6eb/FGimftf43aNeAeuaFgGhO3KLXBhhLrKosjhol2L86FaiGZdej1hBdAioDUqB0pV1Ys5JvZZNz+mZTGgPA9TyXu6Bu6eijp/RqpiaEQGcAwWCECJk7UpOIlaiD+qtqDqdbcz5O8l+fcvOPfIW3C034a5u4syq1lua1Cb1AQ+bsxGa2ESu3H0cWM680A/q2rV+pFtMcWN/8nppGQSzmk2ysi+GqQc2QPd91ngOJ6rdaGhL6GdCsYS6xIQ==","691f8ca61c6b4dcbb0aeb5f4","691fbd7668eae1cd9472735b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:08
"184564.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbd7668eae1cd9472735b","instructions",2,215607,"0.0-2.0","XMYO/OyQKtZwULJCetirOv/TiVdRhZBdly1IRQR3HIrt0szdolT8rdMHiPkYPP5YUf2Ib6FXMmZdPoOYAktnstRPRGl6eb/FGimftf43aNeAeuaFgGhO3KLXBhhLrKosjhol2L86FaiGZdej1hBdAioDUqB0pV1Ys5JvZZNz+mZTGgPA9TyXu6Bu6eijp/RqpiaEQGcAwWCECJk7UpOIlaiD+qtqDqdbcz5O8l+fcvOPfIW3C034a5u4syq1lua1Cb1AQ+bsxGa2ESu3H0cWM680A/q2rV+pFtMcWN/8nppGQSzmk2ysi+GqQc2QPd91ngOJ6rdaGhL6GdCsYS6xIQ==","691f8ca61c6b4dcbb0aeb5f4","691fbd7668eae1cd9472735b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":33997.30000001192},{""page_index"":1,""viewing_time"":24849.59999999404},{""page_index"":2,""viewing_time"":14032.800000011921},{""page_index"":3,""viewing_time"":32334.29999998212},{""page_index"":4,""viewing_time"":10633.5},{""page_index"":5,""viewing_time"":57900.30000001192},{""page_index"":6,""viewing_time"":10816.09999999404}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:08
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbd7668eae1cd9472735b","html-keyboard-response",3,216610,"0.0-3.0","XMYO/OyQKtZwULJCetirOv/TiVdRhZBdly1IRQR3HIrt0szdolT8rdMHiPkYPP5YUf2Ib6FXMmZdPoOYAktnstRPRGl6eb/FGimftf43aNeAeuaFgGhO3KLXBhhLrKosjhol2L86FaiGZdej1hBdAioDUqB0pV1Ys5JvZZNz+mZTGgPA9TyXu6Bu6eijp/RqpiaEQGcAwWCECJk7UpOIlaiD+qtqDqdbcz5O8l+fcvOPfIW3C034a5u4syq1lua1Cb1AQ+bsxGa2ESu3H0cWM680A/q2rV+pFtMcWN/8nppGQSzmk2ysi+GqQc2QPd91ngOJ6rdaGhL6GdCsYS6xIQ==","691f8ca61c6b4dcbb0aeb5f4","691fbd7668eae1cd9472735b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:08
"43298.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbd7668eae1cd9472735b","survey-multi-choice",4,259911,"0.0-4.0","XMYO/OyQKtZwULJCetirOv/TiVdRhZBdly1IRQR3HIrt0szdolT8rdMHiPkYPP5YUf2Ib6FXMmZdPoOYAktnstRPRGl6eb/FGimftf43aNeAeuaFgGhO3KLXBhhLrKosjhol2L86FaiGZdej1hBdAioDUqB0pV1Ys5JvZZNz+mZTGgPA9TyXu6Bu6eijp/RqpiaEQGcAwWCECJk7UpOIlaiD+qtqDqdbcz5O8l+fcvOPfIW3C034a5u4syq1lua1Cb1AQ+bsxGa2ESu3H0cWM680A/q2rV+pFtMcWN/8nppGQSzmk2ysi+GqQc2QPd91ngOJ6rdaGhL6GdCsYS6xIQ==","691f8ca61c6b4dcbb0aeb5f4","691fbd7668eae1cd9472735b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:08
"24422.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbd7668eae1cd9472735b","instructions",5,284339,"0.0-305.0","XMYO/OyQKtZwULJCetirOv/TiVdRhZBdly1IRQR3HIrt0szdolT8rdMHiPkYPP5YUf2Ib6FXMmZdPoOYAktnstRPRGl6eb/FGimftf43aNeAeuaFgGhO3KLXBhhLrKosjhol2L86FaiGZdej1hBdAioDUqB0pV1Ys5JvZZNz+mZTGgPA9TyXu6Bu6eijp/RqpiaEQGcAwWCECJk7UpOIlaiD+qtqDqdbcz5O8l+fcvOPfIW3C034a5u4syq1lua1Cb1AQ+bsxGa2ESu3H0cWM680A/q2rV+pFtMcWN/8nppGQSzmk2ysi+GqQc2QPd91ngOJ6rdaGhL6GdCsYS6xIQ==","691f8ca61c6b4dcbb0aeb5f4","691fbd7668eae1cd9472735b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":15088.5},{""page_index"":1,""viewing_time"":9333.40000000596}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:08
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbd7668eae1cd9472735b","html-keyboard-response",6,285342,"0.0-306.0","XMYO/OyQKtZwULJCetirOv/TiVdRhZBdly1IRQR3HIrt0szdolT8rdMHiPkYPP5YUf2Ib6FXMmZdPoOYAktnstRPRGl6eb/FGimftf43aNeAeuaFgGhO3KLXBhhLrKosjhol2L86FaiGZdej1hBdAioDUqB0pV1Ys5JvZZNz+mZTGgPA9TyXu6Bu6eijp/RqpiaEQGcAwWCECJk7UpOIlaiD+qtqDqdbcz5O8l+fcvOPfIW3C034a5u4syq1lua1Cb1AQ+bsxGa2ESu3H0cWM680A/q2rV+pFtMcWN/8nppGQSzmk2ysi+GqQc2QPd91ngOJ6rdaGhL6GdCsYS6xIQ==","691f8ca61c6b4dcbb0aeb5f4","691fbd7668eae1cd9472735b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:08
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbd7668eae1cd9472735b","html-keyboard-response",7,288346,"0.0-307.0","XMYO/OyQKtZwULJCetirOv/TiVdRhZBdly1IRQR3HIrt0szdolT8rdMHiPkYPP5YUf2Ib6FXMmZdPoOYAktnstRPRGl6eb/FGimftf43aNeAeuaFgGhO3KLXBhhLrKosjhol2L86FaiGZdej1hBdAioDUqB0pV1Ys5JvZZNz+mZTGgPA9TyXu6Bu6eijp/RqpiaEQGcAwWCECJk7UpOIlaiD+qtqDqdbcz5O8l+fcvOPfIW3C034a5u4syq1lua1Cb1AQ+bsxGa2ESu3H0cWM680A/q2rV+pFtMcWN/8nppGQSzmk2ysi+GqQc2QPd91ngOJ6rdaGhL6GdCsYS6xIQ==","691f8ca61c6b4dcbb0aeb5f4","691fbd7668eae1cd9472735b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:08
"31674.19999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbd7668eae1cd9472735b","survey-html-form",8,320024,"0.0-308.0","XMYO/OyQKtZwULJCetirOv/TiVdRhZBdly1IRQR3HIrt0szdolT8rdMHiPkYPP5YUf2Ib6FXMmZdPoOYAktnstRPRGl6eb/FGimftf43aNeAeuaFgGhO3KLXBhhLrKosjhol2L86FaiGZdej1hBdAioDUqB0pV1Ys5JvZZNz+mZTGgPA9TyXu6Bu6eijp/RqpiaEQGcAwWCECJk7UpOIlaiD+qtqDqdbcz5O8l+fcvOPfIW3C034a5u4syq1lua1Cb1AQ+bsxGa2ESu3H0cWM680A/q2rV+pFtMcWN/8nppGQSzmk2ysi+GqQc2QPd91ngOJ6rdaGhL6GdCsYS6xIQ==","691f8ca61c6b4dcbb0aeb5f4","691fbd7668eae1cd9472735b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""7"",""box2"":""5""}","",1,"round1_outcome",1,1,1,7,5,NA,NA,0,0,10,7,5,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:08
"21981.30000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbd7668eae1cd9472735b","survey-html-form",9,342007,"0.0-309.0","XMYO/OyQKtZwULJCetirOv/TiVdRhZBdly1IRQR3HIrt0szdolT8rdMHiPkYPP5YUf2Ib6FXMmZdPoOYAktnstRPRGl6eb/FGimftf43aNeAeuaFgGhO3KLXBhhLrKosjhol2L86FaiGZdej1hBdAioDUqB0pV1Ys5JvZZNz+mZTGgPA9TyXu6Bu6eijp/RqpiaEQGcAwWCECJk7UpOIlaiD+qtqDqdbcz5O8l+fcvOPfIW3C034a5u4syq1lua1Cb1AQ+bsxGa2ESu3H0cWM680A/q2rV+pFtMcWN/8nppGQSzmk2ysi+GqQc2QPd91ngOJ6rdaGhL6GdCsYS6xIQ==","691f8ca61c6b4dcbb0aeb5f4","691fbd7668eae1cd9472735b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""70"",""box2"":""70""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:08
