"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"5009.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fcacd0173cfd9640f886c","external-html",0,5035,"0.0-0.0","H/EcZQCu7wXiOaWPM5fkqI67FK4Kpr3Y8YisjpfjHMlccfZj1K7MIwYyZqif2Za5cVa3RabZQPNiqKF9ozBTO0xZL8Hp3cZRCQI6Jg2b9G0wMIHD8VhX3WNfoGIBEtqUKZmywpphauGD/DS/wQTxWomndD+eywQi1LbXNBrQ5t/Ofbrp9TGcRqotbCbdPyYuL7kfo7r6o2poedfXlk7ejiVIoMXEK92BBYxppd27Qi3MnP70fz/J+9MeTC2Eg1QTJ54MHphhtwfSXXRFEILwxHnbPeTQyY//PhecTp5lqniUezy8XB2w1WIUbk+ezO5rnqYYxdOKVphCkpQCYaMtIw==","691f8ca61c6b4dcbb0aeb5f4","691fcacd0173cfd9640f886c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:35:48
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fcacd0173cfd9640f886c","fullscreen",1,13868,"0.0-1.0","H/EcZQCu7wXiOaWPM5fkqI67FK4Kpr3Y8YisjpfjHMlccfZj1K7MIwYyZqif2Za5cVa3RabZQPNiqKF9ozBTO0xZL8Hp3cZRCQI6Jg2b9G0wMIHD8VhX3WNfoGIBEtqUKZmywpphauGD/DS/wQTxWomndD+eywQi1LbXNBrQ5t/Ofbrp9TGcRqotbCbdPyYuL7kfo7r6o2poedfXlk7ejiVIoMXEK92BBYxppd27Qi3MnP70fz/J+9MeTC2Eg1QTJ54MHphhtwfSXXRFEILwxHnbPeTQyY//PhecTp5lqniUezy8XB2w1WIUbk+ezO5rnqYYxdOKVphCkpQCYaMtIw==","691f8ca61c6b4dcbb0aeb5f4","691fcacd0173cfd9640f886c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:35:48
"204476.10000002384","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fcacd0173cfd9640f886c","instructions",2,218346,"0.0-2.0","H/EcZQCu7wXiOaWPM5fkqI67FK4Kpr3Y8YisjpfjHMlccfZj1K7MIwYyZqif2Za5cVa3RabZQPNiqKF9ozBTO0xZL8Hp3cZRCQI6Jg2b9G0wMIHD8VhX3WNfoGIBEtqUKZmywpphauGD/DS/wQTxWomndD+eywQi1LbXNBrQ5t/Ofbrp9TGcRqotbCbdPyYuL7kfo7r6o2poedfXlk7ejiVIoMXEK92BBYxppd27Qi3MnP70fz/J+9MeTC2Eg1QTJ54MHphhtwfSXXRFEILwxHnbPeTQyY//PhecTp5lqniUezy8XB2w1WIUbk+ezO5rnqYYxdOKVphCkpQCYaMtIw==","691f8ca61c6b4dcbb0aeb5f4","691fcacd0173cfd9640f886c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":53292},{""page_index"":1,""viewing_time"":41463.60000002384},{""page_index"":2,""viewing_time"":16856.19999998808},{""page_index"":3,""viewing_time"":38127.80000001192},{""page_index"":4,""viewing_time"":22104.099999964237},{""page_index"":5,""viewing_time"":24184},{""page_index"":6,""viewing_time"":8447.900000035763}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:35:48
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fcacd0173cfd9640f886c","html-keyboard-response",3,219353,"0.0-3.0","H/EcZQCu7wXiOaWPM5fkqI67FK4Kpr3Y8YisjpfjHMlccfZj1K7MIwYyZqif2Za5cVa3RabZQPNiqKF9ozBTO0xZL8Hp3cZRCQI6Jg2b9G0wMIHD8VhX3WNfoGIBEtqUKZmywpphauGD/DS/wQTxWomndD+eywQi1LbXNBrQ5t/Ofbrp9TGcRqotbCbdPyYuL7kfo7r6o2poedfXlk7ejiVIoMXEK92BBYxppd27Qi3MnP70fz/J+9MeTC2Eg1QTJ54MHphhtwfSXXRFEILwxHnbPeTQyY//PhecTp5lqniUezy8XB2w1WIUbk+ezO5rnqYYxdOKVphCkpQCYaMtIw==","691f8ca61c6b4dcbb0aeb5f4","691fcacd0173cfd9640f886c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:35:48
"185785.59999996424","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fcacd0173cfd9640f886c","survey-multi-choice",4,405141,"0.0-4.0","H/EcZQCu7wXiOaWPM5fkqI67FK4Kpr3Y8YisjpfjHMlccfZj1K7MIwYyZqif2Za5cVa3RabZQPNiqKF9ozBTO0xZL8Hp3cZRCQI6Jg2b9G0wMIHD8VhX3WNfoGIBEtqUKZmywpphauGD/DS/wQTxWomndD+eywQi1LbXNBrQ5t/Ofbrp9TGcRqotbCbdPyYuL7kfo7r6o2poedfXlk7ejiVIoMXEK92BBYxppd27Qi3MnP70fz/J+9MeTC2Eg1QTJ54MHphhtwfSXXRFEILwxHnbPeTQyY//PhecTp5lqniUezy8XB2w1WIUbk+ezO5rnqYYxdOKVphCkpQCYaMtIw==","691f8ca61c6b4dcbb0aeb5f4","691fcacd0173cfd9640f886c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:35:48
"20160.600000023842","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fcacd0173cfd9640f886c","instructions",5,425306,"0.0-305.0","H/EcZQCu7wXiOaWPM5fkqI67FK4Kpr3Y8YisjpfjHMlccfZj1K7MIwYyZqif2Za5cVa3RabZQPNiqKF9ozBTO0xZL8Hp3cZRCQI6Jg2b9G0wMIHD8VhX3WNfoGIBEtqUKZmywpphauGD/DS/wQTxWomndD+eywQi1LbXNBrQ5t/Ofbrp9TGcRqotbCbdPyYuL7kfo7r6o2poedfXlk7ejiVIoMXEK92BBYxppd27Qi3MnP70fz/J+9MeTC2Eg1QTJ54MHphhtwfSXXRFEILwxHnbPeTQyY//PhecTp5lqniUezy8XB2w1WIUbk+ezO5rnqYYxdOKVphCkpQCYaMtIw==","691f8ca61c6b4dcbb0aeb5f4","691fcacd0173cfd9640f886c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":15248.400000035763},{""page_index"":1,""viewing_time"":4911.899999976158}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:35:48
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fcacd0173cfd9640f886c","html-keyboard-response",6,426308,"0.0-306.0","H/EcZQCu7wXiOaWPM5fkqI67FK4Kpr3Y8YisjpfjHMlccfZj1K7MIwYyZqif2Za5cVa3RabZQPNiqKF9ozBTO0xZL8Hp3cZRCQI6Jg2b9G0wMIHD8VhX3WNfoGIBEtqUKZmywpphauGD/DS/wQTxWomndD+eywQi1LbXNBrQ5t/Ofbrp9TGcRqotbCbdPyYuL7kfo7r6o2poedfXlk7ejiVIoMXEK92BBYxppd27Qi3MnP70fz/J+9MeTC2Eg1QTJ54MHphhtwfSXXRFEILwxHnbPeTQyY//PhecTp5lqniUezy8XB2w1WIUbk+ezO5rnqYYxdOKVphCkpQCYaMtIw==","691f8ca61c6b4dcbb0aeb5f4","691fcacd0173cfd9640f886c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:35:48
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fcacd0173cfd9640f886c","html-keyboard-response",7,429318,"0.0-307.0","H/EcZQCu7wXiOaWPM5fkqI67FK4Kpr3Y8YisjpfjHMlccfZj1K7MIwYyZqif2Za5cVa3RabZQPNiqKF9ozBTO0xZL8Hp3cZRCQI6Jg2b9G0wMIHD8VhX3WNfoGIBEtqUKZmywpphauGD/DS/wQTxWomndD+eywQi1LbXNBrQ5t/Ofbrp9TGcRqotbCbdPyYuL7kfo7r6o2poedfXlk7ejiVIoMXEK92BBYxppd27Qi3MnP70fz/J+9MeTC2Eg1QTJ54MHphhtwfSXXRFEILwxHnbPeTQyY//PhecTp5lqniUezy8XB2w1WIUbk+ezO5rnqYYxdOKVphCkpQCYaMtIw==","691f8ca61c6b4dcbb0aeb5f4","691fcacd0173cfd9640f886c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:35:48
"17985.69999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fcacd0173cfd9640f886c","survey-html-form",8,447309,"0.0-308.0","H/EcZQCu7wXiOaWPM5fkqI67FK4Kpr3Y8YisjpfjHMlccfZj1K7MIwYyZqif2Za5cVa3RabZQPNiqKF9ozBTO0xZL8Hp3cZRCQI6Jg2b9G0wMIHD8VhX3WNfoGIBEtqUKZmywpphauGD/DS/wQTxWomndD+eywQi1LbXNBrQ5t/Ofbrp9TGcRqotbCbdPyYuL7kfo7r6o2poedfXlk7ejiVIoMXEK92BBYxppd27Qi3MnP70fz/J+9MeTC2Eg1QTJ54MHphhtwfSXXRFEILwxHnbPeTQyY//PhecTp5lqniUezy8XB2w1WIUbk+ezO5rnqYYxdOKVphCkpQCYaMtIw==","691f8ca61c6b4dcbb0aeb5f4","691fcacd0173cfd9640f886c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""10"",""box2"":""5""}","",1,"round1_outcome",1,1,1,10,5,NA,NA,0,0,10,10,5,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:35:48
"36075.30000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fcacd0173cfd9640f886c","survey-html-form",9,483386,"0.0-309.0","H/EcZQCu7wXiOaWPM5fkqI67FK4Kpr3Y8YisjpfjHMlccfZj1K7MIwYyZqif2Za5cVa3RabZQPNiqKF9ozBTO0xZL8Hp3cZRCQI6Jg2b9G0wMIHD8VhX3WNfoGIBEtqUKZmywpphauGD/DS/wQTxWomndD+eywQi1LbXNBrQ5t/Ofbrp9TGcRqotbCbdPyYuL7kfo7r6o2poedfXlk7ejiVIoMXEK92BBYxppd27Qi3MnP70fz/J+9MeTC2Eg1QTJ54MHphhtwfSXXRFEILwxHnbPeTQyY//PhecTp5lqniUezy8XB2w1WIUbk+ezO5rnqYYxdOKVphCkpQCYaMtIw==","691f8ca61c6b4dcbb0aeb5f4","691fcacd0173cfd9640f886c","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""90"",""box2"":""40""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,40,90,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 02:35:48
