"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"58165.700000047684","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd8df1d3639c4e561c76e","external-html",0,58285,"0.0-0.0","nBx8ynMBR46TuR9c3j3gLiZE3SWxB/+XSRehjNnK18cL+6N6ICPYgvsgJ7COmEA+J2D5rFxZ+jhMv6o+T4+MyGT3unJ4LaLrqaLDE+rMCIARyVG2UAcuRWnsHjGxwbOzuNv8SwwLODOvZV2iRUM02eMwocQUR52Noa2CS0QHvLAQoaAZbQK7OMvW7EK2l3gskr9YwKXgnveu8nBu1m2xTXMYZ4KYRbNPz3MJziTjByznMJYLiCMXlsRwz7+WBpLQ1+qBRskzh6CNdyOnnztmBuxEFuYvzyTCwJXiCKjyzJ8JJYwIEPDqBswwqVR2+G4+zccTbMZLqJIb3uN6IMhpeg==","69168b21477cff9ada6cb980","691bd8df1d3639c4e561c76e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd8df1d3639c4e561c76e","fullscreen",1,65773,"0.0-1.0","nBx8ynMBR46TuR9c3j3gLiZE3SWxB/+XSRehjNnK18cL+6N6ICPYgvsgJ7COmEA+J2D5rFxZ+jhMv6o+T4+MyGT3unJ4LaLrqaLDE+rMCIARyVG2UAcuRWnsHjGxwbOzuNv8SwwLODOvZV2iRUM02eMwocQUR52Noa2CS0QHvLAQoaAZbQK7OMvW7EK2l3gskr9YwKXgnveu8nBu1m2xTXMYZ4KYRbNPz3MJziTjByznMJYLiCMXlsRwz7+WBpLQ1+qBRskzh6CNdyOnnztmBuxEFuYvzyTCwJXiCKjyzJ8JJYwIEPDqBswwqVR2+G4+zccTbMZLqJIb3uN6IMhpeg==","69168b21477cff9ada6cb980","691bd8df1d3639c4e561c76e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150070.39999997616","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd8df1d3639c4e561c76e","instructions",2,215844,"0.0-2.0","nBx8ynMBR46TuR9c3j3gLiZE3SWxB/+XSRehjNnK18cL+6N6ICPYgvsgJ7COmEA+J2D5rFxZ+jhMv6o+T4+MyGT3unJ4LaLrqaLDE+rMCIARyVG2UAcuRWnsHjGxwbOzuNv8SwwLODOvZV2iRUM02eMwocQUR52Noa2CS0QHvLAQoaAZbQK7OMvW7EK2l3gskr9YwKXgnveu8nBu1m2xTXMYZ4KYRbNPz3MJziTjByznMJYLiCMXlsRwz7+WBpLQ1+qBRskzh6CNdyOnnztmBuxEFuYvzyTCwJXiCKjyzJ8JJYwIEPDqBswwqVR2+G4+zccTbMZLqJIb3uN6IMhpeg==","69168b21477cff9ada6cb980","691bd8df1d3639c4e561c76e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":28381.899999976158},{""page_index"":1,""viewing_time"":17968},{""page_index"":2,""viewing_time"":26063.899999976158},{""page_index"":3,""viewing_time"":47088},{""page_index"":4,""viewing_time"":10967.899999976158},{""page_index"":5,""viewing_time"":14168},{""page_index"":6,""viewing_time"":5432.399999976158}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd8df1d3639c4e561c76e","html-keyboard-response",3,216846,"0.0-3.0","nBx8ynMBR46TuR9c3j3gLiZE3SWxB/+XSRehjNnK18cL+6N6ICPYgvsgJ7COmEA+J2D5rFxZ+jhMv6o+T4+MyGT3unJ4LaLrqaLDE+rMCIARyVG2UAcuRWnsHjGxwbOzuNv8SwwLODOvZV2iRUM02eMwocQUR52Noa2CS0QHvLAQoaAZbQK7OMvW7EK2l3gskr9YwKXgnveu8nBu1m2xTXMYZ4KYRbNPz3MJziTjByznMJYLiCMXlsRwz7+WBpLQ1+qBRskzh6CNdyOnnztmBuxEFuYvzyTCwJXiCKjyzJ8JJYwIEPDqBswwqVR2+G4+zccTbMZLqJIb3uN6IMhpeg==","69168b21477cff9ada6cb980","691bd8df1d3639c4e561c76e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34631.199999928474","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd8df1d3639c4e561c76e","survey-multi-choice",4,251478,"0.0-4.0","nBx8ynMBR46TuR9c3j3gLiZE3SWxB/+XSRehjNnK18cL+6N6ICPYgvsgJ7COmEA+J2D5rFxZ+jhMv6o+T4+MyGT3unJ4LaLrqaLDE+rMCIARyVG2UAcuRWnsHjGxwbOzuNv8SwwLODOvZV2iRUM02eMwocQUR52Noa2CS0QHvLAQoaAZbQK7OMvW7EK2l3gskr9YwKXgnveu8nBu1m2xTXMYZ4KYRbNPz3MJziTjByznMJYLiCMXlsRwz7+WBpLQ1+qBRskzh6CNdyOnnztmBuxEFuYvzyTCwJXiCKjyzJ8JJYwIEPDqBswwqVR2+G4+zccTbMZLqJIb3uN6IMhpeg==","69168b21477cff9ada6cb980","691bd8df1d3639c4e561c76e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12873.600000023842","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd8df1d3639c4e561c76e","instructions",5,264356,"0.0-305.0","nBx8ynMBR46TuR9c3j3gLiZE3SWxB/+XSRehjNnK18cL+6N6ICPYgvsgJ7COmEA+J2D5rFxZ+jhMv6o+T4+MyGT3unJ4LaLrqaLDE+rMCIARyVG2UAcuRWnsHjGxwbOzuNv8SwwLODOvZV2iRUM02eMwocQUR52Noa2CS0QHvLAQoaAZbQK7OMvW7EK2l3gskr9YwKXgnveu8nBu1m2xTXMYZ4KYRbNPz3MJziTjByznMJYLiCMXlsRwz7+WBpLQ1+qBRskzh6CNdyOnnztmBuxEFuYvzyTCwJXiCKjyzJ8JJYwIEPDqBswwqVR2+G4+zccTbMZLqJIb3uN6IMhpeg==","69168b21477cff9ada6cb980","691bd8df1d3639c4e561c76e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":8345.399999976158},{""page_index"":1,""viewing_time"":4528}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd8df1d3639c4e561c76e","html-keyboard-response",6,265357,"0.0-306.0","nBx8ynMBR46TuR9c3j3gLiZE3SWxB/+XSRehjNnK18cL+6N6ICPYgvsgJ7COmEA+J2D5rFxZ+jhMv6o+T4+MyGT3unJ4LaLrqaLDE+rMCIARyVG2UAcuRWnsHjGxwbOzuNv8SwwLODOvZV2iRUM02eMwocQUR52Noa2CS0QHvLAQoaAZbQK7OMvW7EK2l3gskr9YwKXgnveu8nBu1m2xTXMYZ4KYRbNPz3MJziTjByznMJYLiCMXlsRwz7+WBpLQ1+qBRskzh6CNdyOnnztmBuxEFuYvzyTCwJXiCKjyzJ8JJYwIEPDqBswwqVR2+G4+zccTbMZLqJIb3uN6IMhpeg==","69168b21477cff9ada6cb980","691bd8df1d3639c4e561c76e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd8df1d3639c4e561c76e","html-keyboard-response",7,268358,"0.0-307.0","nBx8ynMBR46TuR9c3j3gLiZE3SWxB/+XSRehjNnK18cL+6N6ICPYgvsgJ7COmEA+J2D5rFxZ+jhMv6o+T4+MyGT3unJ4LaLrqaLDE+rMCIARyVG2UAcuRWnsHjGxwbOzuNv8SwwLODOvZV2iRUM02eMwocQUR52Noa2CS0QHvLAQoaAZbQK7OMvW7EK2l3gskr9YwKXgnveu8nBu1m2xTXMYZ4KYRbNPz3MJziTjByznMJYLiCMXlsRwz7+WBpLQ1+qBRskzh6CNdyOnnztmBuxEFuYvzyTCwJXiCKjyzJ8JJYwIEPDqBswwqVR2+G4+zccTbMZLqJIb3uN6IMhpeg==","69168b21477cff9ada6cb980","691bd8df1d3639c4e561c76e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50436.200000047684","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd8df1d3639c4e561c76e","survey-html-form",8,318796,"0.0-308.0","nBx8ynMBR46TuR9c3j3gLiZE3SWxB/+XSRehjNnK18cL+6N6ICPYgvsgJ7COmEA+J2D5rFxZ+jhMv6o+T4+MyGT3unJ4LaLrqaLDE+rMCIARyVG2UAcuRWnsHjGxwbOzuNv8SwwLODOvZV2iRUM02eMwocQUR52Noa2CS0QHvLAQoaAZbQK7OMvW7EK2l3gskr9YwKXgnveu8nBu1m2xTXMYZ4KYRbNPz3MJziTjByznMJYLiCMXlsRwz7+WBpLQ1+qBRskzh6CNdyOnnztmBuxEFuYvzyTCwJXiCKjyzJ8JJYwIEPDqBswwqVR2+G4+zccTbMZLqJIb3uN6IMhpeg==","69168b21477cff9ada6cb980","691bd8df1d3639c4e561c76e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""5"",""box2"":""5"",""box3"":""100"",""box4"":""100""}","",1,"round1_outcome",1,1,1,5,5,100,100,1,1,10,5,5,100,100,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11870.700000047684","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd8df1d3639c4e561c76e","survey-html-form",9,330668,"0.0-309.0","nBx8ynMBR46TuR9c3j3gLiZE3SWxB/+XSRehjNnK18cL+6N6ICPYgvsgJ7COmEA+J2D5rFxZ+jhMv6o+T4+MyGT3unJ4LaLrqaLDE+rMCIARyVG2UAcuRWnsHjGxwbOzuNv8SwwLODOvZV2iRUM02eMwocQUR52Noa2CS0QHvLAQoaAZbQK7OMvW7EK2l3gskr9YwKXgnveu8nBu1m2xTXMYZ4KYRbNPz3MJziTjByznMJYLiCMXlsRwz7+WBpLQ1+qBRskzh6CNdyOnnztmBuxEFuYvzyTCwJXiCKjyzJ8JJYwIEPDqBswwqVR2+G4+zccTbMZLqJIb3uN6IMhpeg==","69168b21477cff9ada6cb980","691bd8df1d3639c4e561c76e","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""100"",""box2"":""100""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
