"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"3855.5999999046326","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9c34f29cac536eb24fb","external-html",0,3900,"0.0-0.0","Of86UU+k2A3bg3Fiu0RQWt/DmXqyiVK4M+k1xAXACrs6wAvSDVRjONj7nUXlzSjwLCfFiZLQOjCKDc3TgWzDCrVxwFn8J0a9jcu/opCWhU15ZYUIxdpbKx/aVHhggud9Ng/XgcZeND6nhuUjuYPJVNy+FR/JHmcRaj2+IA17EHBiPavZYgR7nNlUMuQgJj8dxZiP2oSa7ZHlKi8igtCDPCLQenzn7B+zBbxnQvAFvWBCAXB/R3m3/cHKI43ujBA7lSsWv2YCjZgACVDVWUKomsCiX+qGq7j6ZJdgi0Himt477C30I4YVc/Jem/DYSIUIOvcGf3mmVKgwIe3nuRTpQw==","691f8ca61c6b4dcbb0aeb5f4","691fa9c34f29cac536eb24fb","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:12:32
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9c34f29cac536eb24fb","fullscreen",1,13744,"0.0-1.0","Of86UU+k2A3bg3Fiu0RQWt/DmXqyiVK4M+k1xAXACrs6wAvSDVRjONj7nUXlzSjwLCfFiZLQOjCKDc3TgWzDCrVxwFn8J0a9jcu/opCWhU15ZYUIxdpbKx/aVHhggud9Ng/XgcZeND6nhuUjuYPJVNy+FR/JHmcRaj2+IA17EHBiPavZYgR7nNlUMuQgJj8dxZiP2oSa7ZHlKi8igtCDPCLQenzn7B+zBbxnQvAFvWBCAXB/R3m3/cHKI43ujBA7lSsWv2YCjZgACVDVWUKomsCiX+qGq7j6ZJdgi0Himt477C30I4YVc/Jem/DYSIUIOvcGf3mmVKgwIe3nuRTpQw==","691f8ca61c6b4dcbb0aeb5f4","691fa9c34f29cac536eb24fb","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:12:32
"89171","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9c34f29cac536eb24fb","instructions",2,102915,"0.0-2.0","Of86UU+k2A3bg3Fiu0RQWt/DmXqyiVK4M+k1xAXACrs6wAvSDVRjONj7nUXlzSjwLCfFiZLQOjCKDc3TgWzDCrVxwFn8J0a9jcu/opCWhU15ZYUIxdpbKx/aVHhggud9Ng/XgcZeND6nhuUjuYPJVNy+FR/JHmcRaj2+IA17EHBiPavZYgR7nNlUMuQgJj8dxZiP2oSa7ZHlKi8igtCDPCLQenzn7B+zBbxnQvAFvWBCAXB/R3m3/cHKI43ujBA7lSsWv2YCjZgACVDVWUKomsCiX+qGq7j6ZJdgi0Himt477C30I4YVc/Jem/DYSIUIOvcGf3mmVKgwIe3nuRTpQw==","691f8ca61c6b4dcbb0aeb5f4","691fa9c34f29cac536eb24fb","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":17628.799999952316},{""page_index"":1,""viewing_time"":17191.800000071526},{""page_index"":2,""viewing_time"":9852.100000023842},{""page_index"":3,""viewing_time"":18792},{""page_index"":4,""viewing_time"":7842},{""page_index"":5,""viewing_time"":11632},{""page_index"":6,""viewing_time"":6232}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:12:32
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9c34f29cac536eb24fb","html-keyboard-response",3,103916,"0.0-3.0","Of86UU+k2A3bg3Fiu0RQWt/DmXqyiVK4M+k1xAXACrs6wAvSDVRjONj7nUXlzSjwLCfFiZLQOjCKDc3TgWzDCrVxwFn8J0a9jcu/opCWhU15ZYUIxdpbKx/aVHhggud9Ng/XgcZeND6nhuUjuYPJVNy+FR/JHmcRaj2+IA17EHBiPavZYgR7nNlUMuQgJj8dxZiP2oSa7ZHlKi8igtCDPCLQenzn7B+zBbxnQvAFvWBCAXB/R3m3/cHKI43ujBA7lSsWv2YCjZgACVDVWUKomsCiX+qGq7j6ZJdgi0Himt477C30I4YVc/Jem/DYSIUIOvcGf3mmVKgwIe3nuRTpQw==","691f8ca61c6b4dcbb0aeb5f4","691fa9c34f29cac536eb24fb","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:12:32
"37333.39999997616","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9c34f29cac536eb24fb","survey-multi-choice",4,141251,"0.0-4.0","Of86UU+k2A3bg3Fiu0RQWt/DmXqyiVK4M+k1xAXACrs6wAvSDVRjONj7nUXlzSjwLCfFiZLQOjCKDc3TgWzDCrVxwFn8J0a9jcu/opCWhU15ZYUIxdpbKx/aVHhggud9Ng/XgcZeND6nhuUjuYPJVNy+FR/JHmcRaj2+IA17EHBiPavZYgR7nNlUMuQgJj8dxZiP2oSa7ZHlKi8igtCDPCLQenzn7B+zBbxnQvAFvWBCAXB/R3m3/cHKI43ujBA7lSsWv2YCjZgACVDVWUKomsCiX+qGq7j6ZJdgi0Himt477C30I4YVc/Jem/DYSIUIOvcGf3mmVKgwIe3nuRTpQw==","691f8ca61c6b4dcbb0aeb5f4","691fa9c34f29cac536eb24fb","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:12:32
"4549","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9c34f29cac536eb24fb","html-button-response",5,145801,"0.0-5.0-1.0","Of86UU+k2A3bg3Fiu0RQWt/DmXqyiVK4M+k1xAXACrs6wAvSDVRjONj7nUXlzSjwLCfFiZLQOjCKDc3TgWzDCrVxwFn8J0a9jcu/opCWhU15ZYUIxdpbKx/aVHhggud9Ng/XgcZeND6nhuUjuYPJVNy+FR/JHmcRaj2+IA17EHBiPavZYgR7nNlUMuQgJj8dxZiP2oSa7ZHlKi8igtCDPCLQenzn7B+zBbxnQvAFvWBCAXB/R3m3/cHKI43ujBA7lSsWv2YCjZgACVDVWUKomsCiX+qGq7j6ZJdgi0Himt477C30I4YVc/Jem/DYSIUIOvcGf3mmVKgwIe3nuRTpQw==","691f8ca61c6b4dcbb0aeb5f4","691fa9c34f29cac536eb24fb","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:12:32
"42883.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9c34f29cac536eb24fb","instructions",6,188685,"0.0-6.0-0.0","Of86UU+k2A3bg3Fiu0RQWt/DmXqyiVK4M+k1xAXACrs6wAvSDVRjONj7nUXlzSjwLCfFiZLQOjCKDc3TgWzDCrVxwFn8J0a9jcu/opCWhU15ZYUIxdpbKx/aVHhggud9Ng/XgcZeND6nhuUjuYPJVNy+FR/JHmcRaj2+IA17EHBiPavZYgR7nNlUMuQgJj8dxZiP2oSa7ZHlKi8igtCDPCLQenzn7B+zBbxnQvAFvWBCAXB/R3m3/cHKI43ujBA7lSsWv2YCjZgACVDVWUKomsCiX+qGq7j6ZJdgi0Himt477C30I4YVc/Jem/DYSIUIOvcGf3mmVKgwIe3nuRTpQw==","691f8ca61c6b4dcbb0aeb5f4","691fa9c34f29cac536eb24fb","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":20421.300000071526},{""page_index"":1,""viewing_time"":4192},{""page_index"":2,""viewing_time"":9202},{""page_index"":3,""viewing_time"":4762},{""page_index"":4,""viewing_time"":2272},{""page_index"":5,""viewing_time"":1011.8999999761581},{""page_index"":6,""viewing_time"":1022}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:12:32
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9c34f29cac536eb24fb","html-keyboard-response",7,189686,"0.0-6.0-1.0","Of86UU+k2A3bg3Fiu0RQWt/DmXqyiVK4M+k1xAXACrs6wAvSDVRjONj7nUXlzSjwLCfFiZLQOjCKDc3TgWzDCrVxwFn8J0a9jcu/opCWhU15ZYUIxdpbKx/aVHhggud9Ng/XgcZeND6nhuUjuYPJVNy+FR/JHmcRaj2+IA17EHBiPavZYgR7nNlUMuQgJj8dxZiP2oSa7ZHlKi8igtCDPCLQenzn7B+zBbxnQvAFvWBCAXB/R3m3/cHKI43ujBA7lSsWv2YCjZgACVDVWUKomsCiX+qGq7j6ZJdgi0Himt477C30I4YVc/Jem/DYSIUIOvcGf3mmVKgwIe3nuRTpQw==","691f8ca61c6b4dcbb0aeb5f4","691fa9c34f29cac536eb24fb","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:12:32
"21251.100000023842","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9c34f29cac536eb24fb","survey-multi-choice",8,210938,"0.0-7.0-0.0","Of86UU+k2A3bg3Fiu0RQWt/DmXqyiVK4M+k1xAXACrs6wAvSDVRjONj7nUXlzSjwLCfFiZLQOjCKDc3TgWzDCrVxwFn8J0a9jcu/opCWhU15ZYUIxdpbKx/aVHhggud9Ng/XgcZeND6nhuUjuYPJVNy+FR/JHmcRaj2+IA17EHBiPavZYgR7nNlUMuQgJj8dxZiP2oSa7ZHlKi8igtCDPCLQenzn7B+zBbxnQvAFvWBCAXB/R3m3/cHKI43ujBA7lSsWv2YCjZgACVDVWUKomsCiX+qGq7j6ZJdgi0Himt477C30I4YVc/Jem/DYSIUIOvcGf3mmVKgwIe3nuRTpQw==","691f8ca61c6b4dcbb0aeb5f4","691fa9c34f29cac536eb24fb","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:12:32
"11979.900000095367","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9c34f29cac536eb24fb","instructions",9,222921,"0.0-305.0","Of86UU+k2A3bg3Fiu0RQWt/DmXqyiVK4M+k1xAXACrs6wAvSDVRjONj7nUXlzSjwLCfFiZLQOjCKDc3TgWzDCrVxwFn8J0a9jcu/opCWhU15ZYUIxdpbKx/aVHhggud9Ng/XgcZeND6nhuUjuYPJVNy+FR/JHmcRaj2+IA17EHBiPavZYgR7nNlUMuQgJj8dxZiP2oSa7ZHlKi8igtCDPCLQenzn7B+zBbxnQvAFvWBCAXB/R3m3/cHKI43ujBA7lSsWv2YCjZgACVDVWUKomsCiX+qGq7j6ZJdgi0Himt477C30I4YVc/Jem/DYSIUIOvcGf3mmVKgwIe3nuRTpQw==","691f8ca61c6b4dcbb0aeb5f4","691fa9c34f29cac536eb24fb","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":7787.700000047684},{""page_index"":1,""viewing_time"":4192}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:12:32
