"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"4924.599999964237","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb4b3ae1a5d337997c9c2","external-html",0,5019,"0.0-0.0","mpg80/HbJ7+yFYv9pXWENPkDDnI4FgA0DOYjPZ11/C5zrmARfUBHLp3RXowj8q5Q1lf0Ph/kAUa344ez0/RYytf8R1o530xuNmeCLcSQWsRpNjHopn6D070gWzV2qd1ZxRcyaSK7FXQTeQyah40wsdbyL1klxLgse5VDXLR9vJ+yaom1PvVxBhWK0dTDBrj4WlDlR6773mp/gfESLxglPPUW+2bX+kwb/per1+rOtXEhfFBFpw2z83a0ZQSWTZ59vskSUHxSZPCYBB3u5IzVd/n7ncm/NbEHiUKr+4s6DlMtjZDQGPftLo1lltcSu3bNjm7SEM6afmfvGor4ZNyDhg==","691f8ca61c6b4dcbb0aeb5f4","691fb4b3ae1a5d337997c9c2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:47:16
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb4b3ae1a5d337997c9c2","fullscreen",1,7469,"0.0-1.0","mpg80/HbJ7+yFYv9pXWENPkDDnI4FgA0DOYjPZ11/C5zrmARfUBHLp3RXowj8q5Q1lf0Ph/kAUa344ez0/RYytf8R1o530xuNmeCLcSQWsRpNjHopn6D070gWzV2qd1ZxRcyaSK7FXQTeQyah40wsdbyL1klxLgse5VDXLR9vJ+yaom1PvVxBhWK0dTDBrj4WlDlR6773mp/gfESLxglPPUW+2bX+kwb/per1+rOtXEhfFBFpw2z83a0ZQSWTZ59vskSUHxSZPCYBB3u5IzVd/n7ncm/NbEHiUKr+4s6DlMtjZDQGPftLo1lltcSu3bNjm7SEM6afmfvGor4ZNyDhg==","691f8ca61c6b4dcbb0aeb5f4","691fb4b3ae1a5d337997c9c2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:47:16
"43961","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb4b3ae1a5d337997c9c2","instructions",2,51432,"0.0-2.0","mpg80/HbJ7+yFYv9pXWENPkDDnI4FgA0DOYjPZ11/C5zrmARfUBHLp3RXowj8q5Q1lf0Ph/kAUa344ez0/RYytf8R1o530xuNmeCLcSQWsRpNjHopn6D070gWzV2qd1ZxRcyaSK7FXQTeQyah40wsdbyL1klxLgse5VDXLR9vJ+yaom1PvVxBhWK0dTDBrj4WlDlR6773mp/gfESLxglPPUW+2bX+kwb/per1+rOtXEhfFBFpw2z83a0ZQSWTZ59vskSUHxSZPCYBB3u5IzVd/n7ncm/NbEHiUKr+4s6DlMtjZDQGPftLo1lltcSu3bNjm7SEM6afmfvGor4ZNyDhg==","691f8ca61c6b4dcbb0aeb5f4","691fb4b3ae1a5d337997c9c2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":6511.699999988079},{""page_index"":1,""viewing_time"":9232.300000011921},{""page_index"":2,""viewing_time"":4565.800000011921},{""page_index"":3,""viewing_time"":7302.899999976158},{""page_index"":4,""viewing_time"":3465.2000000476837},{""page_index"":5,""viewing_time"":7417.5},{""page_index"":6,""viewing_time"":5465.199999988079}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:47:16
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb4b3ae1a5d337997c9c2","html-keyboard-response",3,52447,"0.0-3.0","mpg80/HbJ7+yFYv9pXWENPkDDnI4FgA0DOYjPZ11/C5zrmARfUBHLp3RXowj8q5Q1lf0Ph/kAUa344ez0/RYytf8R1o530xuNmeCLcSQWsRpNjHopn6D070gWzV2qd1ZxRcyaSK7FXQTeQyah40wsdbyL1klxLgse5VDXLR9vJ+yaom1PvVxBhWK0dTDBrj4WlDlR6773mp/gfESLxglPPUW+2bX+kwb/per1+rOtXEhfFBFpw2z83a0ZQSWTZ59vskSUHxSZPCYBB3u5IzVd/n7ncm/NbEHiUKr+4s6DlMtjZDQGPftLo1lltcSu3bNjm7SEM6afmfvGor4ZNyDhg==","691f8ca61c6b4dcbb0aeb5f4","691fb4b3ae1a5d337997c9c2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:47:16
"30818.80000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb4b3ae1a5d337997c9c2","survey-multi-choice",4,83267,"0.0-4.0","mpg80/HbJ7+yFYv9pXWENPkDDnI4FgA0DOYjPZ11/C5zrmARfUBHLp3RXowj8q5Q1lf0Ph/kAUa344ez0/RYytf8R1o530xuNmeCLcSQWsRpNjHopn6D070gWzV2qd1ZxRcyaSK7FXQTeQyah40wsdbyL1klxLgse5VDXLR9vJ+yaom1PvVxBhWK0dTDBrj4WlDlR6773mp/gfESLxglPPUW+2bX+kwb/per1+rOtXEhfFBFpw2z83a0ZQSWTZ59vskSUHxSZPCYBB3u5IzVd/n7ncm/NbEHiUKr+4s6DlMtjZDQGPftLo1lltcSu3bNjm7SEM6afmfvGor4ZNyDhg==","691f8ca61c6b4dcbb0aeb5f4","691fb4b3ae1a5d337997c9c2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""There is no bonus payment at all.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:47:16
"2794.899999976158","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb4b3ae1a5d337997c9c2","html-button-response",5,86065,"0.0-5.0-1.0","mpg80/HbJ7+yFYv9pXWENPkDDnI4FgA0DOYjPZ11/C5zrmARfUBHLp3RXowj8q5Q1lf0Ph/kAUa344ez0/RYytf8R1o530xuNmeCLcSQWsRpNjHopn6D070gWzV2qd1ZxRcyaSK7FXQTeQyah40wsdbyL1klxLgse5VDXLR9vJ+yaom1PvVxBhWK0dTDBrj4WlDlR6773mp/gfESLxglPPUW+2bX+kwb/per1+rOtXEhfFBFpw2z83a0ZQSWTZ59vskSUHxSZPCYBB3u5IzVd/n7ncm/NbEHiUKr+4s6DlMtjZDQGPftLo1lltcSu3bNjm7SEM6afmfvGor4ZNyDhg==","691f8ca61c6b4dcbb0aeb5f4","691fb4b3ae1a5d337997c9c2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:47:16
"64943.30000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb4b3ae1a5d337997c9c2","instructions",6,151009,"0.0-6.0-0.0","mpg80/HbJ7+yFYv9pXWENPkDDnI4FgA0DOYjPZ11/C5zrmARfUBHLp3RXowj8q5Q1lf0Ph/kAUa344ez0/RYytf8R1o530xuNmeCLcSQWsRpNjHopn6D070gWzV2qd1ZxRcyaSK7FXQTeQyah40wsdbyL1klxLgse5VDXLR9vJ+yaom1PvVxBhWK0dTDBrj4WlDlR6773mp/gfESLxglPPUW+2bX+kwb/per1+rOtXEhfFBFpw2z83a0ZQSWTZ59vskSUHxSZPCYBB3u5IzVd/n7ncm/NbEHiUKr+4s6DlMtjZDQGPftLo1lltcSu3bNjm7SEM6afmfvGor4ZNyDhg==","691f8ca61c6b4dcbb0aeb5f4","691fb4b3ae1a5d337997c9c2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":14179.800000011921},{""page_index"":1,""viewing_time"":8581.5},{""page_index"":2,""viewing_time"":11200.600000023842},{""page_index"":3,""viewing_time"":15448.399999976158},{""page_index"":4,""viewing_time"":7349.899999976158},{""page_index"":5,""viewing_time"":5500.300000011921},{""page_index"":6,""viewing_time"":2682.400000035763}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:47:16
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb4b3ae1a5d337997c9c2","html-keyboard-response",7,152021,"0.0-6.0-1.0","mpg80/HbJ7+yFYv9pXWENPkDDnI4FgA0DOYjPZ11/C5zrmARfUBHLp3RXowj8q5Q1lf0Ph/kAUa344ez0/RYytf8R1o530xuNmeCLcSQWsRpNjHopn6D070gWzV2qd1ZxRcyaSK7FXQTeQyah40wsdbyL1klxLgse5VDXLR9vJ+yaom1PvVxBhWK0dTDBrj4WlDlR6773mp/gfESLxglPPUW+2bX+kwb/per1+rOtXEhfFBFpw2z83a0ZQSWTZ59vskSUHxSZPCYBB3u5IzVd/n7ncm/NbEHiUKr+4s6DlMtjZDQGPftLo1lltcSu3bNjm7SEM6afmfvGor4ZNyDhg==","691f8ca61c6b4dcbb0aeb5f4","691fb4b3ae1a5d337997c9c2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:47:16
"18423.399999976158","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb4b3ae1a5d337997c9c2","survey-multi-choice",8,170446,"0.0-7.0-0.0","mpg80/HbJ7+yFYv9pXWENPkDDnI4FgA0DOYjPZ11/C5zrmARfUBHLp3RXowj8q5Q1lf0Ph/kAUa344ez0/RYytf8R1o530xuNmeCLcSQWsRpNjHopn6D070gWzV2qd1ZxRcyaSK7FXQTeQyah40wsdbyL1klxLgse5VDXLR9vJ+yaom1PvVxBhWK0dTDBrj4WlDlR6773mp/gfESLxglPPUW+2bX+kwb/per1+rOtXEhfFBFpw2z83a0ZQSWTZ59vskSUHxSZPCYBB3u5IzVd/n7ncm/NbEHiUKr+4s6DlMtjZDQGPftLo1lltcSu3bNjm7SEM6afmfvGor4ZNyDhg==","691f8ca61c6b4dcbb0aeb5f4","691fb4b3ae1a5d337997c9c2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:47:16
"7288.600000023842","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb4b3ae1a5d337997c9c2","instructions",9,177741,"0.0-305.0","mpg80/HbJ7+yFYv9pXWENPkDDnI4FgA0DOYjPZ11/C5zrmARfUBHLp3RXowj8q5Q1lf0Ph/kAUa344ez0/RYytf8R1o530xuNmeCLcSQWsRpNjHopn6D070gWzV2qd1ZxRcyaSK7FXQTeQyah40wsdbyL1klxLgse5VDXLR9vJ+yaom1PvVxBhWK0dTDBrj4WlDlR6773mp/gfESLxglPPUW+2bX+kwb/per1+rOtXEhfFBFpw2z83a0ZQSWTZ59vskSUHxSZPCYBB3u5IzVd/n7ncm/NbEHiUKr+4s6DlMtjZDQGPftLo1lltcSu3bNjm7SEM6afmfvGor4ZNyDhg==","691f8ca61c6b4dcbb0aeb5f4","691fb4b3ae1a5d337997c9c2","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":3404.100000023842},{""page_index"":1,""viewing_time"":3884.199999988079}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:47:16
