"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"18268.200000047684","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37934559927267542ab","external-html",0,18308,"0.0-0.0","HIrC+LozZeKxg5akC7XcryIqo2iK5yB55zZrqJs0I0JvlEmCu3XoCEi4vE78E6vNPYmQYZqzLsr3smtK+0qib+A8y3Vp5P4SDUuNqe6v1Vfeo3oymwvlieiWneK6T1ibSTMZg3rTFs6FQYdAzqHPN9N9WwlBe6NwU0DdoKPszh3nVTKdE6H6SYlOJLCPvBE2WuD+mJUNhFzRlthpygh7m1HjQRutxq6YUttizVJLHEYtHhAw0Lisi7Rw4ObjpiF77ff3oeViW06bv06rFXZT0cvOlCWe66Ne2RTddi90/XylMtbSJOPtbL+n5JWqK9y+mkBWpmD5UkqRhVxhrQCIiw==","69168b21477cff9ada6cb980","691bd37934559927267542ab","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:10:07
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37934559927267542ab","fullscreen",1,21543,"0.0-1.0","HIrC+LozZeKxg5akC7XcryIqo2iK5yB55zZrqJs0I0JvlEmCu3XoCEi4vE78E6vNPYmQYZqzLsr3smtK+0qib+A8y3Vp5P4SDUuNqe6v1Vfeo3oymwvlieiWneK6T1ibSTMZg3rTFs6FQYdAzqHPN9N9WwlBe6NwU0DdoKPszh3nVTKdE6H6SYlOJLCPvBE2WuD+mJUNhFzRlthpygh7m1HjQRutxq6YUttizVJLHEYtHhAw0Lisi7Rw4ObjpiF77ff3oeViW06bv06rFXZT0cvOlCWe66Ne2RTddi90/XylMtbSJOPtbL+n5JWqK9y+mkBWpmD5UkqRhVxhrQCIiw==","69168b21477cff9ada6cb980","691bd37934559927267542ab","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:10:07
"122346.59999990463","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37934559927267542ab","instructions",2,143893,"0.0-2.0","HIrC+LozZeKxg5akC7XcryIqo2iK5yB55zZrqJs0I0JvlEmCu3XoCEi4vE78E6vNPYmQYZqzLsr3smtK+0qib+A8y3Vp5P4SDUuNqe6v1Vfeo3oymwvlieiWneK6T1ibSTMZg3rTFs6FQYdAzqHPN9N9WwlBe6NwU0DdoKPszh3nVTKdE6H6SYlOJLCPvBE2WuD+mJUNhFzRlthpygh7m1HjQRutxq6YUttizVJLHEYtHhAw0Lisi7Rw4ObjpiF77ff3oeViW06bv06rFXZT0cvOlCWe66Ne2RTddi90/XylMtbSJOPtbL+n5JWqK9y+mkBWpmD5UkqRhVxhrQCIiw==","69168b21477cff9ada6cb980","691bd37934559927267542ab","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":18379},{""page_index"":1,""viewing_time"":4683.200000047684},{""page_index"":2,""viewing_time"":3249.5},{""page_index"":3,""viewing_time"":2833.0999999046326},{""page_index"":4,""viewing_time"":1249.2999999523163},{""page_index"":5,""viewing_time"":1550.7999999523163},{""page_index"":6,""viewing_time"":2650.4000000953674},{""page_index"":5,""viewing_time"":749.5},{""page_index"":4,""viewing_time"":483.40000009536743},{""page_index"":3,""viewing_time"":1667},{""page_index"":2,""viewing_time"":1132},{""page_index"":1,""viewing_time"":833.1999998092651},{""page_index"":0,""viewing_time"":19652},{""page_index"":1,""viewing_time"":8083.700000047684},{""page_index"":2,""viewing_time"":8798.5},{""page_index"":3,""viewing_time"":12433.900000095367},{""page_index"":4,""viewing_time"":11300.200000047684},{""page_index"":5,""viewing_time"":10617},{""page_index"":6,""viewing_time"":11999.699999809265}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:10:07
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37934559927267542ab","html-keyboard-response",3,144896,"0.0-3.0","HIrC+LozZeKxg5akC7XcryIqo2iK5yB55zZrqJs0I0JvlEmCu3XoCEi4vE78E6vNPYmQYZqzLsr3smtK+0qib+A8y3Vp5P4SDUuNqe6v1Vfeo3oymwvlieiWneK6T1ibSTMZg3rTFs6FQYdAzqHPN9N9WwlBe6NwU0DdoKPszh3nVTKdE6H6SYlOJLCPvBE2WuD+mJUNhFzRlthpygh7m1HjQRutxq6YUttizVJLHEYtHhAw0Lisi7Rw4ObjpiF77ff3oeViW06bv06rFXZT0cvOlCWe66Ne2RTddi90/XylMtbSJOPtbL+n5JWqK9y+mkBWpmD5UkqRhVxhrQCIiw==","69168b21477cff9ada6cb980","691bd37934559927267542ab","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:10:07
"21846.099999904633","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37934559927267542ab","survey-multi-choice",4,166749,"0.0-4.0","HIrC+LozZeKxg5akC7XcryIqo2iK5yB55zZrqJs0I0JvlEmCu3XoCEi4vE78E6vNPYmQYZqzLsr3smtK+0qib+A8y3Vp5P4SDUuNqe6v1Vfeo3oymwvlieiWneK6T1ibSTMZg3rTFs6FQYdAzqHPN9N9WwlBe6NwU0DdoKPszh3nVTKdE6H6SYlOJLCPvBE2WuD+mJUNhFzRlthpygh7m1HjQRutxq6YUttizVJLHEYtHhAw0Lisi7Rw4ObjpiF77ff3oeViW06bv06rFXZT0cvOlCWe66Ne2RTddi90/XylMtbSJOPtbL+n5JWqK9y+mkBWpmD5UkqRhVxhrQCIiw==","69168b21477cff9ada6cb980","691bd37934559927267542ab","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:10:07
"14816.700000047684","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37934559927267542ab","instructions",5,181576,"0.0-305.0","HIrC+LozZeKxg5akC7XcryIqo2iK5yB55zZrqJs0I0JvlEmCu3XoCEi4vE78E6vNPYmQYZqzLsr3smtK+0qib+A8y3Vp5P4SDUuNqe6v1Vfeo3oymwvlieiWneK6T1ibSTMZg3rTFs6FQYdAzqHPN9N9WwlBe6NwU0DdoKPszh3nVTKdE6H6SYlOJLCPvBE2WuD+mJUNhFzRlthpygh7m1HjQRutxq6YUttizVJLHEYtHhAw0Lisi7Rw4ObjpiF77ff3oeViW06bv06rFXZT0cvOlCWe66Ne2RTddi90/XylMtbSJOPtbL+n5JWqK9y+mkBWpmD5UkqRhVxhrQCIiw==","69168b21477cff9ada6cb980","691bd37934559927267542ab","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":11966},{""page_index"":1,""viewing_time"":2850.300000190735}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:10:07
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37934559927267542ab","html-keyboard-response",6,182580,"0.0-306.0","HIrC+LozZeKxg5akC7XcryIqo2iK5yB55zZrqJs0I0JvlEmCu3XoCEi4vE78E6vNPYmQYZqzLsr3smtK+0qib+A8y3Vp5P4SDUuNqe6v1Vfeo3oymwvlieiWneK6T1ibSTMZg3rTFs6FQYdAzqHPN9N9WwlBe6NwU0DdoKPszh3nVTKdE6H6SYlOJLCPvBE2WuD+mJUNhFzRlthpygh7m1HjQRutxq6YUttizVJLHEYtHhAw0Lisi7Rw4ObjpiF77ff3oeViW06bv06rFXZT0cvOlCWe66Ne2RTddi90/XylMtbSJOPtbL+n5JWqK9y+mkBWpmD5UkqRhVxhrQCIiw==","69168b21477cff9ada6cb980","691bd37934559927267542ab","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:10:07
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37934559927267542ab","html-keyboard-response",7,185583,"0.0-307.0","HIrC+LozZeKxg5akC7XcryIqo2iK5yB55zZrqJs0I0JvlEmCu3XoCEi4vE78E6vNPYmQYZqzLsr3smtK+0qib+A8y3Vp5P4SDUuNqe6v1Vfeo3oymwvlieiWneK6T1ibSTMZg3rTFs6FQYdAzqHPN9N9WwlBe6NwU0DdoKPszh3nVTKdE6H6SYlOJLCPvBE2WuD+mJUNhFzRlthpygh7m1HjQRutxq6YUttizVJLHEYtHhAw0Lisi7Rw4ObjpiF77ff3oeViW06bv06rFXZT0cvOlCWe66Ne2RTddi90/XylMtbSJOPtbL+n5JWqK9y+mkBWpmD5UkqRhVxhrQCIiw==","69168b21477cff9ada6cb980","691bd37934559927267542ab","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:10:07
"7085.299999952316","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37934559927267542ab","survey-html-form",8,192675,"0.0-308.0","HIrC+LozZeKxg5akC7XcryIqo2iK5yB55zZrqJs0I0JvlEmCu3XoCEi4vE78E6vNPYmQYZqzLsr3smtK+0qib+A8y3Vp5P4SDUuNqe6v1Vfeo3oymwvlieiWneK6T1ibSTMZg3rTFs6FQYdAzqHPN9N9WwlBe6NwU0DdoKPszh3nVTKdE6H6SYlOJLCPvBE2WuD+mJUNhFzRlthpygh7m1HjQRutxq6YUttizVJLHEYtHhAw0Lisi7Rw4ObjpiF77ff3oeViW06bv06rFXZT0cvOlCWe66Ne2RTddi90/XylMtbSJOPtbL+n5JWqK9y+mkBWpmD5UkqRhVxhrQCIiw==","69168b21477cff9ada6cb980","691bd37934559927267542ab","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""5"",""box2"":""5""}","",1,"round1_outcome",1,1,1,5,5,NA,NA,0,0,10,5,5,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:10:07
"8232.199999809265","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37934559927267542ab","survey-html-form",9,200910,"0.0-309.0","HIrC+LozZeKxg5akC7XcryIqo2iK5yB55zZrqJs0I0JvlEmCu3XoCEi4vE78E6vNPYmQYZqzLsr3smtK+0qib+A8y3Vp5P4SDUuNqe6v1Vfeo3oymwvlieiWneK6T1ibSTMZg3rTFs6FQYdAzqHPN9N9WwlBe6NwU0DdoKPszh3nVTKdE6H6SYlOJLCPvBE2WuD+mJUNhFzRlthpygh7m1HjQRutxq6YUttizVJLHEYtHhAw0Lisi7Rw4ObjpiF77ff3oeViW06bv06rFXZT0cvOlCWe66Ne2RTddi90/XylMtbSJOPtbL+n5JWqK9y+mkBWpmD5UkqRhVxhrQCIiw==","69168b21477cff9ada6cb980","691bd37934559927267542ab","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""50"",""box2"":""50""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:10:07
