"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"57213.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe5b707d46e0749141fa","external-html",0,57381,"0.0-0.0","qozl7bm4nd45Eix4IzQ28V8YqiKJU820fUZEeYFG0WeBjsll9uywS11ZYGs4FA6tINWzrukupvxQrPC+x9lwLeyhZ6/fMxurHqBJ8EazEnRLIKRVeORk5gChFmjQCOvYpYU1SEx6FqVks35OaJhPOAee15Bqhq8F7C+m9PBaPm4xO0sMXn1o04luuJMOppljPQDw565MBBsyp82blki5zxm7xIb3q6Pfu5fAYReDiGmN6M8dHINWSx92IDyrd29J8vOodUe4rFdobAeNhEogAeuicww9xoaTpdy9nvVJ5n7fjgt0iG8A7PuKL0QOitfaD2eOnIrD08GitVSZWXZpbw==","691f8ca61c6b4dcbb0aeb5f4","691fbe5b707d46e0749141fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:39:47
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe5b707d46e0749141fa","fullscreen",1,66891,"0.0-1.0","qozl7bm4nd45Eix4IzQ28V8YqiKJU820fUZEeYFG0WeBjsll9uywS11ZYGs4FA6tINWzrukupvxQrPC+x9lwLeyhZ6/fMxurHqBJ8EazEnRLIKRVeORk5gChFmjQCOvYpYU1SEx6FqVks35OaJhPOAee15Bqhq8F7C+m9PBaPm4xO0sMXn1o04luuJMOppljPQDw565MBBsyp82blki5zxm7xIb3q6Pfu5fAYReDiGmN6M8dHINWSx92IDyrd29J8vOodUe4rFdobAeNhEogAeuicww9xoaTpdy9nvVJ5n7fjgt0iG8A7PuKL0QOitfaD2eOnIrD08GitVSZWXZpbw==","691f8ca61c6b4dcbb0aeb5f4","691fbe5b707d46e0749141fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:39:47
"195982.69999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe5b707d46e0749141fa","instructions",2,262876,"0.0-2.0","qozl7bm4nd45Eix4IzQ28V8YqiKJU820fUZEeYFG0WeBjsll9uywS11ZYGs4FA6tINWzrukupvxQrPC+x9lwLeyhZ6/fMxurHqBJ8EazEnRLIKRVeORk5gChFmjQCOvYpYU1SEx6FqVks35OaJhPOAee15Bqhq8F7C+m9PBaPm4xO0sMXn1o04luuJMOppljPQDw565MBBsyp82blki5zxm7xIb3q6Pfu5fAYReDiGmN6M8dHINWSx92IDyrd29J8vOodUe4rFdobAeNhEogAeuicww9xoaTpdy9nvVJ5n7fjgt0iG8A7PuKL0QOitfaD2eOnIrD08GitVSZWXZpbw==","691f8ca61c6b4dcbb0aeb5f4","691fbe5b707d46e0749141fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":57374.5},{""page_index"":1,""viewing_time"":32331.59999999404},{""page_index"":2,""viewing_time"":24467.30000001192},{""page_index"":3,""viewing_time"":30071.29999998212},{""page_index"":4,""viewing_time"":14308.200000017881},{""page_index"":5,""viewing_time"":30836.5},{""page_index"":6,""viewing_time"":6592.299999982119}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:39:47
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe5b707d46e0749141fa","html-keyboard-response",3,263895,"0.0-3.0","qozl7bm4nd45Eix4IzQ28V8YqiKJU820fUZEeYFG0WeBjsll9uywS11ZYGs4FA6tINWzrukupvxQrPC+x9lwLeyhZ6/fMxurHqBJ8EazEnRLIKRVeORk5gChFmjQCOvYpYU1SEx6FqVks35OaJhPOAee15Bqhq8F7C+m9PBaPm4xO0sMXn1o04luuJMOppljPQDw565MBBsyp82blki5zxm7xIb3q6Pfu5fAYReDiGmN6M8dHINWSx92IDyrd29J8vOodUe4rFdobAeNhEogAeuicww9xoaTpdy9nvVJ5n7fjgt0iG8A7PuKL0QOitfaD2eOnIrD08GitVSZWXZpbw==","691f8ca61c6b4dcbb0aeb5f4","691fbe5b707d46e0749141fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:39:47
"41017.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe5b707d46e0749141fa","survey-multi-choice",4,304917,"0.0-4.0","qozl7bm4nd45Eix4IzQ28V8YqiKJU820fUZEeYFG0WeBjsll9uywS11ZYGs4FA6tINWzrukupvxQrPC+x9lwLeyhZ6/fMxurHqBJ8EazEnRLIKRVeORk5gChFmjQCOvYpYU1SEx6FqVks35OaJhPOAee15Bqhq8F7C+m9PBaPm4xO0sMXn1o04luuJMOppljPQDw565MBBsyp82blki5zxm7xIb3q6Pfu5fAYReDiGmN6M8dHINWSx92IDyrd29J8vOodUe4rFdobAeNhEogAeuicww9xoaTpdy9nvVJ5n7fjgt0iG8A7PuKL0QOitfaD2eOnIrD08GitVSZWXZpbw==","691f8ca61c6b4dcbb0aeb5f4","691fbe5b707d46e0749141fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:39:47
"6526.5999999940395","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe5b707d46e0749141fa","html-button-response",5,311448,"0.0-5.0-1.0","qozl7bm4nd45Eix4IzQ28V8YqiKJU820fUZEeYFG0WeBjsll9uywS11ZYGs4FA6tINWzrukupvxQrPC+x9lwLeyhZ6/fMxurHqBJ8EazEnRLIKRVeORk5gChFmjQCOvYpYU1SEx6FqVks35OaJhPOAee15Bqhq8F7C+m9PBaPm4xO0sMXn1o04luuJMOppljPQDw565MBBsyp82blki5zxm7xIb3q6Pfu5fAYReDiGmN6M8dHINWSx92IDyrd29J8vOodUe4rFdobAeNhEogAeuicww9xoaTpdy9nvVJ5n7fjgt0iG8A7PuKL0QOitfaD2eOnIrD08GitVSZWXZpbw==","691f8ca61c6b4dcbb0aeb5f4","691fbe5b707d46e0749141fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:39:47
"69380.90000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe5b707d46e0749141fa","instructions",6,380831,"0.0-6.0-0.0","qozl7bm4nd45Eix4IzQ28V8YqiKJU820fUZEeYFG0WeBjsll9uywS11ZYGs4FA6tINWzrukupvxQrPC+x9lwLeyhZ6/fMxurHqBJ8EazEnRLIKRVeORk5gChFmjQCOvYpYU1SEx6FqVks35OaJhPOAee15Bqhq8F7C+m9PBaPm4xO0sMXn1o04luuJMOppljPQDw565MBBsyp82blki5zxm7xIb3q6Pfu5fAYReDiGmN6M8dHINWSx92IDyrd29J8vOodUe4rFdobAeNhEogAeuicww9xoaTpdy9nvVJ5n7fjgt0iG8A7PuKL0QOitfaD2eOnIrD08GitVSZWXZpbw==","691f8ca61c6b4dcbb0aeb5f4","691fbe5b707d46e0749141fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":29068.69999998808},{""page_index"":1,""viewing_time"":10788.100000023842},{""page_index"":2,""viewing_time"":21500.79999998212},{""page_index"":3,""viewing_time"":3182.5999999940395},{""page_index"":4,""viewing_time"":1633},{""page_index"":5,""viewing_time"":1559},{""page_index"":6,""viewing_time"":1648.300000011921}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:39:47
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe5b707d46e0749141fa","html-keyboard-response",7,381849,"0.0-6.0-1.0","qozl7bm4nd45Eix4IzQ28V8YqiKJU820fUZEeYFG0WeBjsll9uywS11ZYGs4FA6tINWzrukupvxQrPC+x9lwLeyhZ6/fMxurHqBJ8EazEnRLIKRVeORk5gChFmjQCOvYpYU1SEx6FqVks35OaJhPOAee15Bqhq8F7C+m9PBaPm4xO0sMXn1o04luuJMOppljPQDw565MBBsyp82blki5zxm7xIb3q6Pfu5fAYReDiGmN6M8dHINWSx92IDyrd29J8vOodUe4rFdobAeNhEogAeuicww9xoaTpdy9nvVJ5n7fjgt0iG8A7PuKL0QOitfaD2eOnIrD08GitVSZWXZpbw==","691f8ca61c6b4dcbb0aeb5f4","691fbe5b707d46e0749141fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:39:47
"28392.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe5b707d46e0749141fa","survey-multi-choice",8,410246,"0.0-7.0-0.0","qozl7bm4nd45Eix4IzQ28V8YqiKJU820fUZEeYFG0WeBjsll9uywS11ZYGs4FA6tINWzrukupvxQrPC+x9lwLeyhZ6/fMxurHqBJ8EazEnRLIKRVeORk5gChFmjQCOvYpYU1SEx6FqVks35OaJhPOAee15Bqhq8F7C+m9PBaPm4xO0sMXn1o04luuJMOppljPQDw565MBBsyp82blki5zxm7xIb3q6Pfu5fAYReDiGmN6M8dHINWSx92IDyrd29J8vOodUe4rFdobAeNhEogAeuicww9xoaTpdy9nvVJ5n7fjgt0iG8A7PuKL0QOitfaD2eOnIrD08GitVSZWXZpbw==","691f8ca61c6b4dcbb0aeb5f4","691fbe5b707d46e0749141fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:39:47
"10948.09999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe5b707d46e0749141fa","instructions",9,421208,"0.0-305.0","qozl7bm4nd45Eix4IzQ28V8YqiKJU820fUZEeYFG0WeBjsll9uywS11ZYGs4FA6tINWzrukupvxQrPC+x9lwLeyhZ6/fMxurHqBJ8EazEnRLIKRVeORk5gChFmjQCOvYpYU1SEx6FqVks35OaJhPOAee15Bqhq8F7C+m9PBaPm4xO0sMXn1o04luuJMOppljPQDw565MBBsyp82blki5zxm7xIb3q6Pfu5fAYReDiGmN6M8dHINWSx92IDyrd29J8vOodUe4rFdobAeNhEogAeuicww9xoaTpdy9nvVJ5n7fjgt0iG8A7PuKL0QOitfaD2eOnIrD08GitVSZWXZpbw==","691f8ca61c6b4dcbb0aeb5f4","691fbe5b707d46e0749141fa","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":6719.5999999940395},{""page_index"":1,""viewing_time"":4228}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:39:47
