"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","already","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"6937.100000023842","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37d64ad38f5e85eb401","external-html",0,7503,"0.0-0.0","WjS5+oO5If5BTrOfmm0gM8gjH4j7wt5zLqyK7D5cQYxIAYmWMRemKn1wN6FLZoIdGTQ5L6knT79lUfKVdP6Lu+o0ZFwzT2JtgRjdGRPDYeHRMb7k6/cwQXskRkbCMLK994uJNtVO4hUUTfHPq1bAWLZ/uLhpbngwFj7HizaScwiIxn5LhabDe2VAKc/3KtapSr6V6v5Tz4aC33WKSY9Jn+20ZzisH0rrzzj9RQybs19wLETgyCUQyeOHO2C2SiePkkfGhloVkn40/HwKNFj3gu/n3Ebz/Qy+PZ0SOk/u2LzabJ2JZ36OrK+YJhOwiyetgJlUEBRZmAye+Ehv0RL+mA==","69168b21477cff9ada6cb980","691bd37d64ad38f5e85eb401","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:32:55
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37d64ad38f5e85eb401","fullscreen",1,11505,"0.0-1.0","WjS5+oO5If5BTrOfmm0gM8gjH4j7wt5zLqyK7D5cQYxIAYmWMRemKn1wN6FLZoIdGTQ5L6knT79lUfKVdP6Lu+o0ZFwzT2JtgRjdGRPDYeHRMb7k6/cwQXskRkbCMLK994uJNtVO4hUUTfHPq1bAWLZ/uLhpbngwFj7HizaScwiIxn5LhabDe2VAKc/3KtapSr6V6v5Tz4aC33WKSY9Jn+20ZzisH0rrzzj9RQybs19wLETgyCUQyeOHO2C2SiePkkfGhloVkn40/HwKNFj3gu/n3Ebz/Qy+PZ0SOk/u2LzabJ2JZ36OrK+YJhOwiyetgJlUEBRZmAye+Ehv0RL+mA==","69168b21477cff9ada6cb980","691bd37d64ad38f5e85eb401","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:32:55
"330868.3000000119","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37d64ad38f5e85eb401","instructions",2,342375,"0.0-2.0","WjS5+oO5If5BTrOfmm0gM8gjH4j7wt5zLqyK7D5cQYxIAYmWMRemKn1wN6FLZoIdGTQ5L6knT79lUfKVdP6Lu+o0ZFwzT2JtgRjdGRPDYeHRMb7k6/cwQXskRkbCMLK994uJNtVO4hUUTfHPq1bAWLZ/uLhpbngwFj7HizaScwiIxn5LhabDe2VAKc/3KtapSr6V6v5Tz4aC33WKSY9Jn+20ZzisH0rrzzj9RQybs19wLETgyCUQyeOHO2C2SiePkkfGhloVkn40/HwKNFj3gu/n3Ebz/Qy+PZ0SOk/u2LzabJ2JZ36OrK+YJhOwiyetgJlUEBRZmAye+Ehv0RL+mA==","69168b21477cff9ada6cb980","691bd37d64ad38f5e85eb401","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":123642.59999996424},{""page_index"":1,""viewing_time"":28910.200000047684},{""page_index"":2,""viewing_time"":112057.5},{""page_index"":3,""viewing_time"":49767.799999952316},{""page_index"":4,""viewing_time"":5353.600000023842},{""page_index"":5,""viewing_time"":9604.199999988079},{""page_index"":6,""viewing_time"":1531.800000011921}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:32:55
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37d64ad38f5e85eb401","html-keyboard-response",3,343388,"0.0-3.0","WjS5+oO5If5BTrOfmm0gM8gjH4j7wt5zLqyK7D5cQYxIAYmWMRemKn1wN6FLZoIdGTQ5L6knT79lUfKVdP6Lu+o0ZFwzT2JtgRjdGRPDYeHRMb7k6/cwQXskRkbCMLK994uJNtVO4hUUTfHPq1bAWLZ/uLhpbngwFj7HizaScwiIxn5LhabDe2VAKc/3KtapSr6V6v5Tz4aC33WKSY9Jn+20ZzisH0rrzzj9RQybs19wLETgyCUQyeOHO2C2SiePkkfGhloVkn40/HwKNFj3gu/n3Ebz/Qy+PZ0SOk/u2LzabJ2JZ36OrK+YJhOwiyetgJlUEBRZmAye+Ehv0RL+mA==","69168b21477cff9ada6cb980","691bd37d64ad38f5e85eb401","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:32:55
"33207.10000002384","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37d64ad38f5e85eb401","survey-multi-choice",4,376598,"0.0-4.0","WjS5+oO5If5BTrOfmm0gM8gjH4j7wt5zLqyK7D5cQYxIAYmWMRemKn1wN6FLZoIdGTQ5L6knT79lUfKVdP6Lu+o0ZFwzT2JtgRjdGRPDYeHRMb7k6/cwQXskRkbCMLK994uJNtVO4hUUTfHPq1bAWLZ/uLhpbngwFj7HizaScwiIxn5LhabDe2VAKc/3KtapSr6V6v5Tz4aC33WKSY9Jn+20ZzisH0rrzzj9RQybs19wLETgyCUQyeOHO2C2SiePkkfGhloVkn40/HwKNFj3gu/n3Ebz/Qy+PZ0SOk/u2LzabJ2JZ36OrK+YJhOwiyetgJlUEBRZmAye+Ehv0RL+mA==","69168b21477cff9ada6cb980","691bd37d64ad38f5e85eb401","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20 unevenly proportional to strength."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:32:55
"5376","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37d64ad38f5e85eb401","html-button-response",5,381977,"0.0-5.0-0.0","WjS5+oO5If5BTrOfmm0gM8gjH4j7wt5zLqyK7D5cQYxIAYmWMRemKn1wN6FLZoIdGTQ5L6knT79lUfKVdP6Lu+o0ZFwzT2JtgRjdGRPDYeHRMb7k6/cwQXskRkbCMLK994uJNtVO4hUUTfHPq1bAWLZ/uLhpbngwFj7HizaScwiIxn5LhabDe2VAKc/3KtapSr6V6v5Tz4aC33WKSY9Jn+20ZzisH0rrzzj9RQybs19wLETgyCUQyeOHO2C2SiePkkfGhloVkn40/HwKNFj3gu/n3Ebz/Qy+PZ0SOk/u2LzabJ2JZ36OrK+YJhOwiyetgJlUEBRZmAye+Ehv0RL+mA==","69168b21477cff9ada6cb980","691bd37d64ad38f5e85eb401","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:32:55
"20470","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37d64ad38f5e85eb401","survey-multi-choice",6,402450,"0.0-7.0-0.0","WjS5+oO5If5BTrOfmm0gM8gjH4j7wt5zLqyK7D5cQYxIAYmWMRemKn1wN6FLZoIdGTQ5L6knT79lUfKVdP6Lu+o0ZFwzT2JtgRjdGRPDYeHRMb7k6/cwQXskRkbCMLK994uJNtVO4hUUTfHPq1bAWLZ/uLhpbngwFj7HizaScwiIxn5LhabDe2VAKc/3KtapSr6V6v5Tz4aC33WKSY9Jn+20ZzisH0rrzzj9RQybs19wLETgyCUQyeOHO2C2SiePkkfGhloVkn40/HwKNFj3gu/n3Ebz/Qy+PZ0SOk/u2LzabJ2JZ36OrK+YJhOwiyetgJlUEBRZmAye+Ehv0RL+mA==","69168b21477cff9ada6cb980","691bd37d64ad38f5e85eb401","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with one round."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20 unevenly proportional to strength."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:32:55
"1403","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37d64ad38f5e85eb401","html-button-response",7,403856,"0.0-8.0-0.0","WjS5+oO5If5BTrOfmm0gM8gjH4j7wt5zLqyK7D5cQYxIAYmWMRemKn1wN6FLZoIdGTQ5L6knT79lUfKVdP6Lu+o0ZFwzT2JtgRjdGRPDYeHRMb7k6/cwQXskRkbCMLK994uJNtVO4hUUTfHPq1bAWLZ/uLhpbngwFj7HizaScwiIxn5LhabDe2VAKc/3KtapSr6V6v5Tz4aC33WKSY9Jn+20ZzisH0rrzzj9RQybs19wLETgyCUQyeOHO2C2SiePkkfGhloVkn40/HwKNFj3gu/n3Ebz/Qy+PZ0SOk/u2LzabJ2JZ36OrK+YJhOwiyetgJlUEBRZmAye+Ehv0RL+mA==","69168b21477cff9ada6cb980","691bd37d64ad38f5e85eb401","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:32:55
"128580","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37d64ad38f5e85eb401","instructions",8,532437,"0.0-9.0-0.0","WjS5+oO5If5BTrOfmm0gM8gjH4j7wt5zLqyK7D5cQYxIAYmWMRemKn1wN6FLZoIdGTQ5L6knT79lUfKVdP6Lu+o0ZFwzT2JtgRjdGRPDYeHRMb7k6/cwQXskRkbCMLK994uJNtVO4hUUTfHPq1bAWLZ/uLhpbngwFj7HizaScwiIxn5LhabDe2VAKc/3KtapSr6V6v5Tz4aC33WKSY9Jn+20ZzisH0rrzzj9RQybs19wLETgyCUQyeOHO2C2SiePkkfGhloVkn40/HwKNFj3gu/n3Ebz/Qy+PZ0SOk/u2LzabJ2JZ36OrK+YJhOwiyetgJlUEBRZmAye+Ehv0RL+mA==","69168b21477cff9ada6cb980","691bd37d64ad38f5e85eb401","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":14797.700000047684},{""page_index"":1,""viewing_time"":2141.2999999523163},{""page_index"":2,""viewing_time"":107521.20000004768},{""page_index"":3,""viewing_time"":1749.7999999523163},{""page_index"":4,""viewing_time"":921.7000000476837},{""page_index"":5,""viewing_time"":819.2999999523163},{""page_index"":6,""viewing_time"":628.7000000476837}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:32:55
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691bd37d64ad38f5e85eb401","html-keyboard-response",9,533450,"0.0-9.0-1.0","WjS5+oO5If5BTrOfmm0gM8gjH4j7wt5zLqyK7D5cQYxIAYmWMRemKn1wN6FLZoIdGTQ5L6knT79lUfKVdP6Lu+o0ZFwzT2JtgRjdGRPDYeHRMb7k6/cwQXskRkbCMLK994uJNtVO4hUUTfHPq1bAWLZ/uLhpbngwFj7HizaScwiIxn5LhabDe2VAKc/3KtapSr6V6v5Tz4aC33WKSY9Jn+20ZzisH0rrzzj9RQybs19wLETgyCUQyeOHO2C2SiePkkfGhloVkn40/HwKNFj3gu/n3Ebz/Qy+PZ0SOk/u2LzabJ2JZ36OrK+YJhOwiyetgJlUEBRZmAye+Ehv0RL+mA==","69168b21477cff9ada6cb980","691bd37d64ad38f5e85eb401","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18 02:32:55
