"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","already","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"83055.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4503fc50310430a752bc","external-html",0,83140,"0.0-0.0","MP/HG8wdvE8V1K5b1eSx81Bnsf1Cdi+tx9SxBAA/Kcihfnn/+Y8XR5e/4gjSKb/OQgu3qEW5mo632t5ubYWjNUIYFrDVO7/Y4eWNpHoHkZ8K+08TiQOP7QNLzlV8Dq/8ljALgqI+TxMlBwtiIzttTKVB8uL8JAwocd2Iy6p0UeQNCQ3em5eTSzToQnFdcOAy9uFhVdx4qzFC0/PiqCKb2xM1JQCtySd4epxq4eDEr8rtl2wyaN0xRMF2E4lpEx7xRKUfz+gBMOAVBRxB6uAVHOEqqcnwJHc5vv5MaZ3TA92DXyOgIpb3hPBQy1/ZYip9LHFwEV2+WcG60/KI85sR/w==","69168b21477cff9ada6cb980","691d4503fc50310430a752bc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 04:44:44
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4503fc50310430a752bc","fullscreen",1,99421,"0.0-1.0","MP/HG8wdvE8V1K5b1eSx81Bnsf1Cdi+tx9SxBAA/Kcihfnn/+Y8XR5e/4gjSKb/OQgu3qEW5mo632t5ubYWjNUIYFrDVO7/Y4eWNpHoHkZ8K+08TiQOP7QNLzlV8Dq/8ljALgqI+TxMlBwtiIzttTKVB8uL8JAwocd2Iy6p0UeQNCQ3em5eTSzToQnFdcOAy9uFhVdx4qzFC0/PiqCKb2xM1JQCtySd4epxq4eDEr8rtl2wyaN0xRMF2E4lpEx7xRKUfz+gBMOAVBRxB6uAVHOEqqcnwJHc5vv5MaZ3TA92DXyOgIpb3hPBQy1/ZYip9LHFwEV2+WcG60/KI85sR/w==","69168b21477cff9ada6cb980","691d4503fc50310430a752bc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 04:44:44
"224828.69999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4503fc50310430a752bc","instructions",2,324251,"0.0-2.0","MP/HG8wdvE8V1K5b1eSx81Bnsf1Cdi+tx9SxBAA/Kcihfnn/+Y8XR5e/4gjSKb/OQgu3qEW5mo632t5ubYWjNUIYFrDVO7/Y4eWNpHoHkZ8K+08TiQOP7QNLzlV8Dq/8ljALgqI+TxMlBwtiIzttTKVB8uL8JAwocd2Iy6p0UeQNCQ3em5eTSzToQnFdcOAy9uFhVdx4qzFC0/PiqCKb2xM1JQCtySd4epxq4eDEr8rtl2wyaN0xRMF2E4lpEx7xRKUfz+gBMOAVBRxB6uAVHOEqqcnwJHc5vv5MaZ3TA92DXyOgIpb3hPBQy1/ZYip9LHFwEV2+WcG60/KI85sR/w==","69168b21477cff9ada6cb980","691d4503fc50310430a752bc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":45150.40000000596},{""page_index"":1,""viewing_time"":31709.19999998808},{""page_index"":2,""viewing_time"":29187.19999998808},{""page_index"":3,""viewing_time"":40759.20000001788},{""page_index"":4,""viewing_time"":24732.90000000596},{""page_index"":5,""viewing_time"":36464.59999999404},{""page_index"":6,""viewing_time"":16824.69999998808}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 04:44:44
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4503fc50310430a752bc","html-keyboard-response",3,325255,"0.0-3.0","MP/HG8wdvE8V1K5b1eSx81Bnsf1Cdi+tx9SxBAA/Kcihfnn/+Y8XR5e/4gjSKb/OQgu3qEW5mo632t5ubYWjNUIYFrDVO7/Y4eWNpHoHkZ8K+08TiQOP7QNLzlV8Dq/8ljALgqI+TxMlBwtiIzttTKVB8uL8JAwocd2Iy6p0UeQNCQ3em5eTSzToQnFdcOAy9uFhVdx4qzFC0/PiqCKb2xM1JQCtySd4epxq4eDEr8rtl2wyaN0xRMF2E4lpEx7xRKUfz+gBMOAVBRxB6uAVHOEqqcnwJHc5vv5MaZ3TA92DXyOgIpb3hPBQy1/ZYip9LHFwEV2+WcG60/KI85sR/w==","69168b21477cff9ada6cb980","691d4503fc50310430a752bc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 04:44:44
"57059.10000002384","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4503fc50310430a752bc","survey-multi-choice",4,382319,"0.0-4.0","MP/HG8wdvE8V1K5b1eSx81Bnsf1Cdi+tx9SxBAA/Kcihfnn/+Y8XR5e/4gjSKb/OQgu3qEW5mo632t5ubYWjNUIYFrDVO7/Y4eWNpHoHkZ8K+08TiQOP7QNLzlV8Dq/8ljALgqI+TxMlBwtiIzttTKVB8uL8JAwocd2Iy6p0UeQNCQ3em5eTSzToQnFdcOAy9uFhVdx4qzFC0/PiqCKb2xM1JQCtySd4epxq4eDEr8rtl2wyaN0xRMF2E4lpEx7xRKUfz+gBMOAVBRxB6uAVHOEqqcnwJHc5vv5MaZ3TA92DXyOgIpb3hPBQy1/ZYip9LHFwEV2+WcG60/KI85sR/w==","69168b21477cff9ada6cb980","691d4503fc50310430a752bc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 04:44:44
"27067.30000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4503fc50310430a752bc","instructions",5,409397,"0.0-305.0","MP/HG8wdvE8V1K5b1eSx81Bnsf1Cdi+tx9SxBAA/Kcihfnn/+Y8XR5e/4gjSKb/OQgu3qEW5mo632t5ubYWjNUIYFrDVO7/Y4eWNpHoHkZ8K+08TiQOP7QNLzlV8Dq/8ljALgqI+TxMlBwtiIzttTKVB8uL8JAwocd2Iy6p0UeQNCQ3em5eTSzToQnFdcOAy9uFhVdx4qzFC0/PiqCKb2xM1JQCtySd4epxq4eDEr8rtl2wyaN0xRMF2E4lpEx7xRKUfz+gBMOAVBRxB6uAVHOEqqcnwJHc5vv5MaZ3TA92DXyOgIpb3hPBQy1/ZYip9LHFwEV2+WcG60/KI85sR/w==","69168b21477cff9ada6cb980","691d4503fc50310430a752bc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":19326.90000000596},{""page_index"":1,""viewing_time"":7740.0999999940395}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 04:44:44
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4503fc50310430a752bc","html-keyboard-response",6,410400,"0.0-306.0","MP/HG8wdvE8V1K5b1eSx81Bnsf1Cdi+tx9SxBAA/Kcihfnn/+Y8XR5e/4gjSKb/OQgu3qEW5mo632t5ubYWjNUIYFrDVO7/Y4eWNpHoHkZ8K+08TiQOP7QNLzlV8Dq/8ljALgqI+TxMlBwtiIzttTKVB8uL8JAwocd2Iy6p0UeQNCQ3em5eTSzToQnFdcOAy9uFhVdx4qzFC0/PiqCKb2xM1JQCtySd4epxq4eDEr8rtl2wyaN0xRMF2E4lpEx7xRKUfz+gBMOAVBRxB6uAVHOEqqcnwJHc5vv5MaZ3TA92DXyOgIpb3hPBQy1/ZYip9LHFwEV2+WcG60/KI85sR/w==","69168b21477cff9ada6cb980","691d4503fc50310430a752bc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 04:44:44
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4503fc50310430a752bc","html-keyboard-response",7,413403,"0.0-307.0","MP/HG8wdvE8V1K5b1eSx81Bnsf1Cdi+tx9SxBAA/Kcihfnn/+Y8XR5e/4gjSKb/OQgu3qEW5mo632t5ubYWjNUIYFrDVO7/Y4eWNpHoHkZ8K+08TiQOP7QNLzlV8Dq/8ljALgqI+TxMlBwtiIzttTKVB8uL8JAwocd2Iy6p0UeQNCQ3em5eTSzToQnFdcOAy9uFhVdx4qzFC0/PiqCKb2xM1JQCtySd4epxq4eDEr8rtl2wyaN0xRMF2E4lpEx7xRKUfz+gBMOAVBRxB6uAVHOEqqcnwJHc5vv5MaZ3TA92DXyOgIpb3hPBQy1/ZYip9LHFwEV2+WcG60/KI85sR/w==","69168b21477cff9ada6cb980","691d4503fc50310430a752bc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 04:44:44
"90540.30000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4503fc50310430a752bc","survey-html-form",8,503949,"0.0-308.0","MP/HG8wdvE8V1K5b1eSx81Bnsf1Cdi+tx9SxBAA/Kcihfnn/+Y8XR5e/4gjSKb/OQgu3qEW5mo632t5ubYWjNUIYFrDVO7/Y4eWNpHoHkZ8K+08TiQOP7QNLzlV8Dq/8ljALgqI+TxMlBwtiIzttTKVB8uL8JAwocd2Iy6p0UeQNCQ3em5eTSzToQnFdcOAy9uFhVdx4qzFC0/PiqCKb2xM1JQCtySd4epxq4eDEr8rtl2wyaN0xRMF2E4lpEx7xRKUfz+gBMOAVBRxB6uAVHOEqqcnwJHc5vv5MaZ3TA92DXyOgIpb3hPBQy1/ZYip9LHFwEV2+WcG60/KI85sR/w==","69168b21477cff9ada6cb980","691d4503fc50310430a752bc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""4"",""box2"":""6"",""box3"":""100"",""box4"":""45""}","",1,"round1_outcome",1,1,1,4,6,100,45,1,1,10,4,6,100,45,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 04:44:44
"33572.59999999404","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4503fc50310430a752bc","survey-html-form",9,537524,"0.0-309.0","MP/HG8wdvE8V1K5b1eSx81Bnsf1Cdi+tx9SxBAA/Kcihfnn/+Y8XR5e/4gjSKb/OQgu3qEW5mo632t5ubYWjNUIYFrDVO7/Y4eWNpHoHkZ8K+08TiQOP7QNLzlV8Dq/8ljALgqI+TxMlBwtiIzttTKVB8uL8JAwocd2Iy6p0UeQNCQ3em5eTSzToQnFdcOAy9uFhVdx4qzFC0/PiqCKb2xM1JQCtySd4epxq4eDEr8rtl2wyaN0xRMF2E4lpEx7xRKUfz+gBMOAVBRxB6uAVHOEqqcnwJHc5vv5MaZ3TA92DXyOgIpb3hPBQy1/ZYip9LHFwEV2+WcG60/KI85sR/w==","69168b21477cff9ada6cb980","691d4503fc50310430a752bc","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""80"",""box2"":""90""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,90,80,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19 04:44:44
