"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","button_pressed","attention_sum","attention","datapipe_meta.attributes.date_modified"
"1491.1000000238419","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9dd2c9bcc347268afb3","external-html",0,1493,"0.0-0.0","jr9Pk2a5zj3HefZeqzTA+c1nY8Mva1g8aLYbh+I8su+pyBXeqc6EwlcNYT6MEljnDFVXJF5ZVoYstgzihoKpY5xBzZQwqnKfXd1zpENwTpG2uBBAxbBPNqAG+7zwuoOJCOD9nKbYYhcdtEVapyL6u5JvCY4T1N5re0c7vX9TmIpb+kyDXauYsoXSNb1U5/9qMGdRKZH4+ifSsivgqiB96O7loAvfyvUxujaNOZrytD4RgLAgSiP5Pj0S8Tw2dWdR3hmXW2cYgEDP0PK/v8KJAkq7U+1Ue34kLfK3S1EMOQsJYhFQXNHe02cXlnQHFQKXdj2eSxL0QBLVAgmED9XfEQ==","691f8ca61c6b4dcbb0aeb5f4","691fa9dd2c9bcc347268afb3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:07:10
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9dd2c9bcc347268afb3","fullscreen",1,3568,"0.0-1.0","jr9Pk2a5zj3HefZeqzTA+c1nY8Mva1g8aLYbh+I8su+pyBXeqc6EwlcNYT6MEljnDFVXJF5ZVoYstgzihoKpY5xBzZQwqnKfXd1zpENwTpG2uBBAxbBPNqAG+7zwuoOJCOD9nKbYYhcdtEVapyL6u5JvCY4T1N5re0c7vX9TmIpb+kyDXauYsoXSNb1U5/9qMGdRKZH4+ifSsivgqiB96O7loAvfyvUxujaNOZrytD4RgLAgSiP5Pj0S8Tw2dWdR3hmXW2cYgEDP0PK/v8KJAkq7U+1Ue34kLfK3S1EMOQsJYhFQXNHe02cXlnQHFQKXdj2eSxL0QBLVAgmED9XfEQ==","691f8ca61c6b4dcbb0aeb5f4","691fa9dd2c9bcc347268afb3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:07:10
"28816.19999998808","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9dd2c9bcc347268afb3","instructions",2,32385,"0.0-2.0","jr9Pk2a5zj3HefZeqzTA+c1nY8Mva1g8aLYbh+I8su+pyBXeqc6EwlcNYT6MEljnDFVXJF5ZVoYstgzihoKpY5xBzZQwqnKfXd1zpENwTpG2uBBAxbBPNqAG+7zwuoOJCOD9nKbYYhcdtEVapyL6u5JvCY4T1N5re0c7vX9TmIpb+kyDXauYsoXSNb1U5/9qMGdRKZH4+ifSsivgqiB96O7loAvfyvUxujaNOZrytD4RgLAgSiP5Pj0S8Tw2dWdR3hmXW2cYgEDP0PK/v8KJAkq7U+1Ue34kLfK3S1EMOQsJYhFQXNHe02cXlnQHFQKXdj2eSxL0QBLVAgmED9XfEQ==","691f8ca61c6b4dcbb0aeb5f4","691fa9dd2c9bcc347268afb3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":2648},{""page_index"":1,""viewing_time"":1153.300000011921},{""page_index"":2,""viewing_time"":4093.099999964237},{""page_index"":3,""viewing_time"":823.7000000476837},{""page_index"":4,""viewing_time"":1088.199999988079},{""page_index"":5,""viewing_time"":586.0999999642372},{""page_index"":6,""viewing_time"":1144.800000011921},{""page_index"":5,""viewing_time"":16129.800000011921},{""page_index"":6,""viewing_time"":1149}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:07:10
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9dd2c9bcc347268afb3","html-keyboard-response",3,33389,"0.0-3.0","jr9Pk2a5zj3HefZeqzTA+c1nY8Mva1g8aLYbh+I8su+pyBXeqc6EwlcNYT6MEljnDFVXJF5ZVoYstgzihoKpY5xBzZQwqnKfXd1zpENwTpG2uBBAxbBPNqAG+7zwuoOJCOD9nKbYYhcdtEVapyL6u5JvCY4T1N5re0c7vX9TmIpb+kyDXauYsoXSNb1U5/9qMGdRKZH4+ifSsivgqiB96O7loAvfyvUxujaNOZrytD4RgLAgSiP5Pj0S8Tw2dWdR3hmXW2cYgEDP0PK/v8KJAkq7U+1Ue34kLfK3S1EMOQsJYhFQXNHe02cXlnQHFQKXdj2eSxL0QBLVAgmED9XfEQ==","691f8ca61c6b4dcbb0aeb5f4","691fa9dd2c9bcc347268afb3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:07:10
"22302.100000023842","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9dd2c9bcc347268afb3","survey-multi-choice",4,55692,"0.0-4.0","jr9Pk2a5zj3HefZeqzTA+c1nY8Mva1g8aLYbh+I8su+pyBXeqc6EwlcNYT6MEljnDFVXJF5ZVoYstgzihoKpY5xBzZQwqnKfXd1zpENwTpG2uBBAxbBPNqAG+7zwuoOJCOD9nKbYYhcdtEVapyL6u5JvCY4T1N5re0c7vX9TmIpb+kyDXauYsoXSNb1U5/9qMGdRKZH4+ifSsivgqiB96O7loAvfyvUxujaNOZrytD4RgLAgSiP5Pj0S8Tw2dWdR3hmXW2cYgEDP0PK/v8KJAkq7U+1Ue34kLfK3S1EMOQsJYhFQXNHe02cXlnQHFQKXdj2eSxL0QBLVAgmED9XfEQ==","691f8ca61c6b4dcbb0aeb5f4","691fa9dd2c9bcc347268afb3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:07:10
"7139.599999964237","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9dd2c9bcc347268afb3","instructions",5,62833,"0.0-305.0","jr9Pk2a5zj3HefZeqzTA+c1nY8Mva1g8aLYbh+I8su+pyBXeqc6EwlcNYT6MEljnDFVXJF5ZVoYstgzihoKpY5xBzZQwqnKfXd1zpENwTpG2uBBAxbBPNqAG+7zwuoOJCOD9nKbYYhcdtEVapyL6u5JvCY4T1N5re0c7vX9TmIpb+kyDXauYsoXSNb1U5/9qMGdRKZH4+ifSsivgqiB96O7loAvfyvUxujaNOZrytD4RgLAgSiP5Pj0S8Tw2dWdR3hmXW2cYgEDP0PK/v8KJAkq7U+1Ue34kLfK3S1EMOQsJYhFQXNHe02cXlnQHFQKXdj2eSxL0QBLVAgmED9XfEQ==","691f8ca61c6b4dcbb0aeb5f4","691fa9dd2c9bcc347268afb3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":4773.399999976158},{""page_index"":1,""viewing_time"":2366.100000023842}]","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:07:10
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9dd2c9bcc347268afb3","html-keyboard-response",6,63835,"0.0-306.0","jr9Pk2a5zj3HefZeqzTA+c1nY8Mva1g8aLYbh+I8su+pyBXeqc6EwlcNYT6MEljnDFVXJF5ZVoYstgzihoKpY5xBzZQwqnKfXd1zpENwTpG2uBBAxbBPNqAG+7zwuoOJCOD9nKbYYhcdtEVapyL6u5JvCY4T1N5re0c7vX9TmIpb+kyDXauYsoXSNb1U5/9qMGdRKZH4+ifSsivgqiB96O7loAvfyvUxujaNOZrytD4RgLAgSiP5Pj0S8Tw2dWdR3hmXW2cYgEDP0PK/v8KJAkq7U+1Ue34kLfK3S1EMOQsJYhFQXNHe02cXlnQHFQKXdj2eSxL0QBLVAgmED9XfEQ==","691f8ca61c6b4dcbb0aeb5f4","691fa9dd2c9bcc347268afb3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:07:10
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9dd2c9bcc347268afb3","html-keyboard-response",7,66842,"0.0-307.0","jr9Pk2a5zj3HefZeqzTA+c1nY8Mva1g8aLYbh+I8su+pyBXeqc6EwlcNYT6MEljnDFVXJF5ZVoYstgzihoKpY5xBzZQwqnKfXd1zpENwTpG2uBBAxbBPNqAG+7zwuoOJCOD9nKbYYhcdtEVapyL6u5JvCY4T1N5re0c7vX9TmIpb+kyDXauYsoXSNb1U5/9qMGdRKZH4+ifSsivgqiB96O7loAvfyvUxujaNOZrytD4RgLAgSiP5Pj0S8Tw2dWdR3hmXW2cYgEDP0PK/v8KJAkq7U+1Ue34kLfK3S1EMOQsJYhFQXNHe02cXlnQHFQKXdj2eSxL0QBLVAgmED9XfEQ==","691f8ca61c6b4dcbb0aeb5f4","691fa9dd2c9bcc347268afb3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p style='font-size:30px'><b> New Contest! </b></p>","null","","",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:07:10
"23720.600000023842","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9dd2c9bcc347268afb3","survey-html-form",8,90564,"0.0-308.0","jr9Pk2a5zj3HefZeqzTA+c1nY8Mva1g8aLYbh+I8su+pyBXeqc6EwlcNYT6MEljnDFVXJF5ZVoYstgzihoKpY5xBzZQwqnKfXd1zpENwTpG2uBBAxbBPNqAG+7zwuoOJCOD9nKbYYhcdtEVapyL6u5JvCY4T1N5re0c7vX9TmIpb+kyDXauYsoXSNb1U5/9qMGdRKZH4+ifSsivgqiB96O7loAvfyvUxujaNOZrytD4RgLAgSiP5Pj0S8Tw2dWdR3hmXW2cYgEDP0PK/v8KJAkq7U+1Ue34kLfK3S1EMOQsJYhFQXNHe02cXlnQHFQKXdj2eSxL0QBLVAgmED9XfEQ==","691f8ca61c6b4dcbb0aeb5f4","691fa9dd2c9bcc347268afb3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""6"",""box2"":""6"",""box3"":""50"",""box4"":""50""}","",1,"round1_outcome",1,1,1,6,6,50,50,1,1,10,6,6,50,50,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:07:10
"9854.099999964237","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fa9dd2c9bcc347268afb3","survey-html-form",9,100419,"0.0-309.0","jr9Pk2a5zj3HefZeqzTA+c1nY8Mva1g8aLYbh+I8su+pyBXeqc6EwlcNYT6MEljnDFVXJF5ZVoYstgzihoKpY5xBzZQwqnKfXd1zpENwTpG2uBBAxbBPNqAG+7zwuoOJCOD9nKbYYhcdtEVapyL6u5JvCY4T1N5re0c7vX9TmIpb+kyDXauYsoXSNb1U5/9qMGdRKZH4+ifSsivgqiB96O7loAvfyvUxujaNOZrytD4RgLAgSiP5Pj0S8Tw2dWdR3hmXW2cYgEDP0PK/v8KJAkq7U+1Ue34kLfK3S1EMOQsJYhFQXNHe02cXlnQHFQKXdj2eSxL0QBLVAgmED9XfEQ==","691f8ca61c6b4dcbb0aeb5f4","691fa9dd2c9bcc347268afb3","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""box1"":""90"",""box2"":""90""}","",1,"round2_ready",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,90,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 00:07:10
