"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","attention_check","count","r3_strength_a","r3_strength_b","r3_outcome_a","r3_outcome_b","r3_reward","r3_effort_a","r3_effort_b","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"7836.299999982119","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe931781ab827d249275","external-html",0,7884,"0.0-0.0","iyVIJ3469Z1JPsBW+Z9zGQlEdYzT2m1z2XDBuxEChmeBCo9L/n7fq28R2JrGchhn4+rT/tzWnYohsNztKedERQLsuu8hmvZwZ8m6CGmxS+/Kg4fvFaYURQUpSWguHrRxaxi0WbOMzKb4KakBmqmpx+gbHT4W54z621aF1LnkNr56Sa5i11Wn1D3r8OH/y9iA++xxzwvHkU5GvGn9BjxhNBHpRfGB+H2DkJY6unOi0YRcujxhBTgIAgS3ELmR6QlPQy9ERuDvT4Iss8o58IVElhyisFv7TCHCazQ0SYQ6r6Xpb38Mxi5PcD6JcOUh2NmidKK4MM0iY1r6oDeggHGUiQ==","691f8ca61c6b4dcbb0aeb5f4","691fbe931781ab827d249275","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:00
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe931781ab827d249275","fullscreen",1,13277,"0.0-1.0","iyVIJ3469Z1JPsBW+Z9zGQlEdYzT2m1z2XDBuxEChmeBCo9L/n7fq28R2JrGchhn4+rT/tzWnYohsNztKedERQLsuu8hmvZwZ8m6CGmxS+/Kg4fvFaYURQUpSWguHrRxaxi0WbOMzKb4KakBmqmpx+gbHT4W54z621aF1LnkNr56Sa5i11Wn1D3r8OH/y9iA++xxzwvHkU5GvGn9BjxhNBHpRfGB+H2DkJY6unOi0YRcujxhBTgIAgS3ELmR6QlPQy9ERuDvT4Iss8o58IVElhyisFv7TCHCazQ0SYQ6r6Xpb38Mxi5PcD6JcOUh2NmidKK4MM0iY1r6oDeggHGUiQ==","691f8ca61c6b4dcbb0aeb5f4","691fbe931781ab827d249275","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:00
"202596.10000002384","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe931781ab827d249275","instructions",2,215875,"0.0-2.0","iyVIJ3469Z1JPsBW+Z9zGQlEdYzT2m1z2XDBuxEChmeBCo9L/n7fq28R2JrGchhn4+rT/tzWnYohsNztKedERQLsuu8hmvZwZ8m6CGmxS+/Kg4fvFaYURQUpSWguHrRxaxi0WbOMzKb4KakBmqmpx+gbHT4W54z621aF1LnkNr56Sa5i11Wn1D3r8OH/y9iA++xxzwvHkU5GvGn9BjxhNBHpRfGB+H2DkJY6unOi0YRcujxhBTgIAgS3ELmR6QlPQy9ERuDvT4Iss8o58IVElhyisFv7TCHCazQ0SYQ6r6Xpb38Mxi5PcD6JcOUh2NmidKK4MM0iY1r6oDeggHGUiQ==","691f8ca61c6b4dcbb0aeb5f4","691fbe931781ab827d249275","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":12940.700000017881},{""page_index"":1,""viewing_time"":21110.29999998212},{""page_index"":2,""viewing_time"":13462.800000011921},{""page_index"":3,""viewing_time"":16689.90000000596},{""page_index"":4,""viewing_time"":14321.799999982119},{""page_index"":5,""viewing_time"":27279.90000000596},{""page_index"":6,""viewing_time"":6178},{""page_index"":5,""viewing_time"":666.3000000119209},{""page_index"":4,""viewing_time"":292.59999999403954},{""page_index"":3,""viewing_time"":1467},{""page_index"":2,""viewing_time"":2113.5999999940395},{""page_index"":1,""viewing_time"":2579.300000011921},{""page_index"":0,""viewing_time"":17161.19999998808},{""page_index"":1,""viewing_time"":6232},{""page_index"":2,""viewing_time"":8382.5},{""page_index"":3,""viewing_time"":25686},{""page_index"":4,""viewing_time"":11416.5},{""page_index"":5,""viewing_time"":12777.40000000596},{""page_index"":6,""viewing_time"":1837.5999999940395}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:00
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe931781ab827d249275","html-keyboard-response",3,216888,"0.0-3.0","iyVIJ3469Z1JPsBW+Z9zGQlEdYzT2m1z2XDBuxEChmeBCo9L/n7fq28R2JrGchhn4+rT/tzWnYohsNztKedERQLsuu8hmvZwZ8m6CGmxS+/Kg4fvFaYURQUpSWguHrRxaxi0WbOMzKb4KakBmqmpx+gbHT4W54z621aF1LnkNr56Sa5i11Wn1D3r8OH/y9iA++xxzwvHkU5GvGn9BjxhNBHpRfGB+H2DkJY6unOi0YRcujxhBTgIAgS3ELmR6QlPQy9ERuDvT4Iss8o58IVElhyisFv7TCHCazQ0SYQ6r6Xpb38Mxi5PcD6JcOUh2NmidKK4MM0iY1r6oDeggHGUiQ==","691f8ca61c6b4dcbb0aeb5f4","691fbe931781ab827d249275","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:00
"28945.70000001788","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe931781ab827d249275","survey-multi-choice",4,245835,"0.0-4.0","iyVIJ3469Z1JPsBW+Z9zGQlEdYzT2m1z2XDBuxEChmeBCo9L/n7fq28R2JrGchhn4+rT/tzWnYohsNztKedERQLsuu8hmvZwZ8m6CGmxS+/Kg4fvFaYURQUpSWguHrRxaxi0WbOMzKb4KakBmqmpx+gbHT4W54z621aF1LnkNr56Sa5i11Wn1D3r8OH/y9iA++xxzwvHkU5GvGn9BjxhNBHpRfGB+H2DkJY6unOi0YRcujxhBTgIAgS3ELmR6QlPQy9ERuDvT4Iss8o58IVElhyisFv7TCHCazQ0SYQ6r6Xpb38Mxi5PcD6JcOUh2NmidKK4MM0iY1r6oDeggHGUiQ==","691f8ca61c6b4dcbb0aeb5f4","691fbe931781ab827d249275","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight changes across contests, but not across rounds within each contest."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:00
"3272.0999999940395","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe931781ab827d249275","html-button-response",5,249109,"0.0-5.0-1.0","iyVIJ3469Z1JPsBW+Z9zGQlEdYzT2m1z2XDBuxEChmeBCo9L/n7fq28R2JrGchhn4+rT/tzWnYohsNztKedERQLsuu8hmvZwZ8m6CGmxS+/Kg4fvFaYURQUpSWguHrRxaxi0WbOMzKb4KakBmqmpx+gbHT4W54z621aF1LnkNr56Sa5i11Wn1D3r8OH/y9iA++xxzwvHkU5GvGn9BjxhNBHpRfGB+H2DkJY6unOi0YRcujxhBTgIAgS3ELmR6QlPQy9ERuDvT4Iss8o58IVElhyisFv7TCHCazQ0SYQ6r6Xpb38Mxi5PcD6JcOUh2NmidKK4MM0iY1r6oDeggHGUiQ==","691f8ca61c6b4dcbb0aeb5f4","691fbe931781ab827d249275","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:00
"83391.80000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe931781ab827d249275","instructions",6,332502,"0.0-6.0-0.0","iyVIJ3469Z1JPsBW+Z9zGQlEdYzT2m1z2XDBuxEChmeBCo9L/n7fq28R2JrGchhn4+rT/tzWnYohsNztKedERQLsuu8hmvZwZ8m6CGmxS+/Kg4fvFaYURQUpSWguHrRxaxi0WbOMzKb4KakBmqmpx+gbHT4W54z621aF1LnkNr56Sa5i11Wn1D3r8OH/y9iA++xxzwvHkU5GvGn9BjxhNBHpRfGB+H2DkJY6unOi0YRcujxhBTgIAgS3ELmR6QlPQy9ERuDvT4Iss8o58IVElhyisFv7TCHCazQ0SYQ6r6Xpb38Mxi5PcD6JcOUh2NmidKK4MM0iY1r6oDeggHGUiQ==","691f8ca61c6b4dcbb0aeb5f4","691fbe931781ab827d249275","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":4297.100000023842},{""page_index"":1,""viewing_time"":4983.799999982119},{""page_index"":0,""viewing_time"":8006.4000000059605},{""page_index"":1,""viewing_time"":6234.0999999940395},{""page_index"":2,""viewing_time"":6368.200000017881},{""page_index"":3,""viewing_time"":1582.0999999940395},{""page_index"":4,""viewing_time"":1559},{""page_index"":3,""viewing_time"":200.5},{""page_index"":2,""viewing_time"":176.5},{""page_index"":1,""viewing_time"":189.90000000596046},{""page_index"":0,""viewing_time"":13842.399999976158},{""page_index"":1,""viewing_time"":6169.4000000059605},{""page_index"":2,""viewing_time"":8353.90000000596},{""page_index"":3,""viewing_time"":3533.5},{""page_index"":4,""viewing_time"":7585.699999988079},{""page_index"":5,""viewing_time"":7865.100000023842},{""page_index"":6,""viewing_time"":2444.0999999940395}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:00
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe931781ab827d249275","html-keyboard-response",7,333507,"0.0-6.0-1.0","iyVIJ3469Z1JPsBW+Z9zGQlEdYzT2m1z2XDBuxEChmeBCo9L/n7fq28R2JrGchhn4+rT/tzWnYohsNztKedERQLsuu8hmvZwZ8m6CGmxS+/Kg4fvFaYURQUpSWguHrRxaxi0WbOMzKb4KakBmqmpx+gbHT4W54z621aF1LnkNr56Sa5i11Wn1D3r8OH/y9iA++xxzwvHkU5GvGn9BjxhNBHpRfGB+H2DkJY6unOi0YRcujxhBTgIAgS3ELmR6QlPQy9ERuDvT4Iss8o58IVElhyisFv7TCHCazQ0SYQ6r6Xpb38Mxi5PcD6JcOUh2NmidKK4MM0iY1r6oDeggHGUiQ==","691f8ca61c6b4dcbb0aeb5f4","691fbe931781ab827d249275","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:00
"22104","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe931781ab827d249275","survey-multi-choice",8,355613,"0.0-7.0-0.0","iyVIJ3469Z1JPsBW+Z9zGQlEdYzT2m1z2XDBuxEChmeBCo9L/n7fq28R2JrGchhn4+rT/tzWnYohsNztKedERQLsuu8hmvZwZ8m6CGmxS+/Kg4fvFaYURQUpSWguHrRxaxi0WbOMzKb4KakBmqmpx+gbHT4W54z621aF1LnkNr56Sa5i11Wn1D3r8OH/y9iA++xxzwvHkU5GvGn9BjxhNBHpRfGB+H2DkJY6unOi0YRcujxhBTgIAgS3ELmR6QlPQy9ERuDvT4Iss8o58IVElhyisFv7TCHCazQ0SYQ6r6Xpb38Mxi5PcD6JcOUh2NmidKK4MM0iY1r6oDeggHGUiQ==","691f8ca61c6b4dcbb0aeb5f4","691fbe931781ab827d249275","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:00
"8550","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fbe931781ab827d249275","instructions",9,364166,"0.0-305.0","iyVIJ3469Z1JPsBW+Z9zGQlEdYzT2m1z2XDBuxEChmeBCo9L/n7fq28R2JrGchhn4+rT/tzWnYohsNztKedERQLsuu8hmvZwZ8m6CGmxS+/Kg4fvFaYURQUpSWguHrRxaxi0WbOMzKb4KakBmqmpx+gbHT4W54z621aF1LnkNr56Sa5i11Wn1D3r8OH/y9iA++xxzwvHkU5GvGn9BjxhNBHpRfGB+H2DkJY6unOi0YRcujxhBTgIAgS3ELmR6QlPQy9ERuDvT4Iss8o58IVElhyisFv7TCHCazQ0SYQ6r6Xpb38Mxi5PcD6JcOUh2NmidKK4MM0iY1r6oDeggHGUiQ==","691f8ca61c6b4dcbb0aeb5f4","691fbe931781ab827d249275","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":4588.899999976158},{""page_index"":1,""viewing_time"":3960.800000011921}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-21 01:35:00
