"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","j","Stage","stage","contest","round","strength_a","strength_b","effort_a","effort_b","outcome_a","outcome_b","reward","r1_strength_a","r1_strength_b","r1_effort_a","r1_effort_b","r1_outcome_a","r1_outcome_b","r1_reward","probability_a","probability_b","r2_prob_a","r2_prob_b","r2_strength_a","r2_strength_b","r2_effort_a","r2_effort_b","r2_outcome_a","r2_outcome_b","r2_reward","r3_prob_a","r3_prob_b","r3_strength_a","r3_strength_b","r3_effort_a","r3_effort_b","r3_outcome_a","r3_outcome_b","r3_reward","attention_check","count","screen","pick_contest","pick_round","pick_side","trial_probability","trial_outcome","bonus","attention_sum","attention","datapipe_meta.attributes.date_modified"
"27142.300000000745","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f943fa18009026f9ac24b","external-html",0,27363,"0.0-0.0","lghQ1M63pH92EQsn5Het1sB7HR6LnUYv6AAzu624Arn/3G+OFsdK8ORVDh3lgJl1GKUZkUsNd1jO2RAB2Io9Rxv5X8XTe641g5kbICVu3EoquPb5jZQTm4OpddCqWJhYhHaxIMoRHXF2IL28XEd1a+ppqjMJpLshDd6Jn+7mbfObDvnfTIqp1x1YVvEpRkKHlj84LvwGgS22Ys4xXUoTrOEnQHFkCbexeVLB70Z0hvui4ZFHLcG9F4dlzgxGwrB+4beJbvhhSsAwtwwG1OIq5lFV79S72OKwX/QNlgTNpY2imRlpZBLb8bFEwGRRmLKqn25xUBY/hHYPQxbUFJD1oQ==","691f8ca61c6b4dcbb0aeb5f4","691f943fa18009026f9ac24b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f943fa18009026f9ac24b","fullscreen",1,30682,"0.0-1.0","lghQ1M63pH92EQsn5Het1sB7HR6LnUYv6AAzu624Arn/3G+OFsdK8ORVDh3lgJl1GKUZkUsNd1jO2RAB2Io9Rxv5X8XTe641g5kbICVu3EoquPb5jZQTm4OpddCqWJhYhHaxIMoRHXF2IL28XEd1a+ppqjMJpLshDd6Jn+7mbfObDvnfTIqp1x1YVvEpRkKHlj84LvwGgS22Ys4xXUoTrOEnQHFkCbexeVLB70Z0hvui4ZFHLcG9F4dlzgxGwrB+4beJbvhhSsAwtwwG1OIq5lFV79S72OKwX/QNlgTNpY2imRlpZBLb8bFEwGRRmLKqn25xUBY/hHYPQxbUFJD1oQ==","691f8ca61c6b4dcbb0aeb5f4","691f943fa18009026f9ac24b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"590285.9000000022","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f943fa18009026f9ac24b","instructions",2,620970,"0.0-2.0","lghQ1M63pH92EQsn5Het1sB7HR6LnUYv6AAzu624Arn/3G+OFsdK8ORVDh3lgJl1GKUZkUsNd1jO2RAB2Io9Rxv5X8XTe641g5kbICVu3EoquPb5jZQTm4OpddCqWJhYhHaxIMoRHXF2IL28XEd1a+ppqjMJpLshDd6Jn+7mbfObDvnfTIqp1x1YVvEpRkKHlj84LvwGgS22Ys4xXUoTrOEnQHFkCbexeVLB70Z0hvui4ZFHLcG9F4dlzgxGwrB+4beJbvhhSsAwtwwG1OIq5lFV79S72OKwX/QNlgTNpY2imRlpZBLb8bFEwGRRmLKqn25xUBY/hHYPQxbUFJD1oQ==","691f8ca61c6b4dcbb0aeb5f4","691f943fa18009026f9ac24b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":435003},{""page_index"":1,""viewing_time"":50463.400000002235},{""page_index"":2,""viewing_time"":9678.5},{""page_index"":3,""viewing_time"":39637.5},{""page_index"":4,""viewing_time"":22325.699999999255},{""page_index"":5,""viewing_time"":29706.199999999255},{""page_index"":6,""viewing_time"":3470}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f943fa18009026f9ac24b","html-keyboard-response",3,621973,"0.0-3.0","lghQ1M63pH92EQsn5Het1sB7HR6LnUYv6AAzu624Arn/3G+OFsdK8ORVDh3lgJl1GKUZkUsNd1jO2RAB2Io9Rxv5X8XTe641g5kbICVu3EoquPb5jZQTm4OpddCqWJhYhHaxIMoRHXF2IL28XEd1a+ppqjMJpLshDd6Jn+7mbfObDvnfTIqp1x1YVvEpRkKHlj84LvwGgS22Ys4xXUoTrOEnQHFkCbexeVLB70Z0hvui4ZFHLcG9F4dlzgxGwrB+4beJbvhhSsAwtwwG1OIq5lFV79S72OKwX/QNlgTNpY2imRlpZBLb8bFEwGRRmLKqn25xUBY/hHYPQxbUFJD1oQ==","691f8ca61c6b4dcbb0aeb5f4","691f943fa18009026f9ac24b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51470.900000002235","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f943fa18009026f9ac24b","survey-multi-choice",4,673448,"0.0-4.0","lghQ1M63pH92EQsn5Het1sB7HR6LnUYv6AAzu624Arn/3G+OFsdK8ORVDh3lgJl1GKUZkUsNd1jO2RAB2Io9Rxv5X8XTe641g5kbICVu3EoquPb5jZQTm4OpddCqWJhYhHaxIMoRHXF2IL28XEd1a+ppqjMJpLshDd6Jn+7mbfObDvnfTIqp1x1YVvEpRkKHlj84LvwGgS22Ys4xXUoTrOEnQHFkCbexeVLB70Z0hvui4ZFHLcG9F4dlzgxGwrB+4beJbvhhSsAwtwwG1OIq5lFV79S72OKwX/QNlgTNpY2imRlpZBLb8bFEwGRRmLKqn25xUBY/hHYPQxbUFJD1oQ==","691f8ca61c6b4dcbb0aeb5f4","691f943fa18009026f9ac24b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2057.60000000149","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f943fa18009026f9ac24b","html-button-response",5,675510,"0.0-5.0-1.0","lghQ1M63pH92EQsn5Het1sB7HR6LnUYv6AAzu624Arn/3G+OFsdK8ORVDh3lgJl1GKUZkUsNd1jO2RAB2Io9Rxv5X8XTe641g5kbICVu3EoquPb5jZQTm4OpddCqWJhYhHaxIMoRHXF2IL28XEd1a+ppqjMJpLshDd6Jn+7mbfObDvnfTIqp1x1YVvEpRkKHlj84LvwGgS22Ys4xXUoTrOEnQHFkCbexeVLB70Z0hvui4ZFHLcG9F4dlzgxGwrB+4beJbvhhSsAwtwwG1OIq5lFV79S72OKwX/QNlgTNpY2imRlpZBLb8bFEwGRRmLKqn25xUBY/hHYPQxbUFJD1oQ==","691f8ca61c6b4dcbb0aeb5f4","691f943fa18009026f9ac24b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114887","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f943fa18009026f9ac24b","instructions",6,790399,"0.0-6.0-0.0","lghQ1M63pH92EQsn5Het1sB7HR6LnUYv6AAzu624Arn/3G+OFsdK8ORVDh3lgJl1GKUZkUsNd1jO2RAB2Io9Rxv5X8XTe641g5kbICVu3EoquPb5jZQTm4OpddCqWJhYhHaxIMoRHXF2IL28XEd1a+ppqjMJpLshDd6Jn+7mbfObDvnfTIqp1x1YVvEpRkKHlj84LvwGgS22Ys4xXUoTrOEnQHFkCbexeVLB70Z0hvui4ZFHLcG9F4dlzgxGwrB+4beJbvhhSsAwtwwG1OIq5lFV79S72OKwX/QNlgTNpY2imRlpZBLb8bFEwGRRmLKqn25xUBY/hHYPQxbUFJD1oQ==","691f8ca61c6b4dcbb0aeb5f4","691f943fa18009026f9ac24b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":42288.39999999851},{""page_index"":1,""viewing_time"":2125.900000002235},{""page_index"":0,""viewing_time"":4075.2999999970198},{""page_index"":1,""viewing_time"":18214.800000000745},{""page_index"":2,""viewing_time"":20396.5},{""page_index"":3,""viewing_time"":10262.900000002235},{""page_index"":4,""viewing_time"":3307.199999999255},{""page_index"":5,""viewing_time"":12275.39999999851},{""page_index"":6,""viewing_time"":1939.800000000745}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f943fa18009026f9ac24b","html-keyboard-response",7,791401,"0.0-6.0-1.0","lghQ1M63pH92EQsn5Het1sB7HR6LnUYv6AAzu624Arn/3G+OFsdK8ORVDh3lgJl1GKUZkUsNd1jO2RAB2Io9Rxv5X8XTe641g5kbICVu3EoquPb5jZQTm4OpddCqWJhYhHaxIMoRHXF2IL28XEd1a+ppqjMJpLshDd6Jn+7mbfObDvnfTIqp1x1YVvEpRkKHlj84LvwGgS22Ys4xXUoTrOEnQHFkCbexeVLB70Z0hvui4ZFHLcG9F4dlzgxGwrB+4beJbvhhSsAwtwwG1OIq5lFV79S72OKwX/QNlgTNpY2imRlpZBLb8bFEwGRRmLKqn25xUBY/hHYPQxbUFJD1oQ==","691f8ca61c6b4dcbb0aeb5f4","691f943fa18009026f9ac24b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20507.900000002235","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f943fa18009026f9ac24b","survey-multi-choice",8,811913,"0.0-7.0-0.0","lghQ1M63pH92EQsn5Het1sB7HR6LnUYv6AAzu624Arn/3G+OFsdK8ORVDh3lgJl1GKUZkUsNd1jO2RAB2Io9Rxv5X8XTe641g5kbICVu3EoquPb5jZQTm4OpddCqWJhYhHaxIMoRHXF2IL28XEd1a+ppqjMJpLshDd6Jn+7mbfObDvnfTIqp1x1YVvEpRkKHlj84LvwGgS22Ys4xXUoTrOEnQHFkCbexeVLB70Z0hvui4ZFHLcG9F4dlzgxGwrB+4beJbvhhSsAwtwwG1OIq5lFV79S72OKwX/QNlgTNpY2imRlpZBLb8bFEwGRRmLKqn25xUBY/hHYPQxbUFJD1oQ==","691f8ca61c6b4dcbb0aeb5f4","691f943fa18009026f9ac24b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new contest begins."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9885.699999999255","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691f943fa18009026f9ac24b","instructions",9,821809,"0.0-305.0","lghQ1M63pH92EQsn5Het1sB7HR6LnUYv6AAzu624Arn/3G+OFsdK8ORVDh3lgJl1GKUZkUsNd1jO2RAB2Io9Rxv5X8XTe641g5kbICVu3EoquPb5jZQTm4OpddCqWJhYhHaxIMoRHXF2IL28XEd1a+ppqjMJpLshDd6Jn+7mbfObDvnfTIqp1x1YVvEpRkKHlj84LvwGgS22Ys4xXUoTrOEnQHFkCbexeVLB70Z0hvui4ZFHLcG9F4dlzgxGwrB+4beJbvhhSsAwtwwG1OIq5lFV79S72OKwX/QNlgTNpY2imRlpZBLb8bFEwGRRmLKqn25xUBY/hHYPQxbUFJD1oQ==","691f8ca61c6b4dcbb0aeb5f4","691f943fa18009026f9ac24b","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":6170.5},{""page_index"":1,""viewing_time"":3714.800000000745}]","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
